rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Angel City",1977,http://www.icheckmovies.com/movies/angel+city/,17,2,0,0,15,,http://www.imdb.com/title/tt0074144/,no,no,no,no,no
2,0,"Another Girl Another Planet",1992,http://www.icheckmovies.com/movies/another+girl+another+planet/,18,2,0,0,18,,http://www.imdb.com/title/tt0103706/,no,no,no,no,no
3,0,"Bad Lieutenant",1992,http://www.icheckmovies.com/movies/bad+lieutenant/,3333,215,45,4,194,,http://www.imdb.com/title/tt0103759/,"2018-04-28 22:49:29",no,no,no,no
4,0,Badlands,1973,http://www.icheckmovies.com/movies/badlands/,11090,1262,47,20,519,,http://www.imdb.com/title/tt0069762/,"2018-04-26 21:38:45",no,no,no,no
5,0,"Being John Malkovich",1999,http://www.icheckmovies.com/movies/being+john+malkovich/,43594,3839,376,12,620,,http://www.imdb.com/title/tt0120601/,"2018-01-31 08:56:17",no,no,no,no
6,0,"Billy Jack",1971,http://www.icheckmovies.com/movies/billy+jack/,670,18,27,1,69,,http://www.imdb.com/title/tt0066832/,"2018-11-08 01:13:17",no,no,no,no
7,0,"The Blair Witch Project",1999,http://www.icheckmovies.com/movies/the+blair+witch+project/,49006,1359,1112,11,470,,http://www.imdb.com/title/tt0185937/,"2018-04-26 21:50:01",no,no,no,no
8,0,"Blood Simple.",1984,http://www.icheckmovies.com/movies/blood+simple./,9958,881,49,7,339,,http://www.imdb.com/title/tt0086979/,"2018-04-28 16:00:02",no,no,no,no
9,0,"Boogie Nights",1997,http://www.icheckmovies.com/movies/boogie+nights/,26988,2268,128,9,520,,http://www.imdb.com/title/tt0118749/,"2018-10-17 01:16:31",no,no,no,no
10,0,"Born in Flames",1983,http://www.icheckmovies.com/movies/born+in+flames/,237,14,9,2,67,,http://www.imdb.com/title/tt0085267/,no,no,no,no,no
11,0,"Boys Don't Cry",1999,http://www.icheckmovies.com/movies/boys+dont+cry/,10936,617,66,4,222,,http://www.imdb.com/title/tt0171804/,"2018-04-28 15:57:06",no,no,no,no
