rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Die Abenteuer des Prinzen Achmed",1926,http://www.icheckmovies.com/movies/die+abenteuer+des+prinzen+achmed/,2257,216,12,10,213,"The Adventures of Prince Achmed",http://www.imdb.com/title/tt0015532/,"2018-12-05 22:01:20",no,no,no,no
2,0,Akira,1988,http://www.icheckmovies.com/movies/akira/,27511,2639,222,20,523,,http://www.imdb.com/title/tt0094625/,"2018-01-31 08:56:55",no,no,no,yes
3,0,Aladdin,1992,http://www.icheckmovies.com/movies/aladdin/,92603,3642,156,13,460,,http://www.imdb.com/title/tt0103639/,"2018-01-31 08:56:27",no,no,no,no
4,0,"Neco z Alenky",1987,http://www.icheckmovies.com/movies/neco+z+alenky/,2975,318,41,10,218,Alice,http://www.imdb.com/title/tt0095715/,"2018-11-19 21:31:47",no,no,no,no
5,0,"Alice in Wonderland",1949,http://www.icheckmovies.com/movies/alice+in+wonderland-1949/,4406,69,12,1,25,,http://www.imdb.com/title/tt0042189/,no,no,no,no,no
6,0,"Allegro non troppo",1976,http://www.icheckmovies.com/movies/allegro+non+troppo/,638,40,12,3,70,,http://www.imdb.com/title/tt0074121/,no,no,no,no,no
7,0,"American Pop",1981,http://www.icheckmovies.com/movies/american+pop/,540,47,11,1,54,,http://www.imdb.com/title/tt0082009/,no,no,no,no,no
8,0,"Animal Farm",1954,http://www.icheckmovies.com/movies/animal+farm/,8320,186,53,2,97,,http://www.imdb.com/title/tt0047834/,no,no,no,no,no
9,0,Antz,1998,http://www.icheckmovies.com/movies/antz/,28953,342,260,2,159,,http://www.imdb.com/title/tt0120587/,"2018-11-08 00:25:04",no,no,no,no
10,,"El apóstol",1917,http://www.icheckmovies.com/movies/el+apostol/,8,0,1,1,15,,http://www.imdb.com/title/tt0007646/,no,no,no,no,no
11,-1,Avatar,2009,http://www.icheckmovies.com/movies/avatar/,106148,4439,3165,15,651,,http://www.imdb.com/title/tt0499549/,"2018-04-26 21:53:10",no,no,no,no
12,-1,"Azur et Asmar",2006,http://www.icheckmovies.com/movies/azur+et+asmar/,472,33,10,2,47,"Azur & Asmar: The Princes' Quest",http://www.imdb.com/title/tt0439123/,"2018-11-08 00:25:15",no,no,no,no
13,-1,Bambi,1942,http://www.icheckmovies.com/movies/bambi/,64496,985,194,12,367,,http://www.imdb.com/title/tt0034492/,"2018-04-28 15:59:15",no,no,no,no
14,-1,"Batman Beyond: Return of the Joker",2000,http://www.icheckmovies.com/movies/batman+beyond+return+of+the+joker/,3288,140,15,1,47,,http://www.imdb.com/title/tt0233298/,no,no,no,no,no
15,-1,"Beauty and the Beast",1991,http://www.icheckmovies.com/movies/beauty+and+the+beast/,97255,4283,220,18,562,,http://www.imdb.com/title/tt0101414/,"2018-01-31 08:55:15",no,no,no,no
16,-1,"Les triplettes de Belleville",2003,http://www.icheckmovies.com/movies/les+triplettes+de+belleville/,11973,1195,91,8,278,"The Triplets of Belleville",http://www.imdb.com/title/tt0286244/,"2018-04-28 23:11:39",no,no,no,no
17,-1,Cinderella,1950,http://www.icheckmovies.com/movies/cinderella-1950/,40714,664,94,5,251,,http://www.imdb.com/title/tt0042332/,"2018-10-17 01:52:03",no,no,no,no
18,-1,"The Adventures of Mark Twain",1985,http://www.icheckmovies.com/movies/the+adventures+of+mark+twain/,990,35,7,2,39,,http://www.imdb.com/title/tt0088678/,no,no,no,no,no
19,-1,Coraline,2009,http://www.icheckmovies.com/movies/coraline/,29591,2061,174,3,331,,http://www.imdb.com/title/tt0327597/,"2018-04-28 15:50:05",no,no,no,no
20,-1,Dumbo,1941,http://www.icheckmovies.com/movies/dumbo/,48877,958,141,9,312,,http://www.imdb.com/title/tt0033563/,"2018-04-26 21:28:26",no,no,no,no
21,-1,"Cisaruv slavík",1949,http://www.icheckmovies.com/movies/cisaruv+slavik/,270,4,4,3,47,"The Emperor's Nightingale",http://www.imdb.com/title/tt0043410/,no,no,no,no,no
22,-1,"Vynález zkázy",1958,http://www.icheckmovies.com/movies/vynalez+zkazy/,341,25,4,5,113,"The Fabulous World of Jules Verne",http://www.imdb.com/title/tt0052374/,no,no,no,no,no
23,-1,Fantasia,1940,http://www.icheckmovies.com/movies/fantasia/,53234,1998,225,20,475,,http://www.imdb.com/title/tt0032455/,"2018-01-31 09:37:05",no,no,no,no
24,-1,"Fantastic Mr. Fox",2009,http://www.icheckmovies.com/movies/fantastic+mr.+fox/,37492,3494,232,5,429,,http://www.imdb.com/title/tt0432283/,"2018-01-31 08:54:27",no,no,no,no
25,-1,"La planète sauvage",1973,http://www.icheckmovies.com/movies/la+planete+sauvage/,4002,495,29,8,252,"Fantastic Planet",http://www.imdb.com/title/tt0070544/,"2018-04-26 21:39:08",no,no,no,no
26,-1,"FernGully: The Last Rainforest",1992,http://www.icheckmovies.com/movies/ferngully+the+last+rainforest/,6237,195,72,1,73,,http://www.imdb.com/title/tt0104254/,no,no,no,no,no
27,-1,"Finding Nemo",2003,http://www.icheckmovies.com/movies/finding+nemo/,128146,6526,311,17,730,,http://www.imdb.com/title/tt0266543/,"2018-01-10 16:58:47",no,no,no,yes
28,-1,"Fritz the Cat",1972,http://www.icheckmovies.com/movies/fritz+the+cat/,2914,92,66,4,102,,http://www.imdb.com/title/tt0068612/,"2018-11-27 15:08:54",no,no,no,no
29,-1,Innocence,2004,http://www.icheckmovies.com/movies/innocence-2004/,1791,149,18,4,130,"Ghost in the Shell 2: Innocence",http://www.imdb.com/title/tt0347246/,"2018-10-17 22:17:03",no,no,no,no
30,-1,"Toki o kakeru shôjo",2006,http://www.icheckmovies.com/movies/toki+o+kakeru+shojo/,8194,968,37,2,173,"The Girl Who Leapt Through Time",http://www.imdb.com/title/tt0808506/,"2018-11-08 00:22:48",no,no,no,no
31,-1,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,22944,2994,143,18,585,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2018-01-31 08:56:31",no,no,no,yes
32,-1,"Happy Feet",2006,http://www.icheckmovies.com/movies/happy+feet/,43489,644,731,3,176,,http://www.imdb.com/title/tt0366548/,"2018-10-17 02:11:43",no,no,no,no
33,-1,"Mr. Bug Goes to Town",1941,http://www.icheckmovies.com/movies/mr.+bug+goes+to+town/,308,11,4,1,35,"Hoppity Goes to Town",http://www.imdb.com/title/tt0033727/,no,no,no,no,no
34,-1,"How to Train Your Dragon",2010,http://www.icheckmovies.com/movies/how+to+train+your+dragon/,67418,4997,237,11,468,,http://www.imdb.com/title/tt0892769/,"2018-01-10 16:58:59",no,no,no,yes
35,-1,"The Hunchback of Notre Dame",1996,http://www.icheckmovies.com/movies/the+hunchback+of+notre+dame-1996-3/,49922,985,185,3,181,,http://www.imdb.com/title/tt0116583/,"2018-04-28 16:02:05",no,no,no,no
36,-1,"Ice Age",2002,http://www.icheckmovies.com/movies/ice+age/,84272,1882,314,4,251,,http://www.imdb.com/title/tt0268380/,"2018-10-17 22:13:50",no,no,no,no
37,-1,"Idiots and Angels",2008,http://www.icheckmovies.com/movies/idiots+and+angels/,536,44,9,2,50,,http://www.imdb.com/title/tt1013607/,no,no,no,no,no
38,-1,L'illusionniste,2010,http://www.icheckmovies.com/movies/lillusionniste/,5931,505,38,2,154,"The Illusionist",http://www.imdb.com/title/tt0775489/,no,no,no,no,no
39,-1,"The Incredibles",2004,http://www.icheckmovies.com/movies/the+incredibles/,111037,5077,386,11,667,,http://www.imdb.com/title/tt0317705/,"2018-01-31 08:53:12",no,no,no,no
40,-1,"The Iron Giant",1999,http://www.icheckmovies.com/movies/the+iron+giant/,47005,2940,111,10,393,,http://www.imdb.com/title/tt0129167/,"2018-01-31 08:54:51",no,no,no,no
41,-1,Konyok-Gorbunok,1947,http://www.icheckmovies.com/movies/konyok-gorbunok/,277,12,3,1,35,"The Hunchedback Horse",http://www.imdb.com/title/tt0050604/,no,no,no,no,no
42,-1,"The Jungle Book",1967,http://www.icheckmovies.com/movies/the+jungle+book/,69980,1440,122,9,328,,http://www.imdb.com/title/tt0061852/,"2018-04-26 21:37:07",no,no,no,no
43,-1,"Majo no takkyûbin",1989,http://www.icheckmovies.com/movies/majo+no+takkyubin/,16985,1435,39,5,276,"Kiki's Delivery Service",http://www.imdb.com/title/tt0097814/,"2018-01-31 09:14:22",no,no,no,no
44,-1,"King Kong",1933,http://www.icheckmovies.com/movies/king+kong/,26046,938,98,28,698,"The Eighth Wonder",http://www.imdb.com/title/tt0024216/,"2018-04-26 21:27:11",no,no,no,yes
45,-1,"Kung Fu Panda",2008,http://www.icheckmovies.com/movies/kung+fu+panda/,64423,1888,339,3,286,,http://www.imdb.com/title/tt0441773/,"2018-10-17 22:19:48",no,no,no,no
46,-1,"Tenkû no shiro Rapyuta",1986,http://www.icheckmovies.com/movies/tenku+no+shiro+rapyuta/,18629,1474,63,10,337,"Castle in the Sky",http://www.imdb.com/title/tt0092067/,"2018-01-31 09:14:17",no,no,no,yes
47,-1,"Lilo & Stitch",2002,http://www.icheckmovies.com/movies/lilo+and+stitch/,54260,1534,195,4,221,,http://www.imdb.com/title/tt0275847/,"2018-10-17 01:44:57",no,no,no,no
48,-1,"The Lion King",1994,http://www.icheckmovies.com/movies/the+lion+king/,131802,8551,287,22,778,,http://www.imdb.com/title/tt0110357/,"2018-01-10 16:55:47",no,no,no,yes
49,-1,"Taiyô no ôji Horusu no daibôken",1968,http://www.icheckmovies.com/movies/taiyo+no+oji+horusu+no+daiboken/,322,6,5,1,43,"The Great Adventure of Horus, Prince of the Sun",http://www.imdb.com/title/tt0063668/,no,no,no,no,no
50,-1,Memorîzu,1995,http://www.icheckmovies.com/movies/memorizu/,1261,110,12,2,85,Memories,http://www.imdb.com/title/tt0113799/,"2018-11-08 00:23:51",no,no,no,no
51,-1,"Sen noci svatojánské",1959,http://www.icheckmovies.com/movies/sen+noci+svatojanske/,162,4,3,2,43,"A Midsummer Night's Dream",http://www.imdb.com/title/tt0053261/,no,no,no,no,no
52,-1,"Mind Game",2004,http://www.icheckmovies.com/movies/mind+game/,1961,271,26,5,142,,http://www.imdb.com/title/tt0452039/,no,no,no,no,no
53,-1,"Monsters, Inc.",2001,http://www.icheckmovies.com/movies/monsters+inc./,113935,5764,210,15,561,,http://www.imdb.com/title/tt0198781/,"2018-01-10 17:00:23",no,no,no,yes
54,-1,"Mak Dau goo si",2001,http://www.icheckmovies.com/movies/mak+dau+goo+si/,123,4,6,2,30,"My Life as McDull",http://www.imdb.com/title/tt0312941/,no,no,no,no,no
55,-1,"Tonari no Totoro",1988,http://www.icheckmovies.com/movies/tonari+no+totoro/,35036,4104,118,19,614,"My Neighbor Totoro",http://www.imdb.com/title/tt0096283/,"2018-01-10 16:57:48",no,no,no,yes
56,-1,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,http://www.icheckmovies.com/movies/shin+seiki+evangelion+gekijo-ban+airslashmagokoro+wo+kimi+ni/,6819,558,76,7,110,"Neon Genesis Evangelion: The End of Evangelion",http://www.imdb.com/title/tt0169858/,"2018-01-31 11:45:39",no,no,no,no
57,-1,"Nezha nao hai",1979,http://www.icheckmovies.com/movies/nezha+nao+hai/,107,5,4,1,31,"Nezha Conquers the Dragon King",http://www.imdb.com/title/tt0354770/,no,no,no,no,no
58,-1,"Ginga-tetsudô no yoru",1985,http://www.icheckmovies.com/movies/ginga-tetsudo+no+yoru/,259,22,7,2,62,"Kenji Miyazawa's Night on the Galactic Express",http://www.imdb.com/title/tt0089206/,no,no,no,no,no
59,-1,"The Nightmare Before Christmas",1993,http://www.icheckmovies.com/movies/the+nightmare+before+christmas/,74053,5294,433,14,543,,http://www.imdb.com/title/tt0107688/,"2018-01-31 09:33:22",no,no,no,no
60,-1,"Jûbê ninpûchô",1993,http://www.icheckmovies.com/movies/jube+ninpucho/,2396,196,30,4,89,"Ninja Scroll",http://www.imdb.com/title/tt0107692/,"2018-11-27 15:11:17",no,no,no,no
61,-1,"One Hundred and One Dalmatians",1961,http://www.icheckmovies.com/movies/one+hundred+and+one+dalmatians/,60620,938,110,8,205,"101 Dalmatians",http://www.imdb.com/title/tt0055254/,"2018-10-17 01:29:09",no,no,no,no
62,-1,"Omohide poro poro",1991,http://www.icheckmovies.com/movies/omohide+poro+poro/,2570,229,25,3,153,"Only Yesterday",http://www.imdb.com/title/tt0102587/,"2018-10-17 22:32:32",no,no,no,no
63,-1,Persepolis,2007,http://www.icheckmovies.com/movies/persepolis/,17452,1780,61,6,348,,http://www.imdb.com/title/tt0808417/,"2018-04-28 15:50:49",no,no,no,no
64,-1,"Flåklypa Grand Prix",1975,http://www.icheckmovies.com/movies/flaklypa+grand+prix/,4980,366,30,7,132,"Pinchcliffe Grand Prix",http://www.imdb.com/title/tt0073000/,"2018-11-27 15:02:30",no,no,no,no
65,-1,Pinocchio,1940,http://www.icheckmovies.com/movies/pinocchio/,62667,1065,150,15,411,,http://www.imdb.com/title/tt0032910/,"2018-04-26 21:28:16",no,no,no,no
66,-1,"The Polar Express",2004,http://www.icheckmovies.com/movies/the+polar+express/,33444,510,550,2,156,,http://www.imdb.com/title/tt0338348/,no,no,no,no,no
67,-1,"Gake no ue no Ponyo",2008,http://www.icheckmovies.com/movies/gake+no+ue+no+ponyo/,15168,1092,83,4,233,Ponyo,http://www.imdb.com/title/tt0876563/,"2018-01-31 09:14:41",no,no,no,no
68,-1,"Kurenai no buta",1992,http://www.icheckmovies.com/movies/kurenai+no+buta/,9377,775,41,4,222,"Porco Rosso",http://www.imdb.com/title/tt0104652/,"2018-01-31 09:14:24",no,no,no,no
69,-1,"The Prince of Egypt",1998,http://www.icheckmovies.com/movies/the+prince+of+egypt/,33483,977,156,3,161,,http://www.imdb.com/title/tt0120794/,"2018-10-17 02:18:06",no,no,no,no
70,-1,Mononoke-hime,1997,http://www.icheckmovies.com/movies/mononoke-hime/,39895,4689,176,17,644,"Princess Mononoke",http://www.imdb.com/title/tt0119698/,"2018-01-10 16:56:14",no,no,no,yes
71,-1,"The Rescuers",1977,http://www.icheckmovies.com/movies/the+rescuers/,18860,375,64,2,124,,http://www.imdb.com/title/tt0076618/,"2018-11-08 00:24:40",no,no,no,no
72,-1,"Rock & Rule",1983,http://www.icheckmovies.com/movies/rock+and+rule/,311,18,9,1,36,"Ring of Power",http://www.imdb.com/title/tt0086203/,no,no,no,no,no
73,-1,"Le roi et l'oiseau",1980,http://www.icheckmovies.com/movies/le+roi+et+loiseau/,1302,121,12,3,67,"The King and the Mockingbird",http://www.imdb.com/title/tt0079820/,"2018-10-17 02:19:25",no,no,no,no
74,-1,"Le roman de Renard",1930,http://www.icheckmovies.com/movies/le+roman+de+renard/,408,47,4,3,132,"The Story of the Fox",http://www.imdb.com/title/tt0021309/,no,no,no,no,no
75,-1,"A Scanner Darkly",2006,http://www.icheckmovies.com/movies/a+scanner+darkly/,14655,946,181,5,206,,http://www.imdb.com/title/tt0405296/,"2018-10-17 01:46:20",no,no,no,no
76,-1,"The Secret Adventures of Tom Thumb",1993,http://www.icheckmovies.com/movies/the+secret+adventures+of+tom+thumb/,331,10,2,2,46,,http://www.imdb.com/title/tt0108069/,no,no,no,no,no
77,-1,"The Secret of Kells",2009,http://www.icheckmovies.com/movies/the+secret+of+kells/,3709,449,20,1,115,,http://www.imdb.com/title/tt0485601/,"2018-11-08 00:36:36",no,no,no,no
78,-1,"The Secret of NIMH",1982,http://www.icheckmovies.com/movies/the+secret+of+nimh/,7701,430,34,2,102,,http://www.imdb.com/title/tt0084649/,"2018-11-08 00:23:44",no,no,no,no
79,-1,Shrek,2001,http://www.icheckmovies.com/movies/shrek/,105998,3302,433,14,497,,http://www.imdb.com/title/tt0126029/,"2018-01-31 11:46:31",no,no,no,no
80,-1,"Sita Sings the Blues",2008,http://www.icheckmovies.com/movies/sita+sings+the+blues/,1087,135,12,3,95,,http://www.imdb.com/title/tt1172203/,no,no,no,no,no
81,-1,"Sukai kurora",2008,http://www.icheckmovies.com/movies/sukai+kurora/,618,35,20,1,54,"The Sky Crawlers",http://www.imdb.com/title/tt1056437/,"2018-11-08 01:46:12",no,no,no,no
82,-1,"Snow White and the Seven Dwarfs",1937,http://www.icheckmovies.com/movies/snow+white+and+the+seven+dwarfs/,73512,1351,150,23,586,,http://www.imdb.com/title/tt0029583/,"2018-04-26 21:27:40",no,no,no,no
83,-1,Fehérlófia,1981,http://www.icheckmovies.com/movies/feherlofia/,354,58,8,3,126,"Son of the White Mare",http://www.imdb.com/title/tt0083931/,no,no,no,no,no
