rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Wong Fei Hung",1991,http://www.icheckmovies.com/movies/wong+fei+hung/,2145,82,19,8,113,"Once Upon a Time in China",http://www.imdb.com/title/tt0103285/,"2018-12-02 23:33:31",no,no,no,no
2,,"Jing wu ying xiong",1994,http://www.icheckmovies.com/movies/jing+wu+ying+xiong/,1961,102,5,2,65,"Fist of Legend",http://www.imdb.com/title/tt0110200/,"2018-11-08 00:23:07",no,no,no,no
3,,"Sun lung moon hak chan",1992,http://www.icheckmovies.com/movies/sun+lung+moon+hak+chan/,233,10,1,3,44,"Dragon Inn",http://www.imdb.com/title/tt0105859/,no,no,no,no,no
4,,"Wong Fei Hung II: Nam yee tung chi keung",1992,http://www.icheckmovies.com/movies/wong+fei+hung+ii+nam+yee+tung+chi+keung/,914,32,2,2,52,"Once Upon a Time in China II",http://www.imdb.com/title/tt0105839/,no,no,no,no,no
5,,"Long men kezhan",1967,http://www.icheckmovies.com/movies/long+men+kezhan/,508,31,0,7,99,"Dragon Inn",http://www.imdb.com/title/tt0060635/,"2018-10-17 22:26:09",no,no,no,no
6,,"Wo hu cang long",2000,http://www.icheckmovies.com/movies/wo+hu+cang+long/,34846,1998,230,23,615,"Crouching Tiger, Hidden Dragon",http://www.imdb.com/title/tt0190332/,"2018-04-26 21:50:35",no,no,no,no
7,,Dao,1995,http://www.icheckmovies.com/movies/dao/,289,19,2,2,65,"The Blade",http://www.imdb.com/title/tt0112800/,no,no,no,no,no
8,,"Xiao ao jiang hu: dong fang bu bai",1992,http://www.icheckmovies.com/movies/xiao+ao+jiang+hu+dong+fang+bu+bai/,170,7,2,2,32,"Swordsman II",http://www.imdb.com/title/tt0103295/,no,no,no,no,no
9,,"Jui kuen II",1994,http://www.icheckmovies.com/movies/jui+kuen+ii/,4473,279,17,2,129,"The Legend of Drunken Master",http://www.imdb.com/title/tt0111512/,no,no,no,no,no
10,,"Meng long guo jiang",1972,http://www.icheckmovies.com/movies/meng+long+guo+jiang/,3489,110,16,6,86,"The Way of the Dragon",http://www.imdb.com/title/tt0068935/,"2018-10-17 22:27:41",no,no,no,no
11,,"'A' gai wak",1983,http://www.icheckmovies.com/movies/a+gai+wak/,1196,50,9,3,77,"Project A",http://www.imdb.com/title/tt0085127/,no,no,no,no,no
12,,"Shu Shan - Xin Shu shan jian ke",1983,http://www.icheckmovies.com/movies/shu+shan+-+xin+shu+shan+jian+ke/,362,18,5,5,60,"Zu: Warriors from the Magic Mountain",http://www.imdb.com/title/tt0086308/,no,no,no,no,no
13,,"Dung che sai duk",1994,http://www.icheckmovies.com/movies/dung+che+sai+duk/,1545,113,21,6,141,"Ashes of Time",http://www.imdb.com/title/tt0109688/,"2018-12-01 10:06:18",no,no,no,no
