rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"À propos de Nice",1930,http://www.icheckmovies.com/movies/a+propos+de+nice/,1819,116,15,7,154,"À Propos de Nice",http://www.imdb.com/title/tt0021576/,"2018-12-13 09:31:56",no,no,no,no
2,0,"The Act of Seeing with One's Own Eyes",1971,http://www.icheckmovies.com/movies/the+act+of+seeing+with+ones+own+eyes/,1207,78,30,8,136,,http://www.imdb.com/title/tt0140788/,"2018-12-04 15:05:24",no,no,no,no
3,0,"The Atomic Cafe",1982,http://www.icheckmovies.com/movies/the+atomic+cafe/,697,46,1,3,67,,http://www.imdb.com/title/tt0083590/,no,no,no,no,no
4,0,"La batalla de Chile: La lucha de un pueblo sin armas - Primera parte: La insurrección de la burguesía",1975,http://www.icheckmovies.com/movies/la+batalla+de+chile+la+lucha+de+un+pueblo+sin+armas+-+primera+parte+la+insurreccion+de+la+burguesia/,454,39,1,7,119,"The Battle of Chile: Part I",http://www.imdb.com/title/tt0072685/,"2018-12-02 14:13:16",no,no,no,no
5,0,"La batalla de Chile: La lucha de un pueblo sin armas - Segunda parte: El golpe de estado",1976,http://www.icheckmovies.com/movies/la+batalla+de+chile+la+lucha+de+un+pueblo+sin+armas+-+segunda+parte+el+golpe+de+estado/,394,29,2,5,119,"The Battle of Chile: Part II",http://www.imdb.com/title/tt0074187/,"2018-12-02 14:13:23",no,no,no,no
6,0,"La batalla de Chile: La lucha de un pueblo sin armas - Tercera parte: El poder popular",1979,http://www.icheckmovies.com/movies/la+batalla+de+chile+la+lucha+de+un+pueblo+sin+armas+-+tercera+parte+el+poder+popular/,317,20,1,4,92,"The Battle of Chile: Part 3",http://www.imdb.com/title/tt0078831/,"2018-12-02 14:13:45",no,no,no,no
7,0,"Berlin: Die Sinfonie der Grosstadt",1927,http://www.icheckmovies.com/movies/berlin+die+sinfonie+der+grosstadt/,1447,85,10,11,184,"Berlin: Symphony of a Great City",http://www.imdb.com/title/tt0017668/,"2018-10-17 21:55:19",no,no,no,no
8,0,"Bowling for Columbine",2002,http://www.icheckmovies.com/movies/bowling+for+columbine/,31065,1093,182,9,263,,http://www.imdb.com/title/tt0310793/,"2018-04-26 21:51:53",no,no,no,no
9,0,"A British Picture",1989,http://www.icheckmovies.com/movies/a+british+picture/,87,7,1,1,29,,http://www.imdb.com/title/tt0096982/,no,no,no,no,no
10,0,"British Sounds",1970,http://www.icheckmovies.com/movies/british+sounds/,193,7,6,2,29,"See You at Mao",http://www.imdb.com/title/tt0065494/,no,no,no,no,no
11,0,"Ônibus 174",2002,http://www.icheckmovies.com/movies/onibus+174/,1505,104,14,4,118,"Bus 174",http://www.imdb.com/title/tt0340468/,no,no,no,no,no
12,0,"Cane Toads: An Unnatural History",1988,http://www.icheckmovies.com/movies/cane+toads+an+unnatural+history/,509,34,1,3,79,,http://www.imdb.com/title/tt0130529/,no,no,no,no,no
13,0,"Le chagrin et la pitié",1969,http://www.icheckmovies.com/movies/le+chagrin+et+la+pitie/,933,89,7,11,236,"The Sorrow and the Pity",http://www.imdb.com/title/tt0066904/,"2018-11-19 21:31:35",no,no,no,no
