rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Adventures of Barry McKenzie",1972,http://www.icheckmovies.com/movies/the+adventures+of+barry+mckenzie/,108,2,8,1,22,,http://www.imdb.com/title/tt0068173/,no,no,no,no,no
2,0,"The Adventures of Priscilla, Queen of the Desert",1994,http://www.icheckmovies.com/movies/the+adventures+of+priscilla+queen+of+the+desert/,8939,586,44,5,216,,http://www.imdb.com/title/tt0109045/,"2018-04-26 21:48:47",no,no,no,no
3,0,"Alvin Purple",1973,http://www.icheckmovies.com/movies/alvin+purple/,93,0,6,1,22,"The Sex Therapist",http://www.imdb.com/title/tt0069698/,no,no,no,no,no
4,0,"Angel Baby",1995,http://www.icheckmovies.com/movies/angel+baby/,84,4,0,1,20,,http://www.imdb.com/title/tt0112362/,no,no,no,no,no
5,0,"Annie's Coming Out",1984,http://www.icheckmovies.com/movies/annies+coming+out/,25,1,0,1,14,"A Test of Love",http://www.imdb.com/title/tt0088250/,no,no,no,no,no
6,0,"Australian Rules",2002,http://www.icheckmovies.com/movies/australian+rules/,92,1,1,1,16,,http://www.imdb.com/title/tt0285006/,no,no,no,no,no
7,0,Babe,1995,http://www.icheckmovies.com/movies/babe/,60211,960,383,10,281,,http://www.imdb.com/title/tt0112431/,"2018-04-26 21:48:20",no,no,no,no
8,0,"The Back of Beyond",1954,http://www.icheckmovies.com/movies/the+back+of+beyond/,56,1,1,2,24,,http://www.imdb.com/title/tt0346557/,no,no,no,no,no
9,0,Backroads,1977,http://www.icheckmovies.com/movies/backroads/,65,2,1,1,26,,http://www.imdb.com/title/tt0075716/,no,no,no,no,no
10,0,"Bad Boy Bubby",1993,http://www.icheckmovies.com/movies/bad+boy+bubby/,1502,170,18,4,154,,http://www.imdb.com/title/tt0106341/,"2018-04-28 22:49:27",no,no,no,no
11,0,"Beneath Clouds",2002,http://www.icheckmovies.com/movies/beneath+clouds/,83,7,1,1,28,,http://www.imdb.com/title/tt0295876/,no,no,no,no,no
12,0,"The Big Steal",1990,http://www.icheckmovies.com/movies/the+big+steal-1990-1/,77,4,2,1,17,,http://www.imdb.com/title/tt0099138/,no,no,no,no,no
13,0,"Black Robe",1991,http://www.icheckmovies.com/movies/black+robe/,650,30,8,4,72,,http://www.imdb.com/title/tt0101465/,"2018-06-11 12:57:14",no,no,no,no
14,0,Bliss,1985,http://www.icheckmovies.com/movies/bliss/,124,7,1,1,29,,http://www.imdb.com/title/tt0088821/,no,no,no,no,no
15,0,"The Boys",1998,http://www.icheckmovies.com/movies/the+boys-1998/,107,8,1,1,28,,http://www.imdb.com/title/tt0139898/,no,no,no,no,no
16,0,"'Breaker' Morant",1980,http://www.icheckmovies.com/movies/breaker+morant/,1398,99,7,5,141,,http://www.imdb.com/title/tt0080310/,"2018-06-11 12:57:43",no,no,no,no
17,0,Caddie,1976,http://www.icheckmovies.com/movies/caddie/,46,0,0,1,19,,http://www.imdb.com/title/tt0074263/,no,no,no,no,no
18,0,"Careful, He Might Hear You",1983,http://www.icheckmovies.com/movies/careful+he+might+hear+you/,154,12,5,1,49,,http://www.imdb.com/title/tt0085295/,no,no,no,no,no
19,0,"The Cars That Ate Paris",1974,http://www.icheckmovies.com/movies/the+cars+that+ate+paris/,534,13,18,4,80,"Cars That Eat People",http://www.imdb.com/title/tt0071282/,no,no,no,no,no
20,0,"The Castle",1997,http://www.icheckmovies.com/movies/the+castle/,969,76,7,1,43,,http://www.imdb.com/title/tt0118826/,"2018-11-08 00:32:49",no,no,no,no
21,0,"The Chant of Jimmie Blacksmith",1978,http://www.icheckmovies.com/movies/the+chant+of+jimmie+blacksmith/,412,17,2,3,109,,http://www.imdb.com/title/tt0077318/,no,no,no,no,no
22,0,Chopper,2000,http://www.icheckmovies.com/movies/chopper/,2647,138,21,3,79,,http://www.imdb.com/title/tt0221073/,"2018-10-17 21:59:07",no,no,no,no
23,0,"The Club",1980,http://www.icheckmovies.com/movies/the+club-1980/,73,6,0,1,22,,http://www.imdb.com/title/tt0080546/,no,no,no,no,no
24,0,"Crocodile Dundee",1986,http://www.icheckmovies.com/movies/crocodile+dundee/,29008,337,202,5,116,,http://www.imdb.com/title/tt0090555/,"2018-10-17 01:41:33",no,no,no,no
25,0,Cunnamulla,2000,http://www.icheckmovies.com/movies/cunnamulla/,47,0,0,1,14,,http://www.imdb.com/title/tt0270902/,no,no,no,no,no
26,0,"Dead Calm",1989,http://www.icheckmovies.com/movies/dead+calm/,3072,87,22,3,96,,http://www.imdb.com/title/tt0097162/,"2018-04-28 23:30:45",no,no,no,no
27,0,"Dead Heart",1996,http://www.icheckmovies.com/movies/dead+heart/,31,2,0,1,23,,http://www.imdb.com/title/tt0116047/,no,no,no,no,no
28,0,"Death in Brunswick",1990,http://www.icheckmovies.com/movies/death+in+brunswick/,85,3,0,1,17,"Nothing to Lose",http://www.imdb.com/title/tt0101692/,no,no,no,no,no
29,0,"The Devil's Playground",1976,http://www.icheckmovies.com/movies/the+devils+playground/,140,6,2,1,39,,http://www.imdb.com/title/tt0074404/,no,no,no,no,no
30,0,"Dogs in Space",1986,http://www.icheckmovies.com/movies/dogs+in+space/,95,7,4,1,28,,http://www.imdb.com/title/tt0092904/,"2018-11-08 01:22:55",no,no,no,no
31,0,"Don's Party",1976,http://www.icheckmovies.com/movies/dons+party/,153,9,1,1,53,,http://www.imdb.com/title/tt0074422/,no,no,no,no,no
32,0,"Erskineville Kings",1999,http://www.icheckmovies.com/movies/erskineville+kings/,38,0,0,1,15,,http://www.imdb.com/title/tt0212936/,no,no,no,no,no
33,0,"Eureka Stockade",1949,http://www.icheckmovies.com/movies/eureka+stockade-1949/,29,0,0,1,21,,http://www.imdb.com/title/tt0041340/,no,no,no,no,no
34,0,"Evil Angels",1988,http://www.icheckmovies.com/movies/evil+angels/,522,19,2,1,83,"A Cry in the Dark",http://www.imdb.com/title/tt0094924/,no,no,no,no,no
35,0,"The F.J. Holden",1977,http://www.icheckmovies.com/movies/the+f.j.+holden/,36,1,2,1,18,,http://www.imdb.com/title/tt0076011/,no,no,no,no,no
36,0,"For the Term of His Natural Life",1927,http://www.icheckmovies.com/movies/for+the+term+of+his+natural+life-1927-1/,72,0,0,2,23,,http://www.imdb.com/title/tt0017899/,no,no,no,no,no
37,0,"40,000 Horsemen",1940,http://www.icheckmovies.com/movies/40000+horsemen/,48,0,1,2,18,"Forty Thousand Horsemen",http://www.imdb.com/title/tt0033307/,no,no,no,no,no
38,0,Gallipoli,1981,http://www.icheckmovies.com/movies/gallipoli/,3863,168,13,5,171,,http://www.imdb.com/title/tt0082432/,"2018-04-26 21:41:57",no,no,no,no
39,0,"The Getting of Wisdom",1977,http://www.icheckmovies.com/movies/the+getting+of+wisdom/,77,2,1,1,20,,http://www.imdb.com/title/tt0076079/,no,no,no,no,no
40,0,"Goodbye Paradise",1983,http://www.icheckmovies.com/movies/goodbye+paradise/,21,0,0,1,17,,http://www.imdb.com/title/tt0085612/,no,no,no,no,no
41,0,"Head On",1998,http://www.icheckmovies.com/movies/head+on/,159,8,6,1,39,,http://www.imdb.com/title/tt0138487/,no,no,no,no,no
42,0,"The Interview",1998,http://www.icheckmovies.com/movies/the+interview/,295,26,1,1,45,,http://www.imdb.com/title/tt0120714/,no,no,no,no,no
43,0,"Japanese Story",2003,http://www.icheckmovies.com/movies/japanese+story/,339,9,5,1,30,,http://www.imdb.com/title/tt0304229/,no,no,no,no,no
44,0,Jedda,1955,http://www.icheckmovies.com/movies/jedda/,71,1,5,2,26,,http://www.imdb.com/title/tt0048227/,no,no,no,no,no
45,0,Lantana,2001,http://www.icheckmovies.com/movies/lantana/,1175,57,19,4,88,,http://www.imdb.com/title/tt0259393/,no,no,no,no,no
46,0,"The Last Wave",1977,http://www.icheckmovies.com/movies/the+last+wave/,1412,95,9,3,175,,http://www.imdb.com/title/tt0076299/,no,no,no,no,no
47,0,"Letters to Ali",2004,http://www.icheckmovies.com/movies/letters+to+ali/,19,0,1,1,14,,http://www.imdb.com/title/tt0424235/,no,no,no,no,no
48,0,"The Lighthorsemen",1987,http://www.icheckmovies.com/movies/the+lighthorsemen/,69,3,1,1,15,,http://www.imdb.com/title/tt0093416/,"2018-11-08 01:23:03",no,no,no,no
49,0,"Little Fish",2005,http://www.icheckmovies.com/movies/little+fish/,392,11,5,1,31,,http://www.imdb.com/title/tt0382810/,no,no,no,no,no
