rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,19,Hanyo,1960,http://www.icheckmovies.com/movies/hanyo/,1055,85,17,6,187,"The Housemaid",http://www.imdb.com/title/tt0150980/,"2018-12-02 14:53:10",no,no,no,no
2,21,Obaltan,1961,http://www.icheckmovies.com/movies/obaltan/,175,11,1,4,86,"The Stray Bullet",http://www.imdb.com/title/tt0053577/,no,no,no,no,no
3,52,"Babodeuli haengjin",1975,http://www.icheckmovies.com/movies/babodeuli+haengjin/,62,2,0,3,31,"March of Fools",http://www.imdb.com/title/tt0398727/,no,no,no,no,no
4,8,"Jayu buin",1956,http://www.icheckmovies.com/movies/jayu+buin/,64,1,1,3,27,"Madame Freedom",http://www.imdb.com/title/tt0399221/,no,no,no,no,no
5,17,Mabu,1961,http://www.icheckmovies.com/movies/mabu/,67,2,1,3,32,"The Coachman",http://www.imdb.com/title/tt0232019/,no,no,no,no,no
6,46,"Byeoldeului gohyang",1974,http://www.icheckmovies.com/movies/byeoldeului+gohyang/,59,1,1,4,32,"The Stars Heavenly Home",http://www.imdb.com/title/tt0319126/,no,no,no,no,no
7,54,"Balambuleo joheun nal",1980,http://www.icheckmovies.com/movies/balambuleo+joheun+nal/,42,0,0,3,26,"A Windy, But Pleasant Day",http://www.imdb.com/title/tt0319027/,no,no,no,no,no
8,,"Salinui chueok",2003,http://www.icheckmovies.com/movies/salinui+chueok/,7437,1177,40,13,384,"Memories of Murder",http://www.imdb.com/title/tt0353969/,"2018-04-28 15:48:43",no,no,no,no
9,16,"Sarangbang sonnimgwa eomeoni",1961,http://www.icheckmovies.com/movies/sarangbang+sonnimgwa+eomeoni/,70,2,0,3,37,"My Mother and Her Guest",http://www.imdb.com/title/tt0311750/,no,no,no,no,no
10,43,"Yeong-jaui jeonseong shidae",1975,http://www.icheckmovies.com/movies/yeong-jaui+jeonseong+shidae/,48,1,2,2,21,,http://www.imdb.com/title/tt0418338/,no,no,no,no,no
11,58,"Babo seoneon",1983,http://www.icheckmovies.com/movies/babo+seoneon/,33,1,2,2,26,"Declaration of Fools",http://www.imdb.com/title/tt0134877/,no,no,no,no,no
12,82,Seopyeonje,1993,http://www.icheckmovies.com/movies/seopyeonje/,150,16,1,5,86,Sopyonje,http://www.imdb.com/title/tt0108192/,no,no,no,no,no
13,,"Cheongchun-eui sipjaro",1934,http://www.icheckmovies.com/movies/cheongchun-eui+sipjaro/,4,0,0,1,1,,http://www.imdb.com/title/tt2801980/,no,no,no,no,no
14,-13,Mimong,1936,http://www.icheckmovies.com/movies/mimong/,115,1,4,3,23,"Sweet Dream",http://www.imdb.com/title/tt2082346/,no,no,no,no,no
15,-12,"Jibeopneun cheonsa",1941,http://www.icheckmovies.com/movies/jibeopneun+cheonsa/,27,1,0,1,17,"Homeless Angel",http://www.imdb.com/title/tt0312794/,no,no,no,no,no
16,,"Ban-do-ui bom",1941,http://www.icheckmovies.com/movies/ban-do-ui+bom/,33,0,0,1,10,"Spring on the Korean Peninsula",http://www.imdb.com/title/tt3763958/,no,no,no,no,no
17,-13,"Jayu manse",1946,http://www.icheckmovies.com/movies/jayu+manse/,78,0,0,3,22,"Hurrah! For Freedom",http://www.imdb.com/title/tt0312834/,no,no,no,no,no
18,-12,"Maeumui gohyang",1949,http://www.icheckmovies.com/movies/maeumui+gohyang/,58,5,0,2,42,"A Hometown in Heart",http://www.imdb.com/title/tt2151544/,no,no,no,no,no
19,-12,"Eunmyeongui son",1954,http://www.icheckmovies.com/movies/eunmyeongui+son/,50,1,0,1,25,"The Hand of Destiny",http://www.imdb.com/title/tt0399019/,no,no,no,no,no
20,-11,Piagol,1955,http://www.icheckmovies.com/movies/piagol/,37,0,0,1,21,,http://www.imdb.com/title/tt0371877/,no,no,no,no,no
21,-8,"Shijibganeun nal",1956,http://www.icheckmovies.com/movies/shijibganeun+nal-1956/,37,1,0,1,17,"The Wedding Day",http://www.imdb.com/title/tt2151564/,no,no,no,no,no
22,-8,Don,1958,http://www.icheckmovies.com/movies/don-1958/,24,0,0,1,11,,http://www.imdb.com/title/tt2069986/,no,no,no,no,no
23,-8,Jiokhwa,1958,http://www.icheckmovies.com/movies/jiokhwa/,89,3,0,3,22,"Flower in Hell",http://www.imdb.com/title/tt0389052/,no,no,no,no,no
24,-6,"Romaenseu ppappa",1960,http://www.icheckmovies.com/movies/romaenseu+ppappa/,29,0,0,1,12,,http://www.imdb.com/title/tt0390436/,no,no,no,no,no
25,-6,"Park Sa-bang",1960,http://www.icheckmovies.com/movies/park+sa-bang/,30,0,1,1,14,"Mr Park",http://www.imdb.com/title/tt0371064/,no,no,no,no,no
26,-5,"Seong Chunhyang",1961,http://www.icheckmovies.com/movies/seong+chunhyang/,39,1,0,2,20,Chunhyang,http://www.imdb.com/title/tt0390466/,no,no,no,no,no
27,-3,"Samdeung gwajang",1961,http://www.icheckmovies.com/movies/samdeung+gwajang/,27,0,0,1,14,,http://www.imdb.com/title/tt0427810/,no,no,no,no,no
28,-1,"Seoului jibungmit",1961,http://www.icheckmovies.com/movies/seoului+jibungmit/,25,0,1,1,13,"Under Heaven in Seoul",http://www.imdb.com/title/tt0339648/,no,no,no,no,no
29,0,"Goryeo jang",1963,http://www.icheckmovies.com/movies/goryeo+jang/,22,1,0,1,21,"Burying Old Alive",http://www.imdb.com/title/tt0314119/,no,no,no,no,no
30,0,"Toraoji annun haebyong",1963,http://www.icheckmovies.com/movies/toraoji+annun+haebyong/,32,0,0,2,19,"Marine Battleground",http://www.imdb.com/title/tt0239594/,no,no,no,no,no
