rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Salinui chueok",2003,http://www.icheckmovies.com/movies/salinui+chueok/,7437,1177,40,13,384,"Memories of Murder",http://www.imdb.com/title/tt0353969/,"2018-04-28 15:48:43",no,no,no,no
2,0,"Injeong sajeong bol geot eobtda",1999,http://www.icheckmovies.com/movies/injeong+sajeong+bol+geot+eobtda/,183,7,3,2,40,"Nowhere to Hide",http://www.imdb.com/title/tt0223530/,no,no,no,no,no
3,0,"Babodeuli haengjin",1975,http://www.icheckmovies.com/movies/babodeuli+haengjin/,62,2,0,3,31,"March of Fools",http://www.imdb.com/title/tt0398727/,no,no,no,no,no
4,0,Bin-jip,2004,http://www.icheckmovies.com/movies/bin-jip/,5019,908,39,8,228,3-Iron,http://www.imdb.com/title/tt0423866/,"2018-04-26 21:51:35",no,no,no,no
5,0,"Daijiga umule pajinnal",1996,http://www.icheckmovies.com/movies/daijiga+umule+pajinnal/,198,11,4,4,59,"The Day a Pig Fell Into the Well",http://www.imdb.com/title/tt0116005/,no,no,no,no,no
6,0,"Woomuk-Baemi ui sarang",1990,http://www.icheckmovies.com/movies/woomuk-baemi+ui+sarang/,30,2,0,3,22,"Lovers in Woomuk-Baemi",http://www.imdb.com/title/tt0153930/,no,no,no,no,no
7,0,"Bakha satang",1999,http://www.icheckmovies.com/movies/bakha+satang/,612,79,3,3,95,"Peppermint Candy",http://www.imdb.com/title/tt0247613/,no,no,no,no,no
8,0,"Wang-ui namja",2005,http://www.icheckmovies.com/movies/wang-ui+namja/,390,32,2,1,47,"The King and the Clown",http://www.imdb.com/title/tt0492835/,no,no,no,no,no
9,0,"Boksuneun naui geot",2002,http://www.icheckmovies.com/movies/boksuneun+naui+geot/,4974,503,42,4,194,"Sympathy for Mr. Vengeance",http://www.imdb.com/title/tt0310775/,"2018-10-17 21:56:39",no,no,no,no
10,0,"Jukgeona hokeun nabbeugeona",2000,http://www.icheckmovies.com/movies/jukgeona+hokeun+nabbeugeona/,76,3,1,2,20,"Die Bad",http://www.imdb.com/title/tt0267622/,no,no,no,no,no
11,0,Hanyo,1960,http://www.icheckmovies.com/movies/hanyo/,1055,85,17,6,187,"The Housemaid",http://www.imdb.com/title/tt0150980/,"2018-12-02 14:53:10",no,no,no,no
12,0,"No. 3",1997,http://www.icheckmovies.com/movies/no.+3/,58,1,1,2,16,,http://www.imdb.com/title/tt0128371/,no,no,no,no,no
13,0,Songhwan,2003,http://www.icheckmovies.com/movies/songhwan/,54,3,0,2,44,Repatriation,http://www.imdb.com/title/tt0390425/,no,no,no,no,no
14,0,"Golae sanyang",1984,http://www.icheckmovies.com/movies/golae+sanyang/,17,0,0,2,18,,http://www.imdb.com/title/tt0297920/,no,no,no,no,no
15,0,"Babo seoneon",1983,http://www.icheckmovies.com/movies/babo+seoneon/,33,1,2,2,26,"Declaration of Fools",http://www.imdb.com/title/tt0134877/,no,no,no,no,no
16,0,"Gajokeui tansaeng",2006,http://www.icheckmovies.com/movies/gajokeui+tansaeng/,71,1,0,3,23,"Family Ties",http://www.imdb.com/title/tt0823462/,no,no,no,no,no
17,0,"Balambuleo joheun nal",1980,http://www.icheckmovies.com/movies/balambuleo+joheun+nal/,42,0,0,3,26,"A Windy, But Pleasant Day",http://www.imdb.com/title/tt0319027/,no,no,no,no,no
18,0,Banchikwang,2000,http://www.icheckmovies.com/movies/banchikwang/,171,3,3,2,29,"The Foul King",http://www.imdb.com/title/tt0261552/,no,no,no,no,no
19,0,"Chorok mulkogi",1997,http://www.icheckmovies.com/movies/chorok+mulkogi/,134,7,1,2,38,"Green Fish",http://www.imdb.com/title/tt0126838/,no,no,no,no,no
20,0,"Gongdong gyeongbi guyeok JSA",2000,http://www.icheckmovies.com/movies/gongdong+gyeongbi+guyeok+jsa/,1812,201,12,3,109,"J.S.A.: Joint Security Area",http://www.imdb.com/title/tt0260991/,no,no,no,no,no
21,0,Oldeuboi,2003,http://www.icheckmovies.com/movies/oldeuboi/,42168,6083,299,27,912,Oldboy,http://www.imdb.com/title/tt0364569/,"2018-04-26 21:51:13",no,no,no,no
22,0,"Gibbeun woori jolmeunnal",1987,http://www.icheckmovies.com/movies/gibbeun+woori+jolmeunnal/,27,0,0,1,11,"Our Sweet Days of Youth",http://www.imdb.com/title/tt0311206/,no,no,no,no,no
23,0,"Man chu",1966,http://www.icheckmovies.com/movies/man+chu/,12,0,1,1,13,"Late Autumn",http://www.imdb.com/title/tt0308548/,no,no,no,no,no
24,0,Arirang,1926,http://www.icheckmovies.com/movies/arirang-1926/,11,0,4,3,24,,http://www.imdb.com/title/tt0149706/,no,no,no,no,no
25,0,Tukabseu,1993,http://www.icheckmovies.com/movies/tukabseu/,36,0,0,1,13,"Two Cops",http://www.imdb.com/title/tt0108418/,no,no,no,no,no
26,0,Gilsoddeum,1986,http://www.icheckmovies.com/movies/gilsoddeum/,46,1,0,3,32,Gilsodom,http://www.imdb.com/title/tt0089205/,no,no,no,no,no
27,0,Mabu,1961,http://www.icheckmovies.com/movies/mabu/,67,2,1,3,32,"The Coachman",http://www.imdb.com/title/tt0232019/,no,no,no,no,no
28,0,Mandala,1981,http://www.icheckmovies.com/movies/mandala-1981/,94,7,0,4,71,,http://www.imdb.com/title/tt0082704/,no,no,no,no,no
29,0,"Waikiki beuladeoseu",2001,http://www.icheckmovies.com/movies/waikiki+beuladeoseu/,20,1,0,1,12,"Waikiki Brothers",http://www.imdb.com/title/tt0297462/,no,no,no,no,no
30,0,Chingoo,2001,http://www.icheckmovies.com/movies/chingoo/,301,14,3,2,36,Friend,http://www.imdb.com/title/tt0281718/,no,no,no,no,no
31,0,Gwoemul,2006,http://www.icheckmovies.com/movies/gwoemul/,8883,622,105,12,336,"The Host",http://www.imdb.com/title/tt0468492/,"2018-11-08 00:21:43",no,no,no,no
32,0,Paupjeonya,1990,http://www.icheckmovies.com/movies/paupjeonya/,16,0,0,2,19,"The Night Before the Strike",http://www.imdb.com/title/tt2172017/,no,no,no,no,no
33,0,"Go-yang-i-leul boo-tak-hae",2001,http://www.icheckmovies.com/movies/go-yang-i-leul+boo-tak-hae/,275,28,1,3,92,"Take Care of My Cat",http://www.imdb.com/title/tt0296658/,no,no,no,no,no
34,0,"Dharmaga tongjoguro kan kkadalgun",1989,http://www.icheckmovies.com/movies/dharmaga+tongjoguro+kan+kkadalgun/,289,28,3,6,143,"Why Has Bodhi-Dharma Left for the East?",http://www.imdb.com/title/tt0097195/,no,no,no,no,no
35,0,"Jayu buin",1956,http://www.icheckmovies.com/movies/jayu+buin/,64,1,1,3,27,"Madame Freedom",http://www.imdb.com/title/tt0399221/,no,no,no,no,no
36,0,Chugyeogja,2008,http://www.icheckmovies.com/movies/chugyeogja/,2789,343,18,1,150,"The Chaser",http://www.imdb.com/title/tt1190539/,no,no,no,no,no
37,0,"Gyeolhon iyagi",1992,http://www.icheckmovies.com/movies/gyeolhon+iyagi/,32,1,0,3,18,"Marriage Story",http://www.imdb.com/title/tt0107347/,no,no,no,no,no
38,0,"Keduldo urichurum",1990,http://www.icheckmovies.com/movies/keduldo+urichurum/,38,1,0,2,29,"The Black Republic",http://www.imdb.com/title/tt0102192/,no,no,no,no,no
39,0,"Byeoldeului gohyang",1974,http://www.icheckmovies.com/movies/byeoldeului+gohyang/,59,1,1,4,32,"The Stars Heavenly Home",http://www.imdb.com/title/tt0319126/,no,no,no,no,no
40,0,"Bomnaleun ganda",2001,http://www.icheckmovies.com/movies/bomnaleun+ganda/,106,5,1,1,33,"One Fine Spring Day",http://www.imdb.com/title/tt0295192/,no,no,no,no,no
41,0,"Palwolui Keuriseumaseu",1998,http://www.icheckmovies.com/movies/palwolui+keuriseumaseu/,197,13,2,3,61,"Christmas in August",http://www.imdb.com/title/tt0140825/,no,no,no,no,no
42,,Angae,1967,http://www.icheckmovies.com/movies/angae/,46,0,0,2,21,Mist,http://www.imdb.com/title/tt0325003/,no,no,no,no,no
43,0,Jiokhwa,1958,http://www.icheckmovies.com/movies/jiokhwa/,89,3,0,3,22,"Flower in Hell",http://www.imdb.com/title/tt0389052/,no,no,no,no,no
44,0,Tazza,2006,http://www.icheckmovies.com/movies/tazza/,142,6,2,1,19,"The War of Flower",http://www.imdb.com/title/tt0875025/,no,no,no,no,no
45,0,"Taegukgi hwinalrimyeo",2004,http://www.icheckmovies.com/movies/taegukgi+hwinalrimyeo/,3173,321,49,6,135,"Tae Guk Gi: The Brotherhood of War",http://www.imdb.com/title/tt0386064/,"2018-04-28 15:52:55",no,no,no,no
46,0,Cheob-sok,1997,http://www.icheckmovies.com/movies/cheob-sok/,38,2,0,1,13,"The Contact",http://www.imdb.com/title/tt0140914/,no,no,no,no,no
47,0,Pairan,2001,http://www.icheckmovies.com/movies/pairan/,298,36,1,1,48,,http://www.imdb.com/title/tt0289181/,no,no,no,no,no
48,0,"Kangwon-do ui him",1998,http://www.icheckmovies.com/movies/kangwon-do+ui+him/,147,10,2,3,51,"The Power of Kangwon Province",http://www.imdb.com/title/tt0156906/,no,no,no,no,no
49,0,"Gyeongmajang ganeun kil",1991,http://www.icheckmovies.com/movies/gyeongmajang+ganeun+kil/,63,3,1,2,24,"The Road to the Racetrack",http://www.imdb.com/title/tt0104655/,no,no,no,no,no
50,0,"Gipgo puleun bam",1985,http://www.icheckmovies.com/movies/gipgo+puleun+bam/,17,0,1,2,15,"The Deep Blue Night",http://www.imdb.com/title/tt0297915/,no,no,no,no,no
51,0,Obaltan,1961,http://www.icheckmovies.com/movies/obaltan/,175,11,1,4,86,"The Stray Bullet",http://www.imdb.com/title/tt0053577/,no,no,no,no,no
52,0,"Sarangbang sonnimgwa eomeoni",1961,http://www.icheckmovies.com/movies/sarangbang+sonnimgwa+eomeoni/,70,2,0,3,37,"My Mother and Her Guest",http://www.imdb.com/title/tt0311750/,no,no,no,no,no
53,0,Oasiseu,2002,http://www.icheckmovies.com/movies/oasiseu/,726,88,11,5,111,Oasis,http://www.imdb.com/title/tt0320193/,no,no,no,no,no
54,0,"Joheunnom nabbeunnom isanghannom",2008,http://www.icheckmovies.com/movies/joheunnom+nabbeunnom+isanghannom/,3078,286,24,1,154,"The Good, the Bad, the Weird",http://www.imdb.com/title/tt0901487/,no,no,no,no,no
55,0,Jibeuro,2002,http://www.icheckmovies.com/movies/jibeuro/,304,53,1,3,54,"The Way Home",http://www.imdb.com/title/tt0312841/,no,no,no,no,no
56,0,Chunhyangdyun,2000,http://www.icheckmovies.com/movies/chunhyangdyun/,233,15,3,5,81,Chunhyang,http://www.imdb.com/title/tt0245837/,no,no,no,no,no
57,0,Gagman,1989,http://www.icheckmovies.com/movies/gagman/,38,0,1,2,14,,http://www.imdb.com/title/tt0104314/,no,no,no,no,no
58,0,"Gonggongui jeog",2002,http://www.icheckmovies.com/movies/gonggongui+jeog/,198,13,1,1,25,"Public Enemy",http://www.imdb.com/title/tt0306909/,no,no,no,no,no
59,0,Gwilo,1967,http://www.icheckmovies.com/movies/gwilo/,32,0,0,2,18,"The Way Home",http://www.imdb.com/title/tt0308343/,no,no,no,no,no
60,0,"Geuddae geusaramdeul",2005,http://www.icheckmovies.com/movies/geuddae+geusaramdeul/,156,7,2,2,44,"The President's Last Bang",http://www.imdb.com/title/tt0445396/,no,no,no,no,no
61,0,Seopyeonje,1993,http://www.icheckmovies.com/movies/seopyeonje/,150,16,1,5,86,Sopyonje,http://www.imdb.com/title/tt0108192/,no,no,no,no,no
62,0,"Naui sarang naui shinbu",1990,http://www.icheckmovies.com/movies/naui+sarang+naui+shinbu/,20,1,0,3,18,"My Love, My Bride",http://www.imdb.com/title/tt0151708/,no,no,no,no,no
63,0,Iodo,1977,http://www.icheckmovies.com/movies/iodo/,90,3,3,2,41,"Io Island",http://www.imdb.com/title/tt0151073/,no,no,no,no,no
64,0,"Janggunui adeul",1990,http://www.icheckmovies.com/movies/janggunui+adeul/,38,1,0,2,20,"General's Son",http://www.imdb.com/title/tt0099240/,no,no,no,no,no
65,0,"Ggobangdongne saramdeul",1982,http://www.icheckmovies.com/movies/ggobangdongne+saramdeul/,46,1,0,3,26,"People of the Slum",http://www.imdb.com/title/tt0297913/,no,no,no,no,no
66,0,"Nageuneneun kileseodo swiji anhneunda",1987,http://www.icheckmovies.com/movies/nageuneneun+kileseodo+swiji+anhneunda/,39,1,0,2,28,"The Man with Three Coffins",http://www.imdb.com/title/tt0093597/,no,no,no,no,no
67,0,"Beomjweui jaeguseong",2004,http://www.icheckmovies.com/movies/beomjweui+jaeguseong/,86,4,0,1,16,"The Big Swindle",http://www.imdb.com/title/tt0402842/,no,no,no,no,no
68,0,"Sampoganeun kil",1975,http://www.icheckmovies.com/movies/sampoganeun+kil/,69,1,0,4,35,,http://www.imdb.com/title/tt0307406/,no,no,no,no,no
69,0,"Yeogo goedam",1998,http://www.icheckmovies.com/movies/yeogo+goedam/,248,6,7,2,39,"Whispering Corridors",http://www.imdb.com/title/tt0241073/,no,no,no,no,no
70,0,"Yeogo goedam II",1999,http://www.icheckmovies.com/movies/yeogo+goedam+ii/,257,11,9,3,60,"Memento Mori",http://www.imdb.com/title/tt0266075/,no,no,no,no,no
71,0,Swiri,1999,http://www.icheckmovies.com/movies/swiri/,425,8,17,3,42,,http://www.imdb.com/title/tt0192657/,no,no,no,no,no
72,0,"Yeong-jaui jeonseong shidae",1975,http://www.icheckmovies.com/movies/yeong-jaui+jeonseong+shidae/,48,1,2,2,21,,http://www.imdb.com/title/tt0418338/,no,no,no,no,no
73,0,"Flandersui gae",2000,http://www.icheckmovies.com/movies/flandersui+gae/,503,36,4,1,72,"Barking Dogs Never Bite",http://www.imdb.com/title/tt0269743/,no,no,no,no,no
74,0,Hyuil,1968,http://www.icheckmovies.com/movies/hyuil/,53,3,1,2,33,,http://www.imdb.com/title/tt1941438/,no,no,no,no,no
75,0,"Najeun moksori",1995,http://www.icheckmovies.com/movies/najeun+moksori/,28,1,1,3,18,"The Murmuring",http://www.imdb.com/title/tt0374083/,no,no,no,no,no
76,0,"Maeui gyedan",1964,http://www.icheckmovies.com/movies/maeui+gyedan/,35,1,0,2,24,"The Evil Stairs",http://www.imdb.com/title/tt0298045/,no,no,no,no,no
77,0,Mimong,1936,http://www.icheckmovies.com/movies/mimong/,115,1,4,3,23,"Sweet Dream",http://www.imdb.com/title/tt2082346/,no,no,no,no,no
78,0,"Misulgwan yup dongmulwon",1998,http://www.icheckmovies.com/movies/misulgwan+yup+dongmulwon/,44,5,0,1,21,"Art Museum by the Zoo",http://www.imdb.com/title/tt0288621/,no,no,no,no,no
79,0,Sechinku,1996,http://www.icheckmovies.com/movies/sechinku/,6,0,0,1,10,"Three Friends",http://www.imdb.com/title/tt0117578/,no,no,no,no,no
80,0,Ag-o,1996,http://www.icheckmovies.com/movies/ag-o/,134,0,1,2,22,Crocodile,http://www.imdb.com/title/tt0296492/,no,no,no,no,no
81,0,Milyang,2007,http://www.icheckmovies.com/movies/milyang/,809,85,8,6,129,"Secret Sunshine",http://www.imdb.com/title/tt0817225/,"2018-12-01 10:09:53",no,no,no,no
82,0,"Janghwa, Hongryeon",2003,http://www.icheckmovies.com/movies/janghwa+hongryeon/,5078,467,76,5,210,"A Tale of Two Sisters",http://www.imdb.com/title/tt0365376/,"2018-10-17 22:17:50",no,no,no,no
83,0,Haepi-endeu,1999,http://www.icheckmovies.com/movies/haepi-endeu/,97,6,0,1,15,"Happy End",http://www.imdb.com/title/tt0220507/,no,no,no,no,no
84,0,"Geomeuna dange huina baekseong",1996,http://www.icheckmovies.com/movies/geomeuna+dange+huina+baekseong/,5,0,0,1,10,,http://www.imdb.com/title/tt0286666/,no,no,no,no,no
85,0,"Gameui beobjig",1994,http://www.icheckmovies.com/movies/gameui+beobjig/,9,0,0,1,10,,http://www.imdb.com/title/tt0297907/,no,no,no,no,no
86,0,"Mai jeneoreisheon",2004,http://www.icheckmovies.com/movies/mai+jeneoreisheon/,9,0,1,1,9,"My Generation",http://www.imdb.com/title/tt0439716/,no,no,no,no,no
87,0,"Mang zhong",2005,http://www.icheckmovies.com/movies/mang+zhong/,13,1,0,1,15,"Grain in Ear",http://www.imdb.com/title/tt0781421/,no,no,no,no,no
88,0,"Saenghwalui balgyeon",2002,http://www.icheckmovies.com/movies/saenghwalui+balgyeon/,175,24,0,3,54,"On the Occasion of Remembering the Turning Gate",http://www.imdb.com/title/tt0313550/,no,no,no,no,no
89,0,"Suchwiin bulmyeong",2001,http://www.icheckmovies.com/movies/suchwiin+bulmyeong/,274,20,5,2,71,"Address Unknown",http://www.imdb.com/title/tt0284815/,"2018-11-08 00:27:36",no,no,no,no
90,0,"Yeopgijeogin geunyeo",2001,http://www.icheckmovies.com/movies/yeopgijeogin+geunyeo/,4115,527,74,4,127,"My Sassy Girl",http://www.imdb.com/title/tt0293715/,"2018-04-28 15:52:44",no,no,no,no
91,0,"Jigureul jikyeora!",2003,http://www.icheckmovies.com/movies/jigureul+jikyeoraexclamation/,692,52,11,4,88,"Save the Green Planet!",http://www.imdb.com/title/tt0354668/,no,no,no,no,no
92,0,"Yongseobadji mothan ja",2005,http://www.icheckmovies.com/movies/yongseobadji+mothan+ja/,37,0,1,1,14,"The Unforgiven",http://www.imdb.com/title/tt0499274/,no,no,no,no,no
93,0,Hwabun,1972,http://www.icheckmovies.com/movies/hwabun/,30,1,1,2,19,"The Pollen of Flowers",http://www.imdb.com/title/tt2171927/,no,no,no,no,no
94,0,"Baramnan gajok",2003,http://www.icheckmovies.com/movies/baramnan+gajok/,117,4,4,3,25,"A Good Lawyer's Wife",http://www.imdb.com/title/tt0372782/,no,no,no,no,no
95,0,"Sanggye-dong olrimpic",1988,http://www.icheckmovies.com/movies/sanggye-dong+olrimpic/,55,1,0,1,10,"Sanggyedong Olympic",http://www.imdb.com/title/tt2175881/,no,no,no,no,no
96,0,Pong,1986,http://www.icheckmovies.com/movies/pong/,34,0,1,1,15,Mulberry,http://www.imdb.com/title/tt0271121/,no,no,no,no,no
97,0,"Tian xia di yi quan",1972,http://www.icheckmovies.com/movies/tian+xia+di+yi+quan/,784,31,4,5,83,"Five Fingers of Death",http://www.imdb.com/title/tt0070800/,no,no,no,no,no
98,0,Gaetmaeul,1965,http://www.icheckmovies.com/movies/gaetmaeul/,57,1,1,2,25,"Seashore Village",http://www.imdb.com/title/tt0329109/,no,no,no,no,no
99,0,"Chilsu wa Mansu",1988,http://www.icheckmovies.com/movies/chilsu+wa+mansu/,74,2,2,4,34,"Chilsu and Mansu",http://www.imdb.com/title/tt0150113/,no,no,no,no,no
100,0,"Uli hakgyo",2006,http://www.icheckmovies.com/movies/uli+hakgyo/,13,0,1,1,10,"Our School",http://www.imdb.com/title/tt2111474/,no,no,no,no,no
