rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Afrita hanem",1949,http://www.icheckmovies.com/movies/afrita+hanem/,36,0,0,1,14,"Little Miss Devil",http://www.imdb.com/title/tt0297707/,no,no,no,no,no
2,0,"An American in Paris",1951,http://www.icheckmovies.com/movies/an+american+in+paris/,8040,315,79,17,334,,http://www.imdb.com/title/tt0043278/,"2018-04-26 21:31:06",no,no,no,no
3,0,"Anchors Aweigh",1945,http://www.icheckmovies.com/movies/anchors+aweigh/,1211,55,5,3,93,,http://www.imdb.com/title/tt0037514/,no,no,no,no,no
4,0,Ansiedad,1953,http://www.icheckmovies.com/movies/ansiedad/,12,0,0,1,8,Anxiety,http://www.imdb.com/title/tt0044365/,no,no,no,no,no
5,0,Applause,1929,http://www.icheckmovies.com/movies/applause/,370,16,1,4,71,,http://www.imdb.com/title/tt0019644/,no,no,no,no,no
6,0,"The Band Wagon",1953,http://www.icheckmovies.com/movies/the+band+wagon/,2764,172,28,14,295,,http://www.imdb.com/title/tt0045537/,"2018-06-11 12:54:34",no,no,no,no
7,0,Cabaret,1972,http://www.icheckmovies.com/movies/cabaret/,12615,862,80,22,471,,http://www.imdb.com/title/tt0068327/,"2018-06-11 12:57:59",no,no,no,no
8,0,"Cabin in the Sky",1943,http://www.icheckmovies.com/movies/cabin+in+the+sky/,487,29,5,2,95,,http://www.imdb.com/title/tt0035703/,"2018-04-28 23:19:12",no,no,no,no
9,0,"Calamity Jane",1953,http://www.icheckmovies.com/movies/calamity+jane/,1011,47,12,3,101,,http://www.imdb.com/title/tt0045591/,"2018-10-17 21:57:51",no,no,no,no
10,0,"Car Wash",1976,http://www.icheckmovies.com/movies/car+wash/,488,14,14,1,59,,http://www.imdb.com/title/tt0074281/,"2018-11-08 01:17:26",no,no,no,no
11,0,"Carmen Jones",1954,http://www.icheckmovies.com/movies/carmen+jones/,1130,35,18,7,130,,http://www.imdb.com/title/tt0046828/,"2018-04-26 21:32:05",no,no,no,no
12,0,Carousel,1956,http://www.icheckmovies.com/movies/carousel/,692,20,25,1,60,,http://www.imdb.com/title/tt0049055/,no,no,no,no,no
13,0,Cavalcade,1933,http://www.icheckmovies.com/movies/cavalcade/,900,7,49,4,92,,http://www.imdb.com/title/tt0023876/,"2018-11-26 20:55:29",no,no,no,no
14,0,Chicago,2002,http://www.icheckmovies.com/movies/chicago/,38559,1849,478,8,337,,http://www.imdb.com/title/tt0299658/,"2018-04-26 21:51:01",no,no,no,no
15,0,"Come on George!",1939,http://www.icheckmovies.com/movies/come+on+georgeexclamation/,33,0,0,1,12,,http://www.imdb.com/title/tt0031169/,no,no,no,no,no
16,0,"Cover Girl",1944,http://www.icheckmovies.com/movies/cover+girl/,757,31,11,3,83,,http://www.imdb.com/title/tt0036723/,no,no,no,no,no
17,0,"Dancer in the Dark",2000,http://www.icheckmovies.com/movies/dancer+in+the+dark/,13034,1615,259,9,400,,http://www.imdb.com/title/tt0168629/,"2018-04-28 15:56:36",no,no,no,no
18,0,"Les demoiselles de Rochefort",1967,http://www.icheckmovies.com/movies/les+demoiselles+de+rochefort/,2126,269,20,11,252,"The Young Girls of Rochefort",http://www.imdb.com/title/tt0062873/,"2018-11-18 19:00:02",no,no,no,no
19,0,"Dil Se..",1998,http://www.icheckmovies.com/movies/dil+se../,421,32,8,2,44,,http://www.imdb.com/title/tt0164538/,no,no,no,no,no
20,0,"Die 3 Groschen-Oper",1931,http://www.icheckmovies.com/movies/die+3+groschen-oper/,684,45,3,6,133,"The 3 Penny Opera",http://www.imdb.com/title/tt0021818/,no,no,no,no,no
21,0,"Easter Parade",1948,http://www.icheckmovies.com/movies/easter+parade/,1232,56,7,1,117,,http://www.imdb.com/title/tt0040308/,no,no,no,no,no
22,0,Evergreen,1934,http://www.icheckmovies.com/movies/evergreen/,92,4,2,2,38,,http://www.imdb.com/title/tt0025094/,no,no,no,no,no
23,0,"Flying Down to Rio",1933,http://www.icheckmovies.com/movies/flying+down+to+rio/,533,12,6,2,79,,http://www.imdb.com/title/tt0024025/,no,no,no,no,no
24,0,"Footlight Parade",1933,http://www.icheckmovies.com/movies/footlight+parade/,1290,88,8,5,184,,http://www.imdb.com/title/tt0024028/,"2018-11-25 23:32:05",no,no,no,no
25,0,Footloose,1984,http://www.icheckmovies.com/movies/footloose/,7737,223,104,1,113,,http://www.imdb.com/title/tt0087277/,no,no,no,no,no
26,0,"42nd Street",1933,http://www.icheckmovies.com/movies/42nd+street/,3778,152,21,11,278,,http://www.imdb.com/title/tt0024034/,"2018-11-08 00:21:57",no,no,no,no
27,0,"Funny Face",1957,http://www.icheckmovies.com/movies/funny+face/,5313,326,65,5,183,,http://www.imdb.com/title/tt0050419/,no,no,no,no,no
28,0,"Funny Girl",1968,http://www.icheckmovies.com/movies/funny+girl/,4265,242,35,8,194,,http://www.imdb.com/title/tt0062994/,"2018-11-27 15:39:36",no,no,no,no
29,0,"The Gay Divorcee",1934,http://www.icheckmovies.com/movies/the+gay+divorcee/,1460,104,6,5,155,,http://www.imdb.com/title/tt0025164/,no,no,no,no,no
30,0,"Gentlemen Prefer Blondes",1953,http://www.icheckmovies.com/movies/gentlemen+prefer+blondes/,8270,421,41,10,263,,http://www.imdb.com/title/tt0045810/,"2018-04-26 21:31:41",no,no,no,no
31,0,"The Girl Can't Help It",1956,http://www.icheckmovies.com/movies/the+girl+cant+help+it/,793,38,6,6,96,,http://www.imdb.com/title/tt0049263/,no,no,no,no,no
32,0,"Gold Diggers of 1933",1933,http://www.icheckmovies.com/movies/gold+diggers+of+1933/,2480,208,17,11,271,,http://www.imdb.com/title/tt0024069/,"2018-11-19 18:08:37",no,no,no,no
33,0,"Golden Eighties",1986,http://www.icheckmovies.com/movies/golden+eighties/,70,1,3,1,25,,http://www.imdb.com/title/tt0092219/,no,no,no,no,no
34,0,Grease,1978,http://www.icheckmovies.com/movies/grease/,70158,2205,660,10,377,,http://www.imdb.com/title/tt0077631/,"2018-04-26 21:40:59",no,no,no,no
35,0,"Guys and Dolls",1955,http://www.icheckmovies.com/movies/guys+and+dolls/,4090,146,24,6,158,,http://www.imdb.com/title/tt0048140/,"2018-10-17 22:11:39",no,no,no,no
36,0,Hallelujah,1929,http://www.icheckmovies.com/movies/hallelujah-1929-1/,419,21,6,3,117,,http://www.imdb.com/title/tt0019959/,no,no,no,no,no
37,0,"A Hard Day's Night",1964,http://www.icheckmovies.com/movies/a+hard+days+night/,13833,862,72,19,374,,http://www.imdb.com/title/tt0058182/,"2018-04-26 21:36:01",no,no,no,no
38,0,"The Harder They Come",1972,http://www.icheckmovies.com/movies/the+harder+they+come/,1490,82,10,5,136,,http://www.imdb.com/title/tt0070155/,"2018-04-26 21:39:10",no,no,no,no
39,0,"High School Musical",2006,http://www.icheckmovies.com/movies/high+school+musical/,10952,98,436,1,75,,http://www.imdb.com/title/tt0475293/,no,no,no,no,no
40,0,"Holiday Inn",1942,http://www.icheckmovies.com/movies/holiday+inn/,1374,74,7,1,95,,http://www.imdb.com/title/tt0034862/,no,no,no,no,no
41,0,"8 femmes",2002,http://www.icheckmovies.com/movies/8+femmes/,3032,184,35,2,128,"8 Women",http://www.imdb.com/title/tt0283832/,"2018-11-08 00:23:38",no,no,no,no
42,0,"It's Always Fair Weather",1955,http://www.icheckmovies.com/movies/its+always+fair+weather/,487,36,3,3,115,,http://www.imdb.com/title/tt0048216/,no,no,no,no,no
