rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"The Adventures of Priscilla, Queen of the Desert",1994,http://www.icheckmovies.com/movies/the+adventures+of+priscilla+queen+of+the+desert/,8939,586,44,5,216,,http://www.imdb.com/title/tt0109045/,"2018-04-26 21:48:47",no,no,no,no
2,,Badlands,1973,http://www.icheckmovies.com/movies/badlands/,11090,1262,47,20,519,,http://www.imdb.com/title/tt0069762/,"2018-04-26 21:38:45",no,no,no,no
3,,"El perro",2004,http://www.icheckmovies.com/movies/el+perro/,373,26,5,3,51,"Bombón: El Perro",http://www.imdb.com/title/tt0420548/,no,no,no,no,no
4,,"Bonnie and Clyde",1967,http://www.icheckmovies.com/movies/bonnie+and+clyde/,22311,1408,68,27,675,,http://www.imdb.com/title/tt0061418/,"2018-04-26 21:37:03",no,no,no,no
5,,"Boys on the Side",1995,http://www.icheckmovies.com/movies/boys+on+the+side/,504,20,4,0,28,,http://www.imdb.com/title/tt0112571/,no,no,no,no,no
6,,"Bring Me the Head of Alfredo Garcia",1974,http://www.icheckmovies.com/movies/bring+me+the+head+of+alfredo+garcia/,3206,331,37,8,240,,http://www.imdb.com/title/tt0071249/,"2018-04-26 21:39:27",no,no,no,no
7,,"Broken Flowers",2005,http://www.icheckmovies.com/movies/broken+flowers/,8407,554,93,1,157,,http://www.imdb.com/title/tt0412019/,"2018-11-08 00:36:59",no,no,no,no
8,,"The Brown Bunny",2003,http://www.icheckmovies.com/movies/the+brown+bunny/,1113,46,82,3,73,,http://www.imdb.com/title/tt0330099/,no,no,no,no,no
9,,"Butterfly Kiss",1995,http://www.icheckmovies.com/movies/butterfly+kiss/,94,8,3,0,20,"Killer on the Road",http://www.imdb.com/title/tt0112604/,no,no,no,no,no
10,,"Bye Bye Brasil",1980,http://www.icheckmovies.com/movies/bye+bye+brasil/,249,19,2,3,83,"Bye Bye Brazil",http://www.imdb.com/title/tt0080482/,no,no,no,no,no
11,,"Le camion",1977,http://www.icheckmovies.com/movies/le+camion/,72,3,2,1,64,"The Lorry",http://www.imdb.com/title/tt0075799/,no,no,no,no,no
12,,"Candy Mountain",1987,http://www.icheckmovies.com/movies/candy+mountain/,76,1,2,1,27,,http://www.imdb.com/title/tt0092719/,no,no,no,no,no
13,,"The Cannonball Run",1981,http://www.icheckmovies.com/movies/the+cannonball+run/,2779,69,41,1,62,,http://www.imdb.com/title/tt0082136/,"2018-11-08 01:18:55",no,no,no,no
14,,"Catch Us If You Can",1965,http://www.icheckmovies.com/movies/catch+us+if+you+can/,45,1,0,0,27,"Having a Wild Weekend",http://www.imdb.com/title/tt0059258/,no,no,no,no,no
15,,"Á köldum klaka",1995,http://www.icheckmovies.com/movies/a+koldum+klaka/,82,8,1,0,36,,http://www.imdb.com/title/tt0109028/,no,no,no,no,no
16,,"Caro diario",1993,http://www.icheckmovies.com/movies/caro+diario/,1114,76,11,7,131,"Dear Diary",http://www.imdb.com/title/tt0109382/,no,no,no,no,no
17,,Detour,1945,http://www.icheckmovies.com/movies/detour/,3176,235,21,12,256,,http://www.imdb.com/title/tt0037638/,"2018-10-17 22:06:10",no,no,no,no
18,,"Drugstore Cowboy",1989,http://www.icheckmovies.com/movies/drugstore+cowboy/,4770,269,22,4,170,,http://www.imdb.com/title/tt0097240/,"2018-06-11 13:01:09",no,no,no,no
19,,Duel,1971,http://www.icheckmovies.com/movies/duel/,7090,483,29,2,234,,http://www.imdb.com/title/tt0067023/,"2018-01-31 09:30:56",no,no,no,no
20,,"Easy Rider",1969,http://www.icheckmovies.com/movies/easy+rider/,17339,1015,175,16,485,,http://www.imdb.com/title/tt0064276/,"2018-01-31 09:27:10",no,no,no,no
21,,Exils,2004,http://www.icheckmovies.com/movies/exils/,200,23,3,0,33,Exiles,http://www.imdb.com/title/tt0400420/,no,no,no,no,no
22,,"Familia rodante",2004,http://www.icheckmovies.com/movies/familia+rodante/,149,1,1,1,25,"Rolling Family",http://www.imdb.com/title/tt0359254/,no,no,no,no,no
23,,"Five Easy Pieces",1970,http://www.icheckmovies.com/movies/five+easy+pieces/,5555,404,36,13,341,,http://www.imdb.com/title/tt0065724/,"2018-06-11 13:01:59",no,no,no,no
