rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Aelita,1924,http://www.icheckmovies.com/movies/aelita/,500,21,9,4,80,"Aelita: Queen of Mars",http://www.imdb.com/title/tt0014646/,"2018-10-17 21:20:38",no,no,no,no
2,,Alien,1979,http://www.icheckmovies.com/movies/alien/,78748,6748,248,27,1208,,http://www.imdb.com/title/tt0078748/,"2018-01-10 16:55:57",no,no,no,no
3,,"Alphaville, une étrange aventure de Lemmy Caution",1965,http://www.icheckmovies.com/movies/alphaville+une+etrange+aventure+de+lemmy+caution/,5222,379,111,14,319,Alphaville,http://www.imdb.com/title/tt0058898/,"2018-10-29 22:09:42",no,no,no,no
4,,"Altered States",1980,http://www.icheckmovies.com/movies/altered+states/,3883,285,59,5,222,,http://www.imdb.com/title/tt0080360/,"2018-10-17 21:52:21",no,no,no,no
5,,Avatar,2009,http://www.icheckmovies.com/movies/avatar/,106148,4439,3165,15,651,,http://www.imdb.com/title/tt0499549/,"2018-04-26 21:53:10",no,no,no,no
6,,"Back to the Future",1985,http://www.icheckmovies.com/movies/back+to+the+future/,117383,10229,254,23,1054,,http://www.imdb.com/title/tt0088763/,"2018-01-10 16:55:39",no,no,no,no
7,,"The Beast from 20,000 Fathoms",1953,http://www.icheckmovies.com/movies/the+beast+from+20000+fathoms/,880,21,16,3,95,,http://www.imdb.com/title/tt0045546/,"2018-10-17 21:54:41",no,no,no,no
8,,"Blade Runner",1982,http://www.icheckmovies.com/movies/blade+runner/,67283,7104,602,30,1261,,http://www.imdb.com/title/tt0083658/,"2018-01-10 16:58:10",no,no,no,no
9,,"Born in Flames",1983,http://www.icheckmovies.com/movies/born+in+flames/,237,14,9,2,67,,http://www.imdb.com/title/tt0085267/,no,no,no,no,no
10,,"A Boy and His Dog",1975,http://www.icheckmovies.com/movies/a+boy+and+his+dog/,2305,134,46,3,130,,http://www.imdb.com/title/tt0072730/,"2018-10-17 21:57:07",no,no,no,no
11,,Brazil,1985,http://www.icheckmovies.com/movies/brazil/,26267,3111,320,22,752,,http://www.imdb.com/title/tt0088846/,"2018-04-26 21:43:52",no,no,no,no
12,,"The Brother from Another Planet",1984,http://www.icheckmovies.com/movies/the+brother+from+another+planet/,593,26,6,1,80,,http://www.imdb.com/title/tt0087004/,no,no,no,no,no
13,,"The Cabin in the Woods",2012,http://www.icheckmovies.com/movies/the+cabin+in+the+woods/,29579,2139,500,4,482,,http://www.imdb.com/title/tt1259521/,"2018-10-17 01:20:20",no,no,no,no
14,,"A Clockwork Orange",1971,http://www.icheckmovies.com/movies/a+clockwork+orange/,82860,9654,770,33,1272,,http://www.imdb.com/title/tt0066921/,"2018-01-10 16:56:40",no,no,no,no
15,,"Close Encounters of the Third Kind",1977,http://www.icheckmovies.com/movies/close+encounters+of+the+third+kind/,32244,1611,226,22,563,,http://www.imdb.com/title/tt0075860/,"2018-04-26 21:40:37",no,no,no,no
16,,"Colossus: The Forbin Project",1970,http://www.icheckmovies.com/movies/colossus+the+forbin+project/,438,43,2,1,77,"The Day the World Changed Hands",http://www.imdb.com/title/tt0064177/,"2018-11-08 01:12:44",no,no,no,no
17,,"The Damned",1962,http://www.icheckmovies.com/movies/the+damned/,358,21,5,2,107,"These Are the Damned",http://www.imdb.com/title/tt0056576/,no,no,no,no,no
18,,"Dark City",1998,http://www.icheckmovies.com/movies/dark+city/,16723,1580,119,5,344,,http://www.imdb.com/title/tt0118929/,"2018-04-28 11:47:28",no,no,no,no
19,,"Dark Star",1974,http://www.icheckmovies.com/movies/dark+star/,2949,174,85,7,164,,http://www.imdb.com/title/tt0069945/,"2018-04-28 22:52:35",no,no,no,no
20,,"The Day the Earth Stood Still",1951,http://www.icheckmovies.com/movies/the+day+the+earth+stood+still/,16562,864,85,13,400,,http://www.imdb.com/title/tt0043456/,"2018-04-26 21:31:10",no,no,no,no
21,,"Destination Moon",1950,http://www.icheckmovies.com/movies/destination+moon/,320,7,6,1,65,,http://www.imdb.com/title/tt0042393/,"2018-11-08 01:06:21",no,no,no,no
22,,"District 9",2009,http://www.icheckmovies.com/movies/district+9/,81002,5931,942,9,548,,http://www.imdb.com/title/tt1136608/,"2018-04-26 21:53:16",no,no,no,no
23,,Dune,1984,http://www.icheckmovies.com/movies/dune/,10927,488,278,3,202,,http://www.imdb.com/title/tt0087182/,"2018-01-31 09:32:27",no,no,no,no
24,,"Enemy Mine",1985,http://www.icheckmovies.com/movies/enemy+mine/,1714,95,25,1,57,,http://www.imdb.com/title/tt0089092/,"2018-11-08 01:21:59",no,no,no,no
25,,"E.T. the Extra-Terrestrial",1982,http://www.icheckmovies.com/movies/e.t.+the+extra-terrestrial/,94683,3109,574,27,758,,http://www.imdb.com/title/tt0083866/,"2018-04-26 21:42:21",no,no,no,no
