rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Across the Wide Missouri",1951,http://www.icheckmovies.com/movies/across+the+wide+missouri/,132,1,1,1,43,,http://www.imdb.com/title/tt0043262/,no,no,no,no,no
2,,"O Dragão da Maldade contra o Santo Guerreiro",1969,http://www.icheckmovies.com/movies/o+dragao+da+maldade+contra+o+santo+guerreiro/,434,33,14,7,140,"Antonio das Mortes",http://www.imdb.com/title/tt0064256/,no,no,no,no,no
3,,Apache,1954,http://www.icheckmovies.com/movies/apache/,331,5,2,2,63,,http://www.imdb.com/title/tt0046719/,no,no,no,no,no
4,,"The Battle at Elderbush Gulch",1913,http://www.icheckmovies.com/movies/the+battle+at+elderbush+gulch/,346,3,10,2,55,"The Battle of Elderbush Gulch",http://www.imdb.com/title/tt0003662/,no,no,no,no,no
5,,"The Beguiled",1971,http://www.icheckmovies.com/movies/the+beguiled/,1072,71,6,2,128,,http://www.imdb.com/title/tt0066819/,"2018-11-08 00:24:26",no,no,no,no
6,,"The Big Sky",1952,http://www.icheckmovies.com/movies/the+big+sky/,649,23,5,5,126,,http://www.imdb.com/title/tt0044419/,no,no,no,no,no
7,,"The Big Trail",1930,http://www.icheckmovies.com/movies/the+big+trail/,407,26,1,4,103,,http://www.imdb.com/title/tt0020691/,"2018-10-17 21:55:43",no,no,no,no
8,,"Broken Arrow",1950,http://www.icheckmovies.com/movies/broken+arrow-1950/,530,21,2,1,114,,http://www.imdb.com/title/tt0042286/,no,no,no,no,no
9,,"Quién sabe?",1967,http://www.icheckmovies.com/movies/quien+sabequestion/,575,42,8,3,76,"A Bullet for the General",http://www.imdb.com/title/tt0061429/,no,no,no,no,no
10,,"Butch Cassidy and the Sundance Kid",1969,http://www.icheckmovies.com/movies/butch+cassidy+and+the+sundance+kid/,28451,2268,116,22,667,,http://www.imdb.com/title/tt0064115/,"2018-04-26 21:37:32",no,no,no,no
11,,"Calamity Jane",1953,http://www.icheckmovies.com/movies/calamity+jane/,1011,47,12,3,101,,http://www.imdb.com/title/tt0045591/,"2018-10-17 21:57:51",no,no,no,no
12,,"Comanche Station",1960,http://www.icheckmovies.com/movies/comanche+station/,482,20,2,1,87,,http://www.imdb.com/title/tt0053729/,no,no,no,no,no
13,,Cowboy,1958,http://www.icheckmovies.com/movies/cowboy/,164,3,3,1,49,,http://www.imdb.com/title/tt0051496/,"2018-11-08 01:08:53",no,no,no,no
14,,"Dances with Wolves",1990,http://www.icheckmovies.com/movies/dances+with+wolves/,36504,1574,282,15,508,,http://www.imdb.com/title/tt0099348/,"2018-04-26 21:46:27",no,no,no,no
15,,"Day of the Outlaw",1959,http://www.icheckmovies.com/movies/day+of+the+outlaw/,402,55,1,4,125,,http://www.imdb.com/title/tt0052724/,"2018-10-17 22:03:14",no,no,no,no
