rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"The Birth of a Nation",1915,http://www.icheckmovies.com/movies/the+birth+of+a+nation/,8327,161,266,21,384,,http://www.imdb.com/title/tt0004972/,"2018-06-09 19:24:58",no,no,no,no
2,,"The Battle of the Somme",1916,http://www.icheckmovies.com/movies/the+battle+of+the+somme/,213,4,0,4,47,,http://www.imdb.com/title/tt0006405/,no,no,no,no,no
3,,"The Big Parade",1925,http://www.icheckmovies.com/movies/the+big+parade/,1731,173,11,14,241,,http://www.imdb.com/title/tt0015624/,"2018-04-26 21:26:22",no,no,no,yes
4,,"The General",1926,http://www.icheckmovies.com/movies/the+general/,13200,1561,48,32,703,,http://www.imdb.com/title/tt0017925/,"2018-04-26 21:26:27",no,no,no,yes
5,,"Napoléon vu par Abel Gance",1927,http://www.icheckmovies.com/movies/napoleon+vu+par+abel+gance/,1784,188,23,18,387,Napoleon,http://www.imdb.com/title/tt0018192/,"2018-04-26 21:26:34",no,no,no,yes
6,,Wings,1927,http://www.icheckmovies.com/movies/wings/,2221,130,20,10,192,,http://www.imdb.com/title/tt0018578/,"2018-04-28 23:16:09",no,no,no,no
7,,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,12673,696,62,17,485,,http://www.imdb.com/title/tt0020629/,"2018-04-26 21:26:45",no,no,no,yes
8,,"The Charge of the Light Brigade",1936,http://www.icheckmovies.com/movies/the+charge+of+the+light+brigade-1936-1/,364,11,1,2,81,,http://www.imdb.com/title/tt0027438/,"2018-11-08 00:27:45",no,no,no,no
9,,"La grande illusion",1937,http://www.icheckmovies.com/movies/la+grande+illusion/,7196,801,31,28,580,"The Grand Illusion",http://www.imdb.com/title/tt0028950/,"2018-04-26 21:27:36",no,no,no,no
10,,"The Great Dictator",1940,http://www.icheckmovies.com/movies/the+great+dictator/,24978,2275,96,26,601,,http://www.imdb.com/title/tt0032553/,"2018-01-10 16:55:58",no,no,no,no
11,,"Buck Privates",1941,http://www.icheckmovies.com/movies/buck+privates/,246,9,2,1,41,Rookies,http://www.imdb.com/title/tt0033436/,no,no,no,no,no
12,,"Sergeant York",1941,http://www.icheckmovies.com/movies/sergeant+york/,2548,119,17,7,205,,http://www.imdb.com/title/tt0034167/,"2018-10-17 22:37:28",no,no,no,no
13,,"49th Parallel",1941,http://www.icheckmovies.com/movies/49th+parallel/,918,52,6,4,83,"The Invaders",http://www.imdb.com/title/tt0033627/,"2018-10-17 21:47:44",no,no,no,no
14,,"To Be or Not to Be",1942,http://www.icheckmovies.com/movies/to+be+or+not+to+be/,5334,772,21,21,478,,http://www.imdb.com/title/tt0035446/,"2018-04-26 21:28:39",no,no,no,no
15,,"Mrs. Miniver",1942,http://www.icheckmovies.com/movies/mrs.+miniver/,2332,136,24,9,215,,http://www.imdb.com/title/tt0035093/,"2018-04-26 21:28:44",no,no,no,no
16,,"In Which We Serve",1942,http://www.icheckmovies.com/movies/in+which+we+serve/,832,31,8,6,129,,http://www.imdb.com/title/tt0034891/,no,no,no,no,no
17,,"Went the Day Well?",1942,http://www.icheckmovies.com/movies/went+the+day+wellquestion/,515,35,4,5,104,"48 Hours",http://www.imdb.com/title/tt0035429/,"2018-10-17 22:45:31",no,no,no,no
18,,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,5372,486,37,24,467,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2018-06-11 13:08:31",no,no,no,no
19,,"A Matter of Life and Death",1946,http://www.icheckmovies.com/movies/a+matter+of+life+and+death/,4017,500,31,22,385,"Stairway to Heaven",http://www.imdb.com/title/tt0038733/,"2018-06-11 13:12:13",no,no,no,no
20,,"Sands of Iwo Jima",1949,http://www.icheckmovies.com/movies/sands+of+iwo+jima/,747,17,11,2,78,,http://www.imdb.com/title/tt0041841/,"2018-11-08 00:24:27",no,no,no,no
21,,"The Red Badge of Courage",1951,http://www.icheckmovies.com/movies/the+red+badge+of+courage/,729,22,4,3,81,,http://www.imdb.com/title/tt0043961/,no,no,no,no,no
22,,"The Cruel Sea",1953,http://www.icheckmovies.com/movies/the+cruel+sea/,343,21,2,3,91,,http://www.imdb.com/title/tt0045659/,"2018-10-17 22:02:19",no,no,no,no
23,,"Stalag 17",1953,http://www.icheckmovies.com/movies/stalag+17/,6321,540,39,6,287,,http://www.imdb.com/title/tt0046359/,"2018-04-28 15:58:02",no,no,no,no
24,,"From Here to Eternity",1953,http://www.icheckmovies.com/movies/from+here+to+eternity/,5941,299,41,12,368,,http://www.imdb.com/title/tt0045793/,"2018-04-26 21:31:28",no,no,no,no
25,,"The Dam Busters",1955,http://www.icheckmovies.com/movies/the+dam+busters/,898,26,5,2,77,,http://www.imdb.com/title/tt0046889/,"2018-11-08 00:24:01",no,no,no,no
26,,"Giv'a 24 Eina Ona",1955,http://www.icheckmovies.com/movies/giva+24+eina+ona/,204,0,4,3,50,"Hill 24 Doesn't Answer",http://www.imdb.com/title/tt0048121/,no,no,no,no,no
27,,Kumonosu-jô,1957,http://www.icheckmovies.com/movies/kumonosu-jo/,5479,633,25,15,403,"Throne of Blood",http://www.imdb.com/title/tt0050613/,"2018-04-26 21:33:09",no,no,no,no
28,,Kanal,1957,http://www.icheckmovies.com/movies/kanal/,1121,151,5,10,205,Canal,http://www.imdb.com/title/tt0050585/,"2018-11-18 19:00:30",no,no,no,no
29,,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,24796,1695,70,30,654,,http://www.imdb.com/title/tt0050212/,"2018-01-10 16:57:56",no,no,no,no
30,,"Letyat zhuravli",1957,http://www.icheckmovies.com/movies/letyat+zhuravli/,2934,522,17,16,344,"The Cranes Are Flying",http://www.imdb.com/title/tt0050634/,"2018-10-30 01:08:11",no,no,no,no
31,,"Paths of Glory",1957,http://www.icheckmovies.com/movies/paths+of+glory/,17034,2188,73,25,669,,http://www.imdb.com/title/tt0050825/,"2018-04-26 21:33:16",no,no,no,no
32,,"Ice Cold in Alex",1958,http://www.icheckmovies.com/movies/ice+cold+in+alex/,344,23,1,2,107,"Desert Attack",http://www.imdb.com/title/tt0053935/,"2018-11-08 00:26:21",no,no,no,no
33,,"Popiól i diament",1958,http://www.icheckmovies.com/movies/popiol+i+diament/,2288,201,16,16,307,"Ashes and Diamonds",http://www.imdb.com/title/tt0052080/,"2018-10-29 22:11:54",no,no,no,no
34,,"Ballada o soldate",1959,http://www.icheckmovies.com/movies/ballada+o+soldate/,1754,271,11,14,237,"Ballad of a Soldier",http://www.imdb.com/title/tt0052600/,"2018-11-08 00:21:32",no,no,no,no
35,,"La ciociara",1960,http://www.icheckmovies.com/movies/la+ciociara/,862,67,4,3,143,"Two Women",http://www.imdb.com/title/tt0054749/,"2018-06-11 13:14:26",no,no,no,no
36,,"The Guns of Navarone",1961,http://www.icheckmovies.com/movies/the+guns+of+navarone/,4761,226,13,6,198,,http://www.imdb.com/title/tt0054953/,"2018-01-31 11:42:23",no,no,no,yes
37,,"Ivanovo detstvo",1962,http://www.icheckmovies.com/movies/ivanovo+detstvo/,3772,476,20,11,307,"Ivan's Childhood",http://www.imdb.com/title/tt0056111/,"2018-11-09 00:41:03",no,no,no,no
38,,"The Longest Day",1962,http://www.icheckmovies.com/movies/the+longest+day/,4268,222,21,6,216,,http://www.imdb.com/title/tt0056197/,"2018-06-11 13:05:57",no,no,no,no
39,,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,28886,2663,192,40,956,,http://www.imdb.com/title/tt0056172/,"2018-01-10 16:56:42",no,no,no,no
40,,"The Great Escape",1963,http://www.icheckmovies.com/movies/the+great+escape/,28133,1812,64,14,514,,http://www.imdb.com/title/tt0057115/,"2018-01-10 16:57:44",no,no,no,no
41,,Zulu,1964,http://www.icheckmovies.com/movies/zulu/,4511,210,29,8,165,,http://www.imdb.com/title/tt0058777/,"2018-04-28 23:13:28",no,no,no,no
42,,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,http://www.icheckmovies.com/movies/dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb/,48336,6168,316,33,1125,,http://www.imdb.com/title/tt0057012/,"2018-04-26 21:35:58",no,no,no,no
43,,"Obchod na korze",1965,http://www.icheckmovies.com/movies/obchod+na+korze/,1323,192,6,11,238,"The Shop on Main Street",http://www.imdb.com/title/tt0059527/,"2018-11-16 13:57:11",no,no,no,no
44,,"La battaglia di Algeri",1966,http://www.icheckmovies.com/movies/la+battaglia+di+algeri/,7888,975,56,25,546,"The Battle of Algiers",http://www.imdb.com/title/tt0058946/,"2018-04-26 21:36:15",no,no,no,no
45,,"Ostre sledované vlaky",1966,http://www.icheckmovies.com/movies/ostre+sledovane+vlaky/,2332,221,15,14,247,"Closely Watched Trains",http://www.imdb.com/title/tt0060802/,"2018-11-08 00:21:16",no,no,no,no
46,,"The Dirty Dozen",1967,http://www.icheckmovies.com/movies/the+dirty+dozen/,7381,426,30,7,238,,http://www.imdb.com/title/tt0061578/,"2018-01-31 11:41:55",no,no,no,yes
47,,"Where Eagles Dare",1968,http://www.icheckmovies.com/movies/where+eagles+dare/,3405,222,13,5,156,,http://www.imdb.com/title/tt0065207/,"2018-01-31 11:41:52",no,no,no,yes
48,,"Hell in the Pacific",1968,http://www.icheckmovies.com/movies/hell+in+the+pacific/,640,40,5,2,64,,http://www.imdb.com/title/tt0063056/,no,no,no,no,no
49,,"Oh! What a Lovely War",1969,http://www.icheckmovies.com/movies/ohexclamation+what+a+lovely+war/,210,13,6,1,61,,http://www.imdb.com/title/tt0064754/,no,no,no,no,no
50,,"L'armée des ombres",1969,http://www.icheckmovies.com/movies/larmee+des+ombres/,3509,523,17,17,340,"Army of Shadows",http://www.imdb.com/title/tt0064040/,"2018-04-28 11:47:55",no,no,no,no
51,,"Battle of Britain",1969,http://www.icheckmovies.com/movies/battle+of+britain/,733,20,14,1,44,,http://www.imdb.com/title/tt0064072/,"2018-11-08 01:12:35",no,no,no,no
52,,MASH,1970,http://www.icheckmovies.com/movies/mash/,12487,592,159,21,379,,http://www.imdb.com/title/tt0066026/,"2018-04-26 21:37:53",no,no,no,no
53,,Patton,1970,http://www.icheckmovies.com/movies/patton/,13432,740,54,13,435,,http://www.imdb.com/title/tt0066206/,"2018-04-26 21:37:53",no,no,no,no
54,,Catch-22,1970,http://www.icheckmovies.com/movies/catch-22/,2722,133,32,6,137,,http://www.imdb.com/title/tt0065528/,"2018-06-11 12:58:25",no,no,no,no
