rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Don't Look Now",1973,http://www.icheckmovies.com/movies/dont+look+now/,7973,668,104,17,501,,http://www.imdb.com/title/tt0069995/,"2018-04-26 21:38:58",no,no,no,no
2,0,"Silent Hill",2006,http://www.icheckmovies.com/movies/silent+hill/,13056,490,277,2,187,,http://www.imdb.com/title/tt0384537/,"2018-11-08 00:24:39",no,no,no,no
3,0,Repulsion,1965,http://www.icheckmovies.com/movies/repulsion/,8370,946,82,17,521,,http://www.imdb.com/title/tt0059646/,"2018-04-26 21:36:19",no,no,no,no
4,0,"Ein Toter hing im Netz",1960,http://www.icheckmovies.com/movies/ein+toter+hing+im+netz/,236,3,37,1,41,"Body in the Web",http://www.imdb.com/title/tt0054333/,no,no,no,no,no
5,0,"Les yeux sans visage",1960,http://www.icheckmovies.com/movies/les+yeux+sans+visage/,5354,542,27,13,432,"Eyes Without a Face",http://www.imdb.com/title/tt0053459/,"2018-04-26 21:33:45",no,no,no,no
6,0,Ssa-i-bo-geu-ji-man-gwen-chan-a,2006,http://www.icheckmovies.com/movies/ssa-i-bo-geu-ji-man-gwen-chan-a/,2490,281,36,1,103,"I'm a Cyborg, But That's OK",http://www.imdb.com/title/tt0497137/,no,no,no,no,no
7,0,"El topo",1970,http://www.icheckmovies.com/movies/el+topo/,4449,461,80,7,298,"El Topo",http://www.imdb.com/title/tt0067866/,no,no,no,no,no
8,0,"Donnie Darko",2001,http://www.icheckmovies.com/movies/donnie+darko/,86525,9466,952,18,887,,http://www.imdb.com/title/tt0246578/,"2018-04-28 15:55:59",no,no,no,no
9,0,"Help, Help, the Globolinks!",1969,http://www.icheckmovies.com/movies/help+help+the+globolinksexclamation/,80,1,7,1,22,,http://www.imdb.com/title/tt2240708/,no,no,no,no,no
10,0,Archangel,1990,http://www.icheckmovies.com/movies/archangel/,730,22,19,5,83,,http://www.imdb.com/title/tt0099053/,"2018-12-01 09:51:51",no,no,no,no
11,0,"Jacob's Ladder",1990,http://www.icheckmovies.com/movies/jacobs+ladder/,9868,800,87,2,311,,http://www.imdb.com/title/tt0099871/,"2018-04-26 21:46:24",no,no,no,no
