rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,13,"All About Eve",1950,http://www.icheckmovies.com/movies/all+about+eve/,15894,1860,63,23,716,,http://www.imdb.com/title/tt0042192/,"2018-04-26 21:30:37",no,no,no,no
2,48,"Black Narcissus",1947,http://www.icheckmovies.com/movies/black+narcissus/,5024,498,43,15,374,,http://www.imdb.com/title/tt0039192/,"2018-04-26 21:29:45",no,no,no,no
3,50,"Blackboard Jungle",1955,http://www.icheckmovies.com/movies/blackboard+jungle/,1166,46,6,4,117,,http://www.imdb.com/title/tt0047885/,"2018-04-28 22:50:08",no,no,no,no
4,153,"Easy Rider",1969,http://www.icheckmovies.com/movies/easy+rider/,17339,1015,175,16,485,,http://www.imdb.com/title/tt0064276/,"2018-01-31 09:27:10",no,no,no,no
5,206,"Harold and Maude",1971,http://www.icheckmovies.com/movies/harold+and+maude/,14407,1975,133,17,456,,http://www.imdb.com/title/tt0067185/,"2018-04-26 21:38:12",no,no,no,no
6,279,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,5471,493,31,16,377,,http://www.imdb.com/title/tt0037884/,"2018-04-26 21:29:16",no,no,no,no
7,331,"One Flew Over the Cuckoo's Nest",1975,http://www.icheckmovies.com/movies/one+flew+over+the+cuckoos+nest/,72743,7912,202,33,1084,,http://www.imdb.com/title/tt0073486/,"2018-04-26 21:39:32",no,no,no,yes
8,336,"The Outsiders",1983,http://www.icheckmovies.com/movies/the+outsiders/,7070,287,57,2,118,,http://www.imdb.com/title/tt0086066/,no,no,no,no,no
9,397,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,105327,15970,374,21,1089,,http://www.imdb.com/title/tt0111161/,"2018-01-10 13:21:07",no,no,no,yes
10,426,"The Swimmer",1968,http://www.icheckmovies.com/movies/the+swimmer/,1164,174,11,6,144,,http://www.imdb.com/title/tt0063663/,"2018-04-28 23:10:42",no,no,no,no
11,-8,"37°2 le matin",1986,http://www.icheckmovies.com/movies/372+le+matin/,1870,164,28,6,197,"Betty Blue",http://www.imdb.com/title/tt0090563/,"2018-01-31 09:27:16",no,no,no,no
12,-4,"The Addiction",1995,http://www.icheckmovies.com/movies/the+addiction/,1207,72,43,4,130,,http://www.imdb.com/title/tt0112288/,no,no,no,no,no
13,3,"Almost Famous",2000,http://www.icheckmovies.com/movies/almost+famous/,37901,3346,195,9,479,,http://www.imdb.com/title/tt0181875/,"2018-04-28 15:56:38",no,no,no,no
14,7,"Amores perros",2000,http://www.icheckmovies.com/movies/amores+perros/,23100,2181,138,15,458,"Love's a Bitch",http://www.imdb.com/title/tt0245712/,"2018-04-26 21:50:30",no,no,no,no
15,28,"The Beguiled",1971,http://www.icheckmovies.com/movies/the+beguiled/,1072,71,6,2,128,,http://www.imdb.com/title/tt0066819/,"2018-11-08 00:24:26",no,no,no,no
16,28,"The Best of Everything",1959,http://www.icheckmovies.com/movies/the+best+of+everything/,167,10,1,1,46,,http://www.imdb.com/title/tt0052619/,no,no,no,no,no
17,32,"Big Wednesday",1978,http://www.icheckmovies.com/movies/big+wednesday/,523,37,8,3,78,"Summer of Innocence",http://www.imdb.com/title/tt0077235/,no,no,no,no,no
18,47,"The Boys in the Band",1970,http://www.icheckmovies.com/movies/the+boys+in+the+band/,391,37,2,2,100,,http://www.imdb.com/title/tt0065488/,no,no,no,no,no
19,48,Breakin',1984,http://www.icheckmovies.com/movies/breakin/,657,18,19,2,35,,http://www.imdb.com/title/tt0086998/,"2018-11-08 00:25:27",no,no,no,no
20,49,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,7316,857,53,21,462,,http://www.imdb.com/title/tt0037558/,"2018-04-26 21:29:24",no,no,no,no
21,49,"Bring Me the Head of Alfredo Garcia",1974,http://www.icheckmovies.com/movies/bring+me+the+head+of+alfredo+garcia/,3206,331,37,8,240,,http://www.imdb.com/title/tt0071249/,"2018-04-26 21:39:27",no,no,no,no
