rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Napoléon vu par Abel Gance",1927,http://www.icheckmovies.com/movies/napoleon+vu+par+abel+gance/,1784,188,23,18,387,Napoleon,http://www.imdb.com/title/tt0018192/,"2018-04-26 21:26:34",no,no,no,yes
2,0,Cleopatra,1934,http://www.icheckmovies.com/movies/cleopatra/,1807,32,19,5,90,,http://www.imdb.com/title/tt0024991/,"2018-10-17 21:59:51",no,no,no,no
3,0,"The Adventures of Robin Hood",1938,http://www.icheckmovies.com/movies/the+adventures+of+robin+hood/,13599,648,46,16,439,,http://www.imdb.com/title/tt0029843/,"2018-04-26 21:27:42",no,no,no,no
4,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,40913,2690,395,30,823,,http://www.imdb.com/title/tt0031381/,"2018-01-10 16:58:26",no,no,no,no
5,0,"The Sea Hawk",1940,http://www.icheckmovies.com/movies/the+sea+hawk/,863,48,4,2,99,,http://www.imdb.com/title/tt0033028/,"2018-11-08 00:23:37",no,no,no,no
6,0,"The Treasure of the Sierra Madre",1948,http://www.icheckmovies.com/movies/the+treasure+of+the+sierra+madre/,13810,1440,59,25,626,,http://www.imdb.com/title/tt0040897/,"2018-04-26 21:30:07",no,no,no,no
7,0,"Le salaire de la peur",1953,http://www.icheckmovies.com/movies/le+salaire+de+la+peur/,6888,1132,50,24,546,"The Wages of Fear",http://www.imdb.com/title/tt0046268/,"2018-01-10 16:59:22",no,no,no,no
8,0,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,27218,3769,106,31,1040,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2018-04-26 21:32:02",no,no,no,yes
9,0,"The Ten Commandments",1956,http://www.icheckmovies.com/movies/the+ten+commandments/,12101,336,79,10,300,,http://www.imdb.com/title/tt0049833/,"2018-04-28 15:59:26",no,no,no,no
10,0,"War and Peace",1956,http://www.icheckmovies.com/movies/war+and+peace/,1178,29,18,2,96,,http://www.imdb.com/title/tt0049934/,"2018-04-28 23:24:43",no,no,no,no
11,1,"North by Northwest",1959,http://www.icheckmovies.com/movies/north+by+northwest/,33381,3283,88,25,877,,http://www.imdb.com/title/tt0053125/,"2018-01-10 16:56:27",no,no,no,no
12,1,Ben-Hur,1959,http://www.icheckmovies.com/movies/ben-hur/,29867,1201,180,24,568,,http://www.imdb.com/title/tt0052618/,"2018-04-26 21:33:55",no,no,no,no
13,1,Spartacus,1960,http://www.icheckmovies.com/movies/spartacus/,20664,822,76,18,470,,http://www.imdb.com/title/tt0054331/,"2018-04-26 21:34:18",no,no,no,no
14,1,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,28886,2663,192,40,956,,http://www.imdb.com/title/tt0056172/,"2018-01-10 16:56:42",no,no,no,no
15,1,Zulu,1964,http://www.icheckmovies.com/movies/zulu/,4511,210,29,8,165,,http://www.imdb.com/title/tt0058777/,"2018-04-28 23:13:28",no,no,no,no
16,1,"Doctor Zhivago",1965,http://www.icheckmovies.com/movies/doctor+zhivago/,10536,634,90,15,415,,http://www.imdb.com/title/tt0059113/,"2018-04-26 21:36:10",no,no,no,no
17,2,"The Lion in Winter",1968,http://www.icheckmovies.com/movies/the+lion+in+winter/,3330,301,30,7,222,,http://www.imdb.com/title/tt0063227/,"2018-12-02 21:50:35",no,no,no,no
18,2,Waterloo,1970,http://www.icheckmovies.com/movies/waterloo/,593,23,8,1,49,,http://www.imdb.com/title/tt0066549/,no,no,no,no,no
19,2,"Aguirre, der Zorn Gottes",1972,http://www.icheckmovies.com/movies/aguirre+der+zorn+gottes/,9412,1316,82,19,607,"Aguirre, the Wrath of God",http://www.imdb.com/title/tt0068182/,"2018-04-26 21:38:26",no,no,no,no
20,2,"The Poseidon Adventure",1972,http://www.icheckmovies.com/movies/the+poseidon+adventure/,5166,142,27,3,170,,http://www.imdb.com/title/tt0069113/,"2018-10-17 02:17:47",no,no,no,no
21,2,"Enter the Dragon",1973,http://www.icheckmovies.com/movies/enter+the+dragon/,16005,801,52,10,305,,http://www.imdb.com/title/tt0070034/,"2018-04-26 21:38:52",no,no,no,no
22,2,Papillon,1973,http://www.icheckmovies.com/movies/papillon/,11916,835,63,5,249,,http://www.imdb.com/title/tt0070511/,"2018-04-26 21:38:50",no,no,no,no
23,2,"The Towering Inferno",1974,http://www.icheckmovies.com/movies/the+towering+inferno/,5127,138,45,5,186,,http://www.imdb.com/title/tt0072308/,"2018-04-26 21:39:58",no,no,no,no
24,2,"Raiders of the Lost Ark",1981,http://www.icheckmovies.com/movies/raiders+of+the+lost+ark/,88586,6533,240,26,994,,http://www.imdb.com/title/tt0082971/,"2018-01-10 16:55:36",no,no,no,no
25,2,Fitzcarraldo,1982,http://www.icheckmovies.com/movies/fitzcarraldo/,6217,817,36,14,422,,http://www.imdb.com/title/tt0083946/,"2018-04-26 21:42:34",no,no,no,no
26,2,Gandhi,1982,http://www.icheckmovies.com/movies/gandhi/,28326,1189,111,15,438,,http://www.imdb.com/title/tt0083987/,"2018-04-26 21:42:36",no,no,no,no
27,2,"The Right Stuff",1983,http://www.icheckmovies.com/movies/the+right+stuff/,6760,432,35,12,296,,http://www.imdb.com/title/tt0086197/,"2018-04-26 21:43:13",no,no,no,no
28,2,"A Passage to India",1984,http://www.icheckmovies.com/movies/a+passage+to+india/,2571,92,24,5,176,,http://www.imdb.com/title/tt0087892/,"2018-04-26 21:43:31",no,no,no,no
29,2,Ran,1985,http://www.icheckmovies.com/movies/ran/,12319,1450,76,22,597,,http://www.imdb.com/title/tt0089881/,"2018-04-26 21:43:39",no,no,no,no
30,3,"Top Gun",1986,http://www.icheckmovies.com/movies/top+gun/,45307,983,467,8,306,,http://www.imdb.com/title/tt0092099/,"2018-04-26 21:44:39",no,no,no,no
31,3,"The Last Emperor",1987,http://www.icheckmovies.com/movies/the+last+emperor/,13638,549,41,12,304,,http://www.imdb.com/title/tt0093389/,"2018-04-28 15:59:20",no,no,no,no
32,3,"Die Hard",1988,http://www.icheckmovies.com/movies/die+hard/,85380,5394,221,16,799,,http://www.imdb.com/title/tt0095016/,"2018-01-10 16:57:37",no,no,no,no
33,3,Speed,1994,http://www.icheckmovies.com/movies/speed/,47339,1196,241,8,264,,http://www.imdb.com/title/tt0111257/,"2018-04-28 16:05:42",no,no,no,no
34,3,"True Lies",1994,http://www.icheckmovies.com/movies/true+lies/,29752,906,166,4,161,,http://www.imdb.com/title/tt0111503/,"2018-10-17 22:42:35",no,no,no,no
35,3,Braveheart,1995,http://www.icheckmovies.com/movies/braveheart/,82370,4401,646,18,596,,http://www.imdb.com/title/tt0112573/,"2018-01-10 16:56:30",no,no,no,no
36,3,"The Mummy",1999,http://www.icheckmovies.com/movies/the+mummy-1999/,65991,1554,525,4,225,,http://www.imdb.com/title/tt0120616/,"2018-10-17 02:15:23",no,no,no,no
37,3,"Wo hu cang long",2000,http://www.icheckmovies.com/movies/wo+hu+cang+long/,34846,1998,230,23,615,"Crouching Tiger, Hidden Dragon",http://www.imdb.com/title/tt0190332/,"2018-04-26 21:50:35",no,no,no,no
38,3,Gladiator,2000,http://www.icheckmovies.com/movies/gladiator/,106181,7266,693,23,781,,http://www.imdb.com/title/tt0172495/,"2018-01-10 16:55:47",no,no,no,no
39,3,"The Lord of the Rings: The Fellowship of the Ring",2001,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+fellowship+of+the+ring/,129276,12045,699,26,1353,,http://www.imdb.com/title/tt0120737/,"2018-01-10 16:54:51",no,no,no,yes
40,3,"Master and Commander: The Far Side of the World",2003,http://www.icheckmovies.com/movies/master+and+commander+the+far+side+of+the+world/,25980,1127,268,7,280,,http://www.imdb.com/title/tt0311113/,"2018-10-17 01:33:13",no,no,no,no
41,3,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,http://www.icheckmovies.com/movies/pirates+of+the+caribbean+the+curse+of+the+black+pearl/,113649,5100,643,10,647,,http://www.imdb.com/title/tt0325980/,"2018-04-28 15:55:30",no,no,no,no
42,3,"Kill Bill: Vol. 1",2003,http://www.icheckmovies.com/movies/kill+bill+vol.+1/,104433,8858,760,14,882,,http://www.imdb.com/title/tt0266697/,"2018-01-10 16:58:56",no,no,no,no
43,3,"Kill Bill: Vol. 2",2004,http://www.icheckmovies.com/movies/kill+bill+vol.+2/,83833,5720,486,8,684,,http://www.imdb.com/title/tt0378194/,"2018-01-31 08:55:07",no,no,no,no
44,3,300,2006,http://www.icheckmovies.com/movies/300/,75127,3665,1165,5,367,,http://www.imdb.com/title/tt0416449/,"2018-04-28 15:51:57",no,no,no,no
45,355,"Casino Royale",2006,http://www.icheckmovies.com/movies/casino+royale/,76799,3532,409,7,475,,http://www.imdb.com/title/tt0381061/,"2018-01-31 08:54:14",no,no,no,no
46,2,"Iron Man",2008,http://www.icheckmovies.com/movies/iron+man/,88586,4198,462,7,540,,http://www.imdb.com/title/tt0371746/,"2018-04-28 15:50:43",no,no,no,no
47,2,Watchmen,2009,http://www.icheckmovies.com/movies/watchmen/,48340,3502,834,1,381,,http://www.imdb.com/title/tt0409459/,"2018-04-28 15:50:03",no,no,no,no
48,2,Skyfall,2012,http://www.icheckmovies.com/movies/skyfall/,39600,2091,252,4,490,,http://www.imdb.com/title/tt1074638/,"2018-04-26 21:54:09",no,no,no,no
49,2,"The Avengers",2012,http://www.icheckmovies.com/movies/the+avengers-2012-1/,64704,4512,702,8,701,,http://www.imdb.com/title/tt0848228/,"2018-04-28 15:48:43",no,no,no,no
50,2,"Safety Last!",1923,http://www.icheckmovies.com/movies/safety+lastexclamation/,4694,496,22,17,309,,http://www.imdb.com/title/tt0014429/,"2018-04-28 11:47:19",no,no,no,no
51,2,"The General",1926,http://www.icheckmovies.com/movies/the+general/,13200,1561,48,32,703,,http://www.imdb.com/title/tt0017925/,"2018-04-26 21:26:27",no,no,no,yes
52,2,"Duck Soup",1933,http://www.icheckmovies.com/movies/duck+soup/,13817,1220,183,23,574,,http://www.imdb.com/title/tt0023969/,"2018-04-26 21:27:09",no,no,no,yes
53,2,"It's a Gift",1934,http://www.icheckmovies.com/movies/its+a+gift/,1353,57,52,8,160,,http://www.imdb.com/title/tt0025318/,"2018-12-02 22:54:49",no,no,no,no
54,2,"Modern Times",1936,http://www.icheckmovies.com/movies/modern+times/,27753,2475,73,29,697,,http://www.imdb.com/title/tt0027977/,"2018-01-10 16:55:31",no,no,no,no
55,2,"Nothing Sacred",1937,http://www.icheckmovies.com/movies/nothing+sacred/,931,53,16,4,106,,http://www.imdb.com/title/tt0029322/,no,no,no,no,no
56,2,"Way Out West",1937,http://www.icheckmovies.com/movies/way+out+west/,1152,58,8,7,140,,http://www.imdb.com/title/tt0029747/,no,no,no,no,no
57,2,"Bringing Up Baby",1938,http://www.icheckmovies.com/movies/bringing+up+baby/,10590,1096,122,21,525,,http://www.imdb.com/title/tt0029947/,"2018-04-28 16:06:52",no,no,no,no
58,2,"His Girl Friday",1940,http://www.icheckmovies.com/movies/his+girl+friday/,10774,1076,69,19,547,,http://www.imdb.com/title/tt0032599/,"2018-06-11 13:03:51",no,no,no,no
59,2,"Sullivan's Travels",1941,http://www.icheckmovies.com/movies/sullivans+travels/,6309,635,38,25,451,,http://www.imdb.com/title/tt0034240/,"2018-06-11 13:12:47",no,no,no,no
60,2,"To Be or Not to Be",1942,http://www.icheckmovies.com/movies/to+be+or+not+to+be/,5334,772,21,21,478,,http://www.imdb.com/title/tt0035446/,"2018-04-26 21:28:39",no,no,no,no
61,2,"Kind Hearts and Coronets",1949,http://www.icheckmovies.com/movies/kind+hearts+and+coronets/,6013,796,27,19,388,,http://www.imdb.com/title/tt0041546/,"2018-04-26 21:30:10",no,no,no,no
62,2,"Born Yesterday",1950,http://www.icheckmovies.com/movies/born+yesterday/,1747,137,11,9,182,,http://www.imdb.com/title/tt0042276/,"2018-11-25 14:39:25",no,no,no,no
63,2,"Les vacances de Monsieur Hulot",1953,http://www.icheckmovies.com/movies/les+vacances+de+monsieur+hulot/,4770,343,86,21,316,"Mr. Hulot's Holiday",http://www.imdb.com/title/tt0046487/,"2018-06-11 13:07:04",no,no,no,no
64,2,"Some Like It Hot",1959,http://www.icheckmovies.com/movies/some+like+it+hot/,33421,3346,106,32,881,,http://www.imdb.com/title/tt0053291/,"2018-04-26 21:33:42",no,no,no,no
65,2,"Move Over, Darling",1963,http://www.icheckmovies.com/movies/move+over+darling/,479,22,8,1,26,,http://www.imdb.com/title/tt0057329/,no,no,no,no,no
66,2,"The Pink Panther",1963,http://www.icheckmovies.com/movies/the+pink+panther/,11069,306,78,4,163,,http://www.imdb.com/title/tt0057413/,"2018-04-28 23:07:43",no,no,no,no
67,2,"The Producers",1967,http://www.icheckmovies.com/movies/the+producers/,13479,696,102,14,326,,http://www.imdb.com/title/tt0063462/,"2018-11-01 22:56:44",no,no,no,no
68,2,"The Odd Couple",1968,http://www.icheckmovies.com/movies/the+odd+couple/,4959,271,18,3,154,,http://www.imdb.com/title/tt0063374/,no,no,no,no,no
69,2,"Harold and Maude",1971,http://www.icheckmovies.com/movies/harold+and+maude/,14407,1975,133,17,456,,http://www.imdb.com/title/tt0067185/,"2018-04-26 21:38:12",no,no,no,no
70,2,"What's Up, Doc?",1972,http://www.icheckmovies.com/movies/whats+up+docquestion/,2904,248,29,8,144,,http://www.imdb.com/title/tt0069495/,"2018-10-17 01:29:53",no,no,no,no
71,2,"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,http://www.icheckmovies.com/movies/everything+you+always+wanted+to+know+about+sex+star+but+were+afraid+to+ask/,6500,261,92,2,123,,http://www.imdb.com/title/tt0068555/,no,no,no,no,no
72,2,"Blazing Saddles",1974,http://www.icheckmovies.com/movies/blazing+saddles/,26753,1613,194,13,444,,http://www.imdb.com/title/tt0071230/,"2018-04-26 21:39:24",no,no,no,no
73,2,"Monty Python and the Holy Grail",1975,http://www.icheckmovies.com/movies/monty+python+and+the+holy+grail/,80484,7434,443,21,751,,http://www.imdb.com/title/tt0071853/,"2018-04-26 21:39:42",no,no,no,no
74,2,"Animal House",1978,http://www.icheckmovies.com/movies/animal+house/,18438,834,153,9,288,,http://www.imdb.com/title/tt0077975/,"2018-10-17 21:53:02",no,no,no,no
75,2,Airplane!,1980,http://www.icheckmovies.com/movies/airplaneexclamation/,45595,3032,219,13,516,,http://www.imdb.com/title/tt0080339/,"2018-04-26 21:41:49",no,no,no,no
