rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"80 huszár",1978,http://www.icheckmovies.com/movies/80+huszar/,15,1,0,1,9,"80 Hussars",http://www.imdb.com/title/tt0077115/,no,no,no,no,no
2,0,"A kis Valentinó",1979,http://www.icheckmovies.com/movies/a+kis+valentino/,34,1,0,2,19,"Little Valentino",http://www.imdb.com/title/tt0079407/,no,no,no,no,no
3,0,"A ménesgazda",1978,http://www.icheckmovies.com/movies/a+menesgazda/,14,0,1,1,11,"The Stud Farm",http://www.imdb.com/title/tt0077969/,no,no,no,no,no
4,0,"A tanú",1969,http://www.icheckmovies.com/movies/a+tanu/,184,30,0,1,50,"The Witness",http://www.imdb.com/title/tt0065067/,no,no,no,no,no
5,0,"A tizedes meg a többiek",1965,http://www.icheckmovies.com/movies/a+tizedes+meg+a+tobbiek/,60,8,0,1,25,"The Corporal and Others",http://www.imdb.com/title/tt0059812/,no,no,no,no,no
6,0,"Amerikai anzix",1975,http://www.icheckmovies.com/movies/amerikai+anzix/,55,4,1,2,30,"American Torso",http://www.imdb.com/title/tt0072636/,no,no,no,no,no
7,0,"Angi Vera",1979,http://www.icheckmovies.com/movies/angi+vera/,38,2,1,2,43,,http://www.imdb.com/title/tt0077165/,no,no,no,no,no
8,0,Árvácska,1976,http://www.icheckmovies.com/movies/arvacska/,42,4,1,1,16,"Nobody's Daughter",http://www.imdb.com/title/tt0075463/,no,no,no,no,no
9,0,"Az ötödik pecsét",1976,http://www.icheckmovies.com/movies/az+otodik+pecset/,239,54,1,4,126,"The Fifth Seal",http://www.imdb.com/title/tt0075467/,no,no,no,no,no
10,0,"Az én XX. századom",1989,http://www.icheckmovies.com/movies/az+en+xx.+szazadom/,217,31,1,4,129,"My 20th Century",http://www.imdb.com/title/tt0096863/,no,no,no,no,no
11,0,Bakaruhában,1957,http://www.icheckmovies.com/movies/bakaruhaban/,24,0,0,2,14,"In Soldier's Uniform",http://www.imdb.com/title/tt0050161/,no,no,no,no,no
12,0,"Csillagosok, katonák",1967,http://www.icheckmovies.com/movies/csillagosok+katonak/,904,109,5,7,190,"The Red and the White",http://www.imdb.com/title/tt0061537/,no,no,no,no,no
13,0,Csontváry,1980,http://www.icheckmovies.com/movies/csontvary/,32,3,0,1,16,,http://www.imdb.com/title/tt0080577/,no,no,no,no,no
14,0,"Édes Anna",1958,http://www.icheckmovies.com/movies/edes+anna/,53,5,0,1,15,"Sweet Anna",http://www.imdb.com/title/tt0052438/,no,no,no,no,no
15,0,"Egy magyar nábob",1966,http://www.icheckmovies.com/movies/egy+magyar+nabob/,19,0,0,1,5,,http://www.imdb.com/title/tt0060652/,no,no,no,no,no
16,0,Eldorádó,1988,http://www.icheckmovies.com/movies/eldorado-1988-1/,27,2,0,1,8,,http://www.imdb.com/title/tt0095086/,no,no,no,no,no
17,0,"Emberek a havason",1942,http://www.icheckmovies.com/movies/emberek+a+havason/,104,6,0,3,54,"People on the Alps",http://www.imdb.com/title/tt0034701/,no,no,no,no,no
18,0,"Ének a búzamezökröl",1947,http://www.icheckmovies.com/movies/enek+a+buzamezokrol/,14,1,0,1,8,,http://www.imdb.com/title/tt0040020/,no,no,no,no,no
19,0,"Feldobott kö",1969,http://www.icheckmovies.com/movies/feldobott+ko/,26,2,0,1,16,"The Upthrown Stone",http://www.imdb.com/title/tt0062963/,no,no,no,no,no
20,,"Filmregény - Három növér",1978,http://www.icheckmovies.com/movies/filmregeny+-+harom+nover/,6,0,0,1,8,,http://www.imdb.com/title/tt0076027/,no,no,no,no,no
21,-1,Fotográfia,1973,http://www.icheckmovies.com/movies/fotografia/,37,9,0,2,31,Photography,http://www.imdb.com/title/tt0068604/,no,no,no,no,no
22,-1,"Hannibál tanár úr",1957,http://www.icheckmovies.com/movies/hannibal+tanar+ur/,58,1,0,1,15,"Professor Hannibal",http://www.imdb.com/title/tt0049290/,no,no,no,no,no
23,-1,"Ház a sziklák alatt",1958,http://www.icheckmovies.com/movies/haz+a+sziklak+alatt/,28,2,0,1,14,"The House Under the Rocks",http://www.imdb.com/title/tt0051753/,no,no,no,no,no
24,-1,"Hideg napok",1966,http://www.icheckmovies.com/movies/hideg+napok/,54,5,1,2,35,"Cold Days",http://www.imdb.com/title/tt0060507/,no,no,no,no,no
25,-1,"Holt vidék",1972,http://www.icheckmovies.com/movies/holt+videk/,13,1,0,1,6,"Dead Landscape",http://www.imdb.com/title/tt0067208/,no,no,no,no,no
26,-1,"Húsz óra",1965,http://www.icheckmovies.com/movies/husz+ora/,17,1,0,1,15,"Twenty Hours",http://www.imdb.com/title/tt0058218/,no,no,no,no,no
27,-1,"Hyppolit a lakáj",1931,http://www.icheckmovies.com/movies/hyppolit+a+lakaj/,118,2,0,2,28,"Hyppolit, the Butler",http://www.imdb.com/title/tt0021985/,no,no,no,no,no
