rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Eternal Sunshine of the Spotless Mind",2004,http://www.icheckmovies.com/movies/eternal+sunshine+of+the+spotless+mind/,93255,13133,748,25,1122,,http://www.imdb.com/title/tt0338013/,"2018-04-28 11:49:11",no,no,no,no
2,0,"25th Hour",2002,http://www.icheckmovies.com/movies/25th+hour/,14423,1182,89,5,260,,http://www.imdb.com/title/tt0307901/,"2018-04-28 11:49:09",no,no,no,no
3,0,"There Will Be Blood",2007,http://www.icheckmovies.com/movies/there+will+be+blood/,55441,6053,519,18,974,,http://www.imdb.com/title/tt0469494/,"2018-04-26 21:52:34",no,no,no,no
4,0,"No Country for Old Men",2007,http://www.icheckmovies.com/movies/no+country+for+old+men/,77048,7277,677,19,1026,,http://www.imdb.com/title/tt0477348/,"2018-04-26 21:52:30",no,no,no,no
5,0,Memento,2000,http://www.icheckmovies.com/movies/memento/,90360,10650,419,24,1060,,http://www.imdb.com/title/tt0209144/,"2018-01-10 16:55:51",no,no,no,no
6,0,"Sen to Chihiro no kamikakushi",2001,http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/,61527,8810,264,36,1096,"Spirited Away",http://www.imdb.com/title/tt0245429/,"2018-01-10 16:55:14",no,no,no,yes
7,0,"Kill Bill: Vol. 1",2003,http://www.icheckmovies.com/movies/kill+bill+vol.+1/,104433,8858,760,14,882,,http://www.imdb.com/title/tt0266697/,"2018-01-10 16:58:56",no,no,no,no
8,0,"Capturing the Friedmans",2003,http://www.icheckmovies.com/movies/capturing+the+friedmans/,4260,272,18,6,182,,http://www.imdb.com/title/tt0342172/,"2018-04-28 22:51:08",no,no,no,no
9,0,"The New World",2005,http://www.icheckmovies.com/movies/the+new+world/,9340,617,242,10,299,,http://www.imdb.com/title/tt0402399/,"2018-10-17 22:30:44",no,no,no,no
10,0,"Children of Men",2006,http://www.icheckmovies.com/movies/children+of+men/,59077,5709,458,10,751,,http://www.imdb.com/title/tt0206634/,"2018-04-26 21:51:59",no,no,no,no
11,0,"L'emploi du temps",2001,http://www.icheckmovies.com/movies/lemploi+du+temps/,923,75,10,5,111,"Time Out",http://www.imdb.com/title/tt0279065/,"2018-11-25 21:20:37",no,no,no,no
12,0,"Before Sunset",2004,http://www.icheckmovies.com/movies/before+sunset/,20908,2579,140,15,513,,http://www.imdb.com/title/tt0381681/,"2018-04-28 15:54:57",no,no,no,no
13,0,"Grizzly Man",2005,http://www.icheckmovies.com/movies/grizzly+man/,10316,793,51,9,297,,http://www.imdb.com/title/tt0427312/,"2018-10-17 22:11:11",no,no,no,no
14,0,"Hable con ella",2002,http://www.icheckmovies.com/movies/hable+con+ella/,11365,1185,68,12,419,"Talk to Her",http://www.imdb.com/title/tt0287467/,"2018-04-26 21:50:59",no,no,no,no
15,0,"Y tu mamá también",2001,http://www.icheckmovies.com/movies/y+tu+mama+tambien/,15254,1306,113,12,411,,http://www.imdb.com/title/tt0245574/,"2018-11-08 00:21:29",no,no,no,no
16,0,"Almost Famous",2000,http://www.icheckmovies.com/movies/almost+famous/,37901,3346,195,9,479,,http://www.imdb.com/title/tt0181875/,"2018-04-28 15:56:38",no,no,no,no
17,0,"The Royal Tenenbaums",2001,http://www.icheckmovies.com/movies/the+royal+tenenbaums/,39350,4342,391,8,589,,http://www.imdb.com/title/tt0265666/,"2018-04-26 21:50:51",no,no,no,no
18,0,"Mulholland Dr.",2001,http://www.icheckmovies.com/movies/mulholland+dr./,36656,4568,471,26,1006,"Mulholland Drive",http://www.imdb.com/title/tt0166924/,"2018-04-26 21:50:49",no,no,no,no
19,0,"The Lord of the Rings: The Two Towers",2002,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+two+towers/,123757,10354,572,22,1161,,http://www.imdb.com/title/tt0167261/,"2018-01-10 16:54:57",no,no,no,yes
20,0,"The Squid and the Whale",2005,http://www.icheckmovies.com/movies/the+squid+and+the+whale/,9946,676,107,3,206,,http://www.imdb.com/title/tt0367089/,"2018-10-17 22:39:08",no,no,no,no
