rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Sunrise: A Song of Two Humans",1927,http://www.icheckmovies.com/movies/sunrise+a+song+of+two+humans/,8624,1369,74,33,707,,http://www.imdb.com/title/tt0018455/,"2018-04-26 21:26:26",no,no,no,yes
2,0,"White Shadows in the South Seas",1928,http://www.icheckmovies.com/movies/white+shadows+in+the+south+seas/,196,9,2,3,69,,http://www.imdb.com/title/tt0019574/,no,no,no,no,no
3,0,"With Byrd at the South Pole",1930,http://www.icheckmovies.com/movies/with+byrd+at+the+south+pole/,110,1,0,1,29,,http://www.imdb.com/title/tt0020594/,no,no,no,no,no
4,0,"Tabu: A Story of the South Seas",1931,http://www.icheckmovies.com/movies/tabu+a+story+of+the+south+seas/,1554,109,12,10,192,,http://www.imdb.com/title/tt0022458/,"2018-11-19 18:10:19",no,no,no,no
5,0,"Shanghai Express",1932,http://www.icheckmovies.com/movies/shanghai+express/,2085,102,14,9,192,,http://www.imdb.com/title/tt0023458/,"2018-04-26 21:27:07",no,no,no,yes
6,0,"A Farewell to Arms",1932,http://www.icheckmovies.com/movies/a+farewell+to+arms/,886,24,13,3,116,,http://www.imdb.com/title/tt0022879/,"2018-11-26 20:56:51",no,no,no,no
7,0,Cleopatra,1934,http://www.icheckmovies.com/movies/cleopatra/,1807,32,19,5,90,,http://www.imdb.com/title/tt0024991/,"2018-10-17 21:59:51",no,no,no,no
8,0,"A Midsummer Night's Dream",1935,http://www.icheckmovies.com/movies/a+midsummer+nights+dream/,844,18,8,4,99,,http://www.imdb.com/title/tt0026714/,no,no,no,no,no
9,0,"Anthony Adverse",1936,http://www.icheckmovies.com/movies/anthony+adverse/,238,3,5,2,77,,http://www.imdb.com/title/tt0027300/,no,no,no,no,no
10,0,"The Garden of Allah",1936,http://www.icheckmovies.com/movies/the+garden+of+allah/,195,2,3,1,42,,http://www.imdb.com/title/tt0027657/,no,no,no,no,no
11,0,"The Good Earth",1937,http://www.icheckmovies.com/movies/the+good+earth/,647,27,9,5,115,,http://www.imdb.com/title/tt0028944/,no,no,no,no,no
12,0,"A Star Is Born",1937,http://www.icheckmovies.com/movies/a+star+is+born-1937/,1345,51,8,5,149,,http://www.imdb.com/title/tt0029606/,"2018-06-11 13:12:15",no,no,no,no
13,0,"The Great Waltz",1938,http://www.icheckmovies.com/movies/the+great+waltz/,186,2,1,2,52,,http://www.imdb.com/title/tt0030202/,no,no,no,no,no
14,0,Sweethearts,1938,http://www.icheckmovies.com/movies/sweethearts/,127,3,1,1,43,,http://www.imdb.com/title/tt0030817/,no,no,no,no,no
15,0,"Wuthering Heights",1939,http://www.icheckmovies.com/movies/wuthering+heights/,4361,200,42,10,227,,http://www.imdb.com/title/tt0032145/,"2018-06-11 13:15:42",no,no,no,no
16,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,40913,2690,395,30,823,,http://www.imdb.com/title/tt0031381/,"2018-01-10 16:58:26",no,no,no,no
17,0,Rebecca,1940,http://www.icheckmovies.com/movies/rebecca/,15387,1528,60,21,555,,http://www.imdb.com/title/tt0032976/,"2018-04-26 21:28:07",no,no,no,no
18,0,"The Thief of Bagdad",1940,http://www.icheckmovies.com/movies/the+thief+of+bagdad/,2652,144,32,13,207,,http://www.imdb.com/title/tt0033152/,"2018-06-11 13:13:29",no,no,no,no
19,0,"How Green Was My Valley",1941,http://www.icheckmovies.com/movies/how+green+was+my+valley/,3951,254,57,11,277,,http://www.imdb.com/title/tt0033729/,"2018-04-26 21:28:32",no,no,no,no
20,0,"Blood and Sand",1941,http://www.icheckmovies.com/movies/blood+and+sand/,343,9,2,2,66,,http://www.imdb.com/title/tt0033405/,no,no,no,no,no
21,0,"Mrs. Miniver",1942,http://www.icheckmovies.com/movies/mrs.+miniver/,2332,136,24,9,215,,http://www.imdb.com/title/tt0035093/,"2018-04-26 21:28:44",no,no,no,no
22,0,"The Black Swan",1942,http://www.icheckmovies.com/movies/the+black+swan/,473,18,6,2,59,,http://www.imdb.com/title/tt0034522/,"2018-11-08 00:27:48",no,no,no,no
