rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Sciuscià,1946,http://www.icheckmovies.com/movies/sciuscia/,1345,162,11,10,197,Shoeshine,http://www.imdb.com/title/tt0038913/,"2018-11-19 21:31:50",no,no,no,no
2,0,"Monsieur Vincent",1947,http://www.icheckmovies.com/movies/monsieur+vincent/,163,4,3,2,56,,http://www.imdb.com/title/tt0039632/,no,no,no,no,no
3,0,"Ladri di biciclette",1948,http://www.icheckmovies.com/movies/ladri+di+biciclette/,19416,2275,111,34,851,"Bicycle Thieves",http://www.imdb.com/title/tt0040522/,"2018-04-26 21:29:56",no,no,no,no
4,0,"Le mura di Malapaga",1949,http://www.icheckmovies.com/movies/le+mura+di+malapaga/,143,5,2,2,65,"The Walls of Malapaga",http://www.imdb.com/title/tt0040137/,no,no,no,no,no
5,0,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
6,0,"Jeux interdits",1952,http://www.icheckmovies.com/movies/jeux+interdits/,2488,337,8,14,297,"Forbidden Games",http://www.imdb.com/title/tt0043686/,"2018-04-26 21:31:16",no,no,no,no
7,0,Jigokumon,1953,http://www.icheckmovies.com/movies/jigokumon/,880,33,4,9,162,"Gate of Hell",http://www.imdb.com/title/tt0045935/,"2018-11-25 15:00:09",no,no,no,no
8,0,"Miyamoto Musashi",1954,http://www.icheckmovies.com/movies/miyamoto+musashi/,1291,75,6,5,100,"Samurai I: Musashi Miyamoto",http://www.imdb.com/title/tt0047444/,"2018-10-17 22:28:22",no,no,no,no
9,0,"La strada",1954,http://www.icheckmovies.com/movies/la+strada/,8763,923,69,19,482,"La Strada",http://www.imdb.com/title/tt0047528/,"2018-04-26 21:32:01",no,no,no,no
10,0,"Der Hauptmann von Köpenick",1956,http://www.icheckmovies.com/movies/der+hauptmann+von+kopenick/,133,5,0,2,33,"The Captain from Köpenick",http://www.imdb.com/title/tt0049293/,no,no,no,no,no
11,0,Gervaise,1956,http://www.icheckmovies.com/movies/gervaise/,289,14,0,3,102,,http://www.imdb.com/title/tt0049259/,no,no,no,no,no
12,0,"Biruma no tategoto",1956,http://www.icheckmovies.com/movies/biruma+no+tategoto/,1388,180,12,10,255,"The Burmese Harp",http://www.imdb.com/title/tt0049012/,"2018-04-26 21:32:32",no,no,no,no
13,0,Qivitoq,1956,http://www.icheckmovies.com/movies/qivitoq/,35,3,1,1,32,,http://www.imdb.com/title/tt0048523/,no,no,no,no,no
14,0,"Le notti di Cabiria",1957,http://www.icheckmovies.com/movies/le+notti+di+cabiria/,5719,809,42,20,380,"Nights of Cabiria",http://www.imdb.com/title/tt0050783/,"2018-04-26 21:33:07",no,no,no,no
15,0,"Nachts, wenn der Teufel kam",1957,http://www.icheckmovies.com/movies/nachts+wenn+der+teufel+kam/,162,14,1,4,92,"The Devil Strikes at Night",http://www.imdb.com/title/tt0050746/,no,no,no,no,no
16,0,"Porte des Lilas",1957,http://www.icheckmovies.com/movies/porte+des+lilas/,47,0,0,1,39,"The Gates of Paris",http://www.imdb.com/title/tt0050850/,no,no,no,no,no
17,0,"Mother India",1957,http://www.icheckmovies.com/movies/mother+india/,965,45,20,9,152,,http://www.imdb.com/title/tt0050188/,"2018-10-17 22:28:35",no,no,no,no
18,0,"Ni liv",1957,http://www.icheckmovies.com/movies/ni+liv/,452,20,1,2,111,"Nine Lives",http://www.imdb.com/title/tt0050762/,no,no,no,no,no
19,0,"Mon oncle",1958,http://www.icheckmovies.com/movies/mon+oncle/,4252,432,51,16,295,"My Uncle",http://www.imdb.com/title/tt0050706/,"2018-04-26 21:33:34",no,no,no,no
20,0,Helden,1958,http://www.icheckmovies.com/movies/helden/,21,0,0,2,25,"Arms and the Man",http://www.imdb.com/title/tt0051712/,no,no,no,no,no
21,0,"La venganza",1958,http://www.icheckmovies.com/movies/la+venganza/,14,1,0,1,32,,http://www.imdb.com/title/tt0051155/,no,no,no,no,no
22,0,"La strada lunga un anno",1958,http://www.icheckmovies.com/movies/la+strada+lunga+un+anno/,15,0,0,1,26,"The Year Long Road",http://www.imdb.com/title/tt0052250/,no,no,no,no,no
23,0,"I soliti ignoti",1958,http://www.icheckmovies.com/movies/i+soliti+ignoti/,1265,141,5,8,176,"Big Deal on Madonna Street",http://www.imdb.com/title/tt0052216/,"2018-12-03 15:26:43",no,no,no,no
24,0,"Orfeu Negro",1959,http://www.icheckmovies.com/movies/orfeu+negro/,2610,162,21,9,193,"Black Orpheus",http://www.imdb.com/title/tt0053146/,"2018-11-25 14:34:48",no,no,no,no
25,0,"Die Brücke",1959,http://www.icheckmovies.com/movies/die+brucke/,739,89,1,6,153,"The Bridge",http://www.imdb.com/title/tt0052654/,"2018-10-17 22:06:28",no,no,no,no
26,0,"La grande guerra",1959,http://www.icheckmovies.com/movies/la+grande+guerra/,587,59,3,6,130,"The Great War",http://www.imdb.com/title/tt0052861/,no,no,no,no,no
27,0,Paw,1959,http://www.icheckmovies.com/movies/paw/,25,2,1,1,25,"Boy of Two Worlds",http://www.imdb.com/title/tt0053158/,no,no,no,no,no
28,0,"Dorp aan de rivier",1958,http://www.icheckmovies.com/movies/dorp+aan+de+rivier/,64,4,0,1,40,"Village by the River",http://www.imdb.com/title/tt0051552/,no,no,no,no,no
29,0,Jungfrukällan,1960,http://www.icheckmovies.com/movies/jungfrukallan/,4075,499,21,9,301,"The Virgin Spring",http://www.imdb.com/title/tt0053976/,"2018-10-17 22:18:28",no,no,no,no
30,0,Kapò,1960,http://www.icheckmovies.com/movies/kapo/,247,22,1,3,103,,http://www.imdb.com/title/tt0052961/,no,no,no,no,no
31,0,"La vérité",1960,http://www.icheckmovies.com/movies/la+verite/,270,26,3,2,77,"The Truth",http://www.imdb.com/title/tt0054452/,no,no,no,no,no
32,0,Macario,1960,http://www.icheckmovies.com/movies/macario/,255,32,1,3,119,,http://www.imdb.com/title/tt0054042/,no,no,no,no,no
33,0,"Deveti krug",1960,http://www.icheckmovies.com/movies/deveti+krug/,61,4,0,1,44,"The Ninth Circle",http://www.imdb.com/title/tt0053764/,no,no,no,no,no
34,0,"Såsom i en spegel",1961,http://www.icheckmovies.com/movies/sasom+i+en+spegel/,3596,405,10,10,284,"Through a Glass Darkly",http://www.imdb.com/title/tt0055499/,"2018-11-16 13:57:21",no,no,no,no
35,0,"Harry og kammertjeneren",1961,http://www.icheckmovies.com/movies/harry+og+kammertjeneren/,92,8,0,2,69,"Harry and the Butler",http://www.imdb.com/title/tt0054965/,no,no,no,no,no
36,0,"Eien no hito",1961,http://www.icheckmovies.com/movies/eien+no+hito/,79,7,0,1,54,"Immortal Love",http://www.imdb.com/title/tt0054845/,no,no,no,no,no
37,0,"Ánimas Trujano (El hombre importante)",1961,http://www.icheckmovies.com/movies/animas+trujano+el+hombre+importante/,38,3,0,1,29,,http://www.imdb.com/title/tt0055646/,no,no,no,no,no
38,0,Plácido,1961,http://www.icheckmovies.com/movies/placido/,309,18,3,5,137,,http://www.imdb.com/title/tt0055310/,no,no,no,no,no
39,0,"Les dimanches de Ville d'Avray",1962,http://www.icheckmovies.com/movies/les+dimanches+de+ville+davray/,516,72,7,4,149,"Sundays and Cybele",http://www.imdb.com/title/tt0055910/,no,no,no,no,no
40,0,Ilektra,1962,http://www.icheckmovies.com/movies/ilektra/,175,26,1,4,116,Electra,http://www.imdb.com/title/tt0055950/,no,no,no,no,no
41,0,"Le quattro giornate di Napoli",1962,http://www.icheckmovies.com/movies/le+quattro+giornate+di+napoli/,58,5,0,1,48,"The Four Days of Naples",http://www.imdb.com/title/tt0056389/,no,no,no,no,no
42,0,"O Pagador de Promessas",1962,http://www.icheckmovies.com/movies/o+pagador+de+promessas/,719,107,6,8,156,"The Given Word",http://www.imdb.com/title/tt0056322/,no,no,no,no,no
43,0,Tlayucan,1962,http://www.icheckmovies.com/movies/tlayucan/,26,1,0,2,36,,http://www.imdb.com/title/tt0055527/,no,no,no,no,no
44,0,8½,1963,http://www.icheckmovies.com/movies/8half/,17750,2169,265,33,816,"Federico Fellini's 8 1/2",http://www.imdb.com/title/tt0056801/,"2018-04-26 21:35:36",no,no,no,no
45,0,"Nóz w wodzie",1962,http://www.icheckmovies.com/movies/noz+w+wodzie/,2911,248,20,13,262,"Knife in the Water",http://www.imdb.com/title/tt0056291/,"2018-11-08 00:21:21",no,no,no,no
46,0,"Los tarantos",1963,http://www.icheckmovies.com/movies/los+tarantos/,20,0,0,1,35,,http://www.imdb.com/title/tt0056555/,no,no,no,no,no
47,0,"Ta kokkina fanaria",1963,http://www.icheckmovies.com/movies/ta+kokkina+fanaria/,113,6,0,3,53,"The Red Lanterns",http://www.imdb.com/title/tt0057229/,no,no,no,no,no
48,0,Koto,1963,http://www.icheckmovies.com/movies/koto/,20,1,0,1,21,"Twin Sisters of Kyoto",http://www.imdb.com/title/tt0056154/,no,no,no,no,no
49,0,"Ieri, oggi, domani",1963,http://www.icheckmovies.com/movies/ieri+oggi+domani/,978,79,4,3,94,"Yesterday, Today and Tomorrow",http://www.imdb.com/title/tt0057171/,no,no,no,no,no
50,0,"Kvarteret Korpen",1963,http://www.icheckmovies.com/movies/kvarteret+korpen/,190,23,0,3,105,"Raven's End",http://www.imdb.com/title/tt0057237/,no,no,no,no,no
51,0,"Sallah Shabati",1964,http://www.icheckmovies.com/movies/sallah+shabati/,66,1,0,3,46,Sallah,http://www.imdb.com/title/tt0058541/,no,no,no,no,no
52,0,"Les parapluies de Cherbourg",1964,http://www.icheckmovies.com/movies/les+parapluies+de+cherbourg/,4967,541,62,16,427,"The Umbrellas of Cherbourg",http://www.imdb.com/title/tt0058450/,"2018-04-26 21:35:54",no,no,no,no
53,0,"Suna no onna",1964,http://www.icheckmovies.com/movies/suna+no+onna/,3468,795,17,18,468,"Woman in the Dunes",http://www.imdb.com/title/tt0058625/,"2018-10-30 01:08:00",no,no,no,no
54,0,"Obchod na korze",1965,http://www.icheckmovies.com/movies/obchod+na+korze/,1323,192,6,11,238,"The Shop on Main Street",http://www.imdb.com/title/tt0059527/,"2018-11-16 13:57:11",no,no,no,no
55,0,"To homa vaftike kokkino",1965,http://www.icheckmovies.com/movies/to+homa+vaftike+kokkino/,44,4,0,1,32,"Blood on the Land",http://www.imdb.com/title/tt0057892/,no,no,no,no,no
56,0,"Käre John",1964,http://www.icheckmovies.com/movies/kare+john/,53,1,0,2,39,"Dear John",http://www.imdb.com/title/tt0058281/,no,no,no,no,no
57,0,Kaidan,1964,http://www.icheckmovies.com/movies/kaidan/,2671,298,26,12,310,Kwaidan,http://www.imdb.com/title/tt0058279/,"2018-11-08 00:21:32",no,no,no,no
58,0,"Matrimonio all'italiana",1964,http://www.icheckmovies.com/movies/matrimonio+allitaliana/,895,67,7,3,87,"Marriage Italian-Style",http://www.imdb.com/title/tt0058335/,no,no,no,no,no
59,0,"Un homme et une femme",1966,http://www.icheckmovies.com/movies/un+homme+et+une+femme/,1426,129,20,7,156,"A Man and a Woman",http://www.imdb.com/title/tt0061138/,"2018-10-17 01:32:22",no,no,no,no
60,0,"La battaglia di Algeri",1966,http://www.icheckmovies.com/movies/la+battaglia+di+algeri/,7888,975,56,25,546,"The Battle of Algiers",http://www.imdb.com/title/tt0058946/,"2018-04-26 21:36:15",no,no,no,no
61,0,"Lásky jedné plavovlásky",1965,http://www.icheckmovies.com/movies/lasky+jedne+plavovlasky/,1484,143,11,11,192,"The Loves of a Blonde",http://www.imdb.com/title/tt0059415/,"2018-11-19 21:31:37",no,no,no,no
62,0,Faraon,1966,http://www.icheckmovies.com/movies/faraon/,146,7,3,4,78,Pharaoh,http://www.imdb.com/title/tt0060401/,no,no,no,no,no
63,0,Tri,1965,http://www.icheckmovies.com/movies/tri/,96,10,0,1,78,Three,http://www.imdb.com/title/tt0059829/,no,no,no,no,no
64,0,"Ostre sledované vlaky",1966,http://www.icheckmovies.com/movies/ostre+sledovane+vlaky/,2332,221,15,14,247,"Closely Watched Trains",http://www.imdb.com/title/tt0060802/,"2018-11-08 00:21:16",no,no,no,no
65,0,"El amor brujo",1967,http://www.icheckmovies.com/movies/el+amor+brujo/,11,0,0,1,27,"Bewitched Love",http://www.imdb.com/title/tt0061350/,no,no,no,no,no
66,0,"Skupljaci perja",1967,http://www.icheckmovies.com/movies/skupljaci+perja/,187,14,5,3,99,"I Even Met Happy Gypsies",http://www.imdb.com/title/tt0062277/,no,no,no,no,no
67,0,"Vivre pour vivre",1967,http://www.icheckmovies.com/movies/vivre+pour+vivre/,32,0,0,1,30,"Live for Life",http://www.imdb.com/title/tt0062452/,no,no,no,no,no
68,0,Chieko-sho,1967,http://www.icheckmovies.com/movies/chieko-sho/,4,0,0,1,26,"Portrait of Chieko",http://www.imdb.com/title/tt0061471/,no,no,no,no,no
69,0,"Voyna i mir",1966,http://www.icheckmovies.com/movies/voyna+i+mir/,872,76,5,7,164,"War and Peace",http://www.imdb.com/title/tt0063794/,no,no,no,no,no
70,0,"A Pál utcai fiúk",1969,http://www.icheckmovies.com/movies/a+pal+utcai+fiuk/,122,12,0,1,45,"The Boys of Paul Street",http://www.imdb.com/title/tt0062164/,no,no,no,no,no
71,0,"Horí, má panenko",1967,http://www.icheckmovies.com/movies/hori+ma+panenko/,1877,160,22,11,181,"The Firemen's Ball",http://www.imdb.com/title/tt0061781/,"2018-11-19 21:31:42",no,no,no,no
72,0,"La ragazza con la pistola",1968,http://www.icheckmovies.com/movies/la+ragazza+con+la+pistola/,85,8,0,1,31,"The Girl with a Pistol",http://www.imdb.com/title/tt0063485/,no,no,no,no,no
73,0,"Baisers volés",1968,http://www.icheckmovies.com/movies/baisers+voles/,1833,184,8,7,197,"Stolen Kisses",http://www.imdb.com/title/tt0062695/,"2018-06-11 13:12:35",no,no,no,no
74,0,Z,1969,http://www.icheckmovies.com/movies/z/,4022,527,29,17,353,,http://www.imdb.com/title/tt0065234/,"2018-04-26 21:37:36",no,no,no,no
75,0,"Ådalen 31",1969,http://www.icheckmovies.com/movies/adalen+31/,178,8,2,3,73,"Adalen 31",http://www.imdb.com/title/tt0065261/,no,no,no,no,no
76,0,"Bitka na Neretvi",1969,http://www.icheckmovies.com/movies/bitka+na+neretvi/,113,2,1,1,44,"The Battle of Neretva",http://www.imdb.com/title/tt0064091/,no,no,no,no,no
77,0,"Bratya Karamazovy",1969,http://www.icheckmovies.com/movies/bratya+karamazovy/,122,7,1,2,38,"The Brothers Karamazov",http://www.imdb.com/title/tt0062757/,no,no,no,no,no
78,0,"Ma nuit chez Maud",1969,http://www.icheckmovies.com/movies/ma+nuit+chez+maud/,2274,311,15,14,335,"My Night at Maud's",http://www.imdb.com/title/tt0064612/,"2018-04-26 21:37:26",no,no,no,no
79,0,"Indagine su un cittadino al di sopra di ogni sospetto",1970,http://www.icheckmovies.com/movies/indagine+su+un+cittadino+al+di+sopra+di+ogni+sospetto/,1156,183,10,7,184,"Investigation of a Citizen Above Suspicion",http://www.imdb.com/title/tt0065889/,"2018-10-17 22:16:42",no,no,no,no
80,0,"Erste Liebe",1970,http://www.icheckmovies.com/movies/erste+liebe/,24,0,0,2,28,"First Love",http://www.imdb.com/title/tt0065703/,no,no,no,no,no
81,0,Hoa-Binh,1970,http://www.icheckmovies.com/movies/hoa-binh/,7,0,0,1,24,"Hoa Binh",http://www.imdb.com/title/tt0065838/,no,no,no,no,no
82,0,"Paix sur les champs",1970,http://www.icheckmovies.com/movies/paix+sur+les+champs/,10,0,0,1,31,"Peace Over the Fields",http://www.imdb.com/title/tt0066198/,no,no,no,no,no
83,0,Tristana,1970,http://www.icheckmovies.com/movies/tristana/,1902,101,15,11,205,,http://www.imdb.com/title/tt0066491/,"2018-11-19 21:31:39",no,no,no,no
84,0,"Il giardino dei Finzi Contini",1970,http://www.icheckmovies.com/movies/il+giardino+dei+finzi+contini/,1000,52,12,8,146,"The Garden of the Finzi-Continis",http://www.imdb.com/title/tt0065777/,"2018-12-05 09:45:56",no,no,no,no
85,0,Dodesukaden,1970,http://www.icheckmovies.com/movies/dodesukaden/,1026,82,9,5,146,Dodes'ka-den,http://www.imdb.com/title/tt0065649/,no,no,no,no,no
86,0,Utvandrarna,1971,http://www.icheckmovies.com/movies/utvandrarna/,865,73,3,7,161,"The Emigrants",http://www.imdb.com/title/tt0067919/,"2018-12-02 23:16:11",no,no,no,no
87,0,"Ha-Shoter Azulai",1971,http://www.icheckmovies.com/movies/ha-shoter+azulai/,52,0,1,1,40,"The Policeman",http://www.imdb.com/title/tt0066374/,no,no,no,no,no
88,0,Chaykovskiy,1970,http://www.icheckmovies.com/movies/chaykovskiy/,30,1,1,1,38,Tchaikovsky,http://www.imdb.com/title/tt0065127/,no,no,no,no,no
89,0,"Le charme discret de la bourgeoisie",1972,http://www.icheckmovies.com/movies/le+charme+discret+de+la+bourgeoisie/,6385,721,60,20,453,"The Discreet Charm of the Bourgeoisie",http://www.imdb.com/title/tt0068361/,"2018-06-11 13:00:27",no,no,no,no
90,0,"A zori zdes tikhie",1972,http://www.icheckmovies.com/movies/a+zori+zdes+tikhie/,560,48,6,4,85,"The Dawns Here Are Quiet",http://www.imdb.com/title/tt0068161/,no,no,no,no,no
91,0,"Ani Ohev Otach Rosa",1972,http://www.icheckmovies.com/movies/ani+ohev+otach+rosa/,21,0,1,1,31,"I Love You Rosa",http://www.imdb.com/title/tt0068213/,no,no,no,no,no
92,0,"Mi querida señorita",1972,http://www.icheckmovies.com/movies/mi+querida+senorita/,39,2,0,2,45,"My Dearest Senorita",http://www.imdb.com/title/tt0067425/,no,no,no,no,no
93,0,Nybyggarna,1972,http://www.icheckmovies.com/movies/nybyggarna/,649,65,2,5,129,"The New Land",http://www.imdb.com/title/tt0069035/,no,no,no,no,no
94,0,"La nuit américaine",1973,http://www.icheckmovies.com/movies/la+nuit+americaine/,3991,446,21,18,355,"Day for Night",http://www.imdb.com/title/tt0070460/,"2018-04-28 11:42:57",no,no,no,no
