rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Sciuscià,1946,http://www.icheckmovies.com/movies/sciuscia/,1345,162,11,10,197,Shoeshine,http://www.imdb.com/title/tt0038913/,"2018-11-19 21:31:50",no,no,no,no
2,0,"Monsieur Vincent",1947,http://www.icheckmovies.com/movies/monsieur+vincent/,163,4,3,2,56,,http://www.imdb.com/title/tt0039632/,no,no,no,no,no
3,0,"Ladri di biciclette",1948,http://www.icheckmovies.com/movies/ladri+di+biciclette/,19416,2275,111,34,851,"Bicycle Thieves",http://www.imdb.com/title/tt0040522/,"2018-04-26 21:29:56",no,no,no,no
4,0,"Le mura di Malapaga",1949,http://www.icheckmovies.com/movies/le+mura+di+malapaga/,143,5,2,2,65,"The Walls of Malapaga",http://www.imdb.com/title/tt0040137/,no,no,no,no,no
5,0,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
6,0,"Jeux interdits",1952,http://www.icheckmovies.com/movies/jeux+interdits/,2488,337,8,14,297,"Forbidden Games",http://www.imdb.com/title/tt0043686/,"2018-04-26 21:31:16",no,no,no,no
7,0,Jigokumon,1953,http://www.icheckmovies.com/movies/jigokumon/,880,33,4,9,162,"Gate of Hell",http://www.imdb.com/title/tt0045935/,"2018-11-25 15:00:09",no,no,no,no
8,0,"Miyamoto Musashi",1954,http://www.icheckmovies.com/movies/miyamoto+musashi/,1291,75,6,5,100,"Samurai I: Musashi Miyamoto",http://www.imdb.com/title/tt0047444/,"2018-10-17 22:28:22",no,no,no,no
9,0,"La strada",1954,http://www.icheckmovies.com/movies/la+strada/,8763,923,69,19,482,"La Strada",http://www.imdb.com/title/tt0047528/,"2018-04-26 21:32:01",no,no,no,no
10,0,"Le notti di Cabiria",1957,http://www.icheckmovies.com/movies/le+notti+di+cabiria/,5719,809,42,20,380,"Nights of Cabiria",http://www.imdb.com/title/tt0050783/,"2018-04-26 21:33:07",no,no,no,no
11,0,"Mon oncle",1958,http://www.icheckmovies.com/movies/mon+oncle/,4252,432,51,16,295,"My Uncle",http://www.imdb.com/title/tt0050706/,"2018-04-26 21:33:34",no,no,no,no
12,0,"Orfeu Negro",1959,http://www.icheckmovies.com/movies/orfeu+negro/,2610,162,21,9,193,"Black Orpheus",http://www.imdb.com/title/tt0053146/,"2018-11-25 14:34:48",no,no,no,no
13,0,Jungfrukällan,1960,http://www.icheckmovies.com/movies/jungfrukallan/,4075,499,21,9,301,"The Virgin Spring",http://www.imdb.com/title/tt0053976/,"2018-10-17 22:18:28",no,no,no,no
14,0,"Såsom i en spegel",1961,http://www.icheckmovies.com/movies/sasom+i+en+spegel/,3596,405,10,10,284,"Through a Glass Darkly",http://www.imdb.com/title/tt0055499/,"2018-11-16 13:57:21",no,no,no,no
15,0,"Les dimanches de Ville d'Avray",1962,http://www.icheckmovies.com/movies/les+dimanches+de+ville+davray/,516,72,7,4,149,"Sundays and Cybele",http://www.imdb.com/title/tt0055910/,no,no,no,no,no
16,0,8½,1963,http://www.icheckmovies.com/movies/8half/,17750,2169,265,33,816,"Federico Fellini's 8 1/2",http://www.imdb.com/title/tt0056801/,"2018-04-26 21:35:36",no,no,no,no
17,0,"Ieri, oggi, domani",1963,http://www.icheckmovies.com/movies/ieri+oggi+domani/,978,79,4,3,94,"Yesterday, Today and Tomorrow",http://www.imdb.com/title/tt0057171/,no,no,no,no,no
18,0,"Obchod na korze",1965,http://www.icheckmovies.com/movies/obchod+na+korze/,1323,192,6,11,238,"The Shop on Main Street",http://www.imdb.com/title/tt0059527/,"2018-11-16 13:57:11",no,no,no,no
19,0,"Un homme et une femme",1966,http://www.icheckmovies.com/movies/un+homme+et+une+femme/,1426,129,20,7,156,"A Man and a Woman",http://www.imdb.com/title/tt0061138/,"2018-10-17 01:32:22",no,no,no,no
20,0,"Ostre sledované vlaky",1966,http://www.icheckmovies.com/movies/ostre+sledovane+vlaky/,2332,221,15,14,247,"Closely Watched Trains",http://www.imdb.com/title/tt0060802/,"2018-11-08 00:21:16",no,no,no,no
21,0,"Voyna i mir",1966,http://www.icheckmovies.com/movies/voyna+i+mir/,872,76,5,7,164,"War and Peace",http://www.imdb.com/title/tt0063794/,no,no,no,no,no
22,0,Z,1969,http://www.icheckmovies.com/movies/z/,4022,527,29,17,353,,http://www.imdb.com/title/tt0065234/,"2018-04-26 21:37:36",no,no,no,no
23,0,"Indagine su un cittadino al di sopra di ogni sospetto",1970,http://www.icheckmovies.com/movies/indagine+su+un+cittadino+al+di+sopra+di+ogni+sospetto/,1156,183,10,7,184,"Investigation of a Citizen Above Suspicion",http://www.imdb.com/title/tt0065889/,"2018-10-17 22:16:42",no,no,no,no
24,0,"Il giardino dei Finzi Contini",1970,http://www.icheckmovies.com/movies/il+giardino+dei+finzi+contini/,1000,52,12,8,146,"The Garden of the Finzi-Continis",http://www.imdb.com/title/tt0065777/,"2018-12-05 09:45:56",no,no,no,no
25,0,"Le charme discret de la bourgeoisie",1972,http://www.icheckmovies.com/movies/le+charme+discret+de+la+bourgeoisie/,6385,721,60,20,453,"The Discreet Charm of the Bourgeoisie",http://www.imdb.com/title/tt0068361/,"2018-06-11 13:00:27",no,no,no,no
26,0,"La nuit américaine",1973,http://www.icheckmovies.com/movies/la+nuit+americaine/,3991,446,21,18,355,"Day for Night",http://www.imdb.com/title/tt0070460/,"2018-04-28 11:42:57",no,no,no,no
27,0,Amarcord,1973,http://www.icheckmovies.com/movies/amarcord/,6328,654,62,15,352,,http://www.imdb.com/title/tt0071129/,"2018-04-26 21:39:09",no,no,no,no
28,0,"Dersu Uzala",1975,http://www.icheckmovies.com/movies/dersu+uzala/,3146,479,24,11,288,,http://www.imdb.com/title/tt0071411/,"2018-04-26 21:39:14",no,no,no,no
29,0,"La victoire en chantant",1976,http://www.icheckmovies.com/movies/la+victoire+en+chantant/,213,6,2,2,73,"Black and White in Color",http://www.imdb.com/title/tt0074972/,no,no,no,no,no
30,0,"La vie devant soi",1977,http://www.icheckmovies.com/movies/la+vie+devant+soi/,170,8,1,2,58,"Madame Rosa",http://www.imdb.com/title/tt0076348/,no,no,no,no,no
31,0,"Préparez vos mouchoirs",1978,http://www.icheckmovies.com/movies/preparez+vos+mouchoirs/,356,27,5,4,126,"Get Out Your Handkerchiefs",http://www.imdb.com/title/tt0078122/,no,no,no,no,no
32,0,"Die Blechtrommel",1979,http://www.icheckmovies.com/movies/die+blechtrommel/,3853,276,64,15,264,"The Tin Drum",http://www.imdb.com/title/tt0078875/,"2018-04-26 21:41:18",no,no,no,no
33,0,"Moskva slezam ne verit",1980,http://www.icheckmovies.com/movies/moskva+slezam+ne+verit/,1147,98,7,4,85,"Moscow Does Not Believe in Tears",http://www.imdb.com/title/tt0079579/,no,no,no,no,no
34,0,Mephisto,1981,http://www.icheckmovies.com/movies/mephisto/,1510,109,8,9,187,,http://www.imdb.com/title/tt0082736/,"2018-11-25 14:45:06",no,no,no,no
35,0,"Volver a empezar",1982,http://www.icheckmovies.com/movies/volver+a+empezar/,146,7,3,3,49,"Starting Over",http://www.imdb.com/title/tt0084874/,no,no,no,no,no
36,0,"Fanny och Alexander",1982,http://www.icheckmovies.com/movies/fanny+och+alexander/,8350,1145,77,22,617,"Fanny and Alexander",http://www.imdb.com/title/tt0083922/,"2018-04-26 21:42:38",no,no,no,no
37,0,"La diagonale du fou",1984,http://www.icheckmovies.com/movies/la+diagonale+du+fou/,174,11,3,2,54,"Dangerous Moves",http://www.imdb.com/title/tt0087144/,no,no,no,no,no
38,0,"La historia oficial",1985,http://www.icheckmovies.com/movies/la+historia+oficial/,1038,72,10,3,154,"The Official Story",http://www.imdb.com/title/tt0089276/,no,no,no,no,no
39,0,"De aanslag",1986,http://www.icheckmovies.com/movies/de+aanslag/,896,22,2,4,79,"The Assault",http://www.imdb.com/title/tt0090576/,no,no,no,no,no
40,0,"Babettes gæstebud",1987,http://www.icheckmovies.com/movies/babettes+gaestebud/,3312,312,26,10,221,"Babette's Feast",http://www.imdb.com/title/tt0092603/,"2018-06-11 12:54:23",no,no,no,no
41,0,"Pelle erobreren",1987,http://www.icheckmovies.com/movies/pelle+erobreren/,1502,84,13,10,156,"Pelle the Conqueror",http://www.imdb.com/title/tt0093713/,"2018-06-11 13:09:01",no,no,no,no
42,0,"Nuovo Cinema Paradiso",1988,http://www.icheckmovies.com/movies/nuovo+cinema+paradiso/,20332,2714,136,16,559,"Cinema Paradiso",http://www.imdb.com/title/tt0095765/,"2018-04-26 21:45:35",no,no,no,no
43,0,"Reise der Hoffnung",1990,http://www.icheckmovies.com/movies/reise+der+hoffnung/,251,18,4,3,95,"Journey of Hope",http://www.imdb.com/title/tt0100470/,no,no,no,no,no
44,0,Mediterraneo,1991,http://www.icheckmovies.com/movies/mediterraneo/,980,80,11,3,62,,http://www.imdb.com/title/tt0102426/,no,no,no,no,no
45,0,Indochine,1992,http://www.icheckmovies.com/movies/indochine/,922,29,10,2,77,Indochina,http://www.imdb.com/title/tt0104507/,"2018-11-08 00:26:24",no,no,no,no
46,0,"Belle Epoque",1992,http://www.icheckmovies.com/movies/belle+epoque/,987,25,10,5,87,"The Age of Beauty",http://www.imdb.com/title/tt0103791/,no,no,no,no,no
47,0,"Utomlennye solntsem",1994,http://www.icheckmovies.com/movies/utomlennye+solntsem/,1385,127,17,7,133,"Burnt by the Sun",http://www.imdb.com/title/tt0111579/,"2018-12-02 21:50:40",no,no,no,no
48,0,Antonia,1995,http://www.icheckmovies.com/movies/antonia/,827,65,18,4,101,"Antonia's Line",http://www.imdb.com/title/tt0112379/,"2018-12-02 21:51:08",no,no,no,no
49,0,Kolja,1996,http://www.icheckmovies.com/movies/kolja/,1392,106,7,4,89,Kolya,http://www.imdb.com/title/tt0116790/,no,no,no,no,no
50,0,Karakter,1997,http://www.icheckmovies.com/movies/karakter/,1337,88,5,4,83,Character,http://www.imdb.com/title/tt0119448/,no,no,no,no,no
51,0,"La vita è bella",1997,http://www.icheckmovies.com/movies/la+vita+e+bella/,50241,5451,365,16,596,"Life Is Beautiful",http://www.imdb.com/title/tt0118799/,"2018-04-28 15:59:05",no,no,no,yes
52,0,"Todo sobre mi madre",1999,http://www.icheckmovies.com/movies/todo+sobre+mi+madre/,11719,1127,55,15,443,"All About My Mother",http://www.imdb.com/title/tt0185125/,"2018-04-26 21:50:05",no,no,no,no
53,0,"Wo hu cang long",2000,http://www.icheckmovies.com/movies/wo+hu+cang+long/,34846,1998,230,23,615,"Crouching Tiger, Hidden Dragon",http://www.imdb.com/title/tt0190332/,"2018-04-26 21:50:35",no,no,no,no
54,0,"No Man's Land",2001,http://www.icheckmovies.com/movies/no+mans+land/,4191,340,24,5,193,,http://www.imdb.com/title/tt0283509/,"2018-11-08 00:22:09",no,no,no,no
55,0,"Nirgendwo in Afrika",2001,http://www.icheckmovies.com/movies/nirgendwo+in+afrika/,852,60,9,4,90,"Nowhere in Africa",http://www.imdb.com/title/tt0161860/,"2018-12-01 09:30:05",no,no,no,no
56,0,"Les invasions barbares",2003,http://www.icheckmovies.com/movies/les+invasions+barbares/,2723,228,33,7,212,"The Barbarian Invasions",http://www.imdb.com/title/tt0338135/,"2018-04-26 21:51:02",no,no,no,no
57,0,"Mar adentro",2004,http://www.icheckmovies.com/movies/mar+adentro/,6957,643,45,5,221,"The Sea Inside",http://www.imdb.com/title/tt0369702/,"2018-04-28 15:53:02",no,no,no,no
58,0,Tsotsi,2005,http://www.icheckmovies.com/movies/tsotsi/,3834,159,43,2,132,,http://www.imdb.com/title/tt0468565/,"2018-10-17 22:42:45",no,no,no,no
59,0,"Das Leben der Anderen",2006,http://www.icheckmovies.com/movies/das+leben+der+anderen/,28885,3714,101,16,637,"The Lives of Others",http://www.imdb.com/title/tt0405094/,"2018-04-26 21:51:56",no,no,no,no
60,0,"Die Fälscher",2007,http://www.icheckmovies.com/movies/die+falscher/,3654,240,13,3,133,"The Counterfeiters",http://www.imdb.com/title/tt0813547/,"2018-10-17 22:06:38",no,no,no,no
61,0,Okuribito,2008,http://www.icheckmovies.com/movies/okuribito/,5273,769,49,7,222,Departures,http://www.imdb.com/title/tt1069238/,"2018-10-17 22:32:28",no,no,no,no
62,0,"El secreto de sus ojos",2009,http://www.icheckmovies.com/movies/el+secreto+de+sus+ojos/,15588,1933,102,9,326,"The Secret in Their Eyes",http://www.imdb.com/title/tt1305806/,"2018-04-28 15:49:05",no,no,no,no
63,0,Hævnen,2010,http://www.icheckmovies.com/movies/haevnen/,2767,202,19,2,125,"In a Better World",http://www.imdb.com/title/tt1340107/,"2018-11-08 00:23:13",no,no,no,no
64,0,"Jodaeiye Nader az Simin",2011,http://www.icheckmovies.com/movies/jodaeiye+nader+az+simin/,9992,1563,64,14,561,"A Separation",http://www.imdb.com/title/tt1832382/,"2018-04-26 21:53:41",no,no,no,no
65,0,Amour,2012,http://www.icheckmovies.com/movies/amour-2012/,9070,903,79,9,495,,http://www.imdb.com/title/tt1602620/,"2018-04-26 21:54:03",no,no,no,no
66,0,"La grande bellezza",2013,http://www.icheckmovies.com/movies/la+grande+bellezza/,5630,833,88,7,347,"The Great Beauty",http://www.imdb.com/title/tt2358891/,"2018-12-02 23:25:09",no,no,no,no
67,0,Ida,2013,http://www.icheckmovies.com/movies/ida-2013-1/,4105,365,34,5,277,,http://www.imdb.com/title/tt2718492/,"2018-12-04 14:52:38",no,no,no,no
68,0,"Saul fia",2015,http://www.icheckmovies.com/movies/saul+fia/,2514,225,27,6,230,"Son of Saul",http://www.imdb.com/title/tt3808342/,"2018-10-17 22:36:56",no,no,no,no
69,0,Forushande,2016,http://www.icheckmovies.com/movies/forushande/,1407,144,5,2,113,"The Salesman",http://www.imdb.com/title/tt5186714/,"2018-11-08 00:25:59",no,no,no,no
70,0,"Una mujer fantástica",2017,http://www.icheckmovies.com/movies/una+mujer+fantastica/,982,66,13,2,87,"A Fantastic Woman",http://www.imdb.com/title/tt5639354/,"2018-11-08 00:28:34",no,no,no,no
