rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Wings,1927,http://www.icheckmovies.com/movies/wings/,2221,130,20,10,192,,http://www.imdb.com/title/tt0018578/,"2018-04-28 23:16:09",no,no,no,no
2,0,"Sunrise: A Song of Two Humans",1927,http://www.icheckmovies.com/movies/sunrise+a+song+of+two+humans/,8624,1369,74,33,707,,http://www.imdb.com/title/tt0018455/,"2018-04-26 21:26:26",no,no,no,yes
3,0,"The Broadway Melody",1929,http://www.icheckmovies.com/movies/the+broadway+melody/,1275,19,71,2,94,,http://www.imdb.com/title/tt0019729/,"2018-11-25 21:12:01",no,no,no,no
4,0,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,12673,696,62,17,485,,http://www.imdb.com/title/tt0020629/,"2018-04-26 21:26:45",no,no,no,yes
5,0,Cimarron,1931,http://www.icheckmovies.com/movies/cimarron/,1121,12,87,2,105,,http://www.imdb.com/title/tt0021746/,"2018-12-02 21:52:07",no,no,no,no
6,0,"Grand Hotel",1932,http://www.icheckmovies.com/movies/grand+hotel/,2753,165,28,4,214,,http://www.imdb.com/title/tt0022958/,"2018-06-11 13:03:05",no,no,no,no
7,0,Cavalcade,1933,http://www.icheckmovies.com/movies/cavalcade/,900,7,49,4,92,,http://www.imdb.com/title/tt0023876/,"2018-11-26 20:55:29",no,no,no,no
8,0,"It Happened One Night",1934,http://www.icheckmovies.com/movies/it+happened+one+night/,13559,1427,55,26,649,,http://www.imdb.com/title/tt0025316/,"2018-04-26 21:27:19",no,no,no,yes
9,0,"Mutiny on the Bounty",1935,http://www.icheckmovies.com/movies/mutiny+on+the+bounty/,4366,146,28,6,221,,http://www.imdb.com/title/tt0026752/,"2018-06-11 13:07:38",no,no,no,no
10,0,"The Great Ziegfeld",1936,http://www.icheckmovies.com/movies/the+great+ziegfeld/,1371,35,41,3,120,,http://www.imdb.com/title/tt0027698/,"2018-10-17 22:10:59",no,no,no,no
11,0,"The Life of Emile Zola",1937,http://www.icheckmovies.com/movies/the+life+of+emile+zola/,1490,57,18,7,146,,http://www.imdb.com/title/tt0029146/,"2018-06-11 13:05:30",no,no,no,no
12,0,"You Can't Take It with You",1938,http://www.icheckmovies.com/movies/you+cant+take+it+with+you/,3289,277,19,5,209,,http://www.imdb.com/title/tt0030993/,"2018-10-17 22:46:22",no,no,no,no
13,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,40913,2690,395,30,823,,http://www.imdb.com/title/tt0031381/,"2018-01-10 16:58:26",no,no,no,no
14,0,Rebecca,1940,http://www.icheckmovies.com/movies/rebecca/,15387,1528,60,21,555,,http://www.imdb.com/title/tt0032976/,"2018-04-26 21:28:07",no,no,no,no
15,0,"How Green Was My Valley",1941,http://www.icheckmovies.com/movies/how+green+was+my+valley/,3951,254,57,11,277,,http://www.imdb.com/title/tt0033729/,"2018-04-26 21:28:32",no,no,no,no
16,0,"Mrs. Miniver",1942,http://www.icheckmovies.com/movies/mrs.+miniver/,2332,136,24,9,215,,http://www.imdb.com/title/tt0035093/,"2018-04-26 21:28:44",no,no,no,no
17,0,Casablanca,1942,http://www.icheckmovies.com/movies/casablanca/,54363,5711,258,36,1206,,http://www.imdb.com/title/tt0034583/,"2018-04-26 21:28:37",no,no,no,no
18,0,"Going My Way",1944,http://www.icheckmovies.com/movies/going+my+way/,1639,41,28,6,135,,http://www.imdb.com/title/tt0036872/,"2018-12-02 21:51:15",no,no,no,no
19,0,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,5471,493,31,16,377,,http://www.imdb.com/title/tt0037884/,"2018-04-26 21:29:16",no,no,no,no
20,0,"The Best Years of Our Lives",1946,http://www.icheckmovies.com/movies/the+best+years+of+our+lives/,7268,718,48,27,558,,http://www.imdb.com/title/tt0036868/,"2018-04-26 21:29:17",no,no,no,no
21,0,"Gentleman's Agreement",1947,http://www.icheckmovies.com/movies/gentlemans+agreement/,2123,87,29,4,143,,http://www.imdb.com/title/tt0039416/,"2018-10-17 22:09:53",no,no,no,no
22,0,Hamlet,1948,http://www.icheckmovies.com/movies/hamlet/,4047,146,32,9,205,,http://www.imdb.com/title/tt0040416/,"2018-06-11 13:03:23",no,no,no,no
