rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Casablanca,1942,http://www.icheckmovies.com/movies/casablanca/,54363,5711,258,36,1206,,http://www.imdb.com/title/tt0034583/,"2018-04-26 21:28:37",no,no,no,no
2,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,40913,2690,395,30,823,,http://www.imdb.com/title/tt0031381/,"2018-01-10 16:58:26",no,no,no,no
3,0,"West Side Story",1961,http://www.icheckmovies.com/movies/west+side+story/,29823,1202,318,21,509,,http://www.imdb.com/title/tt0055614/,"2018-04-26 21:34:46",no,no,no,no
4,0,"Roman Holiday",1953,http://www.icheckmovies.com/movies/roman+holiday/,18409,1694,58,13,460,,http://www.imdb.com/title/tt0046250/,"2018-04-26 21:31:30",no,no,no,no
5,0,"An Affair to Remember",1957,http://www.icheckmovies.com/movies/an+affair+to+remember/,5817,331,55,9,191,,http://www.imdb.com/title/tt0050105/,"2018-10-17 21:24:46",no,no,no,no
6,0,"The Way We Were",1973,http://www.icheckmovies.com/movies/the+way+we+were/,2907,120,58,5,159,,http://www.imdb.com/title/tt0070903/,"2018-11-27 15:42:03",no,no,no,no
7,0,"Doctor Zhivago",1965,http://www.icheckmovies.com/movies/doctor+zhivago/,10536,634,90,15,415,,http://www.imdb.com/title/tt0059113/,"2018-04-26 21:36:10",no,no,no,no
8,0,"It's a Wonderful Life",1946,http://www.icheckmovies.com/movies/its+a+wonderful+life/,46174,4314,268,29,924,,http://www.imdb.com/title/tt0038650/,"2018-04-26 21:29:50",no,no,no,yes
9,0,"Love Story",1970,http://www.icheckmovies.com/movies/love+story/,4549,149,119,7,158,,http://www.imdb.com/title/tt0066011/,"2018-11-27 15:42:56",no,no,no,no
10,0,"City Lights",1931,http://www.icheckmovies.com/movies/city+lights/,19538,2291,66,31,740,,http://www.imdb.com/title/tt0021749/,"2018-01-10 16:55:28",no,no,no,yes
11,0,"Annie Hall",1977,http://www.icheckmovies.com/movies/annie+hall/,38021,4263,351,31,967,,http://www.imdb.com/title/tt0075686/,"2018-01-31 08:55:45",no,no,no,no
12,0,"My Fair Lady",1964,http://www.icheckmovies.com/movies/my+fair+lady/,21043,1100,126,17,386,,http://www.imdb.com/title/tt0058385/,"2018-04-26 21:35:57",no,no,no,no
13,0,"Out of Africa",1985,http://www.icheckmovies.com/movies/out+of+africa/,10851,364,122,9,246,,http://www.imdb.com/title/tt0089755/,"2018-04-26 21:43:46",no,no,no,no
14,0,"The African Queen",1951,http://www.icheckmovies.com/movies/the+african+queen/,11508,613,84,10,373,,http://www.imdb.com/title/tt0043265/,"2018-04-26 21:30:54",no,no,no,no
15,0,"Wuthering Heights",1939,http://www.icheckmovies.com/movies/wuthering+heights/,4361,200,42,10,227,,http://www.imdb.com/title/tt0032145/,"2018-06-11 13:15:42",no,no,no,no
16,0,"Singin' in the Rain",1952,http://www.icheckmovies.com/movies/singin+in+the+rain/,39513,3848,148,33,1007,,http://www.imdb.com/title/tt0045152/,"2018-01-10 16:56:51",no,no,no,no
17,0,Moonstruck,1987,http://www.icheckmovies.com/movies/moonstruck/,8688,333,98,6,222,,http://www.imdb.com/title/tt0093565/,"2018-04-26 21:45:01",no,no,no,no
18,0,Vertigo,1958,http://www.icheckmovies.com/movies/vertigo/,42253,4595,183,43,1190,,http://www.imdb.com/title/tt0052357/,"2018-01-10 16:56:26",no,no,no,no
