rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"À Flor do Mar",1986,http://www.icheckmovies.com/movies/a+flor+do+mar/,111,16,0,3,64,"Hovering Over the Water",http://www.imdb.com/title/tt0092306/,no,no,no,no,no
2,0,Alambrista!,1977,http://www.icheckmovies.com/movies/alambristaexclamation/,171,10,2,2,51,,http://www.imdb.com/title/tt0075654/,no,no,no,no,no
3,0,"O Megalexandros",1980,http://www.icheckmovies.com/movies/o+megalexandros/,120,14,1,2,62,"Alexander the Great",http://www.imdb.com/title/tt0081148/,no,no,no,no,no
4,1,Allonsanfàn,1974,http://www.icheckmovies.com/movies/allonsanfan/,77,11,0,1,38,,http://www.imdb.com/title/tt0069690/,no,no,no,no,no
5,1,"Der amerikanische Soldat",1970,http://www.icheckmovies.com/movies/der+amerikanische+soldat/,328,13,5,2,99,"The American Soldier",http://www.imdb.com/title/tt0065391/,no,no,no,no,no
6,1,Amor,1980,http://www.icheckmovies.com/movies/amor/,9,0,5,2,20,,http://www.imdb.com/title/tt0300935/,no,no,no,no,no
7,1,"Bittere Ernte",1985,http://www.icheckmovies.com/movies/bittere+ernte/,82,5,1,2,57,"Angry Harvest",http://www.imdb.com/title/tt0088811/,no,no,no,no,no
8,1,"Ana y los lobos",1973,http://www.icheckmovies.com/movies/ana+y+los+lobos/,141,13,2,2,63,"Anna and the Wolves",http://www.imdb.com/title/tt0068207/,no,no,no,no,no
9,1,"Anne Trister",1986,http://www.icheckmovies.com/movies/anne+trister/,25,1,0,1,19,,http://www.imdb.com/title/tt0090648/,no,no,no,no,no
10,1,"Anticipation of the Night",1958,http://www.icheckmovies.com/movies/anticipation+of+the+night/,347,17,25,4,75,,http://www.imdb.com/title/tt0213453/,no,no,no,no,no
11,1,Anzukko,1958,http://www.icheckmovies.com/movies/anzukko/,46,1,0,1,15,,http://www.imdb.com/title/tt0051367/,no,no,no,no,no
12,1,"Der Angriff der Gegenwart auf die übrige Zeit",1985,http://www.icheckmovies.com/movies/der+angriff+der+gegenwart+auf+die+ubrige+zeit/,34,2,1,1,31,"The Assault of the Present on the Rest of Time",http://www.imdb.com/title/tt0088724/,no,no,no,no,no
13,1,"Assunta Spina",1915,http://www.icheckmovies.com/movies/assunta+spina/,143,2,1,3,40,,http://www.imdb.com/title/tt0003637/,no,no,no,no,no
14,1,"At Long Last Love",1975,http://www.icheckmovies.com/movies/at+long+last+love/,125,5,4,1,40,,http://www.imdb.com/title/tt0072665/,no,no,no,no,no
15,1,"Autobiography of a Princess",1975,http://www.icheckmovies.com/movies/autobiography+of+a+princess/,44,1,2,1,26,,http://www.imdb.com/title/tt0072674/,no,no,no,no,no
16,2,"Zezowate szczescie",1960,http://www.icheckmovies.com/movies/zezowate+szczescie/,171,18,0,5,73,"Bad Luck",http://www.imdb.com/title/tt0054495/,"2018-12-04 15:15:20",no,no,no,no
17,2,Bakaruhában,1957,http://www.icheckmovies.com/movies/bakaruhaban/,24,0,0,2,14,"In Soldier's Uniform",http://www.imdb.com/title/tt0050161/,no,no,no,no,no
18,2,"The Barkleys of Broadway",1949,http://www.icheckmovies.com/movies/the+barkleys+of+broadway/,418,20,4,1,62,,http://www.imdb.com/title/tt0041158/,no,no,no,no,no
19,2,"Le baron fantôme",1943,http://www.icheckmovies.com/movies/le+baron+fantome/,20,1,1,1,16,"The Phantom Baron",http://www.imdb.com/title/tt0122392/,no,no,no,no,no
20,2,Bariera,1966,http://www.icheckmovies.com/movies/bariera/,110,12,3,3,43,Barrier,http://www.imdb.com/title/tt0060150/,no,no,no,no,no
21,2,"La bête lumineuse",1982,http://www.icheckmovies.com/movies/la+bete+lumineuse/,98,12,1,4,61,"The Shimmering Beast",http://www.imdb.com/title/tt0129807/,no,no,no,no,no
22,2,"Les oiseaux vont mourir au Pérou",1968,http://www.icheckmovies.com/movies/les+oiseaux+vont+mourir+au+perou/,26,0,2,1,13,,http://www.imdb.com/title/tt0063383/,no,no,no,no,no
23,2,"Black Cat (Gatto nero)",1981,http://www.icheckmovies.com/movies/black+cat+gatto+nero/,351,5,4,1,49,"The Black Cat",http://www.imdb.com/title/tt0080440/,no,no,no,no,no
24,,"Armiño negro",1953,http://www.icheckmovies.com/movies/armino+negro/,19,0,0,1,9,"Black Ermine",http://www.imdb.com/title/tt0184223/,no,no,no,no,no
25,1,"Kuro tokage",1968,http://www.icheckmovies.com/movies/kuro+tokage/,99,5,0,2,35,"Black Lizard",http://www.imdb.com/title/tt0063203/,no,no,no,no,no
26,1,"Blood and Sand",1941,http://www.icheckmovies.com/movies/blood+and+sand/,343,9,2,2,66,,http://www.imdb.com/title/tt0033405/,no,no,no,no,no
27,1,"The Boat",1921,http://www.icheckmovies.com/movies/the+boat/,1347,51,9,4,75,,http://www.imdb.com/title/tt0011984/,"2018-11-19 21:32:19",no,no,no,no
28,,"Bôkô Kirisaki Jakku",1976,http://www.icheckmovies.com/movies/boko+kirisaki+jakku/,80,1,1,1,35,"Assault! Jack the Ripper",http://www.imdb.com/title/tt0237045/,no,no,no,no,no
29,2,Brainstorm,1965,http://www.icheckmovies.com/movies/brainstorm/,114,1,0,2,32,,http://www.imdb.com/title/tt0058990/,"2018-11-08 00:25:26",no,no,no,no
30,4,"Bush Christmas",1947,http://www.icheckmovies.com/movies/bush+christmas/,82,2,2,1,23,,http://www.imdb.com/title/tt0039231/,no,no,no,no,no
31,4,"Bush Mama",1979,http://www.icheckmovies.com/movies/bush+mama/,55,4,2,1,28,,http://www.imdb.com/title/tt0074259/,no,no,no,no,no
32,5,"Le capitaine Fracasse",1943,http://www.icheckmovies.com/movies/le+capitaine+fracasse/,29,0,2,1,15,"Captain Fracasse",http://www.imdb.com/title/tt0034575/,no,no,no,no,no
33,5,"Cattle Queen of Montana",1954,http://www.icheckmovies.com/movies/cattle+queen+of+montana/,140,3,2,1,29,,http://www.imdb.com/title/tt0046839/,no,no,no,no,no
34,5,Céline,1992,http://www.icheckmovies.com/movies/celine/,50,5,1,1,18,,http://www.imdb.com/title/tt0103932/,no,no,no,no,no
35,5,"The Celluloid Closet",1995,http://www.icheckmovies.com/movies/the+celluloid+closet/,989,84,1,2,79,,http://www.imdb.com/title/tt0112651/,no,no,no,no,no
36,5,"Hasards ou coïncidences",1998,http://www.icheckmovies.com/movies/hasards+ou+coincidences/,29,1,2,1,12,"Chance or Coincidence",http://www.imdb.com/title/tt0120588/,no,no,no,no,no
37,5,Chappaqua,1966,http://www.icheckmovies.com/movies/chappaqua/,82,10,1,1,33,,http://www.imdb.com/title/tt0059025/,no,no,no,no,no
38,5,"Charlotte et son Jules",1960,http://www.icheckmovies.com/movies/charlotte+et+son+jules/,748,22,15,1,41,"Charlotte and Her Boyfriend",http://www.imdb.com/title/tt0051472/,no,no,no,no,no
39,6,"China Gate",1957,http://www.icheckmovies.com/movies/china+gate/,146,2,3,1,32,,http://www.imdb.com/title/tt0050252/,no,no,no,no,no
40,6,"Jin yu man tang",1995,http://www.icheckmovies.com/movies/jin+yu+man+tang/,60,3,0,2,20,"The Chinese Feast",http://www.imdb.com/title/tt0113475/,no,no,no,no,no
41,6,"Chinese Firedrill",1968,http://www.icheckmovies.com/movies/chinese+firedrill/,17,0,2,2,23,,http://www.imdb.com/title/tt1696174/,no,no,no,no,no
42,6,Chûshingura,1962,http://www.icheckmovies.com/movies/chushingura/,204,19,3,2,71,"47 Samurai",http://www.imdb.com/title/tt0055850/,no,no,no,no,no
43,6,"Mayis Sikintisi",1999,http://www.icheckmovies.com/movies/mayis+sikintisi/,351,23,0,3,58,"Clouds of May",http://www.imdb.com/title/tt0234217/,no,no,no,no,no
44,6,"Le Crabe-Tambour",1977,http://www.icheckmovies.com/movies/le+crabe-tambour/,53,2,1,1,23,,http://www.imdb.com/title/tt0075885/,no,no,no,no,no
45,,Spalicek,1947,http://www.icheckmovies.com/movies/spalicek/,13,0,0,1,15,,http://www.imdb.com/title/tt0227528/,no,no,no,no,no
46,6,Crossroads,1976,http://www.icheckmovies.com/movies/crossroads/,271,13,2,3,47,,http://www.imdb.com/title/tt0130586/,no,no,no,no,no
47,,"The Cruise",1998,http://www.icheckmovies.com/movies/the+cruise/,188,21,1,1,27,,http://www.imdb.com/title/tt0150230/,no,no,no,no,no
48,5,"Darling Lili",1970,http://www.icheckmovies.com/movies/darling+lili/,173,6,6,1,55,,http://www.imdb.com/title/tt0065611/,no,no,no,no,no
49,6,"David and Bathsheba",1951,http://www.icheckmovies.com/movies/david+and+bathsheba/,154,1,0,1,42,,http://www.imdb.com/title/tt0043455/,no,no,no,no,no
50,6,"Smierc prezydenta",1977,http://www.icheckmovies.com/movies/smierc+prezydenta/,18,2,1,1,30,"Death of a President",http://www.imdb.com/title/tt0078283/,no,no,no,no,no
51,6,"Death Takes a Holiday",1934,http://www.icheckmovies.com/movies/death+takes+a+holiday/,232,13,1,1,41,,http://www.imdb.com/title/tt0025037/,no,no,no,no,no
