rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Broken Blossoms or The Yellow Man and the Girl",1919,http://www.icheckmovies.com/movies/broken+blossoms+or+the+yellow+man+and+the+girl/,3119,193,35,13,254,"Broken Blossoms",http://www.imdb.com/title/tt0009968/,"2018-10-17 21:57:19",no,no,no,no
2,0,"Das Cabinet des Dr. Caligari",1920,http://www.icheckmovies.com/movies/das+cabinet+des+dr.+caligari/,14539,1237,68,26,698,"The Cabinet of Dr. Caligari",http://www.imdb.com/title/tt0010323/,"2018-04-26 21:19:40",no,no,no,yes
3,0,"Dr. Mabuse, der Spieler",1922,http://www.icheckmovies.com/movies/dr.+mabuse+der+spieler/,2136,179,16,12,278,"Dr. Mabuse: The Gambler",http://www.imdb.com/title/tt0013086/,"2018-04-26 21:20:23",no,no,no,yes
4,0,"The Gold Rush",1925,http://www.icheckmovies.com/movies/the+gold+rush/,15185,1133,76,28,601,,http://www.imdb.com/title/tt0015864/,"2018-01-10 16:57:52",no,no,no,yes
5,0,"La chute de la maison Usher",1928,http://www.icheckmovies.com/movies/la+chute+de+la+maison+usher/,1228,114,14,8,211,"The Fall of the House of Usher",http://www.imdb.com/title/tt0018770/,"2018-12-03 15:26:57",no,no,no,no
6,0,"Un chien andalou",1929,http://www.icheckmovies.com/movies/un+chien+andalou/,14734,934,149,22,486,"Un Chien Andalou",http://www.imdb.com/title/tt0020530/,"2018-06-07 13:31:23",no,no,no,no
7,0,Morocco,1930,http://www.icheckmovies.com/movies/morocco/,1211,80,14,8,185,,http://www.imdb.com/title/tt0021156/,"2018-11-25 23:40:04",no,no,no,no
8,0,"Der Kongreß tanzt",1931,http://www.icheckmovies.com/movies/der+kongress+tanzt/,168,14,2,5,82,"Congress Dances",http://www.imdb.com/title/tt0022034/,no,no,no,no,no
9,0,"Die 3 Groschen-Oper",1931,http://www.icheckmovies.com/movies/die+3+groschen-oper/,684,45,3,6,133,"The 3 Penny Opera",http://www.imdb.com/title/tt0021818/,no,no,no,no,no
10,0,"Leise flehen meine Lieder",1933,http://www.icheckmovies.com/movies/leise+flehen+meine+lieder/,26,2,0,1,20,"Lover Divine",http://www.imdb.com/title/tt0024249/,no,no,no,no,no
11,0,"The Thin Man",1934,http://www.icheckmovies.com/movies/the+thin+man/,5431,591,29,12,339,,http://www.imdb.com/title/tt0025878/,"2018-04-26 21:27:20",no,no,no,no
12,0,"Tonari no Yae-chan",1934,http://www.icheckmovies.com/movies/tonari+no+yae-chan/,97,6,0,1,49,"My Little Neighbor, Yae",http://www.imdb.com/title/tt0160994/,no,no,no,no,no
13,0,"Tange Sazen yowa: Hyakuman ryô no tsubo",1935,http://www.icheckmovies.com/movies/tange+sazen+yowa+hyakuman+ryo+no+tsubo/,359,51,2,6,179,"Sazen Tange and the Pot Worth a Million Ryo",http://www.imdb.com/title/tt0027076/,no,no,no,no,no
14,0,"Akanishi Kakita",1936,http://www.icheckmovies.com/movies/akanishi+kakita/,59,0,0,2,34,"Capricious Young Man",http://www.imdb.com/title/tt0159946/,no,no,no,no,no
15,0,"La grande illusion",1937,http://www.icheckmovies.com/movies/la+grande+illusion/,7196,801,31,28,580,"The Grand Illusion",http://www.imdb.com/title/tt0028950/,"2018-04-26 21:27:36",no,no,no,no
16,0,"Stella Dallas",1937,http://www.icheckmovies.com/movies/stella+dallas/,1116,63,6,3,132,,http://www.imdb.com/title/tt0029608/,no,no,no,no,no
17,0,"Tsuzurikata kyoshitsu",1938,http://www.icheckmovies.com/movies/tsuzurikata+kyoshitsu/,20,1,0,1,22,"Composition Class",http://www.imdb.com/title/tt0259694/,no,no,no,no,no
18,0,Tsuchi,1939,http://www.icheckmovies.com/movies/tsuchi/,24,3,1,1,40,,http://www.imdb.com/title/tt0032063/,no,no,no,no,no
19,0,Ninotchka,1939,http://www.icheckmovies.com/movies/ninotchka/,3938,383,28,17,314,,http://www.imdb.com/title/tt0031725/,"2018-10-17 22:31:29",no,no,no,no
20,0,"Ivan Groznyy",1945,http://www.icheckmovies.com/movies/ivan+groznyy/,2343,182,27,18,282,"Ivan the Terrible, Part I",http://www.imdb.com/title/tt0037824/,"2018-10-29 22:12:20",no,no,no,no
21,0,"Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor",1958,http://www.icheckmovies.com/movies/ivan+groznyy.+skaz+vtoroy+boyarskiy+zagovor/,1790,137,21,12,195,"Ivan the Terrible, Part Two",http://www.imdb.com/title/tt0051790/,"2018-10-29 22:32:29",no,no,no,no
