rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Avatar,2009,http://www.icheckmovies.com/movies/avatar/,106148,4439,3165,15,651,,http://www.imdb.com/title/tt0499549/,"2018-04-26 21:53:10",no,no,no,no
2,0,Titanic,1997,http://www.icheckmovies.com/movies/titanic/,109551,4511,1575,23,774,,http://www.imdb.com/title/tt0120338/,"2018-04-26 21:49:27",no,no,no,no
3,0,"Star Wars: Episode VII - The Force Awakens",2015,http://www.icheckmovies.com/movies/star+wars+episode+vii+-+the+force+awakens/,23553,1776,205,10,386,"Star Wars: The Force Awakens",http://www.imdb.com/title/tt2488496/,"2018-01-31 08:54:40",no,no,no,no
4,0,"Avengers: Infinity War",2018,http://www.icheckmovies.com/movies/avengers+infinity+war/,7851,629,56,9,147,,http://www.imdb.com/title/tt4154756/,"2018-10-14 17:58:23",no,no,no,no
5,0,"Jurassic World",2015,http://www.icheckmovies.com/movies/jurassic+world/,15675,460,328,3,218,,http://www.imdb.com/title/tt0369610/,"2018-06-27 22:29:01",no,no,no,no
6,0,"The Avengers",2012,http://www.icheckmovies.com/movies/the+avengers-2012-1/,64704,4512,702,8,701,,http://www.imdb.com/title/tt0848228/,"2018-04-28 15:48:43",no,no,no,no
7,0,"Furious Seven",2015,http://www.icheckmovies.com/movies/furious+seven/,7230,241,133,2,158,,http://www.imdb.com/title/tt2820852/,"2018-06-27 22:28:05",no,no,no,no
8,0,"Avengers: Age of Ultron",2015,http://www.icheckmovies.com/movies/avengers+age+of+ultron/,16977,593,258,2,292,,http://www.imdb.com/title/tt2395427/,"2018-04-28 15:47:36",no,no,no,no
9,0,"Black Panther",2018,http://www.icheckmovies.com/movies/black+panther-2018/,7770,465,88,3,166,,http://www.imdb.com/title/tt1825683/,"2018-06-27 22:08:08",no,no,no,no
10,0,"Harry Potter and the Deathly Hallows: Part 2",2011,http://www.icheckmovies.com/movies/harry+potter+and+the+deathly+hallows+part+2/,75613,3804,440,9,575,,http://www.imdb.com/title/tt1201607/,"2018-01-10 17:00:23",no,no,no,no
11,0,"Star Wars: Episode VIII - The Last Jedi",2017,http://www.icheckmovies.com/movies/star+wars+episode+viii+-+the+last+jedi/,8806,477,182,2,183,"Star Wars: The Last Jedi",http://www.imdb.com/title/tt2527336/,"2018-06-27 22:08:04",no,no,no,no
12,0,"Jurassic World: Fallen Kingdom",2018,http://www.icheckmovies.com/movies/jurassic+world+fallen+kingdom/,3079,42,98,2,63,,http://www.imdb.com/title/tt4881806/,"2018-10-30 22:15:53",no,no,no,no
13,0,Frozen,2013,http://www.icheckmovies.com/movies/frozen-2013/,28918,1375,323,4,395,,http://www.imdb.com/title/tt2294629/,"2018-06-27 22:08:11",no,no,no,no
14,0,"Beauty and the Beast",2017,http://www.icheckmovies.com/movies/beauty+and+the+beast-2017/,6125,240,118,2,122,,http://www.imdb.com/title/tt2771200/,"2018-11-08 00:25:12",no,no,no,no
15,0,"Incredibles 2",2018,http://www.icheckmovies.com/movies/incredibles+2/,3934,217,9,3,79,,http://www.imdb.com/title/tt3606756/,"2018-10-29 22:27:34",no,no,no,no
16,0,"The Fate of the Furious",2017,http://www.icheckmovies.com/movies/the+fate+of+the+furious/,3005,74,78,1,64,,http://www.imdb.com/title/tt4630562/,"2018-06-27 22:08:18",no,no,no,no
17,0,"Iron Man Three",2013,http://www.icheckmovies.com/movies/iron+man+three/,26010,863,297,3,335,,http://www.imdb.com/title/tt1300854/,"2018-06-27 22:08:20",no,no,no,no
18,0,Minions,2015,http://www.icheckmovies.com/movies/minions/,7155,141,197,2,91,,http://www.imdb.com/title/tt2293640/,"2018-06-27 22:08:16",no,no,no,no
19,0,"Captain America: Civil War",2016,http://www.icheckmovies.com/movies/captain+america+civil+war/,14112,782,159,3,238,,http://www.imdb.com/title/tt3498820/,"2018-04-28 15:46:29",no,no,no,no
20,0,"Transformers: Dark of the Moon",2011,http://www.icheckmovies.com/movies/transformers+dark+of+the+moon/,23066,327,910,2,207,,http://www.imdb.com/title/tt1399103/,"2018-06-27 22:08:20",no,no,no,no
21,0,"The Lord of the Rings: The Return of the King",2003,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+return+of+the+king/,123782,12152,686,26,1323,,http://www.imdb.com/title/tt0167260/,"2018-01-10 16:54:47",no,no,no,yes
22,0,Skyfall,2012,http://www.icheckmovies.com/movies/skyfall/,39600,2091,252,4,490,,http://www.imdb.com/title/tt1074638/,"2018-04-26 21:54:09",no,no,no,no
23,0,"Transformers: Age of Extinction",2014,http://www.icheckmovies.com/movies/transformers+age+of+extinction/,6747,70,376,1,110,,http://www.imdb.com/title/tt2109248/,"2018-06-27 22:08:22",no,no,no,no
24,0,"The Dark Knight Rises",2012,http://www.icheckmovies.com/movies/the+dark+knight+rises/,66718,4760,544,9,692,,http://www.imdb.com/title/tt1345836/,"2018-04-28 15:48:37",no,no,no,no
25,0,"Toy Story 3",2010,http://www.icheckmovies.com/movies/toy+story+3/,97600,6224,314,16,739,,http://www.imdb.com/title/tt0435761/,"2018-01-10 16:56:57",no,no,no,no
26,0,"Pirates of the Caribbean: Dead Man's Chest",2006,http://www.icheckmovies.com/movies/pirates+of+the+caribbean+dead+mans+chest/,84176,1961,804,4,395,,http://www.imdb.com/title/tt0383574/,"2018-06-14 00:52:51",no,no,no,no
27,0,"Rogue One",2016,http://www.icheckmovies.com/movies/rogue+one/,13098,891,131,3,228,,http://www.imdb.com/title/tt3748528/,"2018-01-31 08:56:39",no,no,no,no
28,0,"Pirates of the Caribbean: On Stranger Tides",2011,http://www.icheckmovies.com/movies/pirates+of+the+caribbean+on+stranger+tides/,37204,593,604,1,269,,http://www.imdb.com/title/tt1298650/,"2018-06-27 22:08:30",no,no,no,no
29,0,"Despicable Me 3",2017,http://www.icheckmovies.com/movies/despicable+me+3/,2447,45,49,1,52,,http://www.imdb.com/title/tt3469046/,"2018-06-27 22:08:26",no,no,no,no
30,0,"Jurassic Park",1993,http://www.icheckmovies.com/movies/jurassic+park/,110284,6062,346,20,870,,http://www.imdb.com/title/tt0107290/,"2018-01-10 16:59:37",no,no,no,no
31,0,"Finding Dory",2016,http://www.icheckmovies.com/movies/finding+dory/,9835,405,59,3,180,,http://www.imdb.com/title/tt2277860/,"2018-01-31 09:13:44",no,no,no,no
32,0,"Star Wars: Episode I - The Phantom Menace",1999,http://www.icheckmovies.com/movies/star+wars+episode+i+-+the+phantom+menace/,70416,1327,1820,4,436,,http://www.imdb.com/title/tt0120915/,"2018-04-28 15:57:57",no,no,no,no
33,0,"Alice in Wonderland",2010,http://www.icheckmovies.com/movies/alice+in+wonderland-2010/,61867,1209,1732,3,293,,http://www.imdb.com/title/tt1014759/,"2018-10-17 21:51:34",no,no,no,no
34,0,Zootopia,2016,http://www.icheckmovies.com/movies/zootopia/,16286,1410,55,8,262,,http://www.imdb.com/title/tt2948356/,"2018-01-31 08:54:25",no,no,no,no
35,0,"The Hobbit: An Unexpected Journey",2012,http://www.icheckmovies.com/movies/the+hobbit+an+unexpected+journey/,44231,2454,532,4,470,,http://www.imdb.com/title/tt0903624/,"2018-04-28 15:48:34",no,no,no,no
36,0,"The Dark Knight",2008,http://www.icheckmovies.com/movies/the+dark+knight/,134591,16209,763,23,1294,,http://www.imdb.com/title/tt0468569/,"2018-04-26 21:52:46",no,no,no,yes
37,0,"Harry Potter and the Sorcerer's Stone",2001,http://www.icheckmovies.com/movies/harry+potter+and+the+sorcerers+stone/,94375,3176,470,5,555,,http://www.imdb.com/title/tt0241527/,"2018-04-28 15:56:05",no,no,no,no
38,0,"Despicable Me 2",2013,http://www.icheckmovies.com/movies/despicable+me+2/,18014,572,161,2,215,,http://www.imdb.com/title/tt1690953/,"2018-06-27 22:08:31",no,no,no,no
39,0,"The Lion King",1994,http://www.icheckmovies.com/movies/the+lion+king/,131802,8551,287,22,778,,http://www.imdb.com/title/tt0110357/,"2018-01-10 16:55:47",no,no,no,yes
40,0,"The Jungle Book",2016,http://www.icheckmovies.com/movies/the+jungle+book-2016/,8376,308,77,3,159,,http://www.imdb.com/title/tt3040964/,"2018-04-26 21:56:14",no,no,no,no
41,0,"Pirates of the Caribbean: At World's End",2007,http://www.icheckmovies.com/movies/pirates+of+the+caribbean+at+worlds+end/,76545,1598,1014,3,350,,http://www.imdb.com/title/tt0449088/,"2018-06-27 22:08:33",no,no,no,no
42,0,"Jumanji: Welcome to the Jungle",2017,http://www.icheckmovies.com/movies/jumanji+welcome+to+the+jungle/,4081,150,36,2,58,,http://www.imdb.com/title/tt2283362/,"2018-06-27 22:08:34",no,no,no,no
43,0,"Harry Potter and the Deathly Hallows: Part 1",2010,http://www.icheckmovies.com/movies/harry+potter+and+the+deathly+hallows+part+1/,74151,3005,364,4,474,,http://www.imdb.com/title/tt0926084/,"2018-04-28 15:49:00",no,no,no,no
44,0,"The Hobbit: The Desolation of Smaug",2013,http://www.icheckmovies.com/movies/the+hobbit+the+desolation+of+smaug/,26403,1152,325,3,357,,http://www.imdb.com/title/tt1170358/,"2018-04-28 15:48:03",no,no,no,no
45,0,"The Hobbit: The Battle of the Five Armies",2014,http://www.icheckmovies.com/movies/the+hobbit+the+battle+of+the+five+armies/,15348,480,341,2,261,,http://www.imdb.com/title/tt2310332/,"2018-06-27 22:08:35",no,no,no,no
46,0,"Finding Nemo",2003,http://www.icheckmovies.com/movies/finding+nemo/,128146,6526,311,17,730,,http://www.imdb.com/title/tt0266543/,"2018-01-10 16:58:47",no,no,no,yes
47,0,"Harry Potter and the Order of the Phoenix",2007,http://www.icheckmovies.com/movies/harry+potter+and+the+order+of+the+phoenix/,83486,2496,402,4,438,,http://www.imdb.com/title/tt0373889/,"2018-04-28 15:51:30",no,no,no,no
48,0,"Harry Potter and the Half-Blood Prince",2009,http://www.icheckmovies.com/movies/harry+potter+and+the+half-blood+prince/,80674,2577,412,3,447,,http://www.imdb.com/title/tt0417741/,"2018-04-28 15:49:20",no,no,no,no
49,0,"The Lord of the Rings: The Two Towers",2002,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+two+towers/,123757,10354,572,22,1161,,http://www.imdb.com/title/tt0167261/,"2018-01-10 16:54:57",no,no,no,yes
50,0,"Shrek 2",2004,http://www.icheckmovies.com/movies/shrek+2/,84157,1347,550,4,299,,http://www.imdb.com/title/tt0298148/,"2018-06-27 22:08:37",no,no,no,no
51,0,"Harry Potter and the Goblet of Fire",2005,http://www.icheckmovies.com/movies/harry+potter+and+the+goblet+of+fire/,86091,2693,403,4,485,,http://www.imdb.com/title/tt0330373/,"2018-06-27 22:08:43",no,no,no,no
52,0,"Spider-Man 3",2007,http://www.icheckmovies.com/movies/spider-man+3/,64297,550,1895,3,282,,http://www.imdb.com/title/tt0413300/,"2018-06-27 22:08:39",no,no,no,no
53,0,"Ice Age: Dawn of the Dinosaurs",2009,http://www.icheckmovies.com/movies/ice+age+dawn+of+the+dinosaurs/,39792,530,302,1,147,,http://www.imdb.com/title/tt1080016/,"2018-06-27 22:28:19",no,no,no,no
54,0,Spectre,2015,http://www.icheckmovies.com/movies/spectre-2015/,10657,231,181,1,177,,http://www.imdb.com/title/tt2379713/,"2018-06-27 22:28:15",no,no,no,no
55,0,"Spider-Man: Homecoming",2017,http://www.icheckmovies.com/movies/spider-man+homecoming/,7876,442,59,3,135,,http://www.imdb.com/title/tt2250912/,"2018-04-28 15:45:57",no,no,no,no
56,0,"Harry Potter and the Chamber of Secrets",2002,http://www.icheckmovies.com/movies/harry+potter+and+the+chamber+of+secrets/,88143,2512,407,3,461,,http://www.imdb.com/title/tt0295297/,"2018-04-28 15:55:39",no,no,no,no
57,0,"Ice Age: Continental Drift",2012,http://www.icheckmovies.com/movies/ice+age+continental+drift/,13437,186,173,1,123,,http://www.imdb.com/title/tt1667889/,"2018-06-27 22:28:17",no,no,no,no
58,0,"The Secret Life of Pets",2016,http://www.icheckmovies.com/movies/the+secret+life+of+pets/,5301,132,106,2,70,,http://www.imdb.com/title/tt2709768/,"2018-06-27 22:28:18",no,no,no,no
59,0,"Batman v Superman: Dawn of Justice",2016,http://www.icheckmovies.com/movies/batman+v+superman+dawn+of+justice/,9365,219,517,2,168,,http://www.imdb.com/title/tt2975590/,"2018-06-27 22:28:19",no,no,no,no
60,0,"The Lord of the Rings: The Fellowship of the Ring",2001,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+fellowship+of+the+ring/,129276,12045,699,26,1353,,http://www.imdb.com/title/tt0120737/,"2018-01-10 16:54:51",no,no,no,yes
61,0,"Zhan lang II",2017,http://www.icheckmovies.com/movies/zhan+lang+ii/,134,1,12,1,14,"Wolf Warrior II",http://www.imdb.com/title/tt7131870/,no,no,no,no,no
62,0,"The Hunger Games: Catching Fire",2013,http://www.icheckmovies.com/movies/the+hunger+games+catching+fire/,26714,1137,190,2,325,,http://www.imdb.com/title/tt1951264/,"2018-04-28 15:48:07",no,no,no,no
63,0,"Guardians of the Galaxy Vol. 2",2017,http://www.icheckmovies.com/movies/guardians+of+the+galaxy+vol.+2/,9796,570,99,2,183,,http://www.imdb.com/title/tt3896198/,"2018-04-28 15:46:03",no,no,no,no
64,0,"Inside Out",2015,http://www.icheckmovies.com/movies/inside+out-2015/,24649,2326,95,13,462,,http://www.imdb.com/title/tt2096673/,"2018-01-10 16:57:57",no,no,no,no
65,0,"Thor: Ragnarok",2017,http://www.icheckmovies.com/movies/thor+ragnarok/,8488,616,71,2,157,,http://www.imdb.com/title/tt3501632/,"2018-04-28 15:45:49",no,no,no,no
66,4,Venom,2018,http://www.icheckmovies.com/movies/venom-2018/,1860,69,41,1,40,,http://www.imdb.com/title/tt1270797/,no,no,no,no,no
67,-1,"Star Wars: Episode III - Revenge of the Sith",2005,http://www.icheckmovies.com/movies/star+wars+episode+iii+-+revenge+of+the+sith/,69782,2179,959,4,466,,http://www.imdb.com/title/tt0121766/,"2018-04-28 15:52:59",no,no,no,no
