rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Orions belte",1985,http://www.icheckmovies.com/movies/orions+belte/,687,21,2,1,56,"Orion's Belt",http://www.imdb.com/title/tt0089740/,no,no,no,no,no
2,0,"Hustruer - ti år etter",1985,http://www.icheckmovies.com/movies/hustruer+-+ti+ar+etter/,111,0,5,1,30,"Hustruer II",http://www.imdb.com/title/tt0089313/,no,no,no,no,no
3,0,X,1986,http://www.icheckmovies.com/movies/x-1986-1/,145,11,1,1,45,,http://www.imdb.com/title/tt0092244/,no,no,no,no,no
4,0,Ofelas,1987,http://www.icheckmovies.com/movies/ofelas/,831,38,6,3,96,Pathfinder,http://www.imdb.com/title/tt0093668/,no,no,no,no,no
5,0,"For harde livet",1989,http://www.icheckmovies.com/movies/for+harde+livet/,75,1,0,1,22,,http://www.imdb.com/title/tt0097374/,no,no,no,no,no
6,0,"En håndfull tid",1989,http://www.icheckmovies.com/movies/en+handfull+tid/,85,5,1,1,32,"A Handful of Time",http://www.imdb.com/title/tt0097549/,no,no,no,no,no
7,0,Herman,1990,http://www.icheckmovies.com/movies/herman/,503,4,5,1,37,,http://www.imdb.com/title/tt0099764/,no,no,no,no,no
8,0,"Frida - med hjertet i hånden",1991,http://www.icheckmovies.com/movies/frida+-+med+hjertet+i+handen/,646,8,3,1,35,"Frida - Straight from the Heart",http://www.imdb.com/title/tt0104302/,no,no,no,no,no
9,0,"Hodet over vannet",1993,http://www.icheckmovies.com/movies/hodet+over+vannet/,382,4,3,1,28,"Head Above Water",http://www.imdb.com/title/tt0107121/,no,no,no,no,no
10,0,Eggs,1995,http://www.icheckmovies.com/movies/eggs/,327,12,4,1,54,,http://www.imdb.com/title/tt0112934/,no,no,no,no,no
11,0,"Kjærlighetens kjøtere",1995,http://www.icheckmovies.com/movies/kjaerlighetens+kjotere/,545,38,3,2,103,"Zero Kelvin",http://www.imdb.com/title/tt0113557/,no,no,no,no,no
12,0,Budbringeren,1997,http://www.icheckmovies.com/movies/budbringeren/,475,9,5,1,46,"Junk Mail",http://www.imdb.com/title/tt0118785/,no,no,no,no,no
13,0,"Salige er de som tørster",1997,http://www.icheckmovies.com/movies/salige+er+de+som+torster/,115,2,3,1,23,,http://www.imdb.com/title/tt0124864/,no,no,no,no,no
14,0,"Bare skyer beveger stjernene",1998,http://www.icheckmovies.com/movies/bare+skyer+beveger+stjernene/,301,12,3,1,33,"Only Clouds Move the Stars",http://www.imdb.com/title/tt0157356/,no,no,no,no,no
15,0,S.O.S.,1999,http://www.icheckmovies.com/movies/s.o.s./,91,1,2,1,21,,http://www.imdb.com/title/tt0209296/,no,no,no,no,no
16,0,"Heftig og begeistret",2001,http://www.icheckmovies.com/movies/heftig+og+begeistret/,308,5,3,1,43,"Cool and Crazy",http://www.imdb.com/title/tt0276189/,no,no,no,no,no
17,0,"Alt om min far",2002,http://www.icheckmovies.com/movies/alt+om+min+far/,262,1,0,1,27,"All About My Father",http://www.imdb.com/title/tt0310622/,no,no,no,no,no
18,0,"Salmer fra kjøkkenet",2003,http://www.icheckmovies.com/movies/salmer+fra+kjokkenet/,1140,86,4,1,83,"Kitchen Stories",http://www.imdb.com/title/tt0323872/,no,no,no,no,no
19,0,Buddy,2003,http://www.icheckmovies.com/movies/buddy/,1346,15,12,1,38,,http://www.imdb.com/title/tt0371589/,no,no,no,no,no
20,0,"Hawaii, Oslo",2004,http://www.icheckmovies.com/movies/hawaii+oslo/,1204,32,15,1,55,,http://www.imdb.com/title/tt0427339/,no,no,no,no,no
