rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"...a pátý jezdec je Strach",1965,http://www.icheckmovies.com/movies/...a+paty+jezdec+je+strach/,131,9,0,2,48,"...and the Fifth Horseman Is Fear",http://www.imdb.com/title/tt0123368/,no,no,no,no,no
2,0,12-12-42,1967,http://www.icheckmovies.com/movies/12-12-42/,4,1,2,1,6,,http://www.imdb.com/title/tt2051808/,no,no,no,no,no
3,0,"8 X 8: A Chess Sonata in 8 Movements",1957,http://www.icheckmovies.com/movies/8+x+8+a+chess+sonata+in+8+movements/,95,2,2,1,14,,http://www.imdb.com/title/tt0122855/,no,no,no,no,no
4,0,"A La Mode",1959,http://www.icheckmovies.com/movies/a+la+mode/,379,12,11,1,22,,http://www.imdb.com/title/tt1756374/,no,no,no,no,no
5,0,"À propos de Nice",1930,http://www.icheckmovies.com/movies/a+propos+de+nice/,1819,116,15,7,154,"À Propos de Nice",http://www.imdb.com/title/tt0021576/,"2018-12-13 09:31:56",no,no,no,no
6,0,"L'orribile segreto del Dr. Hichcock",1962,http://www.icheckmovies.com/movies/lorribile+segreto+del+dr.+hichcock/,135,5,8,2,43,"The Horrible Dr. Hichcock",http://www.imdb.com/title/tt0056315/,no,no,no,no,no
7,0,"The Act of Seeing with One's Own Eyes",1971,http://www.icheckmovies.com/movies/the+act+of+seeing+with+ones+own+eyes/,1207,78,30,8,136,,http://www.imdb.com/title/tt0140788/,"2018-12-04 15:05:24",no,no,no,no
8,0,"Ljubavni slucaj ili tragedija sluzbenice P.T.T.",1967,http://www.icheckmovies.com/movies/ljubavni+slucaj+ili+tragedija+sluzbenice+p.t.t./,380,39,4,5,124,"Love Affair; or The Case of the Missing Switchboard Operator",http://www.imdb.com/title/tt0061912/,no,no,no,no,no
9,0,"L'âge d'or",1930,http://www.icheckmovies.com/movies/lage+dor/,3716,218,57,15,305,"L'Age d'Or",http://www.imdb.com/title/tt0021577/,"2018-10-17 01:06:00",no,no,no,no
10,0,Akran,1969,http://www.icheckmovies.com/movies/akran/,63,6,1,2,35,,http://www.imdb.com/title/tt0063996/,no,no,no,no,no
