rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Gertie the Dinosaur",1914,http://www.icheckmovies.com/movies/gertie+the+dinosaur/,3557,98,15,5,99,"Gertie the Trained Dinosaur",http://www.imdb.com/title/tt0004008/,"2018-11-25 21:45:20",no,no,no,no
2,0,Fantasmagorie,1908,http://www.icheckmovies.com/movies/fantasmagorie/,1627,56,11,1,68,"A Fantasy",http://www.imdb.com/title/tt0000682/,no,no,no,no,no
3,0,"Moznosti dialogu",1983,http://www.icheckmovies.com/movies/moznosti+dialogu/,2273,237,20,3,125,"Dimensions of Dialogue",http://www.imdb.com/title/tt0084362/,no,no,no,no,no
4,0,Crac,1980,http://www.icheckmovies.com/movies/crac/,849,62,10,1,77,,http://www.imdb.com/title/tt0082209/,"2018-11-25 22:31:31",no,no,no,no
5,0,"L'homme qui plantait des arbres",1987,http://www.icheckmovies.com/movies/lhomme+qui+plantait+des+arbres/,3654,555,15,5,154,"The Man Who Planted Trees",http://www.imdb.com/title/tt0093488/,"2018-12-09 23:26:38",no,no,no,no
6,0,"Skazka skazok",1979,http://www.icheckmovies.com/movies/skazka+skazok/,1413,140,11,5,130,"Tale of Tales",http://www.imdb.com/title/tt0079986/,no,no,no,no,no
7,0,"Une nuit sur le mont chauve",1933,http://www.icheckmovies.com/movies/une+nuit+sur+le+mont+chauve/,736,30,7,1,67,"Night on Bald Mountain",http://www.imdb.com/title/tt0024721/,"2018-11-25 22:45:22",no,no,no,no
8,0,"A Colour Box",1935,http://www.icheckmovies.com/movies/a+colour+box/,858,16,26,3,46,,http://www.imdb.com/title/tt0026226/,no,no,no,no,no
9,0,L'idée,1932,http://www.icheckmovies.com/movies/lidee/,317,10,3,2,51,"The Idea",http://www.imdb.com/title/tt0145834/,"2018-11-25 22:50:50",no,no,no,no
10,0,"The Street",1976,http://www.icheckmovies.com/movies/the+street/,422,14,6,1,58,,http://www.imdb.com/title/tt0075273/,"2018-11-25 23:09:03",no,no,no,no
11,0,Neighbours,1952,http://www.icheckmovies.com/movies/neighbours/,1470,144,9,4,126,,http://www.imdb.com/title/tt0044958/,"2018-11-25 22:56:12",no,no,no,no
12,0,"Blinkity Blank",1955,http://www.icheckmovies.com/movies/blinkity+blank/,901,25,12,3,50,,http://www.imdb.com/title/tt0047887/,"2018-11-25 23:06:05",no,no,no,no
13,0,"Duck Amuck",1953,http://www.icheckmovies.com/movies/duck+amuck/,8622,574,21,10,155,,http://www.imdb.com/title/tt0045708/,"2018-11-18 19:00:27",no,no,no,no
14,0,Harpya,1979,http://www.icheckmovies.com/movies/harpya/,447,26,10,1,47,,http://www.imdb.com/title/tt0261725/,no,no,no,no,no
15,0,"Luxo Jr.",1986,http://www.icheckmovies.com/movies/luxo+jr./,3658,97,23,2,61,,http://www.imdb.com/title/tt0091455/,"2018-11-08 00:24:36",no,no,no,no
16,0,Snow-White,1933,http://www.icheckmovies.com/movies/snow-white/,4551,111,21,4,63,,http://www.imdb.com/title/tt0024578/,"2018-12-09 23:07:09",no,no,no,no
17,0,"Creature Comforts",1989,http://www.icheckmovies.com/movies/creature+comforts/,1308,82,6,1,57,,http://www.imdb.com/title/tt0099317/,"2018-11-25 22:37:44",no,no,no,no
18,0,Tango,1981,http://www.icheckmovies.com/movies/tango/,1019,111,4,3,95,,http://www.imdb.com/title/tt0084764/,no,no,no,no,no
19,0,"Street of Crocodiles",1986,http://www.icheckmovies.com/movies/street+of+crocodiles/,921,64,10,4,110,,http://www.imdb.com/title/tt0092020/,"2018-11-25 22:53:22",no,no,no,no
20,0,"Begone Dull Care",1949,http://www.icheckmovies.com/movies/begone+dull+care/,1454,114,21,5,107,,http://www.imdb.com/title/tt0041169/,"2018-11-25 22:46:42",no,no,no,no
21,0,"Le petit soldat",1948,http://www.icheckmovies.com/movies/le+petit+soldat-1948/,338,12,2,1,37,"The Little Soldier",http://www.imdb.com/title/tt0354806/,no,no,no,no,no
22,0,"What's Opera, Doc?",1957,http://www.icheckmovies.com/movies/whats+opera+docquestion/,9334,421,27,6,128,,http://www.imdb.com/title/tt0051189/,"2018-12-09 22:53:00",no,no,no,no
23,0,"Father and Daughter",2000,http://www.icheckmovies.com/movies/father+and+daughter/,1727,135,9,2,89,,http://www.imdb.com/title/tt0279079/,"2018-11-25 23:05:20",no,no,no,no
24,0,"Red Hot Riding Hood",1943,http://www.icheckmovies.com/movies/red+hot+riding+hood/,4012,135,17,5,88,,http://www.imdb.com/title/tt0036295/,"2018-12-10 09:06:10",no,no,no,no
25,0,Ruka,1965,http://www.icheckmovies.com/movies/ruka/,844,74,3,6,108,,http://www.imdb.com/title/tt0239921/,"2018-11-25 22:54:22",no,no,no,no
26,0,"Steamboat Willie",1928,http://www.icheckmovies.com/movies/steamboat+willie/,7618,147,27,3,95,,http://www.imdb.com/title/tt0019422/,"2018-10-17 22:39:22",no,no,no,no
27,0,"Le nez",1963,http://www.icheckmovies.com/movies/le+nez/,360,8,4,1,39,"The Nose",http://www.imdb.com/title/tt0057361/,"2018-11-25 22:48:55",no,no,no,no
28,0,"La gazza ladra",1965,http://www.icheckmovies.com/movies/la+gazza+ladra/,399,14,5,2,38,"The Thieving Magpie",http://www.imdb.com/title/tt0059214/,no,no,no,no,no
29,0,"Gerald McBoing-Boing",1950,http://www.icheckmovies.com/movies/gerald+mcboing-boing/,2621,75,8,3,77,,http://www.imdb.com/title/tt0043581/,"2018-11-25 23:01:32",no,no,no,no
30,0,"La joie de vivre",1934,http://www.icheckmovies.com/movies/la+joie+de+vivre/,409,13,4,2,34,,http://www.imdb.com/title/tt0286736/,no,no,no,no,no
31,0,"Mest kinematograficheskogo operatora",1912,http://www.icheckmovies.com/movies/mest+kinematograficheskogo+operatora/,1641,140,8,4,113,"The Revenge of a Kinematograph Cameraman",http://www.imdb.com/title/tt0001527/,no,no,no,no,no
32,0,"Pas de deux",1968,http://www.icheckmovies.com/movies/pas+de+deux/,992,111,8,5,96,Duo,http://www.imdb.com/title/tt0063417/,"2018-11-25 23:02:34",no,no,no,no
33,0,Hunger,1974,http://www.icheckmovies.com/movies/hunger-1974/,356,11,3,1,54,,http://www.imdb.com/title/tt0071636/,no,no,no,no,no
34,0,"Girls Night Out",1988,http://www.icheckmovies.com/movies/girls+night+out/,421,5,25,1,17,,http://www.imdb.com/title/tt0298889/,no,no,no,no,no
