rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"In the Street",1948,http://www.icheckmovies.com/movies/in+the+street/,416,17,2,4,55,,http://www.imdb.com/title/tt0267573/,no,no,no,no,no
2,0,"Eaux d'artifice",1953,http://www.icheckmovies.com/movies/eaux+dartifice/,899,45,21,3,74,,http://www.imdb.com/title/tt0045719/,no,no,no,no,no
3,0,Fireworks,1947,http://www.icheckmovies.com/movies/fireworks/,981,44,23,5,104,,http://www.imdb.com/title/tt0039383/,no,no,no,no,no
4,0,"Inauguration of the Pleasure Dome",1954,http://www.icheckmovies.com/movies/inauguration+of+the+pleasure+dome/,740,61,23,3,100,,http://www.imdb.com/title/tt0047114/,no,no,no,no,no
5,0,"Invocation of My Demon Brother",1969,http://www.icheckmovies.com/movies/invocation+of+my+demon+brother/,810,34,37,2,53,,http://www.imdb.com/title/tt0064493/,no,no,no,no,no
6,0,"Kustom Kar Kommandos",1970,http://www.icheckmovies.com/movies/kustom+kar+kommandos/,1231,44,35,1,53,,http://www.imdb.com/title/tt0059369/,no,no,no,no,no
7,0,"Puce Moment",1949,http://www.icheckmovies.com/movies/puce+moment/,956,29,30,1,51,,http://www.imdb.com/title/tt0041771/,no,no,no,no,no
8,0,"Rabbit's Moon",1950,http://www.icheckmovies.com/movies/rabbits+moon/,940,42,12,2,54,,http://www.imdb.com/title/tt0042872/,no,no,no,no,no
9,0,"Scorpio Rising",1965,http://www.icheckmovies.com/movies/scorpio+rising/,2169,145,42,8,176,,http://www.imdb.com/title/tt0058555/,"2018-12-04 14:48:14",no,no,no,no
10,0,"Lucifer Rising",1972,http://www.icheckmovies.com/movies/lucifer+rising/,1004,63,27,3,81,,http://www.imdb.com/title/tt0066019/,no,no,no,no,no
11,0,"All My Life",1966,http://www.icheckmovies.com/movies/all+my+life/,1114,14,53,2,43,,http://www.imdb.com/title/tt0205731/,no,no,no,no,no
