rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"La barraca",1945,http://www.icheckmovies.com/movies/la+barraca/,14,1,0,1,18,,http://www.imdb.com/title/tt0036627/,no,no,no,no,no
2,0,Enamorada,1946,http://www.icheckmovies.com/movies/enamorada/,145,5,0,3,36,,http://www.imdb.com/title/tt0038510/,no,no,no,no,no
3,0,"La perla",1947,http://www.icheckmovies.com/movies/la+perla/,210,14,0,5,88,"The Pearl",http://www.imdb.com/title/tt0037981/,"2018-12-01 10:07:29",no,no,no,no
4,0,"Río Escondido",1948,http://www.icheckmovies.com/movies/rio+escondido/,37,0,1,1,16,"Hidden River",http://www.imdb.com/title/tt0039793/,no,no,no,no,no
5,0,"Una familia de tantas",1949,http://www.icheckmovies.com/movies/una+familia+de+tantas/,38,5,0,2,27,,http://www.imdb.com/title/tt0040341/,no,no,no,no,no
6,0,"Los olvidados",1950,http://www.icheckmovies.com/movies/los+olvidados/,3720,502,28,23,373,"The Young and the Damned",http://www.imdb.com/title/tt0042804/,"2018-06-11 13:08:24",no,no,no,no
7,0,"En la palma de tu mano",1951,http://www.icheckmovies.com/movies/en+la+palma+de+tu+mano/,47,1,0,1,20,"In the Palm of Your Hand",http://www.imdb.com/title/tt0042434/,no,no,no,no,no
8,0,"El niño y la niebla",1953,http://www.icheckmovies.com/movies/el+nino+y+la+niebla/,16,0,0,1,13,"The Boy and the Fog",http://www.imdb.com/title/tt0046129/,no,no,no,no,no
9,0,"Los Fernández de Peralvillo",1954,http://www.icheckmovies.com/movies/los+fernandez+de+peralvillo/,23,0,0,1,12,,http://www.imdb.com/title/tt0045762/,no,no,no,no,no
10,0,"Robinson Crusoe",1954,http://www.icheckmovies.com/movies/robinson+crusoe/,752,12,4,3,93,,http://www.imdb.com/title/tt0044386/,no,no,no,no,no
11,0,"El camino de la vida",1956,http://www.icheckmovies.com/movies/el+camino+de+la+vida/,16,1,0,1,12,"The Road of Life",http://www.imdb.com/title/tt0134421/,no,no,no,no,no
12,0,Tizoc,1957,http://www.icheckmovies.com/movies/tizoc/,143,3,0,1,13,,http://www.imdb.com/title/tt0051090/,no,no,no,no,no
13,0,"El águila descalza",1971,http://www.icheckmovies.com/movies/el+aguila+descalza/,23,0,2,1,15,"The Barefoot Eagle",http://www.imdb.com/title/tt0065259/,no,no,no,no,no
14,0,"Tú, yo, nosotros",1972,http://www.icheckmovies.com/movies/tu+yo+nosotros/,9,0,1,1,12,,http://www.imdb.com/title/tt0135019/,no,no,no,no,no
15,0,"Las puertas del paraíso",1971,http://www.icheckmovies.com/movies/las+puertas+del+paraiso/,11,0,0,1,13,"The Gates of Paradise",http://www.imdb.com/title/tt0134917/,no,no,no,no,no
16,0,"Reed, México insurgente",1973,http://www.icheckmovies.com/movies/reed+mexico+insurgente/,79,1,1,4,40,"Reed: Insurgent Mexico",http://www.imdb.com/title/tt0069168/,no,no,no,no,no
17,0,"Mecánica nacional",1972,http://www.icheckmovies.com/movies/mecanica+nacional/,56,5,1,1,25,"National Mechanics",http://www.imdb.com/title/tt0134817/,no,no,no,no,no
18,0,"El castillo de la pureza",1973,http://www.icheckmovies.com/movies/el+castillo+de+la+pureza/,190,20,1,3,56,"The Castle of Purity",http://www.imdb.com/title/tt0068348/,no,no,no,no,no
19,0,"El principio",1973,http://www.icheckmovies.com/movies/el+principio/,15,0,1,1,12,,http://www.imdb.com/title/tt0134907/,no,no,no,no,no
20,0,"La otra virginidad",1975,http://www.icheckmovies.com/movies/la+otra+virginidad/,21,0,2,1,15,,http://www.imdb.com/title/tt0134875/,no,no,no,no,no
21,0,"La choca",1974,http://www.icheckmovies.com/movies/la+choca/,26,1,1,1,14,,http://www.imdb.com/title/tt0069876/,no,no,no,no,no
22,0,"Actas de Marusia",1975,http://www.icheckmovies.com/movies/actas+de+marusia/,68,3,0,2,43,"Letters from Marusia",http://www.imdb.com/title/tt0072601/,no,no,no,no,no
23,0,"La pasión según Berenice",1976,http://www.icheckmovies.com/movies/la+pasion+segun+berenice/,63,4,2,2,31,"The Passion of Berenice",http://www.imdb.com/title/tt0073520/,no,no,no,no,no
24,0,Naufragio,1978,http://www.icheckmovies.com/movies/naufragio/,29,2,0,1,20,,http://www.imdb.com/title/tt0076441/,no,no,no,no,no
25,0,"El lugar sin límites",1978,http://www.icheckmovies.com/movies/el+lugar+sin+limites/,162,13,1,3,57,"Hell Without Limits",http://www.imdb.com/title/tt0076336/,no,no,no,no,no
26,0,"Cadena perpetua",1979,http://www.icheckmovies.com/movies/cadena+perpetua/,56,3,1,2,33,"Life Sentence",http://www.imdb.com/title/tt0077287/,no,no,no,no,no
27,0,"El año de la peste",1979,http://www.icheckmovies.com/movies/el+ano+de+la+peste/,18,0,1,1,22,,http://www.imdb.com/title/tt0077195/,no,no,no,no,no
28,0,"Las grandes aguas",1980,http://www.icheckmovies.com/movies/las+grandes+aguas/,5,0,1,1,11,,http://www.imdb.com/title/tt0134695/,no,no,no,no,no
29,0,"Ora sí tenemos que ganar",1981,http://www.icheckmovies.com/movies/ora+si+tenemos+que+ganar/,10,0,0,1,11,,http://www.imdb.com/title/tt0134872/,no,no,no,no,no
30,0,"Bajo la metralla",1983,http://www.icheckmovies.com/movies/bajo+la+metralla/,18,1,1,1,16,,http://www.imdb.com/title/tt0083381/,no,no,no,no,no
31,0,"Frida, naturaleza viva",1983,http://www.icheckmovies.com/movies/frida+naturaleza+viva/,129,2,0,2,44,"Frida Still Life",http://www.imdb.com/title/tt0087297/,no,no,no,no,no
