rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Dalu,1935,http://www.icheckmovies.com/movies/dalu/,104,1,2,3,52,"The Highway",http://www.imdb.com/title/tt0121180/,no,no,no,no,no
2,0,"Chun can",1933,http://www.icheckmovies.com/movies/chun+can/,22,0,0,2,16,,http://www.imdb.com/title/tt0191889/,no,no,no,no,no
3,0,"Kuang liu",1933,http://www.icheckmovies.com/movies/kuang+liu/,2,0,1,1,6,Torrent,http://www.imdb.com/title/tt0192217/,no,no,no,no,no
4,0,"Malu tianshi",1937,http://www.icheckmovies.com/movies/malu+tianshi/,271,8,1,6,80,"Street Angel",http://www.imdb.com/title/tt0183828/,no,no,no,no,no
5,0,"Ruan Lingyu",1991,http://www.icheckmovies.com/movies/ruan+lingyu/,506,33,6,9,132,"Center Stage",http://www.imdb.com/title/tt0102816/,"2018-12-03 15:34:04",no,no,no,no
6,0,"Yi jiang chun shui xiang dong liu",1947,http://www.icheckmovies.com/movies/yi+jiang+chun+shui+xiang+dong+liu/,81,1,0,5,43,"Tears of the Yang-Tse",http://www.imdb.com/title/tt0040009/,no,no,no,no,no
7,0,"Xiao cheng zhi chun",1948,http://www.icheckmovies.com/movies/xiao+cheng+zhi+chun/,941,68,6,9,172,"Spring in a Small Town",http://www.imdb.com/title/tt0189219/,"2018-12-03 15:50:54",no,no,no,no
8,0,"Nu lan wu hao",1957,http://www.icheckmovies.com/movies/nu+lan+wu+hao/,21,0,1,1,8,"Woman Basketball Player No. 5",http://www.imdb.com/title/tt0081770/,no,no,no,no,no
9,0,"Wutai jiemei",1964,http://www.icheckmovies.com/movies/wutai+jiemei/,123,5,1,5,58,"Two Stage Sisters",http://www.imdb.com/title/tt0081553/,no,no,no,no,no
10,0,"Hong se niang zi jun",1961,http://www.icheckmovies.com/movies/hong+se+niang+zi+jun/,36,4,0,1,20,"The Red Detachment of Women",http://www.imdb.com/title/tt0472622/,no,no,no,no,no
11,0,"Yi ge he ba ge",1983,http://www.icheckmovies.com/movies/yi+ge+he+ba+ge/,7,0,0,1,10,"One and Eight",http://www.imdb.com/title/tt0086621/,no,no,no,no,no
12,0,"Huang tu di",1985,http://www.icheckmovies.com/movies/huang+tu+di/,562,40,7,9,135,"Yellow Earth",http://www.imdb.com/title/tt0087433/,"2018-12-03 15:26:38",no,no,no,no
13,0,"Hong gao liang",1988,http://www.icheckmovies.com/movies/hong+gao+liang/,1267,64,14,10,155,"Red Sorghum",http://www.imdb.com/title/tt0093206/,"2018-11-17 19:17:56",no,no,no,no
14,0,"Ba wang bie ji",1993,http://www.icheckmovies.com/movies/ba+wang+bie+ji/,2949,264,29,15,287,"Farewell My Concubine",http://www.imdb.com/title/tt0106332/,"2018-04-26 21:47:23",no,no,no,no
15,0,"Ju Dou",1990,http://www.icheckmovies.com/movies/ju+dou/,900,74,3,6,146,,http://www.imdb.com/title/tt0099902/,"2018-12-02 21:51:11",no,no,no,no
16,0,"Da yue bing",1986,http://www.icheckmovies.com/movies/da+yue+bing/,11,1,1,1,10,"The Big Parade",http://www.imdb.com/title/tt0090895/,no,no,no,no,no
17,0,"Hai zi wang",1987,http://www.icheckmovies.com/movies/hai+zi+wang/,52,3,1,2,47,"King of the Children",http://www.imdb.com/title/tt0093133/,no,no,no,no,no
18,0,"Bian zou bian chang",1991,http://www.icheckmovies.com/movies/bian+zou+bian+chang/,67,9,0,3,50,"Life on a String",http://www.imdb.com/title/tt0101440/,no,no,no,no,no
19,0,"Feng yue",1996,http://www.icheckmovies.com/movies/feng+yue/,80,3,2,1,39,"Temptress Moon",http://www.imdb.com/title/tt0116295/,no,no,no,no,no
20,0,"Jing Ke ci Qin Wang",1998,http://www.icheckmovies.com/movies/jing+ke+ci+qin+wang/,184,17,3,1,26,,http://www.imdb.com/title/tt0162866/,no,no,no,no,no
21,0,"He ni zai yi qi",2002,http://www.icheckmovies.com/movies/he+ni+zai+yi+qi/,168,17,0,1,26,"Together with You",http://www.imdb.com/title/tt0332639/,no,no,no,no,no
22,0,"Da hong deng long gao gao gua",1991,http://www.icheckmovies.com/movies/da+hong+deng+long+gao+gao+gua/,4051,567,20,18,394,"Raise the Red Lantern",http://www.imdb.com/title/tt0101640/,"2018-04-26 21:46:43",no,no,no,no
23,0,"Qiu Ju da guan si",1992,http://www.icheckmovies.com/movies/qiu+ju+da+guan+si/,594,46,6,9,130,"The Story of Qiu Ju",http://www.imdb.com/title/tt0105197/,"2018-12-01 09:45:48",no,no,no,no
24,0,"Huo zhe",1994,http://www.icheckmovies.com/movies/huo+zhe/,1048,133,6,4,159,"To Live",http://www.imdb.com/title/tt0110081/,"2018-12-02 21:50:34",no,no,no,no
25,0,"Yao a yao, yao dao wai po qiao",1995,http://www.icheckmovies.com/movies/yao+a+yao+yao+dao+wai+po+qiao/,285,17,2,1,63,"Shanghai Triad",http://www.imdb.com/title/tt0115012/,"2018-12-02 21:52:08",no,no,no,no
26,0,"You hua hao hao shuo",1997,http://www.icheckmovies.com/movies/you+hua+hao+hao+shuo/,45,3,0,1,20,"Keep Cool",http://www.imdb.com/title/tt0120543/,no,no,no,no,no
27,0,"Yi ge dou bu neng shao",1999,http://www.icheckmovies.com/movies/yi+ge+dou+bu+neng+shao/,634,61,0,4,72,"Not One Less",http://www.imdb.com/title/tt0209189/,"2018-12-02 21:51:08",no,no,no,no
28,0,"Wo de fu qin mu qin",1999,http://www.icheckmovies.com/movies/wo+de+fu+qin+mu+qin/,525,67,5,2,75,"The Road Home",http://www.imdb.com/title/tt0235060/,"2018-12-02 21:51:02",no,no,no,no
29,0,"Xing fu shi guang",2000,http://www.icheckmovies.com/movies/xing+fu+shi+guang/,194,21,0,1,36,"Happy Times",http://www.imdb.com/title/tt0303243/,"2018-12-02 21:52:08",no,no,no,no
30,0,"Ying xiong",2002,http://www.icheckmovies.com/movies/ying+xiong/,12223,1120,90,7,364,Hero,http://www.imdb.com/title/tt0299977/,"2018-04-26 21:51:09",no,no,no,no
31,0,"Shi mian mai fu",2004,http://www.icheckmovies.com/movies/shi+mian+mai+fu/,11040,696,81,5,231,"House of Flying Daggers",http://www.imdb.com/title/tt0385004/,"2018-04-28 23:09:34",no,no,no,no
32,0,"Qian li zou dan qi",2005,http://www.icheckmovies.com/movies/qian+li+zou+dan+qi/,218,26,2,1,70,"Riding Alone for Thousands of Miles",http://www.imdb.com/title/tt0437447/,no,no,no,no,no
33,0,"Man cheng jin dai huang jin jia",2006,http://www.icheckmovies.com/movies/man+cheng+jin+dai+huang+jin+jia/,1928,114,29,2,105,"Curse of the Golden Flower",http://www.imdb.com/title/tt0473444/,"2018-11-08 00:23:57",no,no,no,no
34,0,"Lie chang zha sha",1984,http://www.icheckmovies.com/movies/lie+chang+zha+sha/,6,0,0,1,7,"On the Hunting Ground",http://www.imdb.com/title/tt0087841/,no,no,no,no,no
35,0,"Dao ma zei",1986,http://www.icheckmovies.com/movies/dao+ma+zei/,396,23,4,7,146,"The Horse Thief",http://www.imdb.com/title/tt0090907/,"2018-12-01 09:40:09",no,no,no,no
36,0,"Lan feng zheng",1993,http://www.icheckmovies.com/movies/lan+feng+zheng/,605,38,5,8,134,"The Blue Kite",http://www.imdb.com/title/tt0107358/,no,no,no,no,no
37,0,"Xiao cheng zhi chun",2002,http://www.icheckmovies.com/movies/xiao+cheng+zhi+chun-2002/,216,14,7,3,61,"Springtime in a Small Town",http://www.imdb.com/title/tt0332831/,no,no,no,no,no
38,0,"Cha ma gu dao xi lie",2004,http://www.icheckmovies.com/movies/cha+ma+gu+dao+xi+lie/,42,2,0,2,33,"Tea-Horse Road Series: Delamu",http://www.imdb.com/title/tt0416634/,no,no,no,no,no
39,0,"Wu Qingyuan",2006,http://www.icheckmovies.com/movies/wu+qingyuan/,36,3,0,1,20,"The Go Master",http://www.imdb.com/title/tt0439885/,no,no,no,no,no
40,0,"Beijing za zhong",1993,http://www.icheckmovies.com/movies/beijing+za+zhong/,21,0,2,1,8,"Beijing Bastards",http://www.imdb.com/title/tt0106378/,no,no,no,no,no
41,0,"Guang Chang",1994,http://www.icheckmovies.com/movies/guang+chang/,2,0,1,1,4,"The Square",http://www.imdb.com/title/tt0109948/,no,no,no,no,no
42,0,Erzi,1996,http://www.icheckmovies.com/movies/erzi/,3,0,0,1,10,,http://www.imdb.com/title/tt0116223/,no,no,no,no,no
43,0,"Dong gong xi gong",1996,http://www.icheckmovies.com/movies/dong+gong+xi+gong/,37,2,1,1,18,"Behind the Forbidden City",http://www.imdb.com/title/tt0119007/,no,no,no,no,no
44,0,"Guo nian hui jia",1999,http://www.icheckmovies.com/movies/guo+nian+hui+jia/,47,7,1,1,14,"Seventeen Years",http://www.imdb.com/title/tt0213695/,no,no,no,no,no
45,0,"Wo ai ni",2002,http://www.icheckmovies.com/movies/wo+ai+ni/,8,0,0,1,5,"I Love You",http://www.imdb.com/title/tt0342555/,no,no,no,no,no
46,0,"Lü cha",2003,http://www.icheckmovies.com/movies/lu+cha/,26,2,0,1,10,"Green Tea",http://www.imdb.com/title/tt0382821/,no,no,no,no,no
47,0,"Dongchun de rizi",1993,http://www.icheckmovies.com/movies/dongchun+de+rizi/,16,1,0,1,9,"The Days",http://www.imdb.com/title/tt0106750/,no,no,no,no,no
