rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The 7th Voyage of Sinbad",1958,http://www.icheckmovies.com/movies/the+7th+voyage+of+sinbad/,1703,72,11,4,120,,http://www.imdb.com/title/tt0051337/,"2018-10-17 01:49:19",no,no,no,no
2,0,"The Abominable Dr. Phibes",1971,http://www.icheckmovies.com/movies/the+abominable+dr.+phibes/,1796,136,14,3,169,"The Curse of Dr. Phibes",http://www.imdb.com/title/tt0066740/,"2018-11-08 00:22:24",no,no,no,no
3,0,"Attack of the Killer Tomatoes!",1978,http://www.icheckmovies.com/movies/attack+of+the+killer+tomatoesexclamation/,1890,46,72,2,88,,http://www.imdb.com/title/tt0080391/,no,no,no,no,no
4,0,"Bad Taste",1987,http://www.icheckmovies.com/movies/bad+taste/,5135,259,106,4,183,,http://www.imdb.com/title/tt0092610/,no,no,no,no,no
5,0,"The Brain That Wouldn't Die",1962,http://www.icheckmovies.com/movies/the+brain+that+wouldnt+die/,706,14,43,2,82,"The Head That Wouldn't Die",http://www.imdb.com/title/tt0052646/,no,no,no,no,no
6,0,"Los campeones justicieros",1971,http://www.icheckmovies.com/movies/los+campeones+justicieros/,46,0,2,1,18,"The Champions of Justice",http://www.imdb.com/title/tt0261597/,no,no,no,no,no
7,0,"Tian can di que",1979,http://www.icheckmovies.com/movies/tian+can+di+que/,144,9,6,1,28,"Crippled Masters",http://www.imdb.com/title/tt0122029/,no,no,no,no,no
8,0,"Dawn of the Dead",1978,http://www.icheckmovies.com/movies/dawn+of+the+dead/,28359,1578,143,16,571,"Dawn of the Living Dead",http://www.imdb.com/title/tt0077402/,"2018-04-26 21:41:04",no,no,no,no
9,0,Braindead,1992,http://www.icheckmovies.com/movies/braindead/,10009,948,110,5,364,"Dead Alive",http://www.imdb.com/title/tt0103873/,"2018-04-28 16:06:05",no,no,no,no
10,0,"Death Race 2000",1975,http://www.icheckmovies.com/movies/death+race+2000/,3342,153,51,4,155,,http://www.imdb.com/title/tt0072856/,"2018-10-17 22:03:45",no,no,no,no
11,0,"Kaijû sôshingeki",1968,http://www.icheckmovies.com/movies/kaiju+soshingeki/,596,25,11,1,72,"Destroy All Monsters",http://www.imdb.com/title/tt0063172/,no,no,no,no,no
12,0,Dolemite,1975,http://www.icheckmovies.com/movies/dolemite/,423,14,17,2,58,,http://www.imdb.com/title/tt0072895/,"2018-11-08 00:25:50",no,no,no,no
13,0,"Gui ma tian shi",1984,http://www.icheckmovies.com/movies/gui+ma+tian+shi/,54,2,3,1,17,,http://www.imdb.com/title/tt0085628/,no,no,no,no,no
14,0,"Tomorrow's Drivers",1954,http://www.icheckmovies.com/movies/tomorrows+drivers/,253,2,4,1,11,,http://www.imdb.com/title/tt0332441/,no,no,no,no,no
15,0,"Joy Ride: An Auto Theft",1976,http://www.icheckmovies.com/movies/joy+ride+an+auto+theft/,252,4,10,1,14,,http://www.imdb.com/title/tt0359522/,no,no,no,no,no
16,0,Alco-Beat,1965,http://www.icheckmovies.com/movies/alco-beat/,216,1,3,1,10,,http://www.imdb.com/title/tt0326498/,no,no,no,no,no
17,,"The Bottle and the Throttle",1961,http://www.icheckmovies.com/movies/the+bottle+and+the+throttle-1961/,149,1,1,1,5,,http://www.imdb.com/title/tt5636262/,no,no,no,no,no
18,0,"Highball Highway",1963,http://www.icheckmovies.com/movies/highball+highway/,236,0,8,1,9,,http://www.imdb.com/title/tt2333314/,no,no,no,no,no
19,0,"The Talking Car",1969,http://www.icheckmovies.com/movies/the+talking+car/,218,0,18,1,12,,http://www.imdb.com/title/tt0400872/,no,no,no,no,no
20,0,"The Last Prom",1980,http://www.icheckmovies.com/movies/the+last+prom/,179,1,10,1,13,,http://www.imdb.com/title/tt0216870/,no,no,no,no,no
21,0,"Safety Belt for Susie",1962,http://www.icheckmovies.com/movies/safety+belt+for+susie/,267,0,5,1,10,,http://www.imdb.com/title/tt0332365/,no,no,no,no,no
22,0,"I Like Bikes... But",1978,http://www.icheckmovies.com/movies/i+like+bikes...+but/,244,1,30,1,17,,http://www.imdb.com/title/tt0406859/,no,no,no,no,no
23,0,"The Crossroads Crash",1973,http://www.icheckmovies.com/movies/the+crossroads+crash-1973/,272,0,8,1,14,,http://www.imdb.com/title/tt0408646/,no,no,no,no,no
24,0,"El topo",1970,http://www.icheckmovies.com/movies/el+topo/,4449,461,80,7,298,"El Topo",http://www.imdb.com/title/tt0067866/,no,no,no,no,no
25,0,"Evil Dead II",1987,http://www.icheckmovies.com/movies/evil+dead+ii/,21985,1839,172,8,478,"Evil Dead 2: Dead by Dawn",http://www.imdb.com/title/tt0092991/,"2018-04-28 16:05:44",no,no,no,no
26,0,"Faster, Pussycat! Kill! Kill!",1965,http://www.icheckmovies.com/movies/faster+pussycatexclamation+killexclamation+killexclamation/,3959,251,62,7,168,"The Leather Girls",http://www.imdb.com/title/tt0059170/,"2018-10-17 01:31:57",no,no,no,no
27,0,"Fiend Without a Face",1958,http://www.icheckmovies.com/movies/fiend+without+a+face/,815,17,15,5,97,,http://www.imdb.com/title/tt0050393/,no,no,no,no,no
28,0,"Hokuto no Ken",1986,http://www.icheckmovies.com/movies/hokuto+no+ken/,345,15,5,2,36,"Fist of the North Star",http://www.imdb.com/title/tt0142371/,no,no,no,no,no
29,0,"Ren zhe wu di",1982,http://www.icheckmovies.com/movies/ren+zhe+wu+di/,256,23,0,2,52,"Five Element Ninjas",http://www.imdb.com/title/tt0084921/,no,no,no,no,no
30,0,"Flash Gordon",1980,http://www.icheckmovies.com/movies/flash+gordon/,5968,220,74,5,142,,http://www.imdb.com/title/tt0080745/,"2018-10-17 01:43:03",no,no,no,no
31,0,"The Fly",1958,http://www.icheckmovies.com/movies/the+fly-1958/,5920,150,28,4,178,,http://www.imdb.com/title/tt0051622/,"2018-06-11 13:02:06",no,no,no,no
32,0,"Forbidden Zone",1980,http://www.icheckmovies.com/movies/forbidden+zone/,648,79,26,2,95,,http://www.imdb.com/title/tt0080752/,"2018-11-08 00:25:58",no,no,no,no
33,0,"Gamera tai daiakuju Giron",1969,http://www.icheckmovies.com/movies/gamera+tai+daiakuju+giron/,267,6,23,1,40,"Gamera vs. Guillon",http://www.imdb.com/title/tt0064360/,no,no,no,no,no
34,0,"Gamera daikaijû kuchu kessen",1995,http://www.icheckmovies.com/movies/gamera+daikaiju+kuchu+kessen/,186,6,4,1,36,"Gamera: Guardian of the Universe",http://www.imdb.com/title/tt0113142/,no,no,no,no,no
35,0,"The Giant Claw",1957,http://www.icheckmovies.com/movies/the+giant+claw/,326,12,21,1,52,,http://www.imdb.com/title/tt0050432/,"2018-11-08 01:08:26",no,no,no,no
36,0,"Kaijû daisensô",1965,http://www.icheckmovies.com/movies/kaiju+daisenso/,367,11,3,1,50,"Invasion of Astro-Monster",http://www.imdb.com/title/tt0059346/,no,no,no,no,no
37,0,"Greaser's Palace",1972,http://www.icheckmovies.com/movies/greasers+palace/,152,5,9,2,48,,http://www.imdb.com/title/tt0068659/,no,no,no,no,no
38,0,Gymkata,1985,http://www.icheckmovies.com/movies/gymkata/,419,10,24,1,50,,http://www.imdb.com/title/tt0089243/,no,no,no,no,no
39,0,"Hawk the Slayer",1980,http://www.icheckmovies.com/movies/hawk+the+slayer/,222,7,10,2,42,,http://www.imdb.com/title/tt0080846/,no,no,no,no,no
40,0,Hundra,1983,http://www.icheckmovies.com/movies/hundra/,63,1,8,1,17,,http://www.imdb.com/title/tt0087436/,no,no,no,no,no
41,0,"Zhong guo chao ren",1975,http://www.icheckmovies.com/movies/zhong+guo+chao+ren/,229,17,11,1,59,Infra-Man,http://www.imdb.com/title/tt0073168/,no,no,no,no,no
42,0,"Killer Klowns from Outer Space",1988,http://www.icheckmovies.com/movies/killer+klowns+from+outer+space/,4819,220,96,3,153,,http://www.imdb.com/title/tt0095444/,no,no,no,no,no
43,0,"The Killer Shrews",1959,http://www.icheckmovies.com/movies/the+killer+shrews/,480,7,39,1,69,,http://www.imdb.com/title/tt0052969/,no,no,no,no,no
44,0,Maniac,1934,http://www.icheckmovies.com/movies/maniac-1934/,394,5,57,3,90,,http://www.imdb.com/title/tt0025465/,no,no,no,no,no
45,0,"Du bi quan wang da po xue di zi",1976,http://www.icheckmovies.com/movies/du+bi+quan+wang+da+po+xue+di+zi/,612,59,4,3,79,"Master of the Flying Guillotine",http://www.imdb.com/title/tt0072913/,no,no,no,no,no
46,0,"Maximum Overdrive",1986,http://www.icheckmovies.com/movies/maximum+overdrive/,1908,56,72,2,90,,http://www.imdb.com/title/tt0091499/,no,no,no,no,no
47,0,"Meet the Feebles",1989,http://www.icheckmovies.com/movies/meet+the+feebles/,1863,96,32,3,77,,http://www.imdb.com/title/tt0097858/,no,no,no,no,no
48,0,"Plan 9 from Outer Space",1959,http://www.icheckmovies.com/movies/plan+9+from+outer+space/,4635,155,222,4,219,,http://www.imdb.com/title/tt0052077/,"2018-10-17 22:34:22",no,no,no,no
49,0,"Planet of the Apes",1968,http://www.icheckmovies.com/movies/planet+of+the+apes/,38735,1747,155,15,509,"Monkey Planet",http://www.imdb.com/title/tt0063442/,"2018-01-31 08:56:48",no,no,no,no
50,0,"Shao Lin nian si liu ma",1982,http://www.icheckmovies.com/movies/shao+lin+nian+si+liu+ma/,53,0,1,1,12,"Raiders of the Shaolin Temple",http://www.imdb.com/title/tt0445046/,no,no,no,no,no
51,0,Reptilicus,1961,http://www.icheckmovies.com/movies/reptilicus/,409,10,24,1,50,,http://www.imdb.com/title/tt0056405/,no,no,no,no,no
52,0,"The Resurrected",1991,http://www.icheckmovies.com/movies/the+resurrected/,216,4,3,2,42,Shatterbrain,http://www.imdb.com/title/tt0105242/,"2018-11-08 00:28:20",no,no,no,no
53,0,"The Return of the Living Dead",1985,http://www.icheckmovies.com/movies/the+return+of+the+living+dead/,6362,330,43,3,222,,http://www.imdb.com/title/tt0089907/,"2018-10-17 02:18:22",no,no,no,no
54,0,"Robot Monster",1953,http://www.icheckmovies.com/movies/robot+monster/,504,19,47,2,88,"Monster from Mars",http://www.imdb.com/title/tt0046248/,"2018-11-08 00:27:26",no,no,no,no
55,0,"The Rocky Horror Picture Show",1975,http://www.icheckmovies.com/movies/the+rocky+horror+picture+show/,31029,2616,352,11,451,,http://www.imdb.com/title/tt0073629/,"2018-04-26 21:39:40",no,no,no,no
56,0,"Sora no daikaijû Radon",1956,http://www.icheckmovies.com/movies/sora+no+daikaiju+radon/,402,7,5,1,65,"Rodan! The Flying Monster",http://www.imdb.com/title/tt0049782/,no,no,no,no,no
57,0,Rollerball,1975,http://www.icheckmovies.com/movies/rollerball/,3345,108,35,4,121,,http://www.imdb.com/title/tt0073631/,"2018-11-19 21:32:18",no,no,no,no
58,0,"Santa Claus",1959,http://www.icheckmovies.com/movies/santa+claus-1959-1/,421,10,41,2,45,,http://www.imdb.com/title/tt0053241/,no,no,no,no,no
59,0,Slither,2006,http://www.icheckmovies.com/movies/slither/,8050,269,133,3,178,,http://www.imdb.com/title/tt0439815/,no,no,no,no,no
60,0,Starcrash,1978,http://www.icheckmovies.com/movies/starcrash/,517,18,34,1,65,,http://www.imdb.com/title/tt0079946/,"2018-11-08 01:18:28",no,no,no,no
61,0,"Lik wong",1991,http://www.icheckmovies.com/movies/lik+wong/,1512,137,30,3,123,"Riki-Oh: The Story of Ricky",http://www.imdb.com/title/tt0102293/,no,no,no,no,no
62,0,"Streets of Fire",1984,http://www.icheckmovies.com/movies/streets+of+fire/,956,77,12,1,63,,http://www.imdb.com/title/tt0088194/,"2018-11-08 01:21:39",no,no,no,no
63,0,"Tarkan Viking kani",1971,http://www.icheckmovies.com/movies/tarkan+viking+kani/,246,1,11,1,24,"Tarkan and the Blood of the Vikings",http://www.imdb.com/title/tt0274932/,no,no,no,no,no
64,0,"Kaitei daisensô",1966,http://www.icheckmovies.com/movies/kaitei+daisenso/,62,0,2,1,20,"The Terror Beneath the Sea",http://www.imdb.com/title/tt0060580/,no,no,no,no,no
65,0,"The Terror of Tiny Town",1938,http://www.icheckmovies.com/movies/the+terror+of+tiny+town/,243,3,17,1,39,,http://www.imdb.com/title/tt0030845/,no,no,no,no,no
66,0,"There's Nothing Out There",1991,http://www.icheckmovies.com/movies/theres+nothing+out+there/,99,3,3,1,55,,http://www.imdb.com/title/tt0103077/,no,no,no,no,no
