rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Best Years of Our Lives",1946,http://www.icheckmovies.com/movies/the+best+years+of+our+lives/,7268,718,48,27,558,,http://www.imdb.com/title/tt0036868/,"2018-04-26 21:29:17",no,no,no,no
2,0,Hamlet,1948,http://www.icheckmovies.com/movies/hamlet/,4047,146,32,9,205,,http://www.imdb.com/title/tt0040416/,"2018-06-11 13:03:23",no,no,no,no
3,0,"Ladri di biciclette",1948,http://www.icheckmovies.com/movies/ladri+di+biciclette/,19416,2275,111,34,851,"Bicycle Thieves",http://www.imdb.com/title/tt0040522/,"2018-04-26 21:29:56",no,no,no,no
4,0,"All About Eve",1950,http://www.icheckmovies.com/movies/all+about+eve/,15894,1860,63,23,716,,http://www.imdb.com/title/tt0042192/,"2018-04-26 21:30:37",no,no,no,no
5,0,"La Ronde",1950,http://www.icheckmovies.com/movies/la+ronde/,1284,120,9,8,198,"La Ronde",http://www.imdb.com/title/tt0042906/,no,no,no,no,no
6,0,"The Sound Barrier",1952,http://www.icheckmovies.com/movies/the+sound+barrier/,293,4,3,1,60,,http://www.imdb.com/title/tt0044446/,"2018-11-08 01:06:54",no,no,no,no
7,0,"Jeux interdits",1952,http://www.icheckmovies.com/movies/jeux+interdits/,2488,337,8,14,297,"Forbidden Games",http://www.imdb.com/title/tt0043686/,"2018-04-26 21:31:16",no,no,no,no
8,0,"Le salaire de la peur",1953,http://www.icheckmovies.com/movies/le+salaire+de+la+peur/,6888,1132,50,24,546,"The Wages of Fear",http://www.imdb.com/title/tt0046268/,"2018-01-10 16:59:22",no,no,no,no
9,0,"Richard III",1955,http://www.icheckmovies.com/movies/richard+iii/,943,29,10,5,120,,http://www.imdb.com/title/tt0049674/,"2018-06-11 13:10:03",no,no,no,no
10,0,Gervaise,1956,http://www.icheckmovies.com/movies/gervaise/,289,14,0,3,102,,http://www.imdb.com/title/tt0049259/,no,no,no,no,no
11,0,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,24796,1695,70,30,654,,http://www.imdb.com/title/tt0050212/,"2018-01-10 16:57:56",no,no,no,no
12,0,"Room at the Top",1959,http://www.icheckmovies.com/movies/room+at+the+top/,865,56,3,7,158,,http://www.imdb.com/title/tt0053226/,"2018-06-11 13:10:14",no,no,no,no
13,0,Ben-Hur,1959,http://www.icheckmovies.com/movies/ben-hur/,29867,1201,180,24,568,,http://www.imdb.com/title/tt0052618/,"2018-04-26 21:33:55",no,no,no,no
14,0,"The Apartment",1960,http://www.icheckmovies.com/movies/the+apartment/,19885,2605,72,26,763,,http://www.imdb.com/title/tt0053604/,"2018-04-26 21:34:16",no,no,no,no
15,0,"Ballada o soldate",1959,http://www.icheckmovies.com/movies/ballada+o+soldate/,1754,271,11,14,237,"Ballad of a Soldier",http://www.imdb.com/title/tt0052600/,"2018-11-08 00:21:32",no,no,no,no
16,0,"The Hustler",1961,http://www.icheckmovies.com/movies/the+hustler/,10901,796,46,14,464,,http://www.imdb.com/title/tt0054997/,"2018-04-26 21:34:46",no,no,no,no
17,0,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,28886,2663,192,40,956,,http://www.imdb.com/title/tt0056172/,"2018-01-10 16:56:42",no,no,no,no
18,0,"Tom Jones",1963,http://www.icheckmovies.com/movies/tom+jones/,1958,46,90,11,176,,http://www.imdb.com/title/tt0057590/,"2018-06-11 13:13:50",no,no,no,no
19,0,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,http://www.icheckmovies.com/movies/dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb/,48336,6168,316,33,1125,,http://www.imdb.com/title/tt0057012/,"2018-04-26 21:35:58",no,no,no,no
20,0,"My Fair Lady",1964,http://www.icheckmovies.com/movies/my+fair+lady/,21043,1100,126,17,386,,http://www.imdb.com/title/tt0058385/,"2018-04-26 21:35:57",no,no,no,no
21,0,"Who's Afraid of Virginia Woolf?",1966,http://www.icheckmovies.com/movies/whos+afraid+of+virginia+woolfquestion/,11848,1243,100,16,464,,http://www.imdb.com/title/tt0061184/,"2018-04-26 21:36:46",no,no,no,no
