rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Crazy Love",1987,http://www.icheckmovies.com/movies/crazy+love/,141,8,5,1,33,"Love Is a Dog from Hell",http://www.imdb.com/title/tt0092794/,no,no,no,no,no
2,0,"Urs al-jalil",1987,http://www.icheckmovies.com/movies/urs+al-jalil/,116,2,2,4,51,"Wedding in Galilee",http://www.imdb.com/title/tt0094229/,no,no,no,no,no
3,0,"Blueberry Hill",1989,http://www.icheckmovies.com/movies/blueberry+hill-1989/,58,1,0,1,12,,http://www.imdb.com/title/tt0096961/,no,no,no,no,no
4,0,"Wait Until Spring, Bandini",1989,http://www.icheckmovies.com/movies/wait+until+spring+bandini/,66,2,1,1,17,,http://www.imdb.com/title/tt0098615/,no,no,no,no,no
5,0,"Toto le héros",1991,http://www.icheckmovies.com/movies/toto+le+heros/,597,58,6,3,84,"Totò the Hero",http://www.imdb.com/title/tt0103105/,no,no,no,no,no
6,0,"Eline Vere",1991,http://www.icheckmovies.com/movies/eline+vere/,58,0,1,1,16,,http://www.imdb.com/title/tt0101805/,no,no,no,no,no
7,0,Daens,1992,http://www.icheckmovies.com/movies/daens/,653,19,3,2,60,,http://www.imdb.com/title/tt0104046/,no,no,no,no,no
8,0,"Just Friends",1993,http://www.icheckmovies.com/movies/just+friends-1993-1/,21,0,0,1,20,,http://www.imdb.com/title/tt0107291/,no,no,no,no,no
9,0,"Manneken Pis",1995,http://www.icheckmovies.com/movies/manneken+pis/,66,3,0,1,21,,http://www.imdb.com/title/tt0113767/,no,no,no,no,no
10,0,"Le huitième jour",1996,http://www.icheckmovies.com/movies/le+huitieme+jour/,895,55,15,1,49,"The Eighth Day",http://www.imdb.com/title/tt0116581/,no,no,no,no,no
11,0,"La promesse",1996,http://www.icheckmovies.com/movies/la+promesse/,1081,114,5,4,156,"La Promesse",http://www.imdb.com/title/tt0117398/,"2018-12-04 14:50:34",no,no,no,no
12,0,"Le bal masqué",1998,http://www.icheckmovies.com/movies/le+bal+masque/,21,0,0,1,10,,http://www.imdb.com/title/tt0160027/,no,no,no,no,no
13,0,Rosie,1998,http://www.icheckmovies.com/movies/rosie/,40,0,0,1,20,,http://www.imdb.com/title/tt0163185/,no,no,no,no,no
14,0,Rosetta,1999,http://www.icheckmovies.com/movies/rosetta/,2039,214,21,9,222,,http://www.imdb.com/title/tt0200071/,"2018-11-25 14:34:44",no,no,no,no
15,0,"Pauline & Paulette",2001,http://www.icheckmovies.com/movies/pauline+and+paulette/,311,11,2,1,29,"Pauline and Paulette",http://www.imdb.com/title/tt0256259/,no,no,no,no,no
16,0,"Le fils",2002,http://www.icheckmovies.com/movies/le+fils/,1671,179,17,7,208,"The Son",http://www.imdb.com/title/tt0291172/,"2018-12-04 14:50:46",no,no,no,no
17,0,"De zaak Alzheimer",2003,http://www.icheckmovies.com/movies/de+zaak+alzheimer/,862,19,9,1,34,"The Memory of a Killer",http://www.imdb.com/title/tt0374345/,no,no,no,no,no
18,0,"Steve + Sky",2004,http://www.icheckmovies.com/movies/steve+plus+sky/,196,4,3,1,11,,http://www.imdb.com/title/tt0399692/,no,no,no,no,no
19,0,L'enfant,2005,http://www.icheckmovies.com/movies/lenfant/,3244,189,31,7,186,"The Child",http://www.imdb.com/title/tt0456396/,"2018-11-25 21:36:27",no,no,no,no
20,0,"De helaasheid der dingen",2009,http://www.icheckmovies.com/movies/de+helaasheid+der+dingen/,1138,93,7,1,41,"The Misfortunates",http://www.imdb.com/title/tt1075110/,no,no,no,no,no
21,0,"Mr. Nobody",2009,http://www.icheckmovies.com/movies/mr.+nobody/,12972,1960,212,3,301,,http://www.imdb.com/title/tt0485947/,"2018-10-17 22:28:42",no,no,no,no
22,0,Rundskop,2011,http://www.icheckmovies.com/movies/rundskop/,1829,136,19,2,96,Bullhead,http://www.imdb.com/title/tt1821593/,no,no,no,no,no
23,0,"Les géants",2011,http://www.icheckmovies.com/movies/les+geants/,275,9,1,1,43,"The Giants",http://www.imdb.com/title/tt1756595/,no,no,no,no,no
24,0,"Tot altijd",2012,http://www.icheckmovies.com/movies/tot+altijd/,192,5,1,1,16,"Time of My Life",http://www.imdb.com/title/tt1919174/,no,no,no,no,no
25,0,"À perdre la raison",2012,http://www.icheckmovies.com/movies/a+perdre+la+raison/,240,16,2,1,41,"Our Children",http://www.imdb.com/title/tt1660302/,no,no,no,no,no
26,0,"The Broken Circle Breakdown",2012,http://www.icheckmovies.com/movies/the+broken+circle+breakdown/,2362,319,29,3,157,,http://www.imdb.com/title/tt2024519/,"2018-10-17 21:57:22",no,no,no,no
27,0,"Ernest et Célestine",2012,http://www.icheckmovies.com/movies/ernest+et+celestine/,1557,244,1,4,134,"Ernest & Celestine",http://www.imdb.com/title/tt1816518/,no,no,no,no,no
28,0,Marina,2013,http://www.icheckmovies.com/movies/marina-2013/,248,10,3,1,17,,http://www.imdb.com/title/tt2614860/,no,no,no,no,no
29,0,"Deux jours, une nuit",2014,http://www.icheckmovies.com/movies/deux+jours+une+nuit/,3102,287,23,3,237,"Two Days, One Night",http://www.imdb.com/title/tt2737050/,no,no,no,no,no
30,0,"N: The Madness of Reason",2014,http://www.icheckmovies.com/movies/n+the+madness+of+reason/,26,1,2,1,11,,http://www.imdb.com/title/tt3514982/,no,no,no,no,no
31,0,"Le tout nouveau testament",2015,http://www.icheckmovies.com/movies/le+tout+nouveau+testament/,1105,112,12,1,76,"The Brand New Testament",http://www.imdb.com/title/tt3792960/,no,no,no,no,no
32,0,D'Ardennen,2015,http://www.icheckmovies.com/movies/dardennen/,310,16,0,2,40,"The Ardennes",http://www.imdb.com/title/tt2586118/,no,no,no,no,no
33,0,"Les premiers les derniers",2016,http://www.icheckmovies.com/movies/les+premiers+les+derniers/,68,1,0,1,7,"The First, the Last",http://www.imdb.com/title/tt5072542/,no,no,no,no,no
34,0,Home,2016,http://www.icheckmovies.com/movies/home-2016-1/,79,6,0,1,26,,http://www.imdb.com/title/tt4047846/,no,no,no,no,no
35,0,Insyriated,2017,http://www.icheckmovies.com/movies/insyriated/,84,4,0,1,12,"In Syria",http://www.imdb.com/title/tt6497898/,no,no,no,no,no
36,,"Le Fidèle",2017,http://www.icheckmovies.com/movies/le+fidele/,128,7,3,1,11,"Racer and the Jailbird",http://www.imdb.com/title/tt2586120/,no,no,no,no,no
37,,Zagros,2017,http://www.icheckmovies.com/movies/zagros/,11,2,0,1,3,,http://www.imdb.com/title/tt3641502/,no,no,no,no,no
