rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Hon dansade en sommar",1951,http://www.icheckmovies.com/movies/hon+dansade+en+sommar/,172,8,0,1,58,"One Summer of Happiness",http://www.imdb.com/title/tt0043652/,no,no,no,no,no
2,0,"Le salaire de la peur",1953,http://www.icheckmovies.com/movies/le+salaire+de+la+peur/,6888,1132,50,24,546,"The Wages of Fear",http://www.imdb.com/title/tt0046268/,"2018-01-10 16:59:22",no,no,no,no
3,0,"Hobson's Choice",1954,http://www.icheckmovies.com/movies/hobsons+choice/,825,76,4,4,81,,http://www.imdb.com/title/tt0047094/,"2018-10-17 22:12:54",no,no,no,no
4,0,"Die Ratten",1955,http://www.icheckmovies.com/movies/die+ratten/,54,1,0,1,18,"The Rats",http://www.imdb.com/title/tt0048542/,no,no,no,no,no
5,0,"Invitation to the Dance",1956,http://www.icheckmovies.com/movies/invitation+to+the+dance/,175,1,3,1,34,,http://www.imdb.com/title/tt0049367/,no,no,no,no,no
6,0,"12 Angry Men",1957,http://www.icheckmovies.com/movies/12+angry+men/,50831,7829,110,29,1016,,http://www.imdb.com/title/tt0050083/,"2018-04-26 21:32:58",no,no,no,yes
7,0,Smultronstället,1957,http://www.icheckmovies.com/movies/smultronstallet/,11343,1556,77,21,617,"Wild Strawberries",http://www.imdb.com/title/tt0050986/,"2018-04-26 21:33:04",no,no,no,no
8,0,"Les cousins",1959,http://www.icheckmovies.com/movies/les+cousins/,629,48,8,6,109,"The Cousins",http://www.imdb.com/title/tt0052708/,no,no,no,no,no
9,0,"El Lazarillo de Tormes",1959,http://www.icheckmovies.com/movies/el+lazarillo+de+tormes/,53,0,0,1,17,,http://www.imdb.com/title/tt0052995/,no,no,no,no,no
10,0,"La notte",1961,http://www.icheckmovies.com/movies/la+notte/,2784,355,18,11,277,"The Night",http://www.imdb.com/title/tt0054130/,"2018-11-16 13:56:28",no,no,no,no
11,0,"A Kind of Loving",1962,http://www.icheckmovies.com/movies/a+kind+of+loving/,215,13,1,2,56,,http://www.imdb.com/title/tt0056141/,"2018-11-08 00:25:05",no,no,no,no
12,0,"Il diavolo",1963,http://www.icheckmovies.com/movies/il+diavolo/,25,0,0,1,17,"The Devil",http://www.imdb.com/title/tt0056995/,no,no,no,no,no
13,0,"Bushidô zankoku monogatari",1963,http://www.icheckmovies.com/movies/bushido+zankoku+monogatari/,73,4,0,1,40,Bushido,http://www.imdb.com/title/tt0055816/,no,no,no,no,no
14,0,"Susuz Yaz",1963,http://www.icheckmovies.com/movies/susuz+yaz/,570,46,6,4,109,"Dry Summer",http://www.imdb.com/title/tt0062322/,"2018-10-17 22:39:45",no,no,no,no
15,0,"Alphaville, une étrange aventure de Lemmy Caution",1965,http://www.icheckmovies.com/movies/alphaville+une+etrange+aventure+de+lemmy+caution/,5222,379,111,14,319,Alphaville,http://www.imdb.com/title/tt0058898/,"2018-10-29 22:09:42",no,no,no,no
16,0,Cul-de-sac,1966,http://www.icheckmovies.com/movies/cul-de-sac/,1877,134,21,7,134,Cul-De-Sac,http://www.imdb.com/title/tt0060268/,"2018-04-28 22:52:27",no,no,no,no
17,0,"Le départ",1967,http://www.icheckmovies.com/movies/le+depart/,151,7,2,2,38,,http://www.imdb.com/title/tt0061605/,no,no,no,no,no
18,0,"Ole dole doff",1968,http://www.icheckmovies.com/movies/ole+dole+doff/,89,2,1,1,31,"Who Saw Him Die?",http://www.imdb.com/title/tt0063384/,no,no,no,no,no
19,0,"Rani radovi",1969,http://www.icheckmovies.com/movies/rani+radovi/,78,4,1,2,30,"Early Works",http://www.imdb.com/title/tt0064874/,no,no,no,no,no
20,0,"Il giardino dei Finzi Contini",1970,http://www.icheckmovies.com/movies/il+giardino+dei+finzi+contini/,1000,52,12,8,146,"The Garden of the Finzi-Continis",http://www.imdb.com/title/tt0065777/,"2018-12-05 09:45:56",no,no,no,no
21,0,"I racconti di Canterbury",1972,http://www.icheckmovies.com/movies/i+racconti+di+canterbury/,805,42,30,2,74,"The Canterbury Tales",http://www.imdb.com/title/tt0067647/,"2018-11-08 00:26:19",no,no,no,no
22,0,"Ashani Sanket",1973,http://www.icheckmovies.com/movies/ashani+sanket/,185,14,1,5,81,"Distant Thunder",http://www.imdb.com/title/tt0069737/,no,no,no,no,no
23,0,"The Apprenticeship of Duddy Kravitz",1974,http://www.icheckmovies.com/movies/the+apprenticeship+of+duddy+kravitz/,265,5,4,2,62,,http://www.imdb.com/title/tt0071155/,no,no,no,no,no
24,0,Örökbefogadás,1975,http://www.icheckmovies.com/movies/orokbefogadas/,102,6,1,1,46,Adoption,http://www.imdb.com/title/tt0073948/,no,no,no,no,no
25,0,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,http://www.icheckmovies.com/movies/buffalo+bill+and+the+indians+or+sitting+bulls+history+lesson/,485,15,4,2,55,,http://www.imdb.com/title/tt0074254/,no,no,no,no,no
26,0,Voskhozhdenie,1977,http://www.icheckmovies.com/movies/voskhozhdenie/,1413,254,13,10,268,"The Ascent",http://www.imdb.com/title/tt0075404/,"2018-11-17 19:18:10",no,no,no,no
27,0,"Las truchas",1978,http://www.icheckmovies.com/movies/las+truchas/,10,0,0,1,22,Trout,http://www.imdb.com/title/tt0078421/,no,no,no,no,no
28,0,Ascensor,1978,http://www.icheckmovies.com/movies/ascensor/,82,2,4,1,19,,http://www.imdb.com/title/tt0425756/,no,no,no,no,no
29,0,"Las palabras de Max",1978,http://www.icheckmovies.com/movies/las+palabras+de+max/,14,0,0,1,14,"What Max Said",http://www.imdb.com/title/tt0076520/,no,no,no,no,no
30,0,David,1979,http://www.icheckmovies.com/movies/david/,21,1,0,1,19,,http://www.imdb.com/title/tt0079028/,no,no,no,no,no
31,0,Heartland,1979,http://www.icheckmovies.com/movies/heartland/,159,4,1,2,50,,http://www.imdb.com/title/tt0082508/,no,no,no,no,no
32,0,"Palermo oder Wolfsburg",1980,http://www.icheckmovies.com/movies/palermo+oder+wolfsburg/,51,1,1,2,29,"Palermo or Wolfsburg",http://www.imdb.com/title/tt0081299/,no,no,no,no,no
33,0,"Deprisa, deprisa",1981,http://www.icheckmovies.com/movies/deprisa+deprisa/,150,13,1,3,67,"Fast, Fast",http://www.imdb.com/title/tt0082259/,no,no,no,no,no
34,0,"Die Sehnsucht der Veronika Voss",1982,http://www.icheckmovies.com/movies/die+sehnsucht+der+veronika+voss/,1171,102,4,6,157,"Veronika Voss",http://www.imdb.com/title/tt0084654/,"2018-12-07 16:00:28",no,no,no,no
35,0,Ascendancy,1983,http://www.icheckmovies.com/movies/ascendancy/,22,0,1,1,14,,http://www.imdb.com/title/tt0083582/,no,no,no,no,no
36,0,"La colmena",1982,http://www.icheckmovies.com/movies/la+colmena/,102,4,1,2,31,"The Beehive",http://www.imdb.com/title/tt0083743/,no,no,no,no,no
37,0,"Love Streams",1984,http://www.icheckmovies.com/movies/love+streams/,1057,153,12,8,202,,http://www.imdb.com/title/tt0087644/,"2018-10-17 22:26:30",no,no,no,no
38,0,"Die Frau und der Fremde",1985,http://www.icheckmovies.com/movies/die+frau+und+der+fremde/,22,0,0,1,14,,http://www.imdb.com/title/tt0089169/,no,no,no,no,no
39,0,Wetherby,1985,http://www.icheckmovies.com/movies/wetherby/,151,6,2,2,37,,http://www.imdb.com/title/tt0090310/,"2018-04-28 23:30:24",no,no,no,no
40,0,"Stammheim - Die Baader-Meinhof-Gruppe vor Gericht",1986,http://www.icheckmovies.com/movies/stammheim+-+die+baader-meinhof-gruppe+vor+gericht/,63,1,0,1,20,"Stammheim - The Baader-Meinhof Gang on Trial",http://www.imdb.com/title/tt0092004/,no,no,no,no,no
41,0,Tema,1979,http://www.icheckmovies.com/movies/tema/,42,2,0,1,25,"The Theme",http://www.imdb.com/title/tt0079999/,no,no,no,no,no
42,0,"Hong gao liang",1988,http://www.icheckmovies.com/movies/hong+gao+liang/,1267,64,14,10,155,"Red Sorghum",http://www.imdb.com/title/tt0093206/,"2018-11-17 19:17:56",no,no,no,no
43,0,"Rain Man",1988,http://www.icheckmovies.com/movies/rain+man/,58604,3039,149,14,478,,http://www.imdb.com/title/tt0095953/,"2018-04-26 21:45:52",no,no,no,no
44,0,"Music Box",1989,http://www.icheckmovies.com/movies/music+box/,459,19,4,1,67,,http://www.imdb.com/title/tt0100211/,"2018-11-08 01:24:56",no,no,no,no
45,0,"Skrivánci na niti",1990,http://www.icheckmovies.com/movies/skrivanci+na+niti/,235,15,2,3,65,"Larks on a String",http://www.imdb.com/title/tt0064994/,no,no,no,no,no
46,0,"La casa del sorriso",1991,http://www.icheckmovies.com/movies/la+casa+del+sorriso/,54,1,2,2,22,"The House of Smiles",http://www.imdb.com/title/tt0094841/,no,no,no,no,no
47,0,"Grand Canyon",1991,http://www.icheckmovies.com/movies/grand+canyon/,928,32,17,1,51,,http://www.imdb.com/title/tt0101969/,no,no,no,no,no
48,0,"Xiang hun nu",1993,http://www.icheckmovies.com/movies/xiang+hun+nu/,30,2,0,1,26,"The Women from the Lake of Scented Souls",http://www.imdb.com/title/tt0108608/,no,no,no,no,no
49,0,"Xi yan",1993,http://www.icheckmovies.com/movies/xi+yan/,1245,73,7,7,146,"The Wedding Banquet",http://www.imdb.com/title/tt0107156/,no,no,no,no,no
50,0,"In the Name of the Father",1993,http://www.icheckmovies.com/movies/in+the+name+of+the+father/,12650,1038,29,6,257,,http://www.imdb.com/title/tt0107207/,"2018-04-28 16:06:05",no,no,no,no
51,0,L'appât,1995,http://www.icheckmovies.com/movies/lappat/,142,5,2,1,28,"Fresh Bait",http://www.imdb.com/title/tt0112387/,no,no,no,no,no
52,0,"Sense and Sensibility",1995,http://www.icheckmovies.com/movies/sense+and+sensibility/,13153,715,65,11,245,,http://www.imdb.com/title/tt0114388/,"2018-04-28 16:06:42",no,no,no,no
53,0,"The People vs. Larry Flynt",1996,http://www.icheckmovies.com/movies/the+people+vs.+larry+flynt/,7888,323,32,3,142,,http://www.imdb.com/title/tt0117318/,"2018-04-28 16:00:30",no,no,no,no
54,0,"Central do Brasil",1998,http://www.icheckmovies.com/movies/central+do+brasil/,3184,271,20,7,207,"Central Station",http://www.imdb.com/title/tt0140888/,"2018-11-08 00:22:02",no,no,no,no
55,0,"The Thin Red Line",1998,http://www.icheckmovies.com/movies/the+thin+red+line/,21122,1486,207,13,540,,http://www.imdb.com/title/tt0120863/,"2018-01-31 08:56:01",no,no,no,no
56,0,Magnolia,1999,http://www.icheckmovies.com/movies/magnolia/,36409,3669,399,15,644,,http://www.imdb.com/title/tt0175880/,"2018-04-26 21:49:53",no,no,no,no
57,0,Intimacy,2001,http://www.icheckmovies.com/movies/intimacy/,714,23,22,2,52,,http://www.imdb.com/title/tt0256103/,no,no,no,no,no
58,0,"Sen to Chihiro no kamikakushi",2001,http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/,61527,8810,264,36,1096,"Spirited Away",http://www.imdb.com/title/tt0245429/,"2018-01-10 16:55:14",no,no,no,yes
59,0,"Bloody Sunday",2002,http://www.icheckmovies.com/movies/bloody+sunday/,2909,182,12,3,122,,http://www.imdb.com/title/tt0280491/,"2018-06-11 12:57:24",no,no,no,no
60,0,"In This World",2002,http://www.icheckmovies.com/movies/in+this+world/,551,27,2,4,67,,http://www.imdb.com/title/tt0310154/,no,no,no,no,no
61,0,"Gegen die Wand",2004,http://www.icheckmovies.com/movies/gegen+die+wand/,4241,489,28,9,235,Head-On,http://www.imdb.com/title/tt0347048/,"2018-04-26 21:51:31",no,no,no,no
