rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Third Man",1949,http://www.icheckmovies.com/movies/the+third+man/,19891,2449,94,33,906,,http://www.imdb.com/title/tt0041959/,"2018-04-26 21:30:23",no,no,no,no
2,0,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,7316,857,53,21,462,,http://www.imdb.com/title/tt0037558/,"2018-04-26 21:29:24",no,no,no,no
3,0,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,28886,2663,192,40,956,,http://www.imdb.com/title/tt0056172/,"2018-01-10 16:56:42",no,no,no,no
4,0,"The 39 Steps",1935,http://www.icheckmovies.com/movies/the+39+steps/,10659,671,45,14,391,,http://www.imdb.com/title/tt0026029/,"2018-04-26 21:27:23",no,no,no,no
5,0,"Great Expectations",1946,http://www.icheckmovies.com/movies/great+expectations/,7126,303,47,18,314,,http://www.imdb.com/title/tt0038574/,"2018-04-26 21:29:42",no,no,no,no
6,0,"Kind Hearts and Coronets",1949,http://www.icheckmovies.com/movies/kind+hearts+and+coronets/,6013,796,27,19,388,,http://www.imdb.com/title/tt0041546/,"2018-04-26 21:30:10",no,no,no,no
7,0,Kes,1969,http://www.icheckmovies.com/movies/kes/,4011,391,27,12,300,,http://www.imdb.com/title/tt0064541/,"2018-11-16 13:55:57",no,no,no,no
8,0,"Don't Look Now",1973,http://www.icheckmovies.com/movies/dont+look+now/,7973,668,104,17,501,,http://www.imdb.com/title/tt0069995/,"2018-04-26 21:38:58",no,no,no,no
9,0,"The Red Shoes",1948,http://www.icheckmovies.com/movies/the+red+shoes/,7947,1044,54,24,557,,http://www.imdb.com/title/tt0040725/,"2018-04-26 21:30:06",no,no,no,no
10,0,Trainspotting,1996,http://www.icheckmovies.com/movies/trainspotting/,70767,6756,361,15,773,,http://www.imdb.com/title/tt0117951/,"2018-01-10 16:58:23",no,no,no,no
11,0,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,24796,1695,70,30,654,,http://www.imdb.com/title/tt0050212/,"2018-01-10 16:57:56",no,no,no,no
12,0,If....,1968,http://www.icheckmovies.com/movies/if..../,5080,411,34,19,280,,http://www.imdb.com/title/tt0063850/,"2018-10-17 22:13:55",no,no,no,no
13,0,"The Ladykillers",1955,http://www.icheckmovies.com/movies/the+ladykillers/,5624,303,30,8,250,"The Lady Killers",http://www.imdb.com/title/tt0048281/,"2018-10-17 01:28:55",no,no,no,no
14,0,"Saturday Night and Sunday Morning",1960,http://www.icheckmovies.com/movies/saturday+night+and+sunday+morning/,1760,122,10,8,198,,http://www.imdb.com/title/tt0054269/,"2018-12-03 15:26:51",no,no,no,no
15,0,"Brighton Rock",1948,http://www.icheckmovies.com/movies/brighton+rock/,1245,75,9,8,130,,http://www.imdb.com/title/tt0039220/,"2018-06-14 00:48:47",no,no,no,no
16,0,"Get Carter",1971,http://www.icheckmovies.com/movies/get+carter/,5706,314,45,10,225,,http://www.imdb.com/title/tt0067128/,"2018-11-18 19:00:29",no,no,no,no
17,0,"The Lavender Hill Mob",1951,http://www.icheckmovies.com/movies/the+lavender+hill+mob/,2173,138,11,8,179,,http://www.imdb.com/title/tt0044829/,"2018-04-26 21:30:49",no,no,no,no
18,0,"The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France",1944,http://www.icheckmovies.com/movies/the+chronicle+history+of+king+henry+the+fifth+with+his+battell+fought+at+agincourt+in+france/,1233,47,33,12,209,"Henry V",http://www.imdb.com/title/tt0036910/,"2018-04-26 21:29:13",no,no,no,no
19,0,"Chariots of Fire",1981,http://www.icheckmovies.com/movies/chariots+of+fire/,9964,253,132,12,237,,http://www.imdb.com/title/tt0082158/,"2018-04-26 21:41:58",no,no,no,no
20,0,"A Matter of Life and Death",1946,http://www.icheckmovies.com/movies/a+matter+of+life+and+death/,4017,500,31,22,385,"Stairway to Heaven",http://www.imdb.com/title/tt0038733/,"2018-06-11 13:12:13",no,no,no,no
21,0,"The Long Good Friday",1980,http://www.icheckmovies.com/movies/the+long+good+friday/,2787,214,16,10,188,,http://www.imdb.com/title/tt0081070/,"2018-04-28 23:03:24",no,no,no,no
22,0,"The Servant",1963,http://www.icheckmovies.com/movies/the+servant/,1841,238,16,15,254,,http://www.imdb.com/title/tt0057490/,"2018-10-17 22:37:30",no,no,no,no
23,0,"Four Weddings and a Funeral",1994,http://www.icheckmovies.com/movies/four+weddings+and+a+funeral/,31325,818,244,11,258,,http://www.imdb.com/title/tt0109831/,"2018-04-26 21:47:54",no,no,no,no
24,0,"Whisky Galore!",1949,http://www.icheckmovies.com/movies/whisky+galoreexclamation/,1311,53,16,7,126,"Whisky Galore",http://www.imdb.com/title/tt0042040/,"2018-04-26 21:30:15",no,no,no,no
25,0,"The Full Monty",1997,http://www.icheckmovies.com/movies/the+full+monty/,22087,659,92,7,172,,http://www.imdb.com/title/tt0119164/,"2018-04-28 15:59:41",no,no,no,no
26,0,"The Crying Game",1992,http://www.icheckmovies.com/movies/the+crying+game/,7731,328,83,8,278,,http://www.imdb.com/title/tt0104036/,"2018-04-26 21:47:18",no,no,no,no
27,0,"Doctor Zhivago",1965,http://www.icheckmovies.com/movies/doctor+zhivago/,10536,634,90,15,415,,http://www.imdb.com/title/tt0059113/,"2018-04-26 21:36:10",no,no,no,no
28,0,"Life of Brian",1979,http://www.icheckmovies.com/movies/life+of+brian/,55324,4168,214,18,592,,http://www.imdb.com/title/tt0079470/,"2018-04-26 21:41:26",no,no,no,no
29,0,"Withnail & I",1987,http://www.icheckmovies.com/movies/withnail+and+i/,7973,927,77,12,308,,http://www.imdb.com/title/tt0094336/,"2018-04-26 21:44:51",no,no,no,no
30,0,"Gregory's Girl",1980,http://www.icheckmovies.com/movies/gregorys+girl/,1908,110,8,10,132,,http://www.imdb.com/title/tt0082477/,"2018-06-11 13:03:15",no,no,no,no
31,0,Zulu,1964,http://www.icheckmovies.com/movies/zulu/,4511,210,29,8,165,,http://www.imdb.com/title/tt0058777/,"2018-04-28 23:13:28",no,no,no,no
32,0,"Room at the Top",1959,http://www.icheckmovies.com/movies/room+at+the+top/,865,56,3,7,158,,http://www.imdb.com/title/tt0053226/,"2018-06-11 13:10:14",no,no,no,no
33,0,Alfie,1966,http://www.icheckmovies.com/movies/alfie/,3093,94,27,3,96,,http://www.imdb.com/title/tt0060086/,no,no,no,no,no
34,0,Gandhi,1982,http://www.icheckmovies.com/movies/gandhi/,28326,1189,111,15,438,,http://www.imdb.com/title/tt0083987/,"2018-04-26 21:42:36",no,no,no,no
35,0,"The Lady Vanishes",1938,http://www.icheckmovies.com/movies/the+lady+vanishes/,8550,732,35,13,353,,http://www.imdb.com/title/tt0030341/,"2018-04-26 21:27:57",no,no,no,no
36,0,"The Italian Job",1969,http://www.icheckmovies.com/movies/the+italian+job/,7757,277,45,4,140,,http://www.imdb.com/title/tt0064505/,"2018-04-28 23:01:54",no,no,no,no
37,0,"Local Hero",1983,http://www.icheckmovies.com/movies/local+hero/,2889,195,26,9,209,,http://www.imdb.com/title/tt0085859/,"2018-04-26 21:43:58",no,no,no,no
38,0,"The Commitments",1991,http://www.icheckmovies.com/movies/the+commitments/,3979,259,12,3,117,,http://www.imdb.com/title/tt0101605/,"2018-04-28 16:04:27",no,no,no,no
39,0,"A Fish Called Wanda",1988,http://www.icheckmovies.com/movies/a+fish+called+wanda/,23132,1209,125,6,337,,http://www.imdb.com/title/tt0095159/,"2018-04-26 21:45:37",no,no,no,no
40,0,"Secrets & Lies",1996,http://www.icheckmovies.com/movies/secrets+and+lies/,4794,500,24,13,334,,http://www.imdb.com/title/tt0117589/,"2018-04-26 21:48:45",no,no,no,no
41,0,"Dr. No",1962,http://www.icheckmovies.com/movies/dr.+no/,17812,440,57,5,254,,http://www.imdb.com/title/tt0055928/,"2018-10-17 22:07:23",no,no,no,no
42,0,"The Madness of King George",1994,http://www.icheckmovies.com/movies/the+madness+of+king+george/,2044,76,9,3,79,,http://www.imdb.com/title/tt0110428/,"2018-06-11 13:06:22",no,no,no,no
43,0,"A Man for All Seasons",1966,http://www.icheckmovies.com/movies/a+man+for+all+seasons/,4387,281,42,15,257,,http://www.imdb.com/title/tt0060665/,"2018-04-28 15:58:19",no,no,no,no
44,0,"Black Narcissus",1947,http://www.icheckmovies.com/movies/black+narcissus/,5024,498,43,15,374,,http://www.imdb.com/title/tt0039192/,"2018-04-26 21:29:45",no,no,no,no
45,0,"The Life and Death of Colonel Blimp",1943,http://www.icheckmovies.com/movies/the+life+and+death+of+colonel+blimp/,3249,422,30,17,324,"The Adventures of Colonel Blimp",http://www.imdb.com/title/tt0036112/,"2018-10-29 22:12:28",no,no,no,no
46,0,"Oliver Twist",1948,http://www.icheckmovies.com/movies/oliver+twist/,4150,112,10,7,149,,http://www.imdb.com/title/tt0040662/,"2018-04-28 23:06:15",no,no,no,no
47,0,"I'm All Right Jack",1959,http://www.icheckmovies.com/movies/im+all+right+jack/,544,21,5,3,79,,http://www.imdb.com/title/tt0052911/,no,no,no,no,no
48,0,Performance,1970,http://www.icheckmovies.com/movies/performance/,2470,161,63,16,242,,http://www.imdb.com/title/tt0066214/,"2018-04-26 21:38:00",no,no,no,no
49,0,"Shakespeare in Love",1998,http://www.icheckmovies.com/movies/shakespeare+in+love/,37825,1249,474,11,298,,http://www.imdb.com/title/tt0138097/,"2018-04-28 15:58:50",no,no,no,no
50,0,"My Beautiful Laundrette",1985,http://www.icheckmovies.com/movies/my+beautiful+laundrette/,1981,92,20,6,174,,http://www.imdb.com/title/tt0091578/,"2018-04-28 23:04:52",no,no,no,no
51,0,"Tom Jones",1963,http://www.icheckmovies.com/movies/tom+jones/,1958,46,90,11,176,,http://www.imdb.com/title/tt0057590/,"2018-06-11 13:13:50",no,no,no,no
52,0,"This Sporting Life",1963,http://www.icheckmovies.com/movies/this+sporting+life/,1211,73,17,8,181,,http://www.imdb.com/title/tt0057578/,"2018-12-04 14:49:45",no,no,no,no
53,0,"My Left Foot: The Story of Christy Brown",1989,http://www.icheckmovies.com/movies/my+left+foot+the+story+of+christy+brown/,7641,395,34,6,227,,http://www.imdb.com/title/tt0097937/,"2018-04-26 21:46:05",no,no,no,no
54,0,Brazil,1985,http://www.icheckmovies.com/movies/brazil/,26267,3111,320,22,752,,http://www.imdb.com/title/tt0088846/,"2018-04-26 21:43:52",no,no,no,no
55,0,"The English Patient",1996,http://www.icheckmovies.com/movies/the+english+patient/,22967,895,382,16,373,,http://www.imdb.com/title/tt0116209/,"2018-04-26 21:48:51",no,no,no,no
56,0,"A Taste of Honey",1961,http://www.icheckmovies.com/movies/a+taste+of+honey/,714,65,6,5,99,,http://www.imdb.com/title/tt0055506/,no,no,no,no,no
57,0,"The Go-Between",1971,http://www.icheckmovies.com/movies/the+go-between/,818,56,9,7,128,,http://www.imdb.com/title/tt0067144/,no,no,no,no,no
58,0,"The Man in the White Suit",1951,http://www.icheckmovies.com/movies/the+man+in+the+white+suit/,1513,100,8,5,155,,http://www.imdb.com/title/tt0044876/,"2018-10-17 22:26:45",no,no,no,no
59,0,"The Ipcress File",1965,http://www.icheckmovies.com/movies/the+ipcress+file/,1565,87,6,4,102,,http://www.imdb.com/title/tt0059319/,"2018-06-11 13:04:40",no,no,no,no
60,0,Blowup,1966,http://www.icheckmovies.com/movies/blowup/,10206,1009,130,17,472,Blow-Up,http://www.imdb.com/title/tt0060176/,"2018-04-28 11:43:21",no,no,no,no
61,0,"The Loneliness of the Long Distance Runner",1962,http://www.icheckmovies.com/movies/the+loneliness+of+the+long+distance+runner/,1744,137,10,7,169,"Rebel with a Cause",http://www.imdb.com/title/tt0056194/,no,no,no,no,no
62,0,"Sense and Sensibility",1995,http://www.icheckmovies.com/movies/sense+and+sensibility/,13153,715,65,11,245,,http://www.imdb.com/title/tt0114388/,"2018-04-28 16:06:42",no,no,no,no
63,0,"Passport to Pimlico",1949,http://www.icheckmovies.com/movies/passport+to+pimlico/,615,40,2,3,93,,http://www.imdb.com/title/tt0041737/,no,no,no,no,no
64,0,"The Remains of the Day",1993,http://www.icheckmovies.com/movies/the+remains+of+the+day/,5052,402,24,6,235,,http://www.imdb.com/title/tt0107943/,"2018-04-28 16:06:05",no,no,no,no
65,0,"Sunday Bloody Sunday",1971,http://www.icheckmovies.com/movies/sunday+bloody+sunday/,1531,58,14,8,144,,http://www.imdb.com/title/tt0067805/,no,no,no,no,no
66,0,"The Railway Children",1970,http://www.icheckmovies.com/movies/the+railway+children/,1665,48,10,4,59,,http://www.imdb.com/title/tt0066279/,no,no,no,no,no
67,0,"Mona Lisa",1986,http://www.icheckmovies.com/movies/mona+lisa/,1820,95,12,5,143,,http://www.imdb.com/title/tt0091538/,"2018-06-11 13:07:16",no,no,no,no
68,0,"The Dam Busters",1955,http://www.icheckmovies.com/movies/the+dam+busters/,898,26,5,2,77,,http://www.imdb.com/title/tt0046889/,"2018-11-08 00:24:01",no,no,no,no
69,0,Hamlet,1948,http://www.icheckmovies.com/movies/hamlet/,4047,146,32,9,205,,http://www.imdb.com/title/tt0040416/,"2018-06-11 13:03:23",no,no,no,no
70,0,Goldfinger,1964,http://www.icheckmovies.com/movies/goldfinger/,33365,1088,82,14,428,,http://www.imdb.com/title/tt0058150/,"2018-04-26 21:35:50",no,no,no,no
71,0,Elizabeth,1998,http://www.icheckmovies.com/movies/elizabeth/,8624,343,44,4,157,,http://www.imdb.com/title/tt0127536/,"2018-04-28 15:58:41",no,no,no,no
72,0,"Goodbye, Mr. Chips",1939,http://www.icheckmovies.com/movies/goodbye+mr.+chips/,1450,101,10,4,142,,http://www.imdb.com/title/tt0031385/,"2018-06-11 13:03:02",no,no,no,no
73,0,"A Room with a View",1985,http://www.icheckmovies.com/movies/a+room+with+a+view/,5846,315,46,9,276,,http://www.imdb.com/title/tt0091867/,"2018-04-26 21:44:27",no,no,no,no
74,0,"The Day of the Jackal",1973,http://www.icheckmovies.com/movies/the+day+of+the+jackal/,3540,232,14,4,172,,http://www.imdb.com/title/tt0069947/,"2018-06-11 12:59:52",no,no,no,no
75,0,"The Cruel Sea",1953,http://www.icheckmovies.com/movies/the+cruel+sea/,343,21,2,3,91,,http://www.imdb.com/title/tt0045659/,"2018-10-17 22:02:19",no,no,no,no
76,0,"Billy Liar",1963,http://www.icheckmovies.com/movies/billy+liar/,1338,101,12,6,129,,http://www.imdb.com/title/tt0056868/,"2018-06-11 12:57:02",no,no,no,no
77,0,Oliver!,1968,http://www.icheckmovies.com/movies/oliverexclamation/,9029,268,55,6,205,,http://www.imdb.com/title/tt0063385/,"2018-11-25 21:05:34",no,no,no,no
