rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Carol,2015,http://www.icheckmovies.com/movies/carol-2015/,5281,444,36,4,284,,http://www.imdb.com/title/tt2402927/,no,no,no,no,no
2,0,Weekend,2011,http://www.icheckmovies.com/movies/weekend-2011-2/,2355,287,29,4,186,,http://www.imdb.com/title/tt1714210/,no,no,no,no,no
3,0,"Chun gwong cha sit",1997,http://www.icheckmovies.com/movies/chun+gwong+cha+sit/,2867,335,16,11,248,"Happy Together",http://www.imdb.com/title/tt0118845/,"2018-04-26 21:49:01",no,no,no,no
4,0,"Brokeback Mountain",2005,http://www.icheckmovies.com/movies/brokeback+mountain/,42496,2577,389,20,583,,http://www.imdb.com/title/tt0388795/,"2018-04-26 21:51:42",no,no,no,no
5,0,"Paris Is Burning",1990,http://www.icheckmovies.com/movies/paris+is+burning/,1539,218,1,5,170,,http://www.imdb.com/title/tt0100332/,no,no,no,no,no
6,0,"Sud pralad",2004,http://www.icheckmovies.com/movies/sud+pralad/,1279,133,32,9,221,"Tropical Malady",http://www.imdb.com/title/tt0381668/,"2018-12-02 14:17:44",no,no,no,no
7,0,"My Beautiful Laundrette",1985,http://www.icheckmovies.com/movies/my+beautiful+laundrette/,1981,92,20,6,174,,http://www.imdb.com/title/tt0091578/,"2018-04-28 23:04:52",no,no,no,no
8,0,"Todo sobre mi madre",1999,http://www.icheckmovies.com/movies/todo+sobre+mi+madre/,11719,1127,55,15,443,"All About My Mother",http://www.imdb.com/title/tt0185125/,"2018-04-26 21:50:05",no,no,no,no
9,0,"Un chant d'amour",1950,http://www.icheckmovies.com/movies/un+chant+damour/,1075,75,32,7,139,"A Song of Love",http://www.imdb.com/title/tt0043084/,no,no,no,no,no
10,0,"My Own Private Idaho",1991,http://www.icheckmovies.com/movies/my+own+private+idaho/,7666,535,82,10,271,,http://www.imdb.com/title/tt0102494/,"2018-10-17 01:15:58",no,no,no,no
11,0,"La vie d'Adèle",2013,http://www.icheckmovies.com/movies/la+vie+dadele/,9268,1194,90,9,487,"Blue Is the Warmest Color",http://www.imdb.com/title/tt2278871/,"2018-04-26 21:55:26",no,no,no,no
12,0,Tangerine,2015,http://www.icheckmovies.com/movies/tangerine-2015/,2503,215,27,3,134,,http://www.imdb.com/title/tt3824458/,no,no,no,no,no
13,0,"Die bitteren Tränen der Petra von Kant",1972,http://www.icheckmovies.com/movies/die+bitteren+tranen+der+petra+von+kant/,1739,223,21,7,256,"The Bitter Tears of Petra von Kant",http://www.imdb.com/title/tt0068278/,"2018-12-07 15:57:47",no,no,no,no
14,0,"Mädchen in Uniform",1931,http://www.icheckmovies.com/movies/madchen+in+uniform/,565,44,2,3,139,"Maedchen in Uniform",http://www.imdb.com/title/tt0022183/,no,no,no,no,no
15,0,Orlando,1992,http://www.icheckmovies.com/movies/orlando/,1763,159,14,5,168,,http://www.imdb.com/title/tt0107756/,no,no,no,no,no
16,0,"Fucking Åmål",1998,http://www.icheckmovies.com/movies/fucking+amal/,7025,522,32,6,250,"Show Me Love",http://www.imdb.com/title/tt0150662/,"2018-10-17 22:09:48",no,no,no,no
17,0,Victim,1961,http://www.icheckmovies.com/movies/victim/,834,78,6,7,153,,http://www.imdb.com/title/tt0055597/,no,no,no,no,no
18,0,"Je, tu, il, elle",1974,http://www.icheckmovies.com/movies/je+tu+il+elle/,399,27,9,2,96,"I, You, He, She",http://www.imdb.com/title/tt0071690/,no,no,no,no,no
19,0,"Looking for Langston",1989,http://www.icheckmovies.com/movies/looking+for+langston/,147,6,4,2,57,,http://www.imdb.com/title/tt0095545/,no,no,no,no,no
20,0,"Beau travail",1999,http://www.icheckmovies.com/movies/beau+travail/,1984,218,24,12,285,,http://www.imdb.com/title/tt0209933/,"2018-11-08 00:21:43",no,no,no,no
21,0,"Beautiful Thing",1996,http://www.icheckmovies.com/movies/beautiful+thing/,667,71,5,1,93,,http://www.imdb.com/title/tt0115640/,no,no,no,no,no
22,0,"Mulholland Dr.",2001,http://www.icheckmovies.com/movies/mulholland+dr./,36656,4568,471,26,1006,"Mulholland Drive",http://www.imdb.com/title/tt0166924/,"2018-04-26 21:50:49",no,no,no,no
