rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Soldaten og Jenny",1947,http://www.icheckmovies.com/movies/soldaten+og+jenny/,41,3,1,1,23,,http://www.imdb.com/title/tt0039846/,no,no,no,no,no
2,0,"Støt står den danske sømand",1948,http://www.icheckmovies.com/movies/stot+star+den+danske+somand/,21,2,0,1,13,,http://www.imdb.com/title/tt0125521/,no,no,no,no,no
3,0,Susanne,1950,http://www.icheckmovies.com/movies/susanne-1950/,5,0,0,1,11,,http://www.imdb.com/title/tt0126685/,no,no,no,no,no
4,0,"Café Paradis",1950,http://www.icheckmovies.com/movies/cafe+paradis/,36,2,0,1,22,"Cafe Paradise",http://www.imdb.com/title/tt0042294/,no,no,no,no,no
5,0,"Det sande ansigt",1951,http://www.icheckmovies.com/movies/det+sande+ansigt/,10,4,0,1,14,,http://www.imdb.com/title/tt0043990/,no,no,no,no,no
6,0,"Adam og Eva",1953,http://www.icheckmovies.com/movies/adam+og+eva/,17,0,0,1,9,,http://www.imdb.com/title/tt0045472/,no,no,no,no,no
7,0,"Farlig ungdom",1953,http://www.icheckmovies.com/movies/farlig+ungdom/,21,0,1,1,10,,http://www.imdb.com/title/tt0045751/,no,no,no,no,no
8,0,Ordet,1955,http://www.icheckmovies.com/movies/ordet/,3228,543,39,20,437,"The Word",http://www.imdb.com/title/tt0048452/,"2018-10-29 22:12:00",no,no,no,no
9,0,"Der kom en dag",1955,http://www.icheckmovies.com/movies/der+kom+en+dag/,10,1,0,1,5,,http://www.imdb.com/title/tt0046900/,no,no,no,no,no
10,0,"På tro og love",1955,http://www.icheckmovies.com/movies/pa+tro+og+love/,9,0,0,1,14,,http://www.imdb.com/title/tt0124845/,no,no,no,no,no
11,0,"Ingen tid til kærtegn",1957,http://www.icheckmovies.com/movies/ingen+tid+til+kaertegn/,17,1,0,1,20,"Be Dear to Me",http://www.imdb.com/title/tt0050542/,no,no,no,no,no
12,0,Bundfald,1957,http://www.icheckmovies.com/movies/bundfald/,22,0,0,1,10,"Sin Alley",http://www.imdb.com/title/tt0122416/,no,no,no,no,no
13,0,"En fremmed banker på",1959,http://www.icheckmovies.com/movies/en+fremmed+banker+pa/,44,1,0,2,24,"A Stranger Knocks",http://www.imdb.com/title/tt0052824/,no,no,no,no,no
14,0,"Vi er allesammen tossede",1959,http://www.icheckmovies.com/movies/vi+er+allesammen+tossede/,30,2,1,1,16,,http://www.imdb.com/title/tt0053417/,no,no,no,no,no
15,0,"Den sidste vinter",1960,http://www.icheckmovies.com/movies/den+sidste+vinter/,15,1,0,1,17,"The Last Winter",http://www.imdb.com/title/tt0056167/,no,no,no,no,no
16,0,"Harry og kammertjeneren",1961,http://www.icheckmovies.com/movies/harry+og+kammertjeneren/,92,8,0,2,69,"Harry and the Butler",http://www.imdb.com/title/tt0054965/,no,no,no,no,no
17,0,Weekend,1962,http://www.icheckmovies.com/movies/weekend-1962/,21,1,1,1,20,,http://www.imdb.com/title/tt0124926/,no,no,no,no,no
18,0,"Gade uden ende",1963,http://www.icheckmovies.com/movies/gade+uden+ende/,11,0,0,1,9,"Street Without End",http://www.imdb.com/title/tt0169934/,no,no,no,no,no
19,0,Gertrud,1964,http://www.icheckmovies.com/movies/gertrud/,1564,139,28,11,234,,http://www.imdb.com/title/tt0058138/,"2018-11-19 18:10:40",no,no,no,no
20,0,"Slå først Frede!",1965,http://www.icheckmovies.com/movies/sla+forst+fredeexclamation/,117,0,1,1,12,"Operation Lovebirds",http://www.imdb.com/title/tt0060991/,no,no,no,no,no
21,0,Sult,1966,http://www.icheckmovies.com/movies/sult/,583,63,7,3,127,Hunger,http://www.imdb.com/title/tt0061042/,no,no,no,no,no
22,0,"Människor möts och ljuv musik uppstår i hjärtat",1967,http://www.icheckmovies.com/movies/manniskor+mots+och+ljuv+musik+uppstar+i+hjartat/,17,1,2,1,24,"People Meet and Sweet Music Fills the Heart",http://www.imdb.com/title/tt0062020/,no,no,no,no,no
23,0,"Balladen om Carl-Henning",1969,http://www.icheckmovies.com/movies/balladen+om+carl-henning/,24,0,0,1,23,"Ballad of Carl-Henning",http://www.imdb.com/title/tt0064062/,no,no,no,no,no
24,0,"Midt i en jazztid",1969,http://www.icheckmovies.com/movies/midt+i+en+jazztid/,17,0,0,1,11,"Jazz All Around",http://www.imdb.com/title/tt0124790/,no,no,no,no,no
25,0,"Ang.: Lone",1970,http://www.icheckmovies.com/movies/ang.+lone/,19,1,1,1,22,,http://www.imdb.com/title/tt0128930/,no,no,no,no,no
26,0,"Den forsvundne fuldmægtig",1971,http://www.icheckmovies.com/movies/den+forsvundne+fuldmaegtig/,53,2,0,1,19,,http://www.imdb.com/title/tt0067111/,no,no,no,no,no
27,0,Flugten,1973,http://www.icheckmovies.com/movies/flugten/,11,0,0,1,8,"The Escape",http://www.imdb.com/title/tt0124589/,no,no,no,no,no
28,0,"Lars Ole, 5c",1973,http://www.icheckmovies.com/movies/lars+ole+5c/,41,2,0,1,12,,http://www.imdb.com/title/tt0070286/,no,no,no,no,no
29,0,"Den korte sommer",1976,http://www.icheckmovies.com/movies/den+korte+sommer/,11,0,0,1,11,"That Brief Summer",http://www.imdb.com/title/tt0123945/,no,no,no,no,no
30,0,Drenge,1977,http://www.icheckmovies.com/movies/drenge/,33,1,0,1,22,Boys,http://www.imdb.com/title/tt0075962/,no,no,no,no,no
31,0,"Mig og Charly",1978,http://www.icheckmovies.com/movies/mig+og+charly/,67,1,0,1,18,"Me and Charly",http://www.imdb.com/title/tt0124002/,no,no,no,no,no
32,0,"Honning måne",1978,http://www.icheckmovies.com/movies/honning+mane/,25,2,0,1,15,,http://www.imdb.com/title/tt0077695/,no,no,no,no,no
33,0,"Johnny Larsen",1979,http://www.icheckmovies.com/movies/johnny+larsen/,26,0,0,2,39,,http://www.imdb.com/title/tt0123928/,no,no,no,no,no
34,0,"Jeppe på bjerget",1981,http://www.icheckmovies.com/movies/jeppe+pa+bjerget-1981/,101,1,2,1,11,,http://www.imdb.com/title/tt0082583/,no,no,no,no,no
35,0,Gummi-Tarzan,1981,http://www.icheckmovies.com/movies/gummi-tarzan/,392,5,1,1,23,"Rubber Tarzan",http://www.imdb.com/title/tt0082486/,no,no,no,no,no
36,0,"Der er et yndigt land",1983,http://www.icheckmovies.com/movies/der+er+et+yndigt+land/,11,1,0,1,17,,http://www.imdb.com/title/tt0126286/,no,no,no,no,no
37,0,"Skønheden og udyret",1983,http://www.icheckmovies.com/movies/skonheden+og+udyret/,83,3,0,1,22,"Beauty and the Beast",http://www.imdb.com/title/tt0086318/,no,no,no,no,no
38,0,"Forbrydelsens element",1984,http://www.icheckmovies.com/movies/forbrydelsens+element/,1245,79,30,4,99,"The Element of Crime",http://www.imdb.com/title/tt0087280/,"2018-12-02 21:22:20",no,no,no,no
39,0,"Manden i månen",1986,http://www.icheckmovies.com/movies/manden+i+manen/,8,0,0,1,13,"The Dark Side of the Moon",http://www.imdb.com/title/tt0122602/,no,no,no,no,no
40,0,"Flamberede hjerter",1986,http://www.icheckmovies.com/movies/flamberede+hjerter/,39,0,0,1,18,,http://www.imdb.com/title/tt0093031/,no,no,no,no,no
41,0,"Pelle erobreren",1987,http://www.icheckmovies.com/movies/pelle+erobreren/,1502,84,13,10,156,"Pelle the Conqueror",http://www.imdb.com/title/tt0093713/,"2018-06-11 13:09:01",no,no,no,no
42,0,"Skyggen af Emma",1988,http://www.icheckmovies.com/movies/skyggen+af+emma/,38,1,0,1,19,"Emma's Shadow",http://www.imdb.com/title/tt0096116/,no,no,no,no,no
43,0,"Dansen med Regitze",1989,http://www.icheckmovies.com/movies/dansen+med+regitze/,120,6,2,2,57,"Memories of a Marriage",http://www.imdb.com/title/tt0097155/,no,no,no,no,no
44,0,"Lad isbjørnene danse",1990,http://www.icheckmovies.com/movies/lad+isbjornene+danse/,81,2,1,1,17,"Dance of the Polar Bears",http://www.imdb.com/title/tt0099966/,no,no,no,no,no
45,0,Europa,1991,http://www.icheckmovies.com/movies/europa/,2393,238,20,2,180,Zentropa,http://www.imdb.com/title/tt0101829/,"2018-12-02 21:25:22",no,no,no,no
46,0,"Kærlighedens smerte",1992,http://www.icheckmovies.com/movies/kaerlighedens+smerte/,58,5,1,1,32,"Pain of Love",http://www.imdb.com/title/tt0107350/,no,no,no,no,no
