rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,95,"La jetée",1962,http://www.icheckmovies.com/movies/la+jetee/,9336,1215,46,18,447,"La Jetée",http://www.imdb.com/title/tt0056119/,"2018-10-19 00:54:40",no,no,no,no
2,179,"Sherlock Jr.",1924,http://www.icheckmovies.com/movies/sherlock+jr./,9024,1182,33,23,489,,http://www.imdb.com/title/tt0015324/,"2018-06-07 13:31:15",no,no,no,no
3,149,"Partie de campagne",1936,http://www.icheckmovies.com/movies/partie+de+campagne/,2544,190,26,12,249,"A Day in the Country",http://www.imdb.com/title/tt0028445/,"2018-10-17 01:06:35",no,no,no,no
4,235,"Un chien andalou",1929,http://www.icheckmovies.com/movies/un+chien+andalou/,14734,934,149,22,486,"Un Chien Andalou",http://www.imdb.com/title/tt0020530/,"2018-06-07 13:31:23",no,no,no,no
5,136,"Nuit et brouillard",1956,http://www.icheckmovies.com/movies/nuit+et+brouillard/,6394,570,25,16,361,"Night and Fog",http://www.imdb.com/title/tt0048434/,"2018-04-26 21:32:28",no,no,no,no
6,240,Wavelength,1967,http://www.icheckmovies.com/movies/wavelength/,1406,62,113,9,170,,http://www.imdb.com/title/tt0127354/,"2018-12-01 09:43:51",no,no,no,no
7,117,"Meshes of the Afternoon",1943,http://www.icheckmovies.com/movies/meshes+of+the+afternoon/,4323,428,53,9,248,,http://www.imdb.com/title/tt0036154/,"2018-12-12 16:02:48",no,no,no,no
8,247,"Zéro de conduite: Jeunes diables au collège",1933,http://www.icheckmovies.com/movies/zero+de+conduite+jeunes+diables+au+college/,2860,199,44,17,249,"Zero for Conduct",http://www.imdb.com/title/tt0024803/,"2018-06-07 13:31:22",no,no,no,no
9,108,"Listen to Britain",1942,http://www.icheckmovies.com/movies/listen+to+britain/,1225,28,23,8,110,,http://www.imdb.com/title/tt0034978/,"2018-12-12 16:04:02",no,no,no,no
10,103,"Le voyage dans la lune",1902,http://www.icheckmovies.com/movies/le+voyage+dans+la+lune/,16913,971,38,13,353,"A Trip to the Moon",http://www.imdb.com/title/tt0000417/,"2018-06-07 13:31:23",no,no,no,no
11,75,"Khaneh siah ast",1963,http://www.icheckmovies.com/movies/khaneh+siah+ast/,1755,194,12,10,189,"The House Is Black",http://www.imdb.com/title/tt0336693/,"2018-11-18 19:00:33",no,no,no,no
12,89,"Las Hurdes",1933,http://www.icheckmovies.com/movies/las+hurdes/,1977,94,18,12,166,"Land Without Bread",http://www.imdb.com/title/tt0023037/,"2018-11-08 00:21:50",no,no,no,no
13,172,"Skazka skazok",1979,http://www.icheckmovies.com/movies/skazka+skazok/,1413,140,11,5,130,"Tale of Tales",http://www.imdb.com/title/tt0079986/,no,no,no,no,no
14,163,"Scorpio Rising",1965,http://www.icheckmovies.com/movies/scorpio+rising/,2169,145,42,8,176,,http://www.imdb.com/title/tt0058555/,"2018-12-04 14:48:14",no,no,no,no
15,223,"Un chant d'amour",1950,http://www.icheckmovies.com/movies/un+chant+damour/,1075,75,32,7,139,"A Song of Love",http://www.imdb.com/title/tt0043084/,no,no,no,no,no
16,52,"Flaming Creatures",1963,http://www.icheckmovies.com/movies/flaming+creatures/,910,25,83,8,114,,http://www.imdb.com/title/tt0054880/,no,no,no,no,no
17,,"Vremena goda",1975,http://www.icheckmovies.com/movies/vremena+goda/,444,35,4,4,129,"Four Seasons",http://www.imdb.com/title/tt0298597/,no,no,no,no,no
18,86,"Le ballon rouge",1956,http://www.icheckmovies.com/movies/le+ballon+rouge/,5695,515,21,9,196,"The Red Balloon",http://www.imdb.com/title/tt0048980/,"2018-06-14 00:49:21",no,no,no,no
19,89,"Le sang des bêtes",1949,http://www.icheckmovies.com/movies/le+sang+des+betes/,1290,88,10,11,140,"Blood of the Beasts",http://www.imdb.com/title/tt0041842/,"2018-11-18 19:00:11",no,no,no,no
20,96,"Les maîtres fous",1955,http://www.icheckmovies.com/movies/les+maitres+fous/,912,29,10,6,94,"The Mad Masters",http://www.imdb.com/title/tt0048363/,no,no,no,no,no
21,162,"Simón del desierto",1965,http://www.icheckmovies.com/movies/simon+del+desierto/,1848,233,9,5,187,"Simon of the Desert",http://www.imdb.com/title/tt0059719/,no,no,no,no,no
22,-15,"A Diary for Timothy",1945,http://www.icheckmovies.com/movies/a+diary+for+timothy/,561,14,3,4,65,,http://www.imdb.com/title/tt0139153/,no,no,no,no,no
23,41,Elephant,1989,http://www.icheckmovies.com/movies/elephant-1989/,840,57,13,5,88,,http://www.imdb.com/title/tt0097270/,no,no,no,no,no
