rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Les garçons sauvages",2017,http://www.icheckmovies.com/movies/les+garcons+sauvages/,83,6,3,1,8,"The Wild Boys",http://www.imdb.com/title/tt6340640/,no,no,no,no,no
2,,"Coincoin et les z'inhumains",2018,http://www.icheckmovies.com/movies/coincoin+et+les+zinhumains/,19,1,0,1,2,,http://www.imdb.com/title/tt8030700/,no,no,no,no,no
3,,"Phantom Thread",2017,http://www.icheckmovies.com/movies/phantom+thread/,3681,348,34,4,177,,http://www.imdb.com/title/tt5776858/,"2018-11-08 00:22:23",no,no,no,no
4,,Beoning,2018,http://www.icheckmovies.com/movies/beoning/,388,46,2,1,39,Burning,http://www.imdb.com/title/tt7282468/,no,no,no,no,no
5,,"Paul Sanchez est revenu!",2018,http://www.icheckmovies.com/movies/paul+sanchez+est+revenuexclamation/,9,0,0,1,1,,http://www.imdb.com/title/tt7002116/,no,no,no,no,no
6,,"The Post",2017,http://www.icheckmovies.com/movies/the+post/,3330,98,27,3,119,,http://www.imdb.com/title/tt6294822/,"2018-11-08 00:28:16",no,no,no,no
7,,"Bamui haebyun-eoseo honja",2017,http://www.icheckmovies.com/movies/bamui+haebyun-eoseo+honja/,195,15,2,1,36,"On the Beach at Night Alone",http://www.imdb.com/title/tt6412864/,no,no,no,no,no
8,,"The House That Jack Built",2018,http://www.icheckmovies.com/movies/the+house+that+jack+built-2018/,272,27,5,1,14,,http://www.imdb.com/title/tt4003440/,no,no,no,no,no
9,,Leto,2018,http://www.icheckmovies.com/movies/leto-2018/,91,13,0,1,9,,http://www.imdb.com/title/tt7342838/,no,no,no,no,no
10,,"L'île au trésor",2018,http://www.icheckmovies.com/movies/lile+au+tresor/,4,0,0,1,1,"Treasure Island",http://www.imdb.com/title/tt8455816/,no,no,no,no,no
11,-10,"Twin Peaks",2017,http://www.icheckmovies.com/movies/twin+peaks-2017/,833,161,4,2,30,,http://www.imdb.com/title/tt4093826/,no,no,no,no,no
12,-10,"Jeannette, l'enfance de Jeanne d'Arc",2017,http://www.icheckmovies.com/movies/jeannette+lenfance+de+jeanne+darc/,80,7,3,1,23,"Jeannette: The Childhood of Joan of Arc",http://www.imdb.com/title/tt6340264/,no,no,no,no,no
13,-10,"Certain Women",2016,http://www.icheckmovies.com/movies/certain+women-2016/,885,52,11,3,86,,http://www.imdb.com/title/tt4468634/,no,no,no,no,no
14,-10,"Get Out",2017,http://www.icheckmovies.com/movies/get+out-2017/,10230,1086,54,9,342,,http://www.imdb.com/title/tt5052448/,"2018-04-28 15:46:04",no,no,no,no
15,-10,Geu-hu,2017,http://www.icheckmovies.com/movies/geu-hu/,131,7,0,1,29,"The Day After",http://www.imdb.com/title/tt6462506/,no,no,no,no,no
16,-10,"L'amant d'un jour",2017,http://www.icheckmovies.com/movies/lamant+dun+jour/,133,8,2,1,30,"Lover for a Day",http://www.imdb.com/title/tt5642124/,no,no,no,no,no
17,-10,"Good Time",2017,http://www.icheckmovies.com/movies/good+time/,2081,219,9,2,107,,http://www.imdb.com/title/tt4846232/,"2018-11-08 00:26:04",no,no,no,no
18,-10,Split,2016,http://www.icheckmovies.com/movies/split-2016-3/,5992,350,71,2,128,,http://www.imdb.com/title/tt4972582/,"2018-11-08 00:27:32",no,no,no,no
19,-10,Jackie,2016,http://www.icheckmovies.com/movies/jackie-2016/,3381,129,53,2,135,,http://www.imdb.com/title/tt1619029/,"2018-10-17 22:17:45",no,no,no,no
20,-10,"Billy Lynn's Long Halftime Walk",2016,http://www.icheckmovies.com/movies/billy+lynns+long+halftime+walk/,437,8,15,1,31,,http://www.imdb.com/title/tt2513074/,"2018-11-08 01:43:11",no,no,no,no
21,-10,"Toni Erdmann",2016,http://www.icheckmovies.com/movies/toni+erdmann/,2434,279,32,7,216,,http://www.imdb.com/title/tt4048272/,no,no,no,no,no
22,-10,Elle,2016,http://www.icheckmovies.com/movies/elle-2016/,2857,202,35,3,187,,http://www.imdb.com/title/tt3716530/,"2018-10-17 02:08:48",no,no,no,no
23,-10,"The Neon Demon",2016,http://www.icheckmovies.com/movies/the+neon+demon/,3346,244,106,2,173,,http://www.imdb.com/title/tt1974419/,"2018-11-08 00:28:14",no,no,no,no
24,-10,Aquarius,2016,http://www.icheckmovies.com/movies/aquarius-2016/,626,73,6,1,92,,http://www.imdb.com/title/tt5221584/,"2018-12-07 16:09:53",no,no,no,no
25,-10,"Ma Loute",2016,http://www.icheckmovies.com/movies/ma+loute/,259,10,12,1,31,"Slack Bay",http://www.imdb.com/title/tt4726636/,no,no,no,no,no
26,-10,Julieta,2016,http://www.icheckmovies.com/movies/julieta-2016/,1326,82,12,2,82,,http://www.imdb.com/title/tt4326444/,"2018-11-08 00:26:33",no,no,no,no
27,-10,"Rester vertical",2016,http://www.icheckmovies.com/movies/rester+vertical/,181,11,7,1,45,"Staying Vertical",http://www.imdb.com/title/tt5231812/,"2018-11-08 01:38:00",no,no,no,no
28,-10,"La loi de la jungle",2016,http://www.icheckmovies.com/movies/la+loi+de+la+jungle/,111,6,2,1,7,,http://www.imdb.com/title/tt5115004/,no,no,no,no,no
29,-10,Carol,2015,http://www.icheckmovies.com/movies/carol-2015/,5281,444,36,4,284,,http://www.imdb.com/title/tt2402927/,no,no,no,no,no
30,-10,"Le bois dont les rêves sont faits",2015,http://www.icheckmovies.com/movies/le+bois+dont+les+reves+sont+faits/,11,3,1,1,6,,http://www.imdb.com/title/tt4741648/,no,no,no,no,no
31,-10,"Mia madre",2015,http://www.icheckmovies.com/movies/mia+madre/,479,22,5,1,41,"Mia Madre",http://www.imdb.com/title/tt3013610/,"2018-11-08 01:43:51",no,no,no,no
