rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Viridiana,1961,http://www.icheckmovies.com/movies/viridiana/,4430,554,30,23,427,,http://www.imdb.com/title/tt0055601/,"2018-06-11 13:14:32",no,no,no,no
2,,"El espíritu de la colmena",1973,http://www.icheckmovies.com/movies/el+espiritu+de+la+colmena/,3810,543,40,21,399,"The Spirit of the Beehive",http://www.imdb.com/title/tt0070040/,"2018-12-07 20:58:13",no,no,no,no
3,,"El verdugo",1963,http://www.icheckmovies.com/movies/el+verdugo/,729,80,6,6,155,"The Executioner",http://www.imdb.com/title/tt0057643/,no,no,no,no,no
4,,Plácido,1961,http://www.icheckmovies.com/movies/placido/,309,18,3,5,137,,http://www.imdb.com/title/tt0055310/,no,no,no,no,no
5,,Arrebato,1979,http://www.icheckmovies.com/movies/arrebato/,348,36,10,5,153,Rapture,http://www.imdb.com/title/tt0078797/,no,no,no,no,no
6,,"La caza",1966,http://www.icheckmovies.com/movies/la+caza/,226,20,2,3,103,"The Hunt",http://www.imdb.com/title/tt0060223/,no,no,no,no,no
7,,"El sur",1983,http://www.icheckmovies.com/movies/el+sur/,725,114,4,6,171,,http://www.imdb.com/title/tt0084740/,no,no,no,no,no
8,,"El extraño viaje",1964,http://www.icheckmovies.com/movies/el+extrano+viaje/,202,18,1,5,120,"Strange Voyage",http://www.imdb.com/title/tt0061633/,no,no,no,no,no
9,,"El mundo sigue",1965,http://www.icheckmovies.com/movies/el+mundo+sigue/,33,4,0,3,30,"Life Goes On",http://www.imdb.com/title/tt0057333/,no,no,no,no,no
10,,"El desencanto",1976,http://www.icheckmovies.com/movies/el+desencanto/,75,6,2,4,54,"The Disenchantment",http://www.imdb.com/title/tt0074398/,no,no,no,no,no
11,,"Calle Mayor",1956,http://www.icheckmovies.com/movies/calle+mayor/,216,23,1,5,141,"Main Street",http://www.imdb.com/title/tt0049043/,no,no,no,no,no
12,,"Aguaespejo granadino",1955,http://www.icheckmovies.com/movies/aguaespejo+granadino/,252,24,6,5,74,,http://www.imdb.com/title/tt1918662/,no,no,no,no,no
13,,"Fuego en Castilla (Tactilvisión del páramo del espanto)",1961,http://www.icheckmovies.com/movies/fuego+en+castilla+tactilvision+del+paramo+del+espanto/,289,35,5,4,104,,http://www.imdb.com/title/tt0130709/,no,no,no,no,no
14,,"Acariño galaico (De barro)",1995,http://www.icheckmovies.com/movies/acarino+galaico+de+barro/,106,11,1,1,36,,http://www.imdb.com/title/tt1918657/,no,no,no,no,no
15,,"Las Hurdes",1933,http://www.icheckmovies.com/movies/las+hurdes/,1977,94,18,12,166,"Land Without Bread",http://www.imdb.com/title/tt0023037/,"2018-11-08 00:21:50",no,no,no,no
16,,"El sol del membrillo",1992,http://www.icheckmovies.com/movies/el+sol+del+membrillo/,440,41,7,9,161,"Quince Tree of the Sun",http://www.imdb.com/title/tt0105438/,"2018-11-08 00:22:00",no,no,no,no
17,,"Bienvenido Mister Marshall",1953,http://www.icheckmovies.com/movies/bienvenido+mister+marshall/,478,33,4,4,121,"Welcome Mr. Marshall",http://www.imdb.com/title/tt0045554/,no,no,no,no,no
18,,Tristana,1970,http://www.icheckmovies.com/movies/tristana/,1902,101,15,11,205,,http://www.imdb.com/title/tt0066491/,"2018-11-19 21:31:39",no,no,no,no
19,,"Vida en sombras",1949,http://www.icheckmovies.com/movies/vida+en+sombras/,23,0,0,2,28,"Life in Shadows",http://www.imdb.com/title/tt0040942/,no,no,no,no,no
20,,"Muerte de un ciclista",1955,http://www.icheckmovies.com/movies/muerte+de+un+ciclista/,587,63,3,5,146,"Death of a Cyclist",http://www.imdb.com/title/tt0048394/,no,no,no,no,no
