rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Accident,1967,http://www.icheckmovies.com/movies/accident/,377,26,7,1,86,,http://www.imdb.com/title/tt0061328/,no,no,no,no,no
2,0,"Skupljaci perja",1967,http://www.icheckmovies.com/movies/skupljaci+perja/,187,14,5,3,99,"I Even Met Happy Gypsies",http://www.imdb.com/title/tt0062277/,no,no,no,no,no
3,0,"Ådalen 31",1969,http://www.icheckmovies.com/movies/adalen+31/,178,8,2,3,73,"Adalen 31",http://www.imdb.com/title/tt0065261/,no,no,no,no,no
4,0,"Indagine su un cittadino al di sopra di ogni sospetto",1970,http://www.icheckmovies.com/movies/indagine+su+un+cittadino+al+di+sopra+di+ogni+sospetto/,1156,183,10,7,184,"Investigation of a Citizen Above Suspicion",http://www.imdb.com/title/tt0065889/,"2018-10-17 22:16:42",no,no,no,no
5,0,"Johnny Got His Gun",1971,http://www.icheckmovies.com/movies/johnny+got+his+gun/,1621,194,15,3,156,,http://www.imdb.com/title/tt0067277/,"2018-10-17 22:18:13",no,no,no,no
6,0,"Taking Off",1971,http://www.icheckmovies.com/movies/taking+off/,397,40,2,3,122,,http://www.imdb.com/title/tt0067820/,no,no,no,no,no
7,0,Solyaris,1972,http://www.icheckmovies.com/movies/solyaris/,11818,1438,125,25,610,Solaris,http://www.imdb.com/title/tt0069293/,"2018-04-26 21:38:34",no,no,no,no
8,0,"La maman et la putain",1973,http://www.icheckmovies.com/movies/la+maman+et+la+putain/,1220,172,28,12,282,"The Mother and the Whore",http://www.imdb.com/title/tt0070359/,"2018-11-08 00:21:26",no,no,no,no
9,0,"La planète sauvage",1973,http://www.icheckmovies.com/movies/la+planete+sauvage/,4002,495,29,8,252,"Fantastic Planet",http://www.imdb.com/title/tt0070544/,"2018-04-26 21:39:08",no,no,no,no
10,0,"Il fiore delle mille e una notte",1974,http://www.icheckmovies.com/movies/il+fiore+delle+mille+e+una+notte/,793,61,22,5,110,"Arabian Nights",http://www.imdb.com/title/tt0071502/,"2018-10-17 22:14:55",no,no,no,no
11,0,"Jeder für sich und Gott gegen alle",1974,http://www.icheckmovies.com/movies/jeder+fur+sich+und+gott+gegen+alle/,2858,355,26,10,255,"The Enigma of Kaspar Hauser",http://www.imdb.com/title/tt0071691/,"2018-04-28 11:48:09",no,no,no,no
12,0,"Cría cuervos",1976,http://www.icheckmovies.com/movies/cria+cuervos/,1691,254,5,10,260,"Cria Cuervos",http://www.imdb.com/title/tt0074360/,"2018-11-17 19:17:48",no,no,no,no
13,0,"Die Marquise von O...",1976,http://www.icheckmovies.com/movies/die+marquise+von+o.../,334,22,7,0,103,"The Marquise of O",http://www.imdb.com/title/tt0074870/,no,no,no,no,no
14,0,"The Shout",1978,http://www.icheckmovies.com/movies/the+shout/,338,24,6,2,110,,http://www.imdb.com/title/tt0078259/,"2018-10-17 22:37:55",no,no,no,no
15,0,"Ciao maschio",1978,http://www.icheckmovies.com/movies/ciao+maschio/,86,7,3,0,40,"Bye Bye Monkey",http://www.imdb.com/title/tt0075848/,no,no,no,no,no
16,0,Sibiriada,1979,http://www.icheckmovies.com/movies/sibiriada/,197,18,1,1,105,Siberiade,http://www.imdb.com/title/tt0079907/,no,no,no,no,no
17,0,"Mon oncle d'Amérique",1980,http://www.icheckmovies.com/movies/mon+oncle+damerique/,911,122,5,6,176,"My American Uncle",http://www.imdb.com/title/tt0081176/,no,no,no,no,no
18,0,"Les années lumière",1981,http://www.icheckmovies.com/movies/les+annees+lumiere/,45,4,1,1,27,,http://www.imdb.com/title/tt0080373/,no,no,no,no,no
19,0,"La notte di San Lorenzo",1982,http://www.icheckmovies.com/movies/la+notte+di+san+lorenzo/,600,37,9,1,115,"Night of the Shooting Stars",http://www.imdb.com/title/tt0084422/,no,no,no,no,no
20,0,"The Meaning of Life",1983,http://www.icheckmovies.com/movies/the+meaning+of+life/,10848,696,72,2,196,,http://www.imdb.com/title/tt0085959/,"2018-11-08 00:30:59",no,no,no,no
21,0,"Napló gyermekeimnek",1984,http://www.icheckmovies.com/movies/naplo+gyermekeimnek/,84,3,1,2,49,"Diary for My Children",http://www.imdb.com/title/tt0084388/,no,no,no,no,no
22,0,Birdy,1984,http://www.icheckmovies.com/movies/birdy/,1541,94,9,2,66,,http://www.imdb.com/title/tt0086969/,"2018-06-11 12:57:07",no,no,no,no
