rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Union Pacific",1939,http://www.icheckmovies.com/movies/union+pacific/,468,17,6,2,116,,http://www.imdb.com/title/tt0032080/,no,no,no,no,no
2,0,"Muzi bez krídel",1946,http://www.icheckmovies.com/movies/muzi+bez+kridel/,32,1,1,1,14,,http://www.imdb.com/title/tt0038760/,no,no,no,no,no
3,0,"María Candelaria (Xochimilco)",1944,http://www.icheckmovies.com/movies/maria+candelaria+xochimilco/,209,10,1,3,61,"Portrait of Maria",http://www.imdb.com/title/tt0037054/,no,no,no,no,no
4,0,Hets,1944,http://www.icheckmovies.com/movies/hets/,587,33,6,5,89,Torment,http://www.imdb.com/title/tt0036914/,no,no,no,no,no
5,0,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,5471,493,31,16,377,,http://www.imdb.com/title/tt0037884/,"2018-04-26 21:29:16",no,no,no,no
6,0,"De røde enge",1945,http://www.icheckmovies.com/movies/de+rode+enge/,95,2,1,2,36,"Red Meadows",http://www.imdb.com/title/tt0038043/,no,no,no,no,no
7,0,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,7316,857,53,21,462,,http://www.imdb.com/title/tt0037558/,"2018-04-26 21:29:24",no,no,no,no
8,0,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,5372,486,37,24,467,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2018-06-11 13:08:31",no,no,no,no
9,0,"Velikiy perelom",1945,http://www.icheckmovies.com/movies/velikiy+perelom/,47,0,1,1,16,"The Turning Point",http://www.imdb.com/title/tt0037426/,no,no,no,no,no
10,0,"Die letzte Chance",1945,http://www.icheckmovies.com/movies/die+letzte+chance/,96,2,2,2,38,"The Last Chance",http://www.imdb.com/title/tt0037871/,no,no,no,no,no
11,0,"Neecha Nagar",1946,http://www.icheckmovies.com/movies/neecha+nagar/,41,3,2,1,31,"Lowly City",http://www.imdb.com/title/tt0154942/,no,no,no,no,no
12,0,"La symphonie pastorale",1946,http://www.icheckmovies.com/movies/la+symphonie+pastorale/,108,3,2,1,36,"Pastoral Symphony",http://www.imdb.com/title/tt0039004/,no,no,no,no,no
