rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Le vieux fusil",1975,http://www.icheckmovies.com/movies/le+vieux+fusil/,318,26,4,2,71,"The Old Gun",http://www.imdb.com/title/tt0073864/,"2018-11-08 01:17:13",no,no,no,no
2,0,"Mr. Klein",1976,http://www.icheckmovies.com/movies/mr.+klein/,537,57,2,4,136,,http://www.imdb.com/title/tt0074916/,"2018-10-17 22:28:40",no,no,no,no
3,0,Providence,1977,http://www.icheckmovies.com/movies/providence/,611,61,7,6,171,,http://www.imdb.com/title/tt0076574/,no,no,no,no,no
4,0,"L'argent des autres",1978,http://www.icheckmovies.com/movies/largent+des+autres/,41,2,0,1,29,"Other People's Money",http://www.imdb.com/title/tt0077175/,no,no,no,no,no
5,0,Tess,1979,http://www.icheckmovies.com/movies/tess/,1794,88,22,5,139,,http://www.imdb.com/title/tt0080009/,"2018-06-11 13:13:18",no,no,no,no
6,0,"Le dernier métro",1980,http://www.icheckmovies.com/movies/le+dernier+metro/,2057,107,16,7,167,"The Last Metro",http://www.imdb.com/title/tt0080610/,"2018-04-26 21:41:40",no,no,no,no
7,0,"La guerre du feu",1981,http://www.icheckmovies.com/movies/la+guerre+du+feu/,1283,81,17,1,108,"Quest for Fire",http://www.imdb.com/title/tt0082484/,"2018-04-26 21:57:28",no,no,no,no
8,0,"La balance",1982,http://www.icheckmovies.com/movies/la+balance/,156,4,0,2,42,,http://www.imdb.com/title/tt0083611/,no,no,no,no,no
9,0,"Le bal",1983,http://www.icheckmovies.com/movies/le+bal/,258,20,3,2,71,,http://www.imdb.com/title/tt0085213/,no,no,no,no,no
10,0,"À nos amours",1983,http://www.icheckmovies.com/movies/a+nos+amours/,1124,80,11,10,160,"To Our Loves",http://www.imdb.com/title/tt0086650/,"2018-11-18 19:00:39",no,no,no,no
11,0,"Les ripoux",1984,http://www.icheckmovies.com/movies/les+ripoux/,384,11,4,1,35,"My New Partner",http://www.imdb.com/title/tt0088002/,"2018-11-08 01:21:36",no,no,no,no
12,0,"3 hommes et un couffin",1985,http://www.icheckmovies.com/movies/3+hommes+et+un+couffin/,612,9,2,2,49,"Three Men and a Cradle",http://www.imdb.com/title/tt0090206/,no,no,no,no,no
13,0,Thérèse,1986,http://www.icheckmovies.com/movies/therese/,149,11,2,3,82,,http://www.imdb.com/title/tt0092090/,no,no,no,no,no
14,0,"Au revoir les enfants",1987,http://www.icheckmovies.com/movies/au+revoir+les+enfants/,6423,630,21,14,372,"Au Revoir Les Enfants",http://www.imdb.com/title/tt0092593/,"2018-04-26 21:44:55",no,no,no,no
15,0,"Camille Claudel",1988,http://www.icheckmovies.com/movies/camille+claudel/,482,25,3,2,77,,http://www.imdb.com/title/tt0094828/,no,no,no,no,no
16,0,"Trop belle pour toi",1989,http://www.icheckmovies.com/movies/trop+belle+pour+toi/,238,13,2,2,50,"Too Beautiful for You",http://www.imdb.com/title/tt0098520/,"2018-04-28 23:11:47",no,no,no,no
17,0,"Cyrano de Bergerac",1990,http://www.icheckmovies.com/movies/cyrano+de+bergerac/,3818,181,20,8,174,,http://www.imdb.com/title/tt0099334/,"2018-04-28 16:06:05",no,no,no,no
18,0,"Tous les matins du monde",1991,http://www.icheckmovies.com/movies/tous+les+matins+du+monde/,454,43,2,1,61,"All the Mornings of the World",http://www.imdb.com/title/tt0103110/,no,no,no,no,no
19,0,"Les nuits fauves",1992,http://www.icheckmovies.com/movies/les+nuits+fauves/,310,12,6,4,54,"Savage Nights",http://www.imdb.com/title/tt0105032/,no,no,no,no,no
20,0,"Smoking/No Smoking",1993,http://www.icheckmovies.com/movies/smokingslashno+smoking/,227,16,3,2,56,,http://www.imdb.com/title/tt0108167/,no,no,no,no,no
21,0,"Les roseaux sauvages",1994,http://www.icheckmovies.com/movies/les+roseaux+sauvages/,714,41,13,6,141,"Wild Reeds",http://www.imdb.com/title/tt0111019/,"2018-04-26 21:48:05",no,no,no,no
