rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Evdokia,1971,http://www.icheckmovies.com/movies/evdokia/,86,7,1,2,39,,http://www.imdb.com/title/tt0067068/,no,no,no,no,no
2,,"O drakos",1956,http://www.icheckmovies.com/movies/o+drakos/,192,23,0,4,86,"The Ogre of Athens",http://www.imdb.com/title/tt0124437/,"2018-12-01 09:36:45",no,no,no,no
3,,Stella,1955,http://www.icheckmovies.com/movies/stella-1955-1/,184,20,0,3,62,,http://www.imdb.com/title/tt0048657/,no,no,no,no,no
4,,"O thiasos",1975,http://www.icheckmovies.com/movies/o+thiasos/,729,69,17,11,232,"The Travelling Players",http://www.imdb.com/title/tt0073800/,"2018-11-19 21:31:44",no,no,no,no
5,,"Istoria mias kalpikis liras",1955,http://www.icheckmovies.com/movies/istoria+mias+kalpikis+liras/,107,18,0,2,57,"The Counterfeit Coin",http://www.imdb.com/title/tt0122565/,no,no,no,no,no
6,,Rembetiko,1983,http://www.icheckmovies.com/movies/rembetiko/,124,20,2,2,44,,http://www.imdb.com/title/tt0086182/,no,no,no,no,no
7,,"Glykia symmoria",1983,http://www.icheckmovies.com/movies/glykia+symmoria/,62,7,3,1,23,"Sweet Bunch",http://www.imdb.com/title/tt0085599/,no,no,no,no,no
8,,"Kyriakatiko xypnima",1954,http://www.icheckmovies.com/movies/kyriakatiko+xypnima/,34,2,0,1,15,"Windfall in Athens",http://www.imdb.com/title/tt0139413/,no,no,no,no,no
9,,"'Thou-Vou' Falakros praktor - Epiheirisis: Gis madiam",1969,http://www.icheckmovies.com/movies/thou-vou+falakros+praktor+-+epiheirisis+gis+madiam/,73,2,0,1,7,"The Baldheaded Agent and the Land of Destruction Mission",http://www.imdb.com/title/tt0184950/,no,no,no,no,no
10,,Anaparastasi,1970,http://www.icheckmovies.com/movies/anaparastasi/,145,10,2,2,58,Reconstruction,http://www.imdb.com/title/tt0065396/,no,no,no,no,no
11,,"I earini synaxis ton agrofylakon",1999,http://www.icheckmovies.com/movies/i+earini+synaxis+ton+agrofylakon/,20,2,0,1,9,"The Four Seasons of the Law",http://www.imdb.com/title/tt0222027/,no,no,no,no,no
12,,"Loufa kai parallagi",1984,http://www.icheckmovies.com/movies/loufa+kai+parallagi/,125,4,0,1,17,"Loaf and Camouflage",http://www.imdb.com/title/tt0123976/,no,no,no,no,no
13,,"The Trojan Women",1971,http://www.icheckmovies.com/movies/the+trojan+women/,92,5,2,1,31,,http://www.imdb.com/title/tt0067881/,no,no,no,no,no
14,,Dekapentavgoustos,2001,http://www.icheckmovies.com/movies/dekapentavgoustos/,43,2,1,1,7,"One Day in August",http://www.imdb.com/title/tt0251661/,no,no,no,no,no
15,,"Oi apenanti",1981,http://www.icheckmovies.com/movies/oi+apenanti/,21,4,0,1,10,"A Foolish Love",http://www.imdb.com/title/tt0083571/,no,no,no,no,no
16,,"Pote tin Kyriaki",1960,http://www.icheckmovies.com/movies/pote+tin+kyriaki/,466,29,5,3,87,"Never on Sunday",http://www.imdb.com/title/tt0054198/,no,no,no,no,no
17,,"To dendro pou pligoname",1986,http://www.icheckmovies.com/movies/to+dendro+pou+pligoname/,17,2,0,1,6,"The Tree We Hurt",http://www.imdb.com/title/tt0090931/,no,no,no,no,no
18,,"Synoikia to Oneiro",1961,http://www.icheckmovies.com/movies/synoikia+to+oneiro/,41,4,0,1,13,,http://www.imdb.com/title/tt0196995/,no,no,no,no,no
19,,"...mehri to ploio",1966,http://www.icheckmovies.com/movies/...mehri+to+ploio/,52,3,0,3,33,Cornerstone,http://www.imdb.com/title/tt0200855/,no,no,no,no,no
20,,"Voitheia o Vengos, faneros praktor '000'",1967,http://www.icheckmovies.com/movies/voitheia+o+vengos+faneros+praktor+000/,66,1,0,1,9,,http://www.imdb.com/title/tt0123313/,no,no,no,no,no
21,,"Oi Germanoi xanarhontai...",1948,http://www.icheckmovies.com/movies/oi+germanoi+xanarhontai.../,44,1,0,1,11,"The Germans Strike Again",http://www.imdb.com/title/tt0041410/,no,no,no,no,no
22,,Apontes,1996,http://www.icheckmovies.com/movies/apontes/,18,2,0,1,5,Truants,http://www.imdb.com/title/tt0162162/,no,no,no,no,no
23,,"Alloimono stous neous",1961,http://www.icheckmovies.com/movies/alloimono+stous+neous/,48,2,0,1,8,,http://www.imdb.com/title/tt0122883/,no,no,no,no,no
24,,"I fotografia",1986,http://www.icheckmovies.com/movies/i+fotografia/,34,3,0,2,30,"La photo",http://www.imdb.com/title/tt0093733/,no,no,no,no,no
25,,"Oi kynigoi",1977,http://www.icheckmovies.com/movies/oi+kynigoi/,80,12,0,2,40,"The Hunters",http://www.imdb.com/title/tt0076286/,no,no,no,no,no
26,,"Oi tembelides tis eforis koiladas",1978,http://www.icheckmovies.com/movies/oi+tembelides+tis+eforis+koiladas/,47,6,0,2,29,"The Idlers of the Fertile Valley",http://www.imdb.com/title/tt0128725/,no,no,no,no,no
27,,"Afti i nyhta menei",2000,http://www.icheckmovies.com/movies/afti+i+nyhta+menei/,33,2,0,1,7,"Edge of Night",http://www.imdb.com/title/tt0268896/,no,no,no,no,no
28,,"O Ilias tou 16ou",1959,http://www.icheckmovies.com/movies/o+ilias+tou+16ou/,84,4,0,1,9,"The Policeman of the 16th Precinct",http://www.imdb.com/title/tt0181592/,no,no,no,no,no
29,,Kynodontas,2009,http://www.icheckmovies.com/movies/kynodontas/,6204,793,126,4,287,Dogtooth,http://www.imdb.com/title/tt1379182/,"2018-12-01 10:04:58",no,no,no,no
30,,"I de gyni na fovitai ton andra",1965,http://www.icheckmovies.com/movies/i+de+gyni+na+fovitai+ton+andra/,84,3,0,1,8,,http://www.imdb.com/title/tt0180749/,no,no,no,no,no
31,,"Tis kakomoiras",1963,http://www.icheckmovies.com/movies/tis+kakomoiras/,73,6,0,1,16,,http://www.imdb.com/title/tt0197042/,no,no,no,no,no
32,,"To meteoro vima tou pelargou",1991,http://www.icheckmovies.com/movies/to+meteoro+vima+tou+pelargou/,206,18,0,3,78,"The Suspended Step of the Stork",http://www.imdb.com/title/tt0102439/,no,no,no,no,no
33,,"Mia zoi tin ehoume",1958,http://www.icheckmovies.com/movies/mia+zoi+tin+ehoume/,53,4,0,1,10,"We Have Only One Life",http://www.imdb.com/title/tt0051927/,no,no,no,no,no
34,,"Apo tin akri tis polis",1998,http://www.icheckmovies.com/movies/apo+tin+akri+tis+polis/,50,3,0,1,16,"From the Edge of the City",http://www.imdb.com/title/tt0181547/,no,no,no,no,no
35,,"Taxidi sta Kythira",1984,http://www.icheckmovies.com/movies/taxidi+sta+kythira/,173,20,1,1,63,"Voyage to Cythera",http://www.imdb.com/title/tt0088241/,no,no,no,no,no
36,,"Krystallines nyhtes",1992,http://www.icheckmovies.com/movies/krystallines+nyhtes/,11,3,0,1,6,"Crystal Nights",http://www.imdb.com/title/tt0104641/,no,no,no,no,no
37,,"Ola einai dromos",1998,http://www.icheckmovies.com/movies/ola+einai+dromos/,55,7,0,1,7,"It's a Long Road",http://www.imdb.com/title/tt0164063/,no,no,no,no,no
38,,Ouranos,1962,http://www.icheckmovies.com/movies/ouranos/,13,2,0,1,13,"Glory Sky",http://www.imdb.com/title/tt0196817/,no,no,no,no,no
39,,"Magiki polis",1954,http://www.icheckmovies.com/movies/magiki+polis/,43,2,0,3,29,"The Magic City",http://www.imdb.com/title/tt0135534/,no,no,no,no,no
40,,"Ta kourelia tragoudane akoma...",1979,http://www.icheckmovies.com/movies/ta+kourelia+tragoudane+akoma.../,43,6,0,1,12,"The Thrushes Are Still Singing",http://www.imdb.com/title/tt0094097/,no,no,no,no,no
41,,"Oi gabroi tis Eftyhias",1962,http://www.icheckmovies.com/movies/oi+gabroi+tis+eftyhias/,31,1,0,1,7,,http://www.imdb.com/title/tt0199550/,no,no,no,no,no
42,,"Oi voskoi",1967,http://www.icheckmovies.com/movies/oi+voskoi/,36,6,0,1,42,"Thanos and Despina",http://www.imdb.com/title/tt0061084/,no,no,no,no,no
43,,"Happy Day",1976,http://www.icheckmovies.com/movies/happy+day-1976/,21,2,0,2,16,,http://www.imdb.com/title/tt0074606/,no,no,no,no,no
44,,"Meres tou '36",1972,http://www.icheckmovies.com/movies/meres+tou+36/,103,4,2,1,23,"Days of 36",http://www.imdb.com/title/tt0068939/,no,no,no,no,no
45,,"Arpa colla",1982,http://www.icheckmovies.com/movies/arpa+colla/,27,2,0,1,6,,http://www.imdb.com/title/tt0083577/,no,no,no,no,no
46,,"Piso porta",2000,http://www.icheckmovies.com/movies/piso+porta/,23,1,0,1,4,Backdoor,http://www.imdb.com/title/tt0263868/,no,no,no,no,no
47,,"Bios + politeia",1987,http://www.icheckmovies.com/movies/bios+plus+politeia/,24,2,0,1,3,"Living Dangerously",http://www.imdb.com/title/tt0220839/,no,no,no,no,no
48,,"To tama",2001,http://www.icheckmovies.com/movies/to+tama/,6,0,0,1,6,"Evagora's Vow",http://www.imdb.com/title/tt0246268/,no,no,no,no,no
49,,"Lefteris Dimakopoulos",1993,http://www.icheckmovies.com/movies/lefteris+dimakopoulos/,8,1,0,1,5,Lefteris,http://www.imdb.com/title/tt0110320/,no,no,no,no,no
50,,"Istoria 52",2008,http://www.icheckmovies.com/movies/istoria+52/,30,1,0,1,6,"Tale 52",http://www.imdb.com/title/tt1170397/,no,no,no,no,no
51,,"Ta kokkina fanaria",1963,http://www.icheckmovies.com/movies/ta+kokkina+fanaria/,113,6,0,3,53,"The Red Lanterns",http://www.imdb.com/title/tt0057229/,no,no,no,no,no
52,,"I hartopaihtra",1965,http://www.icheckmovies.com/movies/i+hartopaihtra/,80,1,0,1,6,,http://www.imdb.com/title/tt0180735/,no,no,no,no,no
