rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"La Ciénaga",2001,http://www.icheckmovies.com/movies/la+cienaga/,952,79,22,6,132,"The Swamp",http://www.imdb.com/title/tt0240419/,no,no,no,no,no
2,0,"Amores perros",2000,http://www.icheckmovies.com/movies/amores+perros/,23100,2181,138,15,458,"Love's a Bitch",http://www.imdb.com/title/tt0245712/,"2018-04-26 21:50:30",no,no,no,no
3,0,"Stellet Licht",2007,http://www.icheckmovies.com/movies/stellet+licht/,1188,127,23,6,161,"Silent Light",http://www.imdb.com/title/tt0841925/,"2018-10-17 22:39:28",no,no,no,no
4,0,"Cidade de Deus",2002,http://www.icheckmovies.com/movies/cidade+de+deus/,50611,6571,204,20,859,"City of God",http://www.imdb.com/title/tt0317248/,"2018-04-28 15:55:34",no,no,no,yes
5,0,"Ônibus 174",2002,http://www.icheckmovies.com/movies/onibus+174/,1505,104,14,4,118,"Bus 174",http://www.imdb.com/title/tt0340468/,no,no,no,no,no
6,0,"Y tu mamá también",2001,http://www.icheckmovies.com/movies/y+tu+mama+tambien/,15254,1306,113,12,411,,http://www.imdb.com/title/tt0245574/,"2018-11-08 00:21:29",no,no,no,no
7,0,Whisky,2004,http://www.icheckmovies.com/movies/whisky/,592,51,7,2,82,,http://www.imdb.com/title/tt0331370/,no,no,no,no,no
8,0,"La mujer sin cabeza",2008,http://www.icheckmovies.com/movies/la+mujer+sin+cabeza/,1050,58,36,6,137,"The Headless Woman",http://www.imdb.com/title/tt1221141/,"2018-12-01 10:12:13",no,no,no,no
9,0,"La niña santa",2004,http://www.icheckmovies.com/movies/la+nina+santa/,658,35,14,4,101,"The Holy Girl",http://www.imdb.com/title/tt0300270/,no,no,no,no,no
10,0,"El laberinto del fauno",2006,http://www.icheckmovies.com/movies/el+laberinto+del+fauno/,70260,7814,498,29,1016,"Pan's Labyrinth",http://www.imdb.com/title/tt0457430/,"2018-04-26 21:52:00",no,no,no,no
11,0,"Nueve reinas",2000,http://www.icheckmovies.com/movies/nueve+reinas/,3003,415,8,3,133,"Nine Queens",http://www.imdb.com/title/tt0247586/,"2018-10-17 22:31:51",no,no,no,no
12,0,Bolivia,2001,http://www.icheckmovies.com/movies/bolivia/,147,8,1,1,34,,http://www.imdb.com/title/tt0301050/,no,no,no,no,no
13,0,"La Nana",2009,http://www.icheckmovies.com/movies/la+nana/,1055,66,19,2,77,"The Maid",http://www.imdb.com/title/tt1187044/,no,no,no,no,no
14,0,"Madame Satã",2002,http://www.icheckmovies.com/movies/madame+sata/,323,13,4,1,33,,http://www.imdb.com/title/tt0317887/,no,no,no,no,no
15,0,Japón,2002,http://www.icheckmovies.com/movies/japon/,466,38,10,3,81,Japan,http://www.imdb.com/title/tt0322824/,no,no,no,no,no
16,0,"Historias mínimas",2002,http://www.icheckmovies.com/movies/historias+minimas/,429,41,1,1,61,"Intimate Stories",http://www.imdb.com/title/tt0291988/,no,no,no,no,no
17,0,"La libertad",2001,http://www.icheckmovies.com/movies/la+libertad/,234,15,6,2,73,Freedom,http://www.imdb.com/title/tt0291310/,no,no,no,no,no
18,0,"La teta asustada",2009,http://www.icheckmovies.com/movies/la+teta+asustada/,933,48,23,3,96,"The Milk of Sorrow",http://www.imdb.com/title/tt1206488/,no,no,no,no,no
19,0,"Diarios de motocicleta",2004,http://www.icheckmovies.com/movies/diarios+de+motocicleta/,8987,705,46,3,238,"The Motorcycle Diaries",http://www.imdb.com/title/tt0318462/,"2018-04-28 15:54:57",no,no,no,no
