rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"La vita è bella",1997,http://www.icheckmovies.com/movies/la+vita+e+bella/,50241,5451,365,16,596,"Life Is Beautiful",http://www.imdb.com/title/tt0118799/,"2018-04-28 15:59:05",no,no,no,yes
2,0,Intouchables,2011,http://www.icheckmovies.com/movies/intouchables/,31140,3921,159,7,472,"The Intouchables",http://www.imdb.com/title/tt1675434/,"2018-01-10 16:55:30",no,no,no,yes
3,0,"Back to the Future",1985,http://www.icheckmovies.com/movies/back+to+the+future/,117383,10229,254,23,1054,,http://www.imdb.com/title/tt0088763/,"2018-01-10 16:55:39",no,no,no,no
4,0,"Brilliantovaya ruka",1969,http://www.icheckmovies.com/movies/brilliantovaya+ruka/,1718,124,25,6,70,"The Diamond Arm",http://www.imdb.com/title/tt0062759/,"2018-11-19 08:20:22",no,no,no,no
5,0,"The Great Dictator",1940,http://www.icheckmovies.com/movies/the+great+dictator/,24978,2275,96,26,601,,http://www.imdb.com/title/tt0032553/,"2018-01-10 16:55:58",no,no,no,no
6,0,"Modern Times",1936,http://www.icheckmovies.com/movies/modern+times/,27753,2475,73,29,697,,http://www.imdb.com/title/tt0027977/,"2018-01-10 16:55:31",no,no,no,no
7,0,"City Lights",1931,http://www.icheckmovies.com/movies/city+lights/,19538,2291,66,31,740,,http://www.imdb.com/title/tt0021749/,"2018-01-10 16:55:28",no,no,no,yes
8,0,Coco,2017,http://www.icheckmovies.com/movies/coco-2017/,7554,799,22,11,198,,http://www.imdb.com/title/tt2380307/,"2018-01-10 16:55:25",no,no,no,no
9,0,"3 Idiots",2009,http://www.icheckmovies.com/movies/3+idiots/,8945,931,176,4,149,,http://www.imdb.com/title/tt1187043/,"2018-04-28 15:49:17",no,no,no,no
10,0,"Flåklypa Grand Prix",1975,http://www.icheckmovies.com/movies/flaklypa+grand+prix/,4980,366,30,7,132,"Pinchcliffe Grand Prix",http://www.imdb.com/title/tt0073000/,"2018-11-27 15:02:30",no,no,no,no
11,0,"Ivan Vasilevich menyaet professiyu",1973,http://www.icheckmovies.com/movies/ivan+vasilevich+menyaet+professiyu/,2667,197,55,5,85,"Ivan Vasilievich: Back to the Future",http://www.imdb.com/title/tt0070233/,"2018-11-19 18:05:19",no,no,no,no
