rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Hets,1944,http://www.icheckmovies.com/movies/hets/,587,33,6,5,89,Torment,http://www.imdb.com/title/tt0036914/,no,no,no,no,no
2,0,Kris,1946,http://www.icheckmovies.com/movies/kris/,402,6,6,1,48,Crisis,http://www.imdb.com/title/tt0038675/,no,no,no,no,no
3,0,Hamnstad,1948,http://www.icheckmovies.com/movies/hamnstad/,348,7,3,1,36,"Port of Call",http://www.imdb.com/title/tt0040418/,no,no,no,no,no
4,0,Törst,1949,http://www.icheckmovies.com/movies/torst/,369,10,5,1,45,Thirst,http://www.imdb.com/title/tt0041998/,no,no,no,no,no
5,0,"Till glädje",1950,http://www.icheckmovies.com/movies/till+gladje/,350,19,2,1,47,"To Joy",http://www.imdb.com/title/tt0043048/,no,no,no,no,no
6,0,"Vive le tour",1962,http://www.icheckmovies.com/movies/vive+le+tour/,329,16,2,1,48,,http://www.imdb.com/title/tt0056662/,no,no,no,no,no
7,0,"L'Inde fantôme",1969,http://www.icheckmovies.com/movies/linde+fantome/,117,12,0,4,85,"Phantom India",http://www.imdb.com/title/tt0063914/,no,no,no,no,no
8,0,Calcutta,1969,http://www.icheckmovies.com/movies/calcutta/,142,1,0,1,38,,http://www.imdb.com/title/tt0062773/,no,no,no,no,no
9,0,"Humain, trop humain",1974,http://www.icheckmovies.com/movies/humain+trop+humain/,109,2,1,1,35,"A Human Condition",http://www.imdb.com/title/tt0071635/,no,no,no,no,no
10,0,"Place de la République",1974,http://www.icheckmovies.com/movies/place+de+la+republique/,99,3,1,1,34,,http://www.imdb.com/title/tt0071999/,no,no,no,no,no
11,0,"God's Country",1985,http://www.icheckmovies.com/movies/gods+country-1985-1/,162,5,1,1,32,,http://www.imdb.com/title/tt0091125/,no,no,no,no,no
12,0,"...And the Pursuit of Happiness",1986,http://www.icheckmovies.com/movies/...and+the+pursuit+of+happiness/,152,5,0,1,34,,http://www.imdb.com/title/tt0092561/,no,no,no,no,no
13,0,Sôshun,1956,http://www.icheckmovies.com/movies/soshun/,477,48,2,2,106,"Early Spring",http://www.imdb.com/title/tt0049784/,no,no,no,no,no
14,0,"Tôkyô boshoku",1957,http://www.icheckmovies.com/movies/tokyo+boshoku/,653,89,2,4,163,"Tokyo Twilight",http://www.imdb.com/title/tt0051093/,no,no,no,no,no
15,0,Higanbana,1958,http://www.icheckmovies.com/movies/higanbana/,617,65,5,2,134,"Equinox Flower",http://www.imdb.com/title/tt0051720/,"2018-11-08 00:26:11",no,no,no,no
16,0,Akibiyori,1960,http://www.icheckmovies.com/movies/akibiyori/,792,91,2,3,138,"Late Autumn",http://www.imdb.com/title/tt0053579/,no,no,no,no,no
17,0,"Kohayagawa-ke no aki",1961,http://www.icheckmovies.com/movies/kohayagawa-ke+no+aki/,642,53,2,3,113,"The End of Summer",http://www.imdb.com/title/tt0055052/,no,no,no,no,no
18,0,"Les croix de bois",1932,http://www.icheckmovies.com/movies/les+croix+de+bois/,234,22,0,2,76,"Wooden Crosses",http://www.imdb.com/title/tt0022787/,"2018-11-08 00:26:53",no,no,no,no
19,0,"Les misérables",1934,http://www.icheckmovies.com/movies/les+miserables-1934-1/,563,65,2,4,106,,http://www.imdb.com/title/tt0025509/,no,no,no,no,no
20,0,"I Shot Jesse James",1949,http://www.icheckmovies.com/movies/i+shot+jesse+james/,434,13,3,1,62,,http://www.imdb.com/title/tt0041497/,no,no,no,no,no
21,0,"The Baron of Arizona",1950,http://www.icheckmovies.com/movies/the+baron+of+arizona/,364,15,1,1,51,,http://www.imdb.com/title/tt0042229/,no,no,no,no,no
22,0,"The Steel Helmet",1951,http://www.icheckmovies.com/movies/the+steel+helmet/,684,59,7,2,116,,http://www.imdb.com/title/tt0044072/,no,no,no,no,no
23,0,"Bodas de sangre",1981,http://www.icheckmovies.com/movies/bodas+de+sangre/,349,31,0,4,90,"Blood Wedding",http://www.imdb.com/title/tt0082088/,no,no,no,no,no
24,0,Carmen,1983,http://www.icheckmovies.com/movies/carmen-1983/,451,25,4,3,114,,http://www.imdb.com/title/tt0085297/,no,no,no,no,no
25,0,"El amor brujo",1986,http://www.icheckmovies.com/movies/el+amor+brujo-1986/,103,3,0,1,24,,http://www.imdb.com/title/tt0090636/,no,no,no,no,no
26,0,"Waga seishun ni kuinashi",1946,http://www.icheckmovies.com/movies/waga+seishun+ni+kuinashi/,540,24,7,1,78,"No Regrets for My Youth",http://www.imdb.com/title/tt0039090/,no,no,no,no,no
27,0,"Subarashiki nichiyôbi",1947,http://www.icheckmovies.com/movies/subarashiki+nichiyobi/,447,24,3,1,78,"One Wonderful Sunday",http://www.imdb.com/title/tt0039871/,no,no,no,no,no
28,0,Shûbun,1950,http://www.icheckmovies.com/movies/shubun/,598,29,2,2,60,Scandal,http://www.imdb.com/title/tt0042958/,no,no,no,no,no
29,0,Hakuchi,1951,http://www.icheckmovies.com/movies/hakuchi/,721,43,9,2,95,"The Idiot",http://www.imdb.com/title/tt0043614/,no,no,no,no,no
30,0,"Ikimono no kiroku",1955,http://www.icheckmovies.com/movies/ikimono+no+kiroku/,611,41,2,1,74,"I Live in Fear",http://www.imdb.com/title/tt0048198/,no,no,no,no,no
31,0,"The Love Parade",1929,http://www.icheckmovies.com/movies/the+love+parade/,638,31,4,5,122,,http://www.imdb.com/title/tt0020112/,no,no,no,no,no
