rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Al-mummia,1969,http://www.icheckmovies.com/movies/al-mummia/,250,32,1,6,147,"The Mummy",http://www.imdb.com/title/tt0064703/,no,no,no,no,no
2,,"Bab el hadid",1958,http://www.icheckmovies.com/movies/bab+el+hadid/,736,74,7,6,168,"Cairo Station",http://www.imdb.com/title/tt0051390/,no,no,no,no,no
3,,"Chronique des années de braise",1975,http://www.icheckmovies.com/movies/chronique+des+annees+de+braise/,97,8,0,3,62,"Chronicle of the Years of Fire",http://www.imdb.com/title/tt0072782/,no,no,no,no,no
4,,Al-ard,1969,http://www.icheckmovies.com/movies/al-ard/,78,6,1,2,66,"The Earth",http://www.imdb.com/title/tt0064038/,no,no,no,no,no
5,,"Samt el qusur",1994,http://www.icheckmovies.com/movies/samt+el+qusur/,164,16,1,3,110,"The Silences of the Palace",http://www.imdb.com/title/tt0111055/,no,no,no,no,no
6,,"Ahlam el Madina",1984,http://www.icheckmovies.com/movies/ahlam+el+madina/,13,0,0,1,9,"Dreams of the City",http://www.imdb.com/title/tt0134279/,no,no,no,no,no
7,,"Yadon ilaheyya",2002,http://www.icheckmovies.com/movies/yadon+ilaheyya/,306,21,9,5,76,"Chronicle of Love and Pain",http://www.imdb.com/title/tt0274428/,no,no,no,no,no
8,,"Kit Kat",1991,http://www.icheckmovies.com/movies/kit+kat/,58,4,1,1,22,,http://www.imdb.com/title/tt0102223/,no,no,no,no,no
9,,"West Beyrouth (À l'abri les enfants)",1998,http://www.icheckmovies.com/movies/west+beyrouth+a+labri+les+enfants/,213,19,0,2,79,"West Beirut",http://www.imdb.com/title/tt0157183/,no,no,no,no,no
10,,Al-makhdu'un,1972,http://www.icheckmovies.com/movies/al-makhduun/,114,10,0,3,66,"The Dupes",http://www.imdb.com/title/tt0068899/,no,no,no,no,no
11,,"Paradise Now",2005,http://www.icheckmovies.com/movies/paradise+now/,2860,188,22,6,119,,http://www.imdb.com/title/tt0445620/,"2018-12-02 21:51:06",no,no,no,no
