rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Zwartboek,2006,http://www.icheckmovies.com/movies/zwartboek/,6411,426,42,5,202,"Black Book",http://www.imdb.com/title/tt0389557/,"2018-10-17 22:46:46",no,no,no,no
2,0,Simon,2004,http://www.icheckmovies.com/movies/simon/,1673,126,15,2,67,,http://www.imdb.com/title/tt0393775/,no,no,no,no,no
3,0,"Soldaat van Oranje",1977,http://www.icheckmovies.com/movies/soldaat+van+oranje/,2242,121,11,3,126,"Soldier of Orange",http://www.imdb.com/title/tt0076734/,"2018-12-13 09:40:42",no,no,no,no
4,0,"Alles is liefde",2007,http://www.icheckmovies.com/movies/alles+is+liefde/,2211,40,27,2,42,"Love Is All",http://www.imdb.com/title/tt0468644/,no,no,no,no,no
5,0,"Turks fruit",1973,http://www.icheckmovies.com/movies/turks+fruit/,2292,92,26,4,125,"Turkish Delight",http://www.imdb.com/title/tt0070842/,"2018-12-13 09:37:16",no,no,no,no
6,0,Karakter,1997,http://www.icheckmovies.com/movies/karakter/,1337,88,5,4,83,Character,http://www.imdb.com/title/tt0119448/,no,no,no,no,no
7,0,"De tweeling",2002,http://www.icheckmovies.com/movies/de+tweeling/,1303,38,6,3,71,"Twin Sisters",http://www.imdb.com/title/tt0322674/,no,no,no,no,no
8,0,"Van God Los",2003,http://www.icheckmovies.com/movies/van+god+los/,790,22,4,1,25,"Stir Crazy",http://www.imdb.com/title/tt0288861/,no,no,no,no,no
9,0,"De aanslag",1986,http://www.icheckmovies.com/movies/de+aanslag/,896,22,2,4,79,"The Assault",http://www.imdb.com/title/tt0090576/,no,no,no,no,no
10,0,"De Poolse bruid",1998,http://www.icheckmovies.com/movies/de+poolse+bruid/,203,2,2,1,38,"The Polish Bride",http://www.imdb.com/title/tt0142772/,no,no,no,no,no
11,0,Abel,1986,http://www.icheckmovies.com/movies/abel/,645,52,3,3,56,Voyeur,http://www.imdb.com/title/tt0090579/,"2018-12-13 13:49:53",no,no,no,no
12,0,"Ciske de Rat",1984,http://www.icheckmovies.com/movies/ciske+de+rat/,907,9,4,1,28,"Ciske the Rat",http://www.imdb.com/title/tt0087060/,no,no,no,no,no
13,0,Spoorloos,1988,http://www.icheckmovies.com/movies/spoorloos/,5344,598,32,10,347,"The Vanishing",http://www.imdb.com/title/tt0096163/,"2018-10-17 22:39:00",no,no,no,no
14,0,Cloaca,2003,http://www.icheckmovies.com/movies/cloaca/,292,18,3,1,57,,http://www.imdb.com/title/tt0375662/,no,no,no,no,no
15,0,Antonia,1995,http://www.icheckmovies.com/movies/antonia/,827,65,18,4,101,"Antonia's Line",http://www.imdb.com/title/tt0112379/,"2018-12-02 21:51:08",no,no,no,no
16,0,Minoes,2001,http://www.icheckmovies.com/movies/minoes/,1954,27,7,2,39,"Undercover Kitty",http://www.imdb.com/title/tt0279231/,no,no,no,no,no
17,0,"All Stars",1997,http://www.icheckmovies.com/movies/all+stars/,1002,23,2,1,24,,http://www.imdb.com/title/tt0118588/,no,no,no,no,no
18,0,"De Noorderlingen",1992,http://www.icheckmovies.com/movies/de+noorderlingen/,489,42,4,2,77,"The Northerners",http://www.imdb.com/title/tt0105019/,no,no,no,no,no
19,0,"De lift",1983,http://www.icheckmovies.com/movies/de+lift/,947,11,9,1,63,"The Lift",http://www.imdb.com/title/tt0087622/,no,no,no,no,no
20,0,"De dominee",2004,http://www.icheckmovies.com/movies/de+dominee/,425,4,8,1,18,"The Preacher",http://www.imdb.com/title/tt0370477/,no,no,no,no,no
21,0,Lek,2000,http://www.icheckmovies.com/movies/lek/,552,16,5,2,22,"Leak 2000",http://www.imdb.com/title/tt0194104/,no,no,no,no,no
22,0,"Het zakmes",1992,http://www.icheckmovies.com/movies/het+zakmes/,874,11,1,1,28,"The Penknife",http://www.imdb.com/title/tt0105884/,no,no,no,no,no
23,0,Flodder,1986,http://www.icheckmovies.com/movies/flodder/,2363,31,23,1,28,,http://www.imdb.com/title/tt0091060/,no,no,no,no,no
24,0,Amsterdamned,1988,http://www.icheckmovies.com/movies/amsterdamned/,1027,25,12,1,49,,http://www.imdb.com/title/tt0094651/,no,no,no,no,no
25,0,Fanfare,1958,http://www.icheckmovies.com/movies/fanfare/,289,12,0,2,67,,http://www.imdb.com/title/tt0051600/,no,no,no,no,no
26,0,Zusje,1995,http://www.icheckmovies.com/movies/zusje/,650,17,9,2,44,"Little Sister",http://www.imdb.com/title/tt0115067/,no,no,no,no,no
27,0,"Als je begrijpt wat ik bedoel",1983,http://www.icheckmovies.com/movies/als+je+begrijpt+wat+ik+bedoel/,512,25,2,1,30,"Dexter the Dragon & Bumble the Bear",http://www.imdb.com/title/tt0188404/,no,no,no,no,no
28,0,"Left Luggage",1998,http://www.icheckmovies.com/movies/left+luggage/,262,16,2,1,28,,http://www.imdb.com/title/tt0119512/,no,no,no,no,no
29,0,Ober,2006,http://www.icheckmovies.com/movies/ober/,551,40,3,1,45,,http://www.imdb.com/title/tt0476681/,no,no,no,no,no
30,0,"De kleine blonde dood",1993,http://www.icheckmovies.com/movies/de+kleine+blonde+dood/,820,17,2,2,25,,http://www.imdb.com/title/tt0107331/,no,no,no,no,no
