rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Muhsin Bey",1987,http://www.icheckmovies.com/movies/muhsin+bey/,696,63,7,1,42,"Mr. Muhsin",http://www.imdb.com/title/tt0184756/,no,no,no,no,no
2,,Umut,1970,http://www.icheckmovies.com/movies/umut/,291,26,1,3,70,Hope,http://www.imdb.com/title/tt0066500/,no,no,no,no,no
3,,Gelin,1973,http://www.icheckmovies.com/movies/gelin/,152,6,2,1,21,,http://www.imdb.com/title/tt0070099/,no,no,no,no,no
4,,Sürü,1979,http://www.icheckmovies.com/movies/suru/,285,31,1,5,80,"The Herd",http://www.imdb.com/title/tt0078355/,no,no,no,no,no
5,,Yol,1982,http://www.icheckmovies.com/movies/yol/,1267,123,14,9,155,,http://www.imdb.com/title/tt0084934/,"2018-11-25 14:40:03",no,no,no,no
6,,"Anayurt Oteli",1987,http://www.icheckmovies.com/movies/anayurt+oteli/,267,18,0,2,32,"Motherland Hotel",http://www.imdb.com/title/tt0092558/,no,no,no,no,no
7,,"Susuz Yaz",1963,http://www.icheckmovies.com/movies/susuz+yaz/,570,46,6,4,109,"Dry Summer",http://www.imdb.com/title/tt0062322/,"2018-10-17 22:39:45",no,no,no,no
8,,"Selvi Boylum Al Yazmalim",1977,http://www.icheckmovies.com/movies/selvi+boylum+al+yazmalim/,1458,79,25,1,47,"The Girl with the Red Scarf",http://www.imdb.com/title/tt0263975/,no,no,no,no,no
9,,"Gurbet kuslari",1964,http://www.icheckmovies.com/movies/gurbet+kuslari/,88,3,0,1,15,"Birds of Exile",http://www.imdb.com/title/tt0184543/,no,no,no,no,no
10,,Masumiyet,1997,http://www.icheckmovies.com/movies/masumiyet/,778,108,9,1,57,Innocence,http://www.imdb.com/title/tt0128332/,no,no,no,no,no
11,,Otobüs,1975,http://www.icheckmovies.com/movies/otobus/,172,15,1,1,22,"The Bus",http://www.imdb.com/title/tt0212408/,no,no,no,no,no
12,,"Sevmek zamani",1965,http://www.icheckmovies.com/movies/sevmek+zamani/,338,56,4,4,59,"Time to Love",http://www.imdb.com/title/tt0167400/,no,no,no,no,no
13,,"Eine Saison in Hakkari",1983,http://www.icheckmovies.com/movies/eine+saison+in+hakkari/,61,5,1,1,13,"A Season in Hakkari",http://www.imdb.com/title/tt0084045/,no,no,no,no,no
14,,"Bes Vakit",2006,http://www.icheckmovies.com/movies/bes+vakit/,354,34,2,1,48,"Times and Winds",http://www.imdb.com/title/tt0855729/,no,no,no,no,no
15,,Uzak,2002,http://www.icheckmovies.com/movies/uzak/,1740,161,21,7,171,Distant,http://www.imdb.com/title/tt0346094/,"2018-12-02 22:43:09",no,no,no,no
16,,Diyet,1974,http://www.icheckmovies.com/movies/diyet/,90,3,0,1,8,"Blood Money",http://www.imdb.com/title/tt0279779/,no,no,no,no,no
17,,Dügün,1973,http://www.icheckmovies.com/movies/dugun/,93,3,0,1,12,,http://www.imdb.com/title/tt0261668/,no,no,no,no,no
18,,Sonbahar,2008,http://www.icheckmovies.com/movies/sonbahar/,349,49,0,1,34,Autumn,http://www.imdb.com/title/tt1330591/,no,no,no,no,no
