rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The 5,000 Fingers of Dr. T.",1953,http://www.icheckmovies.com/movies/the+5000+fingers+of+dr.+t./,758,35,11,4,89,,http://www.imdb.com/title/tt0045464/,"2018-11-08 00:22:10",no,no,no,no
2,0,"The 7th Voyage of Sinbad",1958,http://www.icheckmovies.com/movies/the+7th+voyage+of+sinbad/,1703,72,11,4,120,,http://www.imdb.com/title/tt0051337/,"2018-10-17 01:49:19",no,no,no,no
3,0,"2001: A Space Odyssey",1968,http://www.icheckmovies.com/movies/2001+a+space+odyssey/,65079,7556,828,42,1443,,http://www.imdb.com/title/tt0062622/,"2018-01-10 16:56:52",no,no,no,no
4,0,"A Canterbury Tale",1944,http://www.icheckmovies.com/movies/a+canterbury+tale/,1550,98,14,8,130,,http://www.imdb.com/title/tt0036695/,"2018-04-28 22:51:06",no,no,no,no
5,0,"A Matter of Life and Death",1946,http://www.icheckmovies.com/movies/a+matter+of+life+and+death/,4017,500,31,22,385,"Stairway to Heaven",http://www.imdb.com/title/tt0038733/,"2018-06-11 13:12:13",no,no,no,no
6,0,Aladdin,1992,http://www.icheckmovies.com/movies/aladdin/,92603,3642,156,13,460,,http://www.imdb.com/title/tt0103639/,"2018-01-31 08:56:27",no,no,no,no
7,0,"Aladdin and the Wonderful Lamp",1917,http://www.icheckmovies.com/movies/aladdin+and+the+wonderful+lamp-1917/,77,0,1,1,8,,http://www.imdb.com/title/tt0007617/,no,no,no,no,no
8,0,"Ali Baba and the Forty Thieves",1918,http://www.icheckmovies.com/movies/ali+baba+and+the+forty+thieves-1918-1/,10,0,3,1,8,,http://www.imdb.com/title/tt0008821/,no,no,no,no,no
9,0,"Alice in Wonderland",1966,http://www.icheckmovies.com/movies/alice+in+wonderland-1966-1/,310,17,2,3,51,,http://www.imdb.com/title/tt0060089/,no,no,no,no,no
10,0,"Arabian Nights",1942,http://www.icheckmovies.com/movies/arabian+nights/,116,4,5,1,28,,http://www.imdb.com/title/tt0034465/,no,no,no,no,no
11,0,"Azur et Asmar",2006,http://www.icheckmovies.com/movies/azur+et+asmar/,472,33,10,2,47,"Azur & Asmar: The Princes' Quest",http://www.imdb.com/title/tt0439123/,"2018-11-08 00:25:15",no,no,no,no
12,0,Barbe-bleue,1901,http://www.icheckmovies.com/movies/barbe-bleue-1901/,830,25,5,1,49,Bluebeard,http://www.imdb.com/title/tt0131934/,no,no,no,no,no
13,0,"Basic Instinct",1992,http://www.icheckmovies.com/movies/basic+instinct/,23870,491,186,7,256,,http://www.imdb.com/title/tt0103772/,"2018-10-17 01:31:06",no,no,no,no
14,0,"Basic Instinct 2",2006,http://www.icheckmovies.com/movies/basic+instinct+2/,1422,4,148,2,42,,http://www.imdb.com/title/tt0430912/,"2018-11-08 00:25:18",no,no,no,no
15,0,"The Beast from 20,000 Fathoms",1953,http://www.icheckmovies.com/movies/the+beast+from+20000+fathoms/,880,21,16,3,95,,http://www.imdb.com/title/tt0045546/,"2018-10-17 21:54:41",no,no,no,no
16,0,"The Beastmaster",1982,http://www.icheckmovies.com/movies/the+beastmaster/,1256,45,25,3,58,,http://www.imdb.com/title/tt0083630/,no,no,no,no,no
17,0,"Being John Malkovich",1999,http://www.icheckmovies.com/movies/being+john+malkovich/,43594,3839,376,12,620,,http://www.imdb.com/title/tt0120601/,"2018-01-31 08:56:17",no,no,no,no
18,0,"Between Two Worlds",1944,http://www.icheckmovies.com/movies/between+two+worlds/,116,8,2,1,31,,http://www.imdb.com/title/tt0036641/,"2018-11-08 01:03:49",no,no,no,no
19,0,"Beyond Tomorrow",1940,http://www.icheckmovies.com/movies/beyond+tomorrow/,94,2,1,1,17,,http://www.imdb.com/title/tt0032247/,no,no,no,no,no
20,0,"Big Fish",2003,http://www.icheckmovies.com/movies/big+fish/,66022,5772,489,5,456,,http://www.imdb.com/title/tt0319061/,"2018-04-28 15:55:04",no,no,no,no
21,0,"Billy Liar",1963,http://www.icheckmovies.com/movies/billy+liar/,1338,101,12,6,129,,http://www.imdb.com/title/tt0056868/,"2018-06-11 12:57:02",no,no,no,no
22,0,"The Birds",1963,http://www.icheckmovies.com/movies/the+birds/,36465,1748,188,18,619,,http://www.imdb.com/title/tt0056869/,"2018-04-26 21:35:33",no,no,no,no
23,0,"Blade Runner",1982,http://www.icheckmovies.com/movies/blade+runner/,67283,7104,602,30,1261,,http://www.imdb.com/title/tt0083658/,"2018-01-10 16:58:10",no,no,no,no
24,0,"Blue Velvet",1986,http://www.icheckmovies.com/movies/blue+velvet/,24836,2626,190,23,830,,http://www.imdb.com/title/tt0090756/,"2018-04-26 21:44:09",no,no,no,no
25,0,Brazil,1985,http://www.icheckmovies.com/movies/brazil/,26267,3111,320,22,752,,http://www.imdb.com/title/tt0088846/,"2018-04-26 21:43:52",no,no,no,no
26,0,"Bridge to Terabithia",2007,http://www.icheckmovies.com/movies/bridge+to+terabithia/,10839,517,144,1,119,,http://www.imdb.com/title/tt0398808/,"2018-11-08 01:52:21",no,no,no,no
27,0,"The Brothers Grimm",2005,http://www.icheckmovies.com/movies/the+brothers+grimm/,10018,168,300,1,84,,http://www.imdb.com/title/tt0355295/,"2018-11-08 01:56:03",no,no,no,no
28,0,"Bruce Almighty",2003,http://www.icheckmovies.com/movies/bruce+almighty/,74318,1498,673,4,165,,http://www.imdb.com/title/tt0315327/,"2018-10-17 01:50:55",no,no,no,no
29,0,"Cat People",1942,http://www.icheckmovies.com/movies/cat+people/,5204,324,28,13,387,,http://www.imdb.com/title/tt0034587/,"2018-11-01 22:56:49",no,no,no,no
30,0,Cendrillon,1899,http://www.icheckmovies.com/movies/cendrillon/,888,14,7,2,34,Cinderella,http://www.imdb.com/title/tt0000230/,no,no,no,no,no
31,0,"Charlie and the Chocolate Factory",2005,http://www.icheckmovies.com/movies/charlie+and+the+chocolate+factory/,78163,1564,1260,4,261,,http://www.imdb.com/title/tt0367594/,"2018-10-17 21:58:53",no,no,no,no
32,0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,http://www.icheckmovies.com/movies/the+chronicles+of+narnia+the+lion+the+witch+and+the+wardrobe/,66003,1205,706,4,231,,http://www.imdb.com/title/tt0363771/,"2018-06-27 22:28:45",no,no,no,no
33,1,"Clash of the Titans",1981,http://www.icheckmovies.com/movies/clash+of+the+titans-1981-1/,4680,169,44,2,114,,http://www.imdb.com/title/tt0082186/,"2018-11-08 00:24:19",no,no,no,no
