rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Le wazzou polygame",1971,http://www.icheckmovies.com/movies/le+wazzou+polygame/,83,2,2,1,24,,http://www.imdb.com/title/tt0067964/,"2018-12-09 21:06:49",no,no,no,no
2,0,"Les mille et une mains",1973,http://www.icheckmovies.com/movies/les+mille+et+une+mains/,39,2,0,1,22,"A Thousand and One Hands",http://www.imdb.com/title/tt0177925/,no,no,no,no,no
3,0,"Muna Moto",1975,http://www.icheckmovies.com/movies/muna+moto/,54,3,0,2,42,"L'enfant de l'autre",http://www.imdb.com/title/tt0073417/,no,no,no,no,no
4,0,Baara,1978,http://www.icheckmovies.com/movies/baara/,101,3,2,1,34,Work,http://www.imdb.com/title/tt0077198/,no,no,no,no,no
5,0,"Djeli, conte d'aujourd'hui",1981,http://www.icheckmovies.com/movies/djeli+conte+daujourdhui/,41,1,0,2,22,,http://www.imdb.com/title/tt0082271/,no,no,no,no,no
6,0,Finye,1982,http://www.icheckmovies.com/movies/finye/,169,5,2,3,64,"The Wind",http://www.imdb.com/title/tt0083942/,no,no,no,no,no
7,0,"Histoire d'une rencontre",1984,http://www.icheckmovies.com/movies/histoire+dune+rencontre/,46,1,1,1,18,"Tale of an Encounter",http://www.imdb.com/title/tt0216807/,no,no,no,no,no
8,0,Sarraounia,1986,http://www.icheckmovies.com/movies/sarraounia/,65,3,0,2,41,,http://www.imdb.com/title/tt0091892/,no,no,no,no,no
9,0,"Heritage Africa",1989,http://www.icheckmovies.com/movies/heritage+africa/,53,3,0,1,23,,http://www.imdb.com/title/tt0216803/,no,no,no,no,no
10,0,Tilaï,1990,http://www.icheckmovies.com/movies/tilai/,244,13,2,4,84,"The Law",http://www.imdb.com/title/tt0100784/,no,no,no,no,no
11,0,"Au nom du Christ",1993,http://www.icheckmovies.com/movies/au+nom+du+christ/,78,2,2,2,22,"In the Name of Christ",http://www.imdb.com/title/tt0106319/,no,no,no,no,no
12,0,"Guimba, un tyran une époque",1995,http://www.icheckmovies.com/movies/guimba+un+tyran+une+epoque/,127,2,0,2,32,"Guimba the Tyrant",http://www.imdb.com/title/tt0113233/,no,no,no,no,no
13,0,"Buud Yam",1997,http://www.icheckmovies.com/movies/buud+yam/,124,7,0,2,44,,http://www.imdb.com/title/tt0118805/,no,no,no,no,no
14,0,"Pièces d'identités",1998,http://www.icheckmovies.com/movies/pieces+didentites/,62,1,0,1,24,"Identity Pieces",http://www.imdb.com/title/tt0169128/,no,no,no,no,no
15,0,"Ali Zaoua, prince de la rue",2000,http://www.icheckmovies.com/movies/ali+zaoua+prince+de+la+rue/,337,22,8,3,99,"Ali Zoua: Prince of the Streets",http://www.imdb.com/title/tt0260688/,no,no,no,no,no
16,0,Heremakono,2002,http://www.icheckmovies.com/movies/heremakono/,362,21,6,6,126,"Waiting for Happiness",http://www.imdb.com/title/tt0308363/,no,no,no,no,no
17,0,Drum,2004,http://www.icheckmovies.com/movies/drum/,57,2,0,1,21,,http://www.imdb.com/title/tt0379765/,no,no,no,no,no
18,0,Ezra,2007,http://www.icheckmovies.com/movies/ezra/,71,1,0,1,24,,http://www.imdb.com/title/tt0923688/,no,no,no,no,no
19,0,Teza,2008,http://www.icheckmovies.com/movies/teza/,94,5,3,2,48,,http://www.imdb.com/title/tt1284592/,no,no,no,no,no
20,0,Pegase,2010,http://www.icheckmovies.com/movies/pegase/,85,2,7,1,41,Pegasus,http://www.imdb.com/title/tt1756672/,no,no,no,no,no
21,0,Aujourd'hui,2012,http://www.icheckmovies.com/movies/aujourdhui/,55,1,3,1,17,,http://www.imdb.com/title/tt2178935/,no,no,no,no,no
22,0,Fièvres,2013,http://www.icheckmovies.com/movies/fievres-2013/,39,1,0,1,9,Fevers,http://www.imdb.com/title/tt3405422/,no,no,no,no,no
23,,Félicité,2017,http://www.icheckmovies.com/movies/felicite-2017/,100,3,0,1,32,,http://www.imdb.com/title/tt5980798/,no,no,no,no,no
