rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Abbott and Costello Meet Dr. Jekyll and Mr. Hyde",1953,http://www.icheckmovies.com/movies/abbott+and+costello+meet+dr.+jekyll+and+mr.+hyde/,403,11,5,2,49,,http://www.imdb.com/title/tt0045469/,no,no,no,no,no
2,,"Bud Abbott Lou Costello Meet Frankenstein",1948,http://www.icheckmovies.com/movies/bud+abbott+lou+costello+meet+frankenstein/,2694,132,25,6,167,"Abbott and Costello Meet Frankenstein",http://www.imdb.com/title/tt0040068/,"2018-04-28 23:22:08",no,no,no,no
3,,"Ace Ventura: Pet Detective",1994,http://www.icheckmovies.com/movies/ace+ventura+pet+detective/,27046,732,320,2,164,,http://www.imdb.com/title/tt0109040/,"2018-04-28 22:47:27",no,no,no,no
4,,"The Adventures of Priscilla, Queen of the Desert",1994,http://www.icheckmovies.com/movies/the+adventures+of+priscilla+queen+of+the+desert/,8939,586,44,5,216,,http://www.imdb.com/title/tt0109045/,"2018-04-26 21:48:47",no,no,no,no
5,,"Ahí está el detalle",1940,http://www.icheckmovies.com/movies/ahi+esta+el+detalle/,122,5,1,1,18,"You're Missing the Point",http://www.imdb.com/title/tt0032186/,no,no,no,no,no
6,,Airplane!,1980,http://www.icheckmovies.com/movies/airplaneexclamation/,45595,3032,219,13,516,,http://www.imdb.com/title/tt0080339/,"2018-04-26 21:41:49",no,no,no,no
7,,"All of Me",1984,http://www.icheckmovies.com/movies/all+of+me/,1771,53,13,2,55,,http://www.imdb.com/title/tt0086873/,"2018-11-08 00:25:07",no,no,no,no
8,,"American Graffiti",1973,http://www.icheckmovies.com/movies/american+graffiti/,14981,660,112,16,386,,http://www.imdb.com/title/tt0069704/,"2018-04-26 21:38:49",no,no,no,no
9,,"American Pie",1999,http://www.icheckmovies.com/movies/american+pie/,63905,1093,846,5,222,,http://www.imdb.com/title/tt0163651/,"2018-10-17 01:40:08",no,no,no,no
10,,"American Pie 2",2001,http://www.icheckmovies.com/movies/american+pie+2/,48712,453,669,2,130,,http://www.imdb.com/title/tt0252866/,"2018-11-08 00:24:50",no,no,no,no
11,,"American Psycho",2000,http://www.icheckmovies.com/movies/american+psycho/,54149,4654,384,8,596,,http://www.imdb.com/title/tt0144084/,"2018-06-14 00:52:06",no,no,no,no
12,,"An American Werewolf in London",1981,http://www.icheckmovies.com/movies/an+american+werewolf+in+london/,17799,975,98,10,445,,http://www.imdb.com/title/tt0082010/,"2018-04-26 21:42:04",no,no,no,no
13,,"Animal Crackers",1930,http://www.icheckmovies.com/movies/animal+crackers/,1877,128,14,2,144,,http://www.imdb.com/title/tt0020640/,"2018-10-17 21:52:52",no,no,no,no
