rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Reconstituirea,1968,http://www.icheckmovies.com/movies/reconstituirea/,166,13,2,2,75,Reconstruction,http://www.imdb.com/title/tt0063493/,no,no,no,no,no
2,,"Padurea spânzuratilor",1965,http://www.icheckmovies.com/movies/padurea+spanzuratilor/,111,7,2,2,53,"Forest of the Hanged",http://www.imdb.com/title/tt0058439/,no,no,no,no,no
3,,"Moartea domnului Lãzãrescu",2005,http://www.icheckmovies.com/movies/moartea+domnului+lazarescu/,1655,161,17,9,196,"The Death of Mr. Lazarescu",http://www.imdb.com/title/tt0456149/,"2018-11-25 14:39:57",no,no,no,no
4,,"4 luni, 3 saptamâni si 2 zile",2007,http://www.icheckmovies.com/movies/4+luni+3+saptamani+si+2+zile/,6258,757,67,11,364,"4 Months, 3 Weeks and 2 Days",http://www.imdb.com/title/tt1032846/,"2018-04-28 15:50:50",no,no,no,no
5,,Secvente,1982,http://www.icheckmovies.com/movies/secvente/,27,4,0,1,13,Sequences,http://www.imdb.com/title/tt0130246/,no,no,no,no,no
6,,"Nunta de piatra",1973,http://www.icheckmovies.com/movies/nunta+de+piatra/,89,15,1,2,51,"The Stone Wedding",http://www.imdb.com/title/tt0069033/,no,no,no,no,no
7,,"La 'Moara cu noroc'",1957,http://www.icheckmovies.com/movies/la+moara+cu+noroc/,33,2,0,1,16,"The Mill of Good Luck",http://www.imdb.com/title/tt0048382/,no,no,no,no,no
8,,"A fost sau n-a fost?",2006,http://www.icheckmovies.com/movies/a+fost+sau+n-a+fostquestion/,749,50,3,2,83,"12:08 East of Bucharest",http://www.imdb.com/title/tt0809407/,no,no,no,no,no
9,,"Proba de microfon",1980,http://www.icheckmovies.com/movies/proba+de+microfon/,32,3,0,1,10,"Microphone Testing",http://www.imdb.com/title/tt0081379/,no,no,no,no,no
10,,Croaziera,1981,http://www.icheckmovies.com/movies/croaziera/,18,1,1,1,6,"The Cruise",http://www.imdb.com/title/tt0082216/,no,no,no,no,no
11,,Meandre,1966,http://www.icheckmovies.com/movies/meandre/,29,6,0,1,13,Meanders,http://www.imdb.com/title/tt0136393/,no,no,no,no,no
