rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Gavaznha,1974,http://www.icheckmovies.com/movies/gavaznha/,95,3,1,2,40,"The Deer",http://www.imdb.com/title/tt0074565/,no,no,no,no,no
2,,"Bashu, gharibeye koochak",1989,http://www.icheckmovies.com/movies/bashu+gharibeye+koochak/,157,19,0,3,80,"Bashu, the Little Stranger",http://www.imdb.com/title/tt0096894/,no,no,no,no,no
3,,"Darbareye Elly",2009,http://www.icheckmovies.com/movies/darbareye+elly/,1448,211,3,4,162,"About Elly",http://www.imdb.com/title/tt1360860/,no,no,no,no,no
4,,Sooteh-Delan,1978,http://www.icheckmovies.com/movies/sooteh-delan/,24,1,0,1,14,Desiderium,http://www.imdb.com/title/tt0078299/,no,no,no,no,no
5,,Hamoun,1990,http://www.icheckmovies.com/movies/hamoun/,109,5,1,1,43,,http://www.imdb.com/title/tt0099729/,no,no,no,no,no
6,,Gaav,1969,http://www.icheckmovies.com/movies/gaav/,521,41,4,5,113,"The Cow",http://www.imdb.com/title/tt0064356/,no,no,no,no,no
7,,"Nakhoda Khorshid",1987,http://www.icheckmovies.com/movies/nakhoda+khorshid/,35,0,0,1,13,"Captain Khorshid",http://www.imdb.com/title/tt0122186/,no,no,no,no,no
8,,Tangna,1973,http://www.icheckmovies.com/movies/tangna/,13,0,0,1,14,Strait,http://www.imdb.com/title/tt0070773/,no,no,no,no,no
9,,Gheisar,1969,http://www.icheckmovies.com/movies/gheisar/,82,8,1,3,32,,http://www.imdb.com/title/tt0064368/,no,no,no,no,no
10,,"Aramesh dar Hozur Deegaran",1973,http://www.icheckmovies.com/movies/aramesh+dar+hozur+deegaran/,22,1,1,1,18,"Tranquility in the Presence of Others",http://www.imdb.com/title/tt0069727/,no,no,no,no,no
11,,"Nassereddin Shah, Actor-e Cinema",1992,http://www.icheckmovies.com/movies/nassereddin+shah+actor-e+cinema/,80,4,2,3,35,"Once Upon a Time, Cinema",http://www.imdb.com/title/tt0104974/,no,no,no,no,no
12,,Kandu,1975,http://www.icheckmovies.com/movies/kandu/,16,0,0,1,11,Beehive,http://www.imdb.com/title/tt0319640/,no,no,no,no,no
13,,"Boodan yaa naboodan",1999,http://www.icheckmovies.com/movies/boodan+yaa+naboodan/,17,0,0,1,9,"To Be or Not to Be",http://www.imdb.com/title/tt0234899/,no,no,no,no,no
14,,"Khesht va Ayeneh",1965,http://www.icheckmovies.com/movies/khesht+va+ayeneh/,126,13,3,2,75,"The Brick and the Mirror",http://www.imdb.com/title/tt0122130/,no,no,no,no,no
15,,"Khane-ye doust kodjast?",1987,http://www.icheckmovies.com/movies/khane-ye+doust+kodjastquestion/,1226,207,4,9,207,"Where Is the Friend's Home?",http://www.imdb.com/title/tt0093342/,no,no,no,no,no
16,,Davandeh,1984,http://www.icheckmovies.com/movies/davandeh/,117,15,0,3,49,"The Runner",http://www.imdb.com/title/tt0088992/,no,no,no,no,no
17,,Ragbar,1972,http://www.icheckmovies.com/movies/ragbar/,29,1,0,1,27,,http://www.imdb.com/title/tt0067649/,no,no,no,no,no
18,,Ejareh-Nesheenha,1986,http://www.icheckmovies.com/movies/ejareh-nesheenha/,52,4,1,1,12,"The Tenants",http://www.imdb.com/title/tt0099492/,no,no,no,no,no
19,,Leila,1997,http://www.icheckmovies.com/movies/leila/,140,10,0,2,48,,http://www.imdb.com/title/tt0116851/,no,no,no,no,no
20,,"Ta'm e guilass",1997,http://www.icheckmovies.com/movies/tam+e+guilass/,3062,382,39,15,290,"A Taste of Cherry",http://www.imdb.com/title/tt0120265/,"2018-11-16 10:53:36",no,no,no,no
21,,"Zire darakhatan zeyton",1994,http://www.icheckmovies.com/movies/zire+darakhatan+zeyton/,903,109,6,7,193,"Through the Olive Trees",http://www.imdb.com/title/tt0111845/,"2018-12-02 14:09:41",no,no,no,no
22,,Shokaran,2000,http://www.icheckmovies.com/movies/shokaran/,35,2,0,1,10,Hemlock,http://www.imdb.com/title/tt0923719/,no,no,no,no,no
23,,"Ajans-E Shisheh-I",1999,http://www.icheckmovies.com/movies/ajans-e+shisheh-i/,78,8,2,1,16,"The Glass Agency",http://www.imdb.com/title/tt0177511/,no,no,no,no,no
24,,"Pardehe Akhar",1991,http://www.icheckmovies.com/movies/pardehe+akhar/,14,1,0,1,6,"The Last Act",http://www.imdb.com/title/tt0193373/,no,no,no,no,no
25,,"Derakhte Golabi",1998,http://www.icheckmovies.com/movies/derakhte+golabi/,51,4,0,2,36,"The Pear Tree",http://www.imdb.com/title/tt0187809/,no,no,no,no,no
26,,"Tabiate bijan",1974,http://www.icheckmovies.com/movies/tabiate+bijan/,126,26,1,4,96,"Still Life",http://www.imdb.com/title/tt0072248/,no,no,no,no,no
27,,Gozaresh,1977,http://www.icheckmovies.com/movies/gozaresh/,96,4,0,1,31,"The Report",http://www.imdb.com/title/tt0076098/,no,no,no,no,no
28,,Madar,1990,http://www.icheckmovies.com/movies/madar/,59,8,0,1,17,Mother,http://www.imdb.com/title/tt0102369/,no,no,no,no,no
29,,"Nema-ye Nazdik",1990,http://www.icheckmovies.com/movies/nema-ye+nazdik/,2963,485,21,17,382,"Close Up",http://www.imdb.com/title/tt0100234/,"2018-11-08 00:21:15",no,no,no,no
