rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Sunset Blvd.",1950,http://www.icheckmovies.com/movies/sunset+blvd./,24570,3497,87,32,991,"Sunset Boulevard",http://www.imdb.com/title/tt0043014/,"2018-04-26 21:30:38",no,no,no,no
2,0,"Double Indemnity",1944,http://www.icheckmovies.com/movies/double+indemnity/,18862,2288,57,31,800,,http://www.imdb.com/title/tt0036775/,"2018-04-26 21:29:13",no,no,no,no
3,0,"The Third Man",1949,http://www.icheckmovies.com/movies/the+third+man/,19891,2449,94,33,906,,http://www.imdb.com/title/tt0041959/,"2018-04-26 21:30:23",no,no,no,no
4,0,"White Heat",1949,http://www.icheckmovies.com/movies/white+heat/,5169,526,13,15,412,,http://www.imdb.com/title/tt0042041/,"2018-04-26 21:30:22",no,no,no,no
5,0,"Ace in the Hole",1951,http://www.icheckmovies.com/movies/ace+in+the+hole/,5663,782,24,18,393,,http://www.imdb.com/title/tt0043338/,"2018-04-26 21:30:45",no,no,no,no
6,0,"Sweet Smell of Success",1957,http://www.icheckmovies.com/movies/sweet+smell+of+success/,5515,742,29,20,454,,http://www.imdb.com/title/tt0051036/,"2018-04-26 21:33:19",no,no,no,no
7,0,"I Am a Fugitive from a Chain Gang",1932,http://www.icheckmovies.com/movies/i+am+a+fugitive+from+a+chain+gang/,2588,304,9,12,316,"I Am a Fugitive from the Chain Gang",http://www.imdb.com/title/tt0023042/,"2018-10-17 22:13:41",no,no,no,no
8,0,"The Maltese Falcon",1941,http://www.icheckmovies.com/movies/the+maltese+falcon/,22522,1774,111,26,725,,http://www.imdb.com/title/tt0033870/,"2018-04-26 21:28:21",no,no,no,no
9,0,Laura,1944,http://www.icheckmovies.com/movies/laura/,7239,693,32,20,456,,http://www.imdb.com/title/tt0037008/,"2018-04-26 21:29:13",no,no,no,no
10,0,"Out of the Past",1947,http://www.icheckmovies.com/movies/out+of+the+past/,5088,601,19,16,452,"Build My Gallows High",http://www.imdb.com/title/tt0039689/,"2018-04-26 21:29:53",no,no,no,no
11,0,"Angels with Dirty Faces",1938,http://www.icheckmovies.com/movies/angels+with+dirty+faces/,3724,257,22,5,233,,http://www.imdb.com/title/tt0029870/,"2018-10-17 21:52:36",no,no,no,no
12,0,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,5471,493,31,16,377,,http://www.imdb.com/title/tt0037884/,"2018-04-26 21:29:16",no,no,no,no
13,0,"Mildred Pierce",1945,http://www.icheckmovies.com/movies/mildred+pierce/,4535,371,19,14,363,,http://www.imdb.com/title/tt0037913/,"2018-04-26 21:29:13",no,no,no,no
14,0,"The Big Sleep",1946,http://www.icheckmovies.com/movies/the+big+sleep/,13071,1059,82,19,537,,http://www.imdb.com/title/tt0038355/,"2018-04-26 21:29:33",no,no,no,no
15,0,Notorious,1946,http://www.icheckmovies.com/movies/notorious/,14389,1300,68,22,541,,http://www.imdb.com/title/tt0038787/,"2018-04-26 21:29:43",no,no,no,no
16,0,"In a Lonely Place",1950,http://www.icheckmovies.com/movies/in+a+lonely+place/,4404,623,19,15,375,,http://www.imdb.com/title/tt0042593/,"2018-10-17 22:16:34",no,no,no,no
17,0,"Night and the City",1950,http://www.icheckmovies.com/movies/night+and+the+city/,2506,257,13,10,231,,http://www.imdb.com/title/tt0042788/,"2018-04-28 23:05:36",no,no,no,no
18,0,"Strangers on a Train",1951,http://www.icheckmovies.com/movies/strangers+on+a+train/,18684,1563,45,15,553,,http://www.imdb.com/title/tt0044079/,"2018-04-26 21:30:48",no,no,no,no
19,0,"The Big Heat",1953,http://www.icheckmovies.com/movies/the+big+heat/,5000,431,16,16,331,,http://www.imdb.com/title/tt0045555/,"2018-04-26 21:31:43",no,no,no,no
20,0,"The Night of the Hunter",1955,http://www.icheckmovies.com/movies/the+night+of+the+hunter/,13179,1781,113,29,779,,http://www.imdb.com/title/tt0048424/,"2018-04-26 21:32:28",no,no,no,no
21,0,"The Killing",1956,http://www.icheckmovies.com/movies/the+killing/,11255,1101,28,13,428,,http://www.imdb.com/title/tt0049406/,"2018-04-28 11:49:44",no,no,no,no
22,0,"Touch of Evil",1958,http://www.icheckmovies.com/movies/touch+of+evil/,13917,1456,77,28,702,,http://www.imdb.com/title/tt0052311/,"2018-04-26 21:33:21",no,no,no,no
23,0,Fury,1936,http://www.icheckmovies.com/movies/fury/,2123,207,9,10,233,,http://www.imdb.com/title/tt0027652/,"2018-06-11 13:02:31",no,no,no,no
24,0,"The Roaring Twenties",1939,http://www.icheckmovies.com/movies/the+roaring+twenties/,1716,156,7,6,174,,http://www.imdb.com/title/tt0031867/,"2018-10-17 22:36:01",no,no,no,no
25,0,"Scarlet Street",1945,http://www.icheckmovies.com/movies/scarlet+street/,2469,269,16,9,238,,http://www.imdb.com/title/tt0038057/,"2018-11-08 00:22:01",no,no,no,no
26,0,"Key Largo",1948,http://www.icheckmovies.com/movies/key+largo/,4627,281,15,5,225,,http://www.imdb.com/title/tt0040506/,"2018-10-17 22:18:59",no,no,no,no
27,7,"The Set-Up",1949,http://www.icheckmovies.com/movies/the+set-up/,1554,145,9,9,178,,http://www.imdb.com/title/tt0041859/,"2018-04-28 23:09:20",no,no,no,no
28,-1,"The Asphalt Jungle",1950,http://www.icheckmovies.com/movies/the+asphalt+jungle/,4745,340,21,15,341,,http://www.imdb.com/title/tt0042208/,"2018-04-26 21:30:32",no,no,no,no
29,-1,Scarface,1932,http://www.icheckmovies.com/movies/scarface-1932-1/,8661,417,37,14,345,,http://www.imdb.com/title/tt0023427/,"2018-10-17 22:37:08",no,no,no,no
30,-1,"The Woman in the Window",1944,http://www.icheckmovies.com/movies/the+woman+in+the+window/,2014,140,13,6,160,,http://www.imdb.com/title/tt0037469/,no,no,no,no,no
31,-1,"The Killers",1946,http://www.icheckmovies.com/movies/the+killers/,3878,269,15,13,323,"A Man Alone",http://www.imdb.com/title/tt0038669/,"2018-04-26 21:29:34",no,no,no,no
32,-1,"Body and Soul",1947,http://www.icheckmovies.com/movies/body+and+soul/,981,61,6,6,153,"An Affair of the Heart",http://www.imdb.com/title/tt0039204/,"2018-10-17 21:56:33",no,no,no,no
33,-1,"Nightmare Alley",1947,http://www.icheckmovies.com/movies/nightmare+alley/,1230,113,6,6,155,,http://www.imdb.com/title/tt0039661/,"2018-10-17 22:31:24",no,no,no,no
34,-1,"Odd Man Out",1947,http://www.icheckmovies.com/movies/odd+man+out/,2000,169,17,12,245,"Gang War",http://www.imdb.com/title/tt0039677/,"2018-04-26 21:29:55",no,no,no,no
35,,"The Fallen Idol",1948,http://www.icheckmovies.com/movies/the+fallen+idol/,1518,166,13,8,187,"The Lost Illusion",http://www.imdb.com/title/tt0040338/,no,no,no,no,no
36,-1,"Pickup on South Street",1953,http://www.icheckmovies.com/movies/pickup+on+south+street/,2912,269,19,13,256,,http://www.imdb.com/title/tt0046187/,"2018-06-11 13:09:17",no,no,no,no
37,-1,Underworld,1927,http://www.icheckmovies.com/movies/underworld/,879,62,4,8,155,"Paying the Penalty",http://www.imdb.com/title/tt0018526/,"2018-12-03 15:26:54",no,no,no,no
38,-1,"The Docks of New York",1928,http://www.icheckmovies.com/movies/the+docks+of+new+york/,1541,133,9,10,187,,http://www.imdb.com/title/tt0018839/,"2018-11-25 14:57:44",no,no,no,no
39,-1,"The Letter",1940,http://www.icheckmovies.com/movies/the+letter/,1742,103,11,6,157,,http://www.imdb.com/title/tt0032701/,"2018-06-11 13:05:31",no,no,no,no
40,-1,"Leave Her to Heaven",1945,http://www.icheckmovies.com/movies/leave+her+to+heaven/,1946,172,13,9,220,,http://www.imdb.com/title/tt0037865/,"2018-04-28 23:21:24",no,no,no,no
41,-1,Gilda,1946,http://www.icheckmovies.com/movies/gilda/,5173,434,23,12,278,,http://www.imdb.com/title/tt0038559/,"2018-04-26 21:29:51",no,no,no,no
42,-1,"Brute Force",1947,http://www.icheckmovies.com/movies/brute+force/,1583,121,3,5,160,,http://www.imdb.com/title/tt0039224/,"2018-10-17 21:57:35",no,no,no,no
43,-1,"The Big Clock",1948,http://www.icheckmovies.com/movies/the+big+clock/,1220,93,5,4,100,,http://www.imdb.com/title/tt0040160/,"2018-06-11 12:56:57",no,no,no,no
44,-1,"The Lady from Shanghai",1947,http://www.icheckmovies.com/movies/the+lady+from+shanghai/,5104,415,22,9,318,,http://www.imdb.com/title/tt0040525/,"2018-10-17 22:20:03",no,no,no,no
45,-1,"Thieves' Highway",1949,http://www.icheckmovies.com/movies/thieves+highway/,1208,94,8,6,137,Collision,http://www.imdb.com/title/tt0041958/,no,no,no,no,no
46,-1,"Gun Crazy",1950,http://www.icheckmovies.com/movies/gun+crazy/,2507,261,15,14,296,"Gun Crazy",http://www.imdb.com/title/tt0042530/,"2018-04-26 21:30:11",no,no,no,no
47,-1,"The Narrow Margin",1952,http://www.icheckmovies.com/movies/the+narrow+margin/,1279,117,7,7,160,,http://www.imdb.com/title/tt0044954/,"2018-10-17 22:30:23",no,no,no,no
48,-1,"Kiss Me Deadly",1955,http://www.icheckmovies.com/movies/kiss+me+deadly/,4303,402,38,19,382,,http://www.imdb.com/title/tt0048261/,"2018-04-26 21:32:19",no,no,no,no
49,-1,"The Petrified Forest",1936,http://www.icheckmovies.com/movies/the+petrified+forest/,1163,123,8,3,140,,http://www.imdb.com/title/tt0028096/,"2018-11-08 00:34:36",no,no,no,no
50,-1,"High Sierra",1941,http://www.icheckmovies.com/movies/high+sierra/,2476,114,15,7,164,,http://www.imdb.com/title/tt0033717/,"2018-04-26 21:28:30",no,no,no,no
