rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"La dolce vita",1960,http://www.icheckmovies.com/movies/la+dolce+vita/,12230,1236,119,20,603,"La Dolce Vita",http://www.imdb.com/title/tt0053779/,"2018-04-26 21:34:05",no,no,no,no
2,,"Io la conoscevo bene",1965,http://www.icheckmovies.com/movies/io+la+conoscevo+bene/,342,54,1,5,118,"I Knew Her Well",http://www.imdb.com/title/tt0060545/,no,no,no,no,no
3,,"Il sorpasso",1962,http://www.icheckmovies.com/movies/il+sorpasso/,1044,203,5,5,191,"The Easy Life",http://www.imdb.com/title/tt0056512/,"2018-10-17 22:16:04",no,no,no,no
4,,"Viaggio in Italia",1954,http://www.icheckmovies.com/movies/viaggio+in+italia/,2021,168,16,11,243,"Journey to Italy",http://www.imdb.com/title/tt0046511/,"2018-11-16 13:56:44",no,no,no,no
5,,8½,1963,http://www.icheckmovies.com/movies/8half/,17750,2169,265,33,816,"Federico Fellini's 8 1/2",http://www.imdb.com/title/tt0056801/,"2018-04-26 21:35:36",no,no,no,no
6,,"Ladri di biciclette",1948,http://www.icheckmovies.com/movies/ladri+di+biciclette/,19416,2275,111,34,851,"Bicycle Thieves",http://www.imdb.com/title/tt0040522/,"2018-04-26 21:29:56",no,no,no,no
7,,"I pugni in tasca",1965,http://www.icheckmovies.com/movies/i+pugni+in+tasca/,810,88,4,9,158,"Fists in the Pocket",http://www.imdb.com/title/tt0059619/,"2018-12-01 09:28:12",no,no,no,no
8,,Accattone,1961,http://www.icheckmovies.com/movies/accattone/,1201,112,12,9,178,"The Procurer",http://www.imdb.com/title/tt0054599/,"2018-10-17 21:20:13",no,no,no,no
9,,L'avventura,1960,http://www.icheckmovies.com/movies/lavventura/,5490,635,67,21,484,L'Avventura,http://www.imdb.com/title/tt0053619/,"2018-06-11 12:54:25",no,no,no,no
10,,"C'eravamo tanto amati",1974,http://www.icheckmovies.com/movies/ceravamo+tanto+amati/,546,86,1,4,121,"We All Loved Each Other So Much",http://www.imdb.com/title/tt0075793/,no,no,no,no,no
11,,"La grande guerra",1959,http://www.icheckmovies.com/movies/la+grande+guerra/,587,59,3,6,130,"The Great War",http://www.imdb.com/title/tt0052861/,no,no,no,no,no
12,,"Indagine su un cittadino al di sopra di ogni sospetto",1970,http://www.icheckmovies.com/movies/indagine+su+un+cittadino+al+di+sopra+di+ogni+sospetto/,1156,183,10,7,184,"Investigation of a Citizen Above Suspicion",http://www.imdb.com/title/tt0065889/,"2018-10-17 22:16:42",no,no,no,no
13,,Paisà,1946,http://www.icheckmovies.com/movies/paisa/,1936,133,19,14,266,Paisan,http://www.imdb.com/title/tt0038823/,"2018-10-30 01:08:23",no,no,no,no
14,,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,5372,486,37,24,467,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2018-06-11 13:08:31",no,no,no,no
15,,"Once Upon a Time in America",1984,http://www.icheckmovies.com/movies/once+upon+a+time+in+america/,25242,2193,126,16,569,,http://www.imdb.com/title/tt0087843/,"2018-04-26 21:43:16",no,no,no,yes
16,,"Germania anno zero",1948,http://www.icheckmovies.com/movies/germania+anno+zero/,1907,181,21,8,235,"Germany Year Zero",http://www.imdb.com/title/tt0039417/,"2018-12-02 22:22:31",no,no,no,no
17,,"Dillinger è morto",1969,http://www.icheckmovies.com/movies/dillinger+e+morto/,548,57,9,4,128,"Dillinger Is Dead",http://www.imdb.com/title/tt0062893/,"2018-10-17 22:06:48",no,no,no,no
18,,Amarcord,1973,http://www.icheckmovies.com/movies/amarcord/,6328,654,62,15,352,,http://www.imdb.com/title/tt0071129/,"2018-04-26 21:39:09",no,no,no,no
19,,Anna,1975,http://www.icheckmovies.com/movies/anna-1975-1/,12,2,0,0,17,,http://www.imdb.com/title/tt0791101/,no,no,no,no,no
20,,"I soliti ignoti",1958,http://www.icheckmovies.com/movies/i+soliti+ignoti/,1265,141,5,8,176,"Big Deal on Madonna Street",http://www.imdb.com/title/tt0052216/,"2018-12-03 15:26:43",no,no,no,no
21,,"Rocco e i suoi fratelli",1960,http://www.icheckmovies.com/movies/rocco+e+i+suoi+fratelli/,2886,366,27,18,300,"Rocco and His Brothers",http://www.imdb.com/title/tt0054248/,"2018-04-26 21:34:01",no,no,no,no
22,,"Umberto D.",1952,http://www.icheckmovies.com/movies/umberto+d./,4403,602,27,14,385,,http://www.imdb.com/title/tt0045274/,"2018-06-11 13:14:24",no,no,no,no
23,,"Il conformista",1970,http://www.icheckmovies.com/movies/il+conformista/,4795,605,35,17,511,"The Conformist",http://www.imdb.com/title/tt0065571/,"2018-10-30 01:08:03",no,no,no,no
24,,"Salò o le 120 giornate di Sodoma",1975,http://www.icheckmovies.com/movies/salo+o+le+120+giornate+di+sodoma/,6428,370,269,11,316,"Salò, or the 120 Days of Sodom",http://www.imdb.com/title/tt0073650/,"2018-04-26 21:40:03",no,no,no,no
25,,Ossessione,1943,http://www.icheckmovies.com/movies/ossessione/,1474,73,13,12,205,,http://www.imdb.com/title/tt0035160/,"2018-11-08 00:21:37",no,no,no,no
26,,"Una vita difficile",1961,http://www.icheckmovies.com/movies/una+vita+difficile/,139,21,1,3,71,"A Difficult Life",http://www.imdb.com/title/tt0055602/,no,no,no,no,no
27,,"Caro diario",1993,http://www.icheckmovies.com/movies/caro+diario/,1114,76,11,7,131,"Dear Diary",http://www.imdb.com/title/tt0109382/,no,no,no,no,no
28,,"Divorzio all'italiana",1961,http://www.icheckmovies.com/movies/divorzio+allitaliana/,1803,196,9,10,175,"Divorce Italian Style",http://www.imdb.com/title/tt0055913/,"2018-06-11 13:00:35",no,no,no,no
29,,"Europa '51",1952,http://www.icheckmovies.com/movies/europa+51/,888,59,7,8,146,"Europe '51",http://www.imdb.com/title/tt0043511/,"2018-12-02 22:02:51",no,no,no,no
30,,"I vitelloni",1953,http://www.icheckmovies.com/movies/i+vitelloni/,2187,216,7,8,208,"I Vitelloni",http://www.imdb.com/title/tt0046521/,"2018-04-28 23:23:47",no,no,no,no
31,,L'eclisse,1962,http://www.icheckmovies.com/movies/leclisse/,3033,427,21,13,347,Eclipse,http://www.imdb.com/title/tt0056736/,"2018-11-08 00:21:33",no,no,no,no
32,,"Il grido",1957,http://www.icheckmovies.com/movies/il+grido/,714,56,1,7,131,"The Cry",http://www.imdb.com/title/tt0050458/,no,no,no,no,no
33,,"Il vangelo secondo Matteo",1964,http://www.icheckmovies.com/movies/il+vangelo+secondo+matteo/,2144,224,21,14,288,"The Gospel According to St. Matthew",http://www.imdb.com/title/tt0058715/,"2018-11-08 00:21:22",no,no,no,no
34,,"Profondo rosso",1975,http://www.icheckmovies.com/movies/profondo+rosso/,3477,406,33,3,287,"Deep Red",http://www.imdb.com/title/tt0073582/,"2018-11-27 15:25:26",no,no,no,no
35,,"Salvatore Giuliano",1962,http://www.icheckmovies.com/movies/salvatore+giuliano/,678,40,6,7,131,,http://www.imdb.com/title/tt0055399/,no,no,no,no,no
36,,"Una giornata particolare",1977,http://www.icheckmovies.com/movies/una+giornata+particolare/,1121,179,4,6,200,"A Special Day",http://www.imdb.com/title/tt0076085/,no,no,no,no,no
37,,"Ultimo tango a Parigi",1972,http://www.icheckmovies.com/movies/ultimo+tango+a+parigi/,6773,414,142,15,344,"Last Tango in Paris",http://www.imdb.com/title/tt0070849/,"2018-04-28 11:46:50",no,no,no,no
38,,"Il gattopardo",1963,http://www.icheckmovies.com/movies/il+gattopardo/,4225,437,41,18,405,"The Leopard",http://www.imdb.com/title/tt0057091/,"2018-04-26 21:35:43",no,no,no,no
39,,"Il posto",1961,http://www.icheckmovies.com/movies/il+posto/,1027,134,4,6,157,"Il Posto",http://www.imdb.com/title/tt0055320/,no,no,no,no,no
40,,"La grande bouffe",1973,http://www.icheckmovies.com/movies/la+grande+bouffe/,1102,89,28,4,134,"The Grande Bouffe",http://www.imdb.com/title/tt0070130/,"2018-04-28 22:55:55",no,no,no,no
41,,"La prima notte di quiete",1972,http://www.icheckmovies.com/movies/la+prima+notte+di+quiete/,109,12,1,1,35,"Indian Summer",http://www.imdb.com/title/tt0069120/,no,no,no,no,no
42,,"Nostra signora dei turchi",1968,http://www.icheckmovies.com/movies/nostra+signora+dei+turchi/,69,8,4,3,56,"Our Lady of the Turks",http://www.imdb.com/title/tt0063366/,no,no,no,no,no
43,,"Uccellacci e uccellini",1966,http://www.icheckmovies.com/movies/uccellacci+e+uccellini/,808,82,7,7,115,"The Hawks and the Sparrows",http://www.imdb.com/title/tt0061132/,no,no,no,no,no
44,,Bellissima,1951,http://www.icheckmovies.com/movies/bellissima/,614,66,3,6,117,,http://www.imdb.com/title/tt0043332/,no,no,no,no,no
45,,"Il deserto rosso",1964,http://www.icheckmovies.com/movies/il+deserto+rosso/,2658,316,28,10,286,"Red Desert",http://www.imdb.com/title/tt0058003/,"2018-11-19 21:31:49",no,no,no,no
46,,Gomorra,2008,http://www.icheckmovies.com/movies/gomorra/,5820,273,91,3,176,,http://www.imdb.com/title/tt0929425/,"2018-04-26 21:52:51",no,no,no,no
47,,"La notte",1961,http://www.icheckmovies.com/movies/la+notte/,2784,355,18,11,277,"The Night",http://www.imdb.com/title/tt0054130/,"2018-11-16 13:56:28",no,no,no,no
48,,Novecento,1976,http://www.icheckmovies.com/movies/novecento/,2209,185,29,6,216,1900,http://www.imdb.com/title/tt0074084/,"2018-04-26 21:40:31",no,no,no,no
49,,Bianca,1984,http://www.icheckmovies.com/movies/bianca/,200,29,1,0,28,,http://www.imdb.com/title/tt0085240/,no,no,no,no,no
50,,Blowup,1966,http://www.icheckmovies.com/movies/blowup/,10206,1009,130,17,472,Blow-Up,http://www.imdb.com/title/tt0060176/,"2018-04-28 11:43:21",no,no,no,no
51,,"C'era una volta il West",1968,http://www.icheckmovies.com/movies/cera+una+volta+il+west/,26007,3332,105,25,858,"Once Upon a Time in the West",http://www.imdb.com/title/tt0064116/,"2018-04-26 21:37:13",no,no,no,yes
52,,"L'armata Brancaleone",1966,http://www.icheckmovies.com/movies/larmata+brancaleone/,315,49,1,1,47,"For Love and Gold",http://www.imdb.com/title/tt0060125/,no,no,no,no,no
53,,"Mamma Roma",1962,http://www.icheckmovies.com/movies/mamma+roma/,1177,126,4,4,127,,http://www.imdb.com/title/tt0056215/,no,no,no,no,no
54,,Suspiria,1977,http://www.icheckmovies.com/movies/suspiria/,9585,1028,123,13,527,,http://www.imdb.com/title/tt0076786/,"2018-04-26 21:40:56",no,no,no,no
