rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Körkarlen,1921,http://www.icheckmovies.com/movies/korkarlen/,2879,377,16,14,330,"The Phantom Carriage",http://www.imdb.com/title/tt0012364/,"2018-10-17 22:19:44",no,no,no,no
2,0,"Kvarteret Korpen",1963,http://www.icheckmovies.com/movies/kvarteret+korpen/,190,23,0,3,105,"Raven's End",http://www.imdb.com/title/tt0057237/,no,no,no,no,no
3,0,"Här har du ditt liv",1966,http://www.icheckmovies.com/movies/har+har+du+ditt+liv/,163,14,0,3,72,"Here Is Your Life",http://www.imdb.com/title/tt0060529/,no,no,no,no,no
4,0,"En kärlekshistoria",1970,http://www.icheckmovies.com/movies/en+karlekshistoria/,888,110,7,3,120,"A Swedish Love Story",http://www.imdb.com/title/tt0065955/,no,no,no,no,no
5,0,"Fanny och Alexander",1982,http://www.icheckmovies.com/movies/fanny+och+alexander/,8350,1145,77,22,617,"Fanny and Alexander",http://www.imdb.com/title/tt0083922/,"2018-04-26 21:42:38",no,no,no,no
6,0,Persona,1966,http://www.icheckmovies.com/movies/persona/,13000,2054,121,25,773,,http://www.imdb.com/title/tt0060827/,"2018-04-26 21:36:48",no,no,no,no
7,0,"Mannen på taket",1976,http://www.icheckmovies.com/movies/mannen+pa+taket/,408,21,1,2,84,"Man on the Roof",http://www.imdb.com/title/tt0074857/,no,no,no,no,no
8,0,"Flicka och hyacinter",1950,http://www.icheckmovies.com/movies/flicka+och+hyacinter/,168,26,0,3,97,"Girl with Hyacinths",http://www.imdb.com/title/tt0042466/,no,no,no,no,no
9,0,"Ett anständigt liv",1979,http://www.icheckmovies.com/movies/ett+anstandigt+liv/,200,10,1,2,51,"A Decent Life",http://www.imdb.com/title/tt0078784/,no,no,no,no,no
10,0,"Sånger från andra våningen",2000,http://www.icheckmovies.com/movies/sanger+fran+andra+vaningen/,2825,379,42,13,257,"Songs from the Second Floor",http://www.imdb.com/title/tt0120263/,"2018-11-08 00:21:25",no,no,no,no
11,0,Smultronstället,1957,http://www.icheckmovies.com/movies/smultronstallet/,11343,1556,77,21,617,"Wild Strawberries",http://www.imdb.com/title/tt0050986/,"2018-04-26 21:33:04",no,no,no,no
12,0,"De ofrivilliga",2008,http://www.icheckmovies.com/movies/de+ofrivilliga/,526,55,4,1,89,Involuntary,http://www.imdb.com/title/tt1232826/,no,no,no,no,no
13,0,"Den enfaldige mördaren",1982,http://www.icheckmovies.com/movies/den+enfaldige+mordaren/,398,35,0,3,68,"The Simple-Minded Murderer",http://www.imdb.com/title/tt0083888/,"2018-12-05 09:37:14",no,no,no,no
14,0,"Gycklarnas afton",1953,http://www.icheckmovies.com/movies/gycklarnas+afton/,1162,100,9,8,144,"Sawdust and Tinsel",http://www.imdb.com/title/tt0045848/,"2018-06-14 00:49:24",no,no,no,no
15,0,Hets,1944,http://www.icheckmovies.com/movies/hets/,587,33,6,5,89,Torment,http://www.imdb.com/title/tt0036914/,no,no,no,no,no
16,0,"Lilja 4-ever",2002,http://www.icheckmovies.com/movies/lilja+4-ever/,4540,455,39,6,197,"Lilya 4-Ever",http://www.imdb.com/title/tt0300140/,no,no,no,no,no
