rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Zéro de conduite: Jeunes diables au collège",1933,http://www.icheckmovies.com/movies/zero+de+conduite+jeunes+diables+au+college/,2860,199,44,17,249,"Zero for Conduct",http://www.imdb.com/title/tt0024803/,"2018-06-07 13:31:22",no,no,no,no
2,0,L'Atalante,1934,http://www.icheckmovies.com/movies/latalante/,3961,495,35,20,456,"Le chaland qui passe",http://www.imdb.com/title/tt0024844/,"2018-06-09 19:25:50",no,no,no,no
3,0,"Napoléon vu par Abel Gance",1927,http://www.icheckmovies.com/movies/napoleon+vu+par+abel+gance/,1784,188,23,18,387,Napoleon,http://www.imdb.com/title/tt0018192/,"2018-04-26 21:26:34",no,no,no,yes
4,0,"La tour de Nesle",1955,http://www.icheckmovies.com/movies/la+tour+de+nesle/,15,2,0,1,6,"Tower of Lust",http://www.imdb.com/title/tt0047597/,no,no,no,no,no
5,0,Toni,1935,http://www.icheckmovies.com/movies/toni/,461,29,3,5,134,,http://www.imdb.com/title/tt0025898/,no,no,no,no,no
6,0,"Partie de campagne",1936,http://www.icheckmovies.com/movies/partie+de+campagne/,2544,190,26,12,249,"A Day in the Country",http://www.imdb.com/title/tt0028445/,"2018-10-17 01:06:35",no,no,no,no
7,0,"La grande illusion",1937,http://www.icheckmovies.com/movies/la+grande+illusion/,7196,801,31,28,580,"The Grand Illusion",http://www.imdb.com/title/tt0028950/,"2018-04-26 21:27:36",no,no,no,no
8,0,"La Marseillaise",1938,http://www.icheckmovies.com/movies/la+marseillaise/,206,10,5,3,91,"The Marseillaise",http://www.imdb.com/title/tt0030424/,no,no,no,no,no
9,0,"La bête humaine",1938,http://www.icheckmovies.com/movies/la+bete+humaine/,1316,98,3,9,201,"La Bête Humaine",http://www.imdb.com/title/tt0029957/,"2018-04-28 22:49:57",no,no,no,no
10,0,"La règle du jeu",1939,http://www.icheckmovies.com/movies/la+regle+du+jeu/,6780,755,79,24,627,"The Rules of the Game",http://www.imdb.com/title/tt0031885/,"2018-04-26 21:28:05",no,no,no,no
11,0,"Le carrosse d'or",1952,http://www.icheckmovies.com/movies/le+carrosse+dor/,808,46,5,6,143,"The Golden Coach",http://www.imdb.com/title/tt0044487/,no,no,no,no,no
12,0,"French Cancan",1955,http://www.icheckmovies.com/movies/french+cancan/,847,57,8,9,138,,http://www.imdb.com/title/tt0046998/,"2018-12-02 21:51:59",no,no,no,no
13,0,"Elena et les hommes",1956,http://www.icheckmovies.com/movies/elena+et+les+hommes/,384,8,8,4,60,"Elena and Her Men",http://www.imdb.com/title/tt0049177/,no,no,no,no,no
14,0,"Le testament du Docteur Cordelier",1959,http://www.icheckmovies.com/movies/le+testament+du+docteur+cordelier/,133,6,2,1,37,"Experiment in Evil",http://www.imdb.com/title/tt0053348/,no,no,no,no,no
15,0,Ordet,1955,http://www.icheckmovies.com/movies/ordet/,3228,543,39,20,437,"The Word",http://www.imdb.com/title/tt0048452/,"2018-10-29 22:12:00",no,no,no,no
16,0,"The Great Dictator",1940,http://www.icheckmovies.com/movies/the+great+dictator/,24978,2275,96,26,601,,http://www.imdb.com/title/tt0032553/,"2018-01-10 16:55:58",no,no,no,no
17,0,"A King in New York",1957,http://www.icheckmovies.com/movies/a+king+in+new+york/,882,26,12,3,69,,http://www.imdb.com/title/tt0050598/,"2018-10-17 22:19:08",no,no,no,no
18,0,"You Only Live Once",1937,http://www.icheckmovies.com/movies/you+only+live+once/,1163,62,7,7,131,,http://www.imdb.com/title/tt0029808/,"2018-06-11 13:15:49",no,no,no,no
19,0,"While the City Sleeps",1956,http://www.icheckmovies.com/movies/while+the+city+sleeps/,866,33,12,4,113,,http://www.imdb.com/title/tt0049949/,"2018-10-17 22:45:49",no,no,no,no
20,0,Scarface,1932,http://www.icheckmovies.com/movies/scarface-1932-1/,8661,417,37,14,345,,http://www.imdb.com/title/tt0023427/,"2018-10-17 22:37:08",no,no,no,no
21,0,"Gentlemen Prefer Blondes",1953,http://www.icheckmovies.com/movies/gentlemen+prefer+blondes/,8270,421,41,10,263,,http://www.imdb.com/title/tt0045810/,"2018-04-26 21:31:41",no,no,no,no
22,0,"Land of the Pharaohs",1955,http://www.icheckmovies.com/movies/land+of+the+pharaohs/,398,7,8,4,45,,http://www.imdb.com/title/tt0048283/,"2018-10-17 22:20:06",no,no,no,no
23,0,"Jet Pilot",1957,http://www.icheckmovies.com/movies/jet+pilot/,152,4,8,2,41,,http://www.imdb.com/title/tt0050562/,"2018-04-28 23:24:57",no,no,no,no
24,0,"Rear Window",1954,http://www.icheckmovies.com/movies/rear+window/,45119,5546,111,29,1056,,http://www.imdb.com/title/tt0047396/,"2018-01-10 16:55:39",no,no,no,no
25,0,"To Catch a Thief",1955,http://www.icheckmovies.com/movies/to+catch+a+thief/,7995,405,39,6,193,,http://www.imdb.com/title/tt0048728/,"2018-04-28 23:24:19",no,no,no,no
26,0,"The Wrong Man",1956,http://www.icheckmovies.com/movies/the+wrong+man/,4003,189,24,7,207,,http://www.imdb.com/title/tt0051207/,"2018-04-26 21:32:47",no,no,no,no
27,0,"The Birds",1963,http://www.icheckmovies.com/movies/the+birds/,36465,1748,188,18,619,,http://www.imdb.com/title/tt0056869/,"2018-04-26 21:35:33",no,no,no,no
28,0,Frenzy,1972,http://www.icheckmovies.com/movies/frenzy/,5303,293,41,6,236,,http://www.imdb.com/title/tt0068611/,"2018-04-26 21:38:37",no,no,no,no
29,0,"Kiss Me Deadly",1955,http://www.icheckmovies.com/movies/kiss+me+deadly/,4303,402,38,19,382,,http://www.imdb.com/title/tt0048261/,"2018-04-26 21:32:19",no,no,no,no
30,0,"Vera Cruz",1954,http://www.icheckmovies.com/movies/vera+cruz/,770,29,4,1,95,,http://www.imdb.com/title/tt0047647/,"2018-11-08 01:07:34",no,no,no,no
31,0,"The Big Knife",1955,http://www.icheckmovies.com/movies/the+big+knife/,543,20,13,3,83,,http://www.imdb.com/title/tt0047880/,"2018-10-17 21:55:41",no,no,no,no
32,0,"The Feathered Serpent",1948,http://www.icheckmovies.com/movies/the+feathered+serpent-1948/,32,0,1,1,14,,http://www.imdb.com/title/tt0040347/,no,no,no,no,no
33,0,"The Killer Is Loose",1956,http://www.icheckmovies.com/movies/the+killer+is+loose/,313,7,1,2,57,,http://www.imdb.com/title/tt0049405/,"2018-11-08 00:28:09",no,no,no,no
34,0,"It Should Happen to You",1954,http://www.icheckmovies.com/movies/it+should+happen+to+you/,344,28,4,2,79,,http://www.imdb.com/title/tt0047123/,no,no,no,no,no
35,0,Verboten!,1959,http://www.icheckmovies.com/movies/verbotenexclamation/,127,4,1,1,23,Forbidden!,http://www.imdb.com/title/tt0052354/,no,no,no,no,no
36,0,"Baby Doll",1956,http://www.icheckmovies.com/movies/baby+doll/,1076,73,9,5,174,,http://www.imdb.com/title/tt0048973/,"2018-12-02 14:10:56",no,no,no,no
37,0,"A Face in the Crowd",1957,http://www.icheckmovies.com/movies/a+face+in+the+crowd/,2009,306,9,12,216,,http://www.imdb.com/title/tt0050371/,"2018-06-11 13:01:32",no,no,no,no
38,0,"Paths of Glory",1957,http://www.icheckmovies.com/movies/paths+of+glory/,17034,2188,73,25,669,,http://www.imdb.com/title/tt0050825/,"2018-04-26 21:33:16",no,no,no,no
39,0,"The Night of the Hunter",1955,http://www.icheckmovies.com/movies/the+night+of+the+hunter/,13179,1781,113,29,779,,http://www.imdb.com/title/tt0048424/,"2018-04-26 21:32:28",no,no,no,no
40,0,"The Bad Seed",1956,http://www.icheckmovies.com/movies/the+bad+seed/,1750,131,22,5,151,,http://www.imdb.com/title/tt0048977/,"2018-10-17 21:54:04",no,no,no,no
41,0,Anastasia,1956,http://www.icheckmovies.com/movies/anastasia/,1128,32,9,2,80,,http://www.imdb.com/title/tt0048947/,"2018-11-19 21:32:48",no,no,no,no
42,0,Picnic,1955,http://www.icheckmovies.com/movies/picnic/,955,39,23,6,114,,http://www.imdb.com/title/tt0048491/,"2018-04-28 23:24:15",no,no,no,no
43,0,"12 Angry Men",1957,http://www.icheckmovies.com/movies/12+angry+men/,50831,7829,110,29,1016,,http://www.imdb.com/title/tt0050083/,"2018-04-26 21:32:58",no,no,no,yes
44,0,"The Barefoot Contessa",1954,http://www.icheckmovies.com/movies/the+barefoot+contessa/,1925,90,16,7,148,,http://www.imdb.com/title/tt0046754/,"2018-11-19 21:32:01",no,no,no,no
45,0,"Men in War",1957,http://www.icheckmovies.com/movies/men+in+war/,296,17,0,4,98,,http://www.imdb.com/title/tt0050699/,"2018-04-28 23:24:59",no,no,no,no
46,0,"Fear Strikes Out",1957,http://www.icheckmovies.com/movies/fear+strikes+out/,111,2,0,1,26,,http://www.imdb.com/title/tt0050383/,"2018-11-08 01:08:23",no,no,no,no
47,0,"Bonjour tristesse",1958,http://www.icheckmovies.com/movies/bonjour+tristesse/,655,42,5,3,97,,http://www.imdb.com/title/tt0051429/,no,no,no,no,no
48,0,"Johnny Guitar",1954,http://www.icheckmovies.com/movies/johnny+guitar/,3841,388,27,19,384,,http://www.imdb.com/title/tt0047136/,"2018-04-26 21:31:51",no,no,no,no
