rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Marketa Lazarová",1967,http://www.icheckmovies.com/movies/marketa+lazarova/,1073,159,14,7,236,,http://www.imdb.com/title/tt0063278/,"2018-12-13 09:30:38",no,no,no,no
2,0,"Obchod na korze",1965,http://www.icheckmovies.com/movies/obchod+na+korze/,1323,192,6,11,238,"The Shop on Main Street",http://www.imdb.com/title/tt0059527/,"2018-11-16 13:57:11",no,no,no,no
3,0,"Vsichni dobrí rodáci",1969,http://www.icheckmovies.com/movies/vsichni+dobri+rodaci/,124,5,2,2,48,"All My Compatriots",http://www.imdb.com/title/tt0063791/,no,no,no,no,no
4,0,"Horí, má panenko",1967,http://www.icheckmovies.com/movies/hori+ma+panenko/,1877,160,22,11,181,"The Firemen's Ball",http://www.imdb.com/title/tt0061781/,"2018-11-19 21:31:42",no,no,no,no
5,0,"Intimní osvetlení",1965,http://www.icheckmovies.com/movies/intimni+osvetleni/,237,22,0,4,97,"Intimate Lighting",http://www.imdb.com/title/tt0060543/,no,no,no,no,no
6,0,"Daleká cesta",1950,http://www.icheckmovies.com/movies/daleka+cesta/,98,7,0,4,45,"Distant Journey",http://www.imdb.com/title/tt0168626/,no,no,no,no,no
7,0,"Démanty noci",1964,http://www.icheckmovies.com/movies/demanty+noci/,430,56,7,3,139,"Diamonds of the Night",http://www.imdb.com/title/tt0058001/,no,no,no,no,no
8,0,"Ostre sledované vlaky",1966,http://www.icheckmovies.com/movies/ostre+sledovane+vlaky/,2332,221,15,14,247,"Closely Watched Trains",http://www.imdb.com/title/tt0060802/,"2018-11-08 00:21:16",no,no,no,no
9,0,"Spalovac mrtvol",1969,http://www.icheckmovies.com/movies/spalovac+mrtvol/,1170,222,22,7,186,Cremator,http://www.imdb.com/title/tt0063633/,no,no,no,no,no
10,0,"Prípad pro zacínajícího kata",1970,http://www.icheckmovies.com/movies/pripad+pro+zacinajiciho+kata/,115,12,1,3,75,"Case for a Rookie Hangman",http://www.imdb.com/title/tt0064843/,no,no,no,no,no
11,0,Ucho,1970,http://www.icheckmovies.com/movies/ucho/,621,74,11,3,144,"The Ear",http://www.imdb.com/title/tt0066498/,no,no,no,no,no
12,0,Sedmikrásky,1966,http://www.icheckmovies.com/movies/sedmikrasky/,2537,393,59,15,269,Daisies,http://www.imdb.com/title/tt0060959/,"2018-11-08 00:21:14",no,no,no,no
13,0,"Lásky jedné plavovlásky",1965,http://www.icheckmovies.com/movies/lasky+jedne+plavovlasky/,1484,143,11,11,192,"The Loves of a Blonde",http://www.imdb.com/title/tt0059415/,"2018-11-19 21:31:37",no,no,no,no
14,0,"O slavnosti a hostech",1966,http://www.icheckmovies.com/movies/o+slavnosti+a+hostech/,477,29,3,5,104,"A Report on the Party and the Guests",http://www.imdb.com/title/tt0063371/,no,no,no,no,no
15,0,"Vynález zkázy",1958,http://www.icheckmovies.com/movies/vynalez+zkazy/,341,25,4,5,113,"The Fabulous World of Jules Verne",http://www.imdb.com/title/tt0052374/,no,no,no,no,no
16,0,"Zbehovia a pútnici",1968,http://www.icheckmovies.com/movies/zbehovia+a+putnici/,63,3,3,3,32,"The Deserter and the Nomads",http://www.imdb.com/title/tt0171940/,no,no,no,no,no
17,,"Cerný Petr",1964,http://www.icheckmovies.com/movies/cerny+petr/,274,21,3,4,82,"Black Peter",http://www.imdb.com/title/tt0056919/,no,no,no,no,no
18,0,"Vtáckovia, siroty a blázni",1969,http://www.icheckmovies.com/movies/vtackovia+siroty+a+blazni/,201,29,5,3,105,"Birds, Orphans and Fools",http://www.imdb.com/title/tt0065193/,no,no,no,no,no
19,0,"Obrazy starého sveta",1972,http://www.icheckmovies.com/movies/obrazy+stareho+sveta/,223,44,0,6,122,"Pictures of the Old World",http://www.imdb.com/title/tt0171587/,no,no,no,no,no
20,0,"Rozmarné léto",1968,http://www.icheckmovies.com/movies/rozmarne+leto/,247,18,2,2,77,"Capricious Summer",http://www.imdb.com/title/tt0063527/,no,no,no,no,no
21,0,"Skrivánci na niti",1990,http://www.icheckmovies.com/movies/skrivanci+na+niti/,235,15,2,3,65,"Larks on a String",http://www.imdb.com/title/tt0064994/,no,no,no,no,no
22,0,"Tisícrocná vcela",1983,http://www.icheckmovies.com/movies/tisicrocna+vcela/,30,4,0,1,30,"A Thousand-year-old Bee",http://www.imdb.com/title/tt0086447/,no,no,no,no,no
23,0,322,1969,http://www.icheckmovies.com/movies/322/,64,6,0,2,27,,http://www.imdb.com/title/tt0124969/,no,no,no,no,no
24,0,"Kocár do Vídne",1966,http://www.icheckmovies.com/movies/kocar+do+vidne/,270,66,2,4,153,"Carriage to Vienna",http://www.imdb.com/title/tt0060597/,no,no,no,no,no
25,0,"Návrat ztraceného syna",1967,http://www.icheckmovies.com/movies/navrat+ztraceneho+syna/,115,4,1,2,47,"Return of the Prodigal Son",http://www.imdb.com/title/tt0060770/,no,no,no,no,no
