rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Beiqíng chéngshì",1989,http://www.icheckmovies.com/movies/beiqing+chengshi/,860,72,5,9,202,"A City of Sadness",http://www.imdb.com/title/tt0096908/,"2018-11-25 20:34:44",no,no,no,no
2,0,"Gu ling jie shao nian sha ren shi jian",1991,http://www.icheckmovies.com/movies/gu+ling+jie+shao+nian+sha+ren+shi+jian/,1125,166,13,13,264,"A Brighter Summer Day",http://www.imdb.com/title/tt0101985/,"2018-11-08 00:21:44",no,no,no,no
3,0,"Tóngnián wangshì",1985,http://www.icheckmovies.com/movies/tongnian+wangshi/,659,57,6,8,155,"A Time to Live, a Time to Die",http://www.imdb.com/title/tt0090185/,"2018-12-03 15:26:56",no,no,no,no
4,0,"Ah fei zing zyun",1990,http://www.icheckmovies.com/movies/ah+fei+zing+zyun/,2434,229,18,10,174,"Days of Being Wild",http://www.imdb.com/title/tt0101258/,"2018-04-28 22:47:23",no,no,no,no
5,0,"Xiao cheng zhi chun",1948,http://www.icheckmovies.com/movies/xiao+cheng+zhi+chun/,941,68,6,9,172,"Spring in a Small Town",http://www.imdb.com/title/tt0189219/,"2018-12-03 15:50:54",no,no,no,no
6,0,"Wo hu cang long",2000,http://www.icheckmovies.com/movies/wo+hu+cang+long/,34846,1998,230,23,615,"Crouching Tiger, Hidden Dragon",http://www.imdb.com/title/tt0190332/,"2018-04-26 21:50:35",no,no,no,no
7,0,"Yi yi",2000,http://www.icheckmovies.com/movies/yi+yi/,3802,576,40,19,366,"Yi Yi",http://www.imdb.com/title/tt0244316/,"2018-10-29 22:07:10",no,no,no,no
8,0,"Liàn liàn fengchén",1986,http://www.icheckmovies.com/movies/lian+lian+fengchen/,435,35,1,5,104,"Dust in the Wind",http://www.imdb.com/title/tt0091406/,no,no,no,no,no
9,0,"Long men kezhan",1967,http://www.icheckmovies.com/movies/long+men+kezhan/,508,31,0,7,99,"Dragon Inn",http://www.imdb.com/title/tt0060635/,"2018-10-17 22:26:09",no,no,no,no
10,0,"Faa yeung nin wa",2000,http://www.icheckmovies.com/movies/faa+yeung+nin+wa/,12528,2148,94,26,690,"In the Mood for Love",http://www.imdb.com/title/tt0118694/,"2018-01-31 08:54:55",no,no,no,no
11,0,"Liang Shan Bo yu Zhu Ying Tai",1963,http://www.icheckmovies.com/movies/liang+shan+bo+yu+zhu+ying+tai/,121,5,0,5,54,"The Love Eterne",http://www.imdb.com/title/tt0057248/,no,no,no,no,no
12,0,"Kong bu fen zi",1986,http://www.icheckmovies.com/movies/kong+bu+fen+zi/,437,68,4,5,131,"The Terrorizers",http://www.imdb.com/title/tt0091355/,no,no,no,no,no
13,0,"Ai qing wan sui",1994,http://www.icheckmovies.com/movies/ai+qing+wan+sui/,662,70,13,7,156,"Vive L'Amour",http://www.imdb.com/title/tt0109066/,no,no,no,no,no
14,0,"Huang tu di",1985,http://www.icheckmovies.com/movies/huang+tu+di/,562,40,7,9,135,"Yellow Earth",http://www.imdb.com/title/tt0087433/,"2018-12-03 15:26:38",no,no,no,no
15,0,"Xia nü",1971,http://www.icheckmovies.com/movies/xia+nu/,1161,103,14,14,229,"A Touch of Zen",http://www.imdb.com/title/tt0064451/,"2018-04-26 21:37:31",no,no,no,no
16,0,"Tian mi mi",1996,http://www.icheckmovies.com/movies/tian+mi+mi/,320,37,1,6,129,"Comrades: Almost a Love Story",http://www.imdb.com/title/tt0117905/,no,no,no,no,no
17,0,"Ying hung boon sik",1986,http://www.icheckmovies.com/movies/ying+hung+boon+sik/,1299,81,17,7,132,"A Better Tomorrow",http://www.imdb.com/title/tt0092263/,no,no,no,no,no
18,0,"Mou gaan dou",2002,http://www.icheckmovies.com/movies/mou+gaan+dou/,9923,959,61,10,315,"Infernal Affairs",http://www.imdb.com/title/tt0338564/,"2018-04-28 15:52:04",no,no,no,no
19,0,"Yang guang can lan de ri zi",1994,http://www.icheckmovies.com/movies/yang+guang+can+lan+de+ri+zi/,228,29,1,3,124,"In the Heat of the Sun",http://www.imdb.com/title/tt0111786/,no,no,no,no,no
20,0,"Malu tianshi",1937,http://www.icheckmovies.com/movies/malu+tianshi/,271,8,1,6,80,"Street Angel",http://www.imdb.com/title/tt0183828/,no,no,no,no,no
21,0,"Chung Hing sam lam",1994,http://www.icheckmovies.com/movies/chung+hing+sam+lam/,8604,1381,61,16,489,"Chungking Express",http://www.imdb.com/title/tt0109424/,"2018-04-26 21:48:05",no,no,no,no
22,0,"Hong gao liang",1988,http://www.icheckmovies.com/movies/hong+gao+liang/,1267,64,14,10,155,"Red Sorghum",http://www.imdb.com/title/tt0093206/,"2018-11-17 19:17:56",no,no,no,no
23,0,"Xi yan",1993,http://www.icheckmovies.com/movies/xi+yan/,1245,73,7,7,146,"The Wedding Banquet",http://www.imdb.com/title/tt0107156/,no,no,no,no,no
24,0,"Shen nu",1934,http://www.icheckmovies.com/movies/shen+nu/,586,60,1,9,146,"The Goddess",http://www.imdb.com/title/tt0195256/,"2018-12-04 15:10:58",no,no,no,no
25,0,"Feng gui lai de ren",1983,http://www.icheckmovies.com/movies/feng+gui+lai+de+ren/,196,15,2,4,59,"The Boys from Fengkuei",http://www.imdb.com/title/tt0085533/,no,no,no,no,no
26,0,"Chun gwong cha sit",1997,http://www.icheckmovies.com/movies/chun+gwong+cha+sit/,2867,335,16,11,248,"Happy Together",http://www.imdb.com/title/tt0118845/,"2018-04-26 21:49:01",no,no,no,no
27,0,"Yan zhi kou",1987,http://www.icheckmovies.com/movies/yan+zhi+kou/,211,15,2,5,64,Rouge,http://www.imdb.com/title/tt0093258/,no,no,no,no,no
28,0,"Er zi de da wan ou",1983,http://www.icheckmovies.com/movies/er+zi+de+da+wan+ou/,100,8,0,3,40,"The Sandwich Man",http://www.imdb.com/title/tt0085503/,no,no,no,no,no
29,0,"Po qiao shi fen",1960,http://www.icheckmovies.com/movies/po+qiao+shi+fen/,8,0,0,2,12,,http://www.imdb.com/title/tt0054191/,no,no,no,no,no
30,0,"Hai tan de yi tian",1983,http://www.icheckmovies.com/movies/hai+tan+de+yi+tian/,111,9,0,3,44,"That Day, on the Beach",http://www.imdb.com/title/tt0085635/,no,no,no,no,no
31,0,"Jing wu men",1972,http://www.icheckmovies.com/movies/jing+wu+men/,2070,88,19,6,122,"The Chinese Connection",http://www.imdb.com/title/tt0068767/,"2018-10-17 22:18:05",no,no,no,no
32,0,"Ruan Lingyu",1991,http://www.icheckmovies.com/movies/ruan+lingyu/,506,33,6,9,132,"Center Stage",http://www.imdb.com/title/tt0102816/,"2018-12-03 15:34:04",no,no,no,no
33,0,"Ba wang bie ji",1993,http://www.icheckmovies.com/movies/ba+wang+bie+ji/,2949,264,29,15,287,"Farewell My Concubine",http://www.imdb.com/title/tt0106332/,"2018-04-26 21:47:23",no,no,no,no
34,0,"Se, jie",2007,http://www.icheckmovies.com/movies/se+jie/,2226,174,23,4,138,"Lust, Caution",http://www.imdb.com/title/tt0808357/,no,no,no,no,no
35,0,"Qiu Ju da guan si",1992,http://www.icheckmovies.com/movies/qiu+ju+da+guan+si/,594,46,6,9,130,"The Story of Qiu Ju",http://www.imdb.com/title/tt0105197/,"2018-12-01 09:45:48",no,no,no,no
36,0,"Xiao Wu",1997,http://www.icheckmovies.com/movies/xiao+wu/,280,16,1,3,107,Pickpocket,http://www.imdb.com/title/tt0144020/,no,no,no,no,no
37,0,"Sien nui yau wan",1987,http://www.icheckmovies.com/movies/sien+nui+yau+wan/,846,56,7,6,133,"A Chinese Ghost Story",http://www.imdb.com/title/tt0093978/,"2018-04-26 21:45:14",no,no,no,no
38,0,"Qiu Jue",1972,http://www.icheckmovies.com/movies/qiu+jue/,61,4,0,2,43,"Execution in Autumn",http://www.imdb.com/title/tt1033618/,no,no,no,no,no
39,0,"Hái-kak chhit-ho",2008,http://www.icheckmovies.com/movies/hai-kak+chhit-ho/,96,5,2,1,30,"Cape No. 7",http://www.imdb.com/title/tt1267160/,no,no,no,no,no
40,0,"Yi jiang chun shui xiang dong liu",1947,http://www.icheckmovies.com/movies/yi+jiang+chun+shui+xiang+dong+liu/,81,1,0,5,43,"Tears of the Yang-Tse",http://www.imdb.com/title/tt0040009/,no,no,no,no,no
41,0,"Lan feng zheng",1993,http://www.icheckmovies.com/movies/lan+feng+zheng/,605,38,5,8,134,"The Blue Kite",http://www.imdb.com/title/tt0107358/,no,no,no,no,no
42,0,"Xi meng ren sheng",1993,http://www.icheckmovies.com/movies/xi+meng+ren+sheng/,570,41,4,9,156,"In the Hands of a Puppet Master",http://www.imdb.com/title/tt0107157/,no,no,no,no,no
43,0,"Hei an zhi guang",1999,http://www.icheckmovies.com/movies/hei+an+zhi+guang/,14,0,0,1,19,"Darkness and Light",http://www.imdb.com/title/tt0200689/,no,no,no,no,no
44,0,"Cheung foh",1999,http://www.icheckmovies.com/movies/cheung+foh/,475,50,8,4,82,"The Mission",http://www.imdb.com/title/tt0220644/,no,no,no,no,no
45,0,"Sanxia haoren",2006,http://www.icheckmovies.com/movies/sanxia+haoren/,1211,98,15,10,159,"Still Life",http://www.imdb.com/title/tt0859765/,"2018-12-01 09:29:00",no,no,no,no
46,0,"Huo zhe",1994,http://www.icheckmovies.com/movies/huo+zhe/,1048,133,6,4,159,"To Live",http://www.imdb.com/title/tt0110081/,"2018-12-02 21:50:34",no,no,no,no
47,0,"Dong fu ren",1968,http://www.icheckmovies.com/movies/dong+fu+ren/,86,4,0,4,63,"The Arch",http://www.imdb.com/title/tt0074151/,no,no,no,no,no
48,0,"Zai jian a lang",1970,http://www.icheckmovies.com/movies/zai+jian+a+lang/,6,0,0,2,17,,http://www.imdb.com/title/tt1111842/,no,no,no,no,no
49,0,"Kung fu",2004,http://www.icheckmovies.com/movies/kung+fu/,10221,797,80,9,230,"Kung Fu Hustle",http://www.imdb.com/title/tt0373074/,"2018-10-17 22:19:46",no,no,no,no
50,,"Wu mi le",2004,http://www.icheckmovies.com/movies/wu+mi+le/,4,0,1,1,5,,http://www.imdb.com/title/tt4692874/,no,no,no,no,no
51,-1,"Yang ya ren jia",1965,http://www.icheckmovies.com/movies/yang+ya+ren+jia/,16,1,1,1,13,,http://www.imdb.com/title/tt1345532/,no,no,no,no,no
52,-1,Dalu,1935,http://www.icheckmovies.com/movies/dalu/,104,1,2,3,52,"The Highway",http://www.imdb.com/title/tt0121180/,no,no,no,no,no
