rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Shyamchi Aai",1953,http://www.icheckmovies.com/movies/shyamchi+aai/,12,0,1,2,12,"Shyam's Mother",http://www.imdb.com/title/tt0155174/,no,no,no,no,no
2,0,"Mirza Ghalib",1954,http://www.icheckmovies.com/movies/mirza+ghalib-1954/,4,0,0,1,4,,http://www.imdb.com/title/tt0137958/,no,no,no,no,no
3,0,"Pather Panchali",1955,http://www.icheckmovies.com/movies/pather+panchali/,3350,518,23,21,463,"Song of the Little Road",http://www.imdb.com/title/tt0048473/,"2018-06-11 13:08:53",no,no,no,no
4,0,Kabuliwala,1957,http://www.icheckmovies.com/movies/kabuliwala/,24,1,1,1,6,,http://www.imdb.com/title/tt0049393/,no,no,no,no,no
5,0,"Do Ankhen Barah Haath",1957,http://www.icheckmovies.com/movies/do+ankhen+barah+haath/,169,14,3,2,23,"Two Eyes, Twelve Hands",http://www.imdb.com/title/tt0050322/,no,no,no,no,no
6,0,"Sagar Sangamey",1959,http://www.icheckmovies.com/movies/sagar+sangamey/,5,0,0,1,2,"The Holy Island",http://www.imdb.com/title/tt0156987/,no,no,no,no,no
7,0,"Apur Sansar",1959,http://www.icheckmovies.com/movies/apur+sansar/,2037,302,9,18,323,"The World of Apu",http://www.imdb.com/title/tt0052572/,"2018-11-08 00:21:11",no,no,no,no
8,0,Anuradha,1960,http://www.icheckmovies.com/movies/anuradha/,26,1,1,2,12,,http://www.imdb.com/title/tt0137362/,no,no,no,no,no
9,0,"Bhagini Nivedita",1962,http://www.icheckmovies.com/movies/bhagini+nivedita/,2,0,0,1,1,,http://www.imdb.com/title/tt1943664/,no,no,no,no,no
10,0,"Dada Thakur",1962,http://www.icheckmovies.com/movies/dada+thakur/,1,0,0,1,1,,http://www.imdb.com/title/tt0055882/,no,no,no,no,no
11,0,"Shehar Aur Sapna",1963,http://www.icheckmovies.com/movies/shehar+aur+sapna/,0,0,1,1,3,"The City and the Dream",http://www.imdb.com/title/tt0152400/,no,no,no,no,no
12,0,Charulata,1964,http://www.icheckmovies.com/movies/charulata/,948,135,9,8,210,"The Lonely Wife",http://www.imdb.com/title/tt0057935/,"2018-12-04 15:05:01",no,no,no,no
