rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"El viaje a ninguna parte",1986,http://www.icheckmovies.com/movies/el+viaje+a+ninguna+parte/,101,3,1,3,39,"Voyage to Nowhere",http://www.imdb.com/title/tt0090259/,no,no,no,no,no
2,0,"El bosque animado",1987,http://www.icheckmovies.com/movies/el+bosque+animado/,126,6,0,1,28,,http://www.imdb.com/title/tt0092693/,no,no,no,no,no
3,0,"Mujeres al borde de un ataque de nervios",1988,http://www.icheckmovies.com/movies/mujeres+al+borde+de+un+ataque+de+nervios/,5236,472,31,14,288,"Women on the Verge of a Nervous Breakdown",http://www.imdb.com/title/tt0095675/,"2018-04-26 21:45:15",no,no,no,no
4,0,"El sueño del mono loco",1989,http://www.icheckmovies.com/movies/el+sueno+del+mono+loco/,76,1,5,1,22,"The Mad Monkey",http://www.imdb.com/title/tt0098407/,no,no,no,no,no
5,0,"¡Ay, Carmela!",1990,http://www.icheckmovies.com/movies/ay+carmelaexclamation/,228,11,1,1,39,,http://www.imdb.com/title/tt0101025/,no,no,no,no,no
6,0,Amantes,1991,http://www.icheckmovies.com/movies/amantes/,267,11,3,4,61,Lovers,http://www.imdb.com/title/tt0101317/,no,no,no,no,no
7,0,"Belle Epoque",1992,http://www.icheckmovies.com/movies/belle+epoque/,987,25,10,5,87,"The Age of Beauty",http://www.imdb.com/title/tt0103791/,no,no,no,no,no
8,0,"Todos a la cárcel",1993,http://www.icheckmovies.com/movies/todos+a+la+carcel/,85,0,3,1,23,,http://www.imdb.com/title/tt0108355/,no,no,no,no,no
9,0,"Días contados",1994,http://www.icheckmovies.com/movies/dias+contados/,117,1,3,1,25,"Numbered Days",http://www.imdb.com/title/tt0109699/,no,no,no,no,no
10,0,"Nadie hablará de nosotras cuando hayamos muerto",1995,http://www.icheckmovies.com/movies/nadie+hablara+de+nosotras+cuando+hayamos+muerto/,144,7,2,2,33,,http://www.imdb.com/title/tt0113918/,no,no,no,no,no
